label,reason,bars_held,lockout_initial_stop_breached,lockout_target_touched,lockout_mae_bps,unlock_stop_valid,unlock_target_marketable,unlock_active_stop_bps
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-16.541045589526664,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-40.361954329199015,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-45.91841059385719,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-28.04047991227813,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-29.185669250071527,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-85.19613621590499,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-44.198843883459666,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-46.032202116215316,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-67.58441823017561,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-23.99274510979669,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-126.31242425299243,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,5,True,,-50.750691884874506,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-28.627249873256638,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-54.74785013502862,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-48.010427874112395,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-33.364607107351375,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-67.42152455066612,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-42.78310589049942,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-53.27082595696823,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-43.817614670311904,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-29.548361509329638,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-61.09326488035209,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-49.151990068434664,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-34.63443135583792,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-54.58877840400459,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-48.63970927975762,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-30.16976673716047,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-30.17962820277013,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-64.67719099517726,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-42.75768644309578,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-32.53950301729273,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-15.85517330274359,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-43.64623351774026,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-35.13798148935058,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,8,False,,-23.90990017588705,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-40.430756986396126,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-28.764221324178035,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-31.214105278034737,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-16.10551661460639,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-60.28279291215869,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-25.62142564947149,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-14.888138765876285,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-31.993416350175757,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-26.39670838419776,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-46.25824955208039,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-30.53565269046003,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-27.388491324609337,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-46.509596611339504,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-47.31841639152649,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-34.52040342955113,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-27.19097377771999,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-43.45732050935262,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-30.926174653580645,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-27.938971351284685,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-67.99618849593362,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-37.53459807889451,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-48.9022862027945,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-38.85538788224189,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-50.6975273001055,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-31.31120227178667,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-41.685244796829814,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-58.13580107939435,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-72.22559312061631,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-28.753259579353966,,,
