pb,htf,candle,th,tp,sl,tx,signals,trades,total_return,pf,avg_trade,win_rate,payoff,max_dd,is_trades,is_pf,is_ret,val_trades,val_pf,val_ret,oos_trades,oos_pf,oos_ret,pass_loose
0.0,0.5,False,500.0,2.0,3,12,702,359,-0.5261175634220987,0.6642934393702017,-0.00200528370103097,0.4401114206128134,0.8450821602114592,-0.5761151080727014,278,0.6794879762021346,-0.4320834955793047,34,0.2814620640825128,-0.11119738747965169,47,0.7926616718921966,-0.06118331318360937,False
0.0,0.5,False,500.0,2.5,4,12,702,347,-0.5925003033850615,0.6065945539343873,-0.002501717064434951,0.41210374639769454,0.865351671346958,-0.612378781738326,267,0.598872820763775,-0.5134211539891937,34,0.28401152031481414,-0.12337890928545281,46,0.8581714034300023,-0.04465078631591435,False
0.0,0.5,False,500.0,3.0,5,12,702,342,-0.6286636723928776,0.5669415620929615,-0.002807131669455217,0.3888888888888889,0.8909081690032252,-0.641435105519088,263,0.550977715147964,-0.5550964997833641,33,0.2348032854760643,-0.13427385373712197,46,0.8876079543706,-0.0359022229881123,False
0.0,0.5,False,500.0,3.0,7,12,702,342,-0.598520648202697,0.5869690501506035,-0.0025859609870080872,0.3888888888888889,0.9223799359509485,-0.6123287954585144,263,0.5768762868675591,-0.5174740525428265,33,0.2445103606648666,-0.12772356625907633,46,0.8560629056582736,-0.046131729109346264,False
0.0,0.5,False,500.0,4.0,6,12,702,339,-0.6228967123830853,0.561860249136509,-0.0027911930808555818,0.3864306784660767,0.8921139833617854,-0.6331697169362525,260,0.5715301485756513,-0.522948098190738,33,0.1926087081671088,-0.13573264022200804,46,0.7252663837844885,-0.08536761325192765,False
0.0,0.5,False,500.0,5.0,8,12,702,338,-0.6043553751128279,0.5762043858637809,-0.0026581761600265414,0.38461538461538464,0.9219270173820494,-0.6161866146478423,259,0.5829335082109932,-0.505245163979108,33,0.2158171339480047,-0.13219612021680305,46,0.7512582128643774,-0.07850361780082027,False
0.0,0.5,False,500.0,6.0,10,12,702,338,-0.6184573562056492,0.5587129356498448,-0.0027678879041127635,0.38461538461538464,0.8939406970397518,-0.6313040040802256,259,0.5703911600072351,-0.5151331160853139,33,0.1480113654117057,-0.1425284219058861,46,0.7367805160338793,-0.08229979684511424,False
0.0,0.5,False,500.0,2.0,3,24,702,297,-0.5525139453125314,0.6676853422338044,-0.002589994242821237,0.4882154882154882,0.6999184277209536,-0.5919365207766683,230,0.6485887216078627,-0.4943113452557434,27,0.5021722661025532,-0.06751282068697295,40,0.8521925007417345,-0.051027939954030876,False
0.0,0.5,False,500.0,2.5,4,24,702,272,-0.5878644729655611,0.6445232194558703,-0.0031034743854384686,0.45588235294117646,0.7692696490279742,-0.6112137601967336,209,0.6129110438343623,-0.536673230055013,27,0.4785524440534485,-0.09043405682083572,36,0.9468939885727324,-0.022045905919700348,False
0.0,0.5,False,500.0,3.0,5,24,702,257,-0.6240944549473713,0.5963007902243844,-0.0036401498625645385,0.42412451361867703,0.8096561188367788,-0.6693281819367832,198,0.5086318194301125,-0.6254772101739523,25,0.5125528575107009,-0.07973594270832196,34,1.417615985689833,0.0906565758702147,False
0.0,0.5,False,500.0,3.0,7,24,702,257,-0.5975396362173695,0.6146508037379722,-0.0033755515526815195,0.4280155642023346,0.8213969831771084,-0.6424043130138575,198,0.5241658606447573,-0.6040249745617734,25,0.5941989487730117,-0.058110454431801184,34,1.354794638559118,0.07908422461595843,False
0.0,0.5,False,500.0,4.0,6,24,702,251,-0.6371584380983771,0.5526994602598775,-0.003881767439979664,0.4103585657370518,0.7941700982374938,-0.6646635744332559,194,0.4882293276103069,-0.6183012294926459,23,0.5619823166065097,-0.051242540311978835,34,1.0308868496033892,0.0019384958578554379,False
0.0,0.5,False,500.0,5.0,8,24,702,248,-0.5989042304396641,0.5850872462617895,-0.003520832339535314,0.4032258064516129,0.8659291244674485,-0.6311665203752208,191,0.5146831088977473,-0.5853309149384096,23,0.4912538521189181,-0.058451646639160026,34,1.1368734821382536,0.02731539116662418,False
0.0,0.5,False,500.0,6.0,10,24,702,243,-0.6205431329061226,0.5468868399531793,-0.0038316553753348775,0.3868312757201646,0.8668738207768482,-0.6531048245842965,189,0.4674973153805729,-0.6131277770058012,22,0.4038180110161811,-0.062353120247842564,32,1.2295813617615878,0.046057493758231205,False
0.0,0.5,False,500.0,2.0,3,36,702,275,-0.49118154305085393,0.7121585530790376,-0.002327218468396337,0.5127272727272727,0.6768031639190855,-0.5307979901777755,212,0.7039825164270663,-0.42087009980729095,27,0.409011284421255,-0.10473979302836156,36,0.9548808769434219,-0.01861913123862302,False
0.0,0.5,False,500.0,2.5,4,36,702,247,-0.46033540134987594,0.7357848153570372,-0.0023279903863638474,0.5020242914979757,0.7298510668460934,-0.5035376997293457,189,0.7349894682991743,-0.38197790264303044,26,0.4433876987597533,-0.10381065101891507,32,0.9339101332288765,-0.025638426373230994,False
0.0,0.5,False,500.0,3.0,5,36,702,227,-0.5141712778418299,0.672212461261472,-0.002997971336538386,0.46255506607929514,0.7810468597514246,-0.597238355652803,174,0.5925511102403264,-0.5140457890963522,23,0.38366567078579455,-0.12079365875610193,30,1.7474542343083808,0.13709572085289246,False
0.0,0.5,False,500.0,3.0,7,36,702,226,-0.4836670662478526,0.6930288947396812,-0.0027403508406472835,0.47345132743362833,0.7707517614394586,-0.5702555567299017,173,0.6085436812152463,-0.49251205624440964,23,0.43059819428568635,-0.10267748398072407,30,1.7207045484537846,0.1338498116329052,False
0.0,0.5,False,500.0,4.0,6,36,702,211,-0.5694795769976169,0.5976291690470125,-0.0038068403989766075,0.4218009478672986,0.8192220070082641,-0.6161776915881114,165,0.5374156096156926,-0.5415254190108192,20,0.2781016823598745,-0.12128502703061972,26,1.3618126657288094,0.06863764578243226,False
0.0,0.5,False,500.0,5.0,8,36,702,207,-0.5480729655314567,0.619917500230759,-0.003633033382100126,0.4106280193236715,0.8897639415076776,-0.5978801077446416,162,0.5652427491507476,-0.5226566217936073,20,0.3250972603256027,-0.11170362962765734,25,1.3817962769883154,0.0658093648497513,False
0.0,0.5,False,500.0,6.0,10,36,702,203,-0.6152589647724486,0.5366590616568334,-0.00450302176496448,0.41379310344827586,0.7602670040138473,-0.6472574678542399,159,0.49293866702914824,-0.5792313490040317,19,0.27386418830631276,-0.1167190759767619,25,1.2389623600641846,0.03520481274888354,False
0.0,0.5,False,500.0,2.0,3,48,702,262,-0.43738837693844024,0.7510512318077581,-0.0020601804453580213,0.5305343511450382,0.6645992914557859,-0.49214667134864176,202,0.7272696110945545,-0.39188182099882674,26,0.5142168788140101,-0.07929825931426926,34,1.0382549970684682,0.004851186119071427,False
0.0,0.5,False,500.0,2.5,4,48,702,230,-0.3982857758799647,0.7801355368829265,-0.002024115285759391,0.5217391304347826,0.7151242421426827,-0.4725735534137242,178,0.7349617367952495,-0.38614495786433634,24,0.6428304455747097,-0.0583477189556082,28,1.1911614310878629,0.04095963143504311,False
0.0,0.5,False,500.0,3.0,5,48,702,203,-0.4519100344869238,0.7260854291653026,-0.0027474358019332497,0.4827586206896552,0.7779486741056814,-0.5291939009245006,157,0.6546347459559463,-0.45533732576396235,20,0.5603259706180888,-0.07156548623452141,26,1.4112683624171327,0.0838594296630173,False
0.0,0.5,False,500.0,3.0,7,48,702,201,-0.3085533505296256,0.8209800713741052,-0.0016332933880740487,0.5074626865671642,0.7968335986866315,-0.41110214316710847,156,0.7388839039677313,-0.34688018591975367,19,0.7832993793401423,-0.026553650615247948,26,1.4318519061871788,0.08756142813975698,False
0.0,0.5,False,500.0,4.0,6,48,702,188,-0.4889543412701257,0.6809077996423935,-0.003335105434036648,0.4308510638297872,0.8994707970584703,-0.561628902688208,146,0.5852458200632065,-0.5147579639559179,18,0.5818849609834966,-0.053058881600910546,24,1.621431355453879,0.1121882741661755,False
0.0,0.5,False,500.0,5.0,8,48,702,178,-0.48645923929687407,0.6729699041766097,-0.0034888218435366806,0.4044943820224719,0.9907612478155643,-0.5545125594683448,137,0.5921088028070752,-0.4950203679081684,18,0.5597600222322076,-0.060174652921325955,23,1.478328866259005,0.08206638271444389,False
0.0,0.5,False,500.0,6.0,10,48,702,174,-0.5449104634212392,0.6104928289185451,-0.004268186016359276,0.40804597701149425,0.8856445264592978,-0.5853641074391713,135,0.5629045447273193,-0.5138193453096049,17,0.4630911138997005,-0.07619356696584978,22,1.0950766076855396,0.013253690059235934,False
0.0,0.5,False,700.0,2.0,3,12,305,159,-0.15767037088970481,0.8361699390809197,-0.00098421482443266,0.5031446540880503,0.8257178148424082,-0.2666527896985339,123,0.936430238360051,-0.05767079385404039,13,0.10824216622101036,-0.04704472227876855,23,0.6185166400950312,-0.061991214492907565,False
0.0,0.5,False,700.0,2.5,4,12,305,157,-0.24536040547787163,0.7364598664042927,-0.001685435368187891,0.4585987261146497,0.8694317867272899,-0.2850359695541176,122,0.758687047061415,-0.19157694971916717,13,0.1303154788728571,-0.03821988879541238,22,0.8002340354738992,-0.029433922331622342,False
0.0,0.5,False,700.0,3.0,5,12,305,155,-0.2384668697899125,0.7365493554084876,-0.0016466928451795645,0.44516129032258067,0.9180180371757962,-0.28492716524985306,120,0.7336850730397682,-0.20275866416294552,13,0.1303154788728571,-0.03821988879541238,22,0.9655211685899253,-0.006830893943737926,False
0.0,0.5,False,700.0,3.0,7,12,305,155,-0.2034566752764878,0.7707899356102512,-0.001369029588721967,0.44516129032258067,0.9606947023548059,-0.284595937246224,120,0.7756057478507273,-0.16610684543760956,13,0.1303154788728571,-0.03821988879541238,22,0.9655211685899253,-0.006830893943737926,False
0.0,0.5,False,700.0,4.0,6,12,305,154,-0.21965510435818236,0.751850468292075,-0.0015101728090012403,0.44155844155844154,0.9508697098988008,-0.2725998817584421,119,0.8018324454628158,-0.14829860244216075,13,0.1303154788728571,-0.03821988879541238,22,0.6877018660651324,-0.04737178119413388,False
0.0,0.5,False,700.0,5.0,8,12,305,151,-0.24932562167929184,0.7031577264252746,-0.001803168126053362,0.4304635761589404,0.9303317611165172,-0.2999477402793195,116,0.744881038884218,-0.17877034199728203,13,0.1303154788728571,-0.03821988879541238,22,0.6714731446903018,-0.049589609101703735,False
0.0,0.5,False,700.0,6.0,10,12,305,151,-0.25461924558915916,0.6952351632405459,-0.0018512937290522577,0.4304635761589404,0.9198496005951837,-0.2999477402793195,116,0.7293668982896541,-0.18772759913963533,13,0.1303154788728571,-0.03821988879541238,22,0.698286432408169,-0.045885082602548755,False
