variant,mode,pullback_buffer,stop_arm_start_bars,stop_arm_deadline_bars,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,armed_rate,deadline_exit_rate,avg_bars_held,avg_retry_count,avg_reject_count
baseline_pb010_arm7_deadline9,5m_conservative,0.01,7,9,5098,1997,0.04269344302687331,4.278358146584736e-06,-0.9573065569731267,-0.9582842236180115,0.3905858788182273,0.6059638207188481,-0.0015408340038719505,0.006066663578380961,0.006416633604658534,0.945458935660049,-0.03892276407195153,0.06278539554259432,1015,982,1.0336048879837068,0.5082623935903856,0.49173760640961445,0.42167487684729066,0.35845213849287166,0.9364244090860926,0.9478340119248095,0.40861291937906863,0.5913870806209314,9.644466700050074,1.9794692038057085,1.9794692038057085
baseline_pb010_arm7_deadline9,5m_optimistic,0.01,7,9,5098,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573,0.5468975468975469,0.4531024531024531,9.247715247715247,1.7845117845117846,1.5074555074555074
baseline_pb010_arm7_deadline9,1m_conservative,0.01,7,9,5098,2042,0.03076235403166083,1.1839276600703848e-06,-0.9692376459683392,-0.96993056099888,0.37904015670910873,0.5647386042148472,-0.0016690618999983464,0.005713267338545186,0.00617531018914085,0.9251790053545559,-0.03892276407195153,0.06278539554259432,1038,1004,1.0338645418326693,0.5083251714005876,0.49167482859941236,0.3959537572254335,0.3615537848605578,0.9172540811294848,0.9321579273253204,0.5019588638589618,0.4980411361410382,9.38197845249755,9.378060724779628,1.6743388834476003
baseline_pb010_arm7_deadline9,1m_optimistic,0.01,7,9,5098,2079,0.03924079269883833,3.074116801937272e-06,-0.9607592073011617,-0.9623002253708947,0.3848003848003848,0.5911011647938433,-0.0015222231342647346,0.005718587386316352,0.006051268025949542,0.9450229872141571,-0.03892276407195153,0.06278539554259432,1056,1023,1.032258064516129,0.5079365079365079,0.49206349206349204,0.4024621212121212,0.36656891495601174,0.939495977194836,0.9501761681296573,0.5468975468975469,0.4531024531024531,9.247715247715247,8.922558922558922,1.5074555074555074
pb005_arm4_deadline9,5m_conservative,0.005,4,9,4667,2153,0.03674491481891619,2.376002777808297e-06,-0.9632550851810838,-0.9635379360460171,0.3859730608453321,0.5518595634047299,-0.001504971217094525,0.004801596263973083,0.005469235647326887,0.8779282103743116,-0.03892276407195153,0.03846570507366784,1101,1052,1.046577946768061,0.5113794705062703,0.4886205294937297,0.40599455040871935,0.3650190114068441,0.8844256231386944,0.8677664309401419,0.6135624709707385,0.3864375290292615,7.947979563399907,2.9354389224338133,2.9354389224338133
pb005_arm4_deadline9,5m_optimistic,0.005,4,9,4667,2431,0.022553060645873788,3.5065472991095215e-07,-0.9774469393541262,-0.9779430603790724,0.34553681612505144,0.5066329154691916,-0.0015341869306557438,0.004559394614448504,0.004751414144915686,0.9595868672755762,-0.038936032438778266,0.042246414267227694,1252,1179,1.0619168787107718,0.5150143973673386,0.48498560263266144,0.36182108626198084,0.3282442748091603,0.9528306029506747,0.9641975630471628,0.7375565610859729,0.26244343891402716,6.992595639654463,2.3961332784862197,1.995475113122172
pb005_arm4_deadline9,1m_conservative,0.005,4,9,4667,2323,0.016638436966098298,1.0643892807083429e-07,-0.9833615630339017,-0.983702622344072,0.34524321997417134,0.47613144816266345,-0.0017362659176946777,0.004570835806178764,0.005061904039027025,0.9029874472012607,-0.038936032438778266,0.03846570507366784,1187,1136,1.044894366197183,0.5109771846749892,0.48902281532501074,0.36478517270429656,0.3248239436619718,0.8937930855807005,0.9084666074257438,0.6887645286267757,0.31123547137322427,7.315970727507533,13.23288850624193,2.3495479982780885
pb005_arm4_deadline9,1m_optimistic,0.005,4,9,4667,2431,0.022553060645873788,3.5065472991095215e-07,-0.9774469393541262,-0.9779430603790724,0.34553681612505144,0.5066329154691916,-0.0015341869306557438,0.004559394614448504,0.004751414144915686,0.9595868672755762,-0.038936032438778266,0.042246414267227694,1252,1179,1.0619168787107718,0.5150143973673386,0.48498560263266144,0.36182108626198084,0.3282442748091603,0.9528306029506747,0.9641975630471628,0.7375565610859729,0.26244343891402716,6.992595639654463,11.980666392431099,1.995475113122172
