label,reason_counts,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock0_trail4_max144,"{""stop_market"": 12, ""time_open_triggered"": 3, ""time_open_untriggered"": 11, ""trail_stop"": 59}",85.0,1.0775574094710767,-0.40967181571361255,0.013339679970031786,0.4823529411764706,1.5398149646461603,1.6524843523031965,-0.19331288355923987,0.38178518549878326,2.5,0.0,4.0,144.0
trigger2.5_lock1_trail1_max36,"{""stop_market"": 2, ""time_open_untriggered"": 67, ""trail_gap_open"": 21, ""trail_stop"": 64}",154.0,2.911821237600274,-0.3017088723772744,0.010038651428942827,0.6298701298701299,1.663367191071611,0.9774425761967198,-0.14810811847370753,0.12750249747557815,2.5,1.0,1.0,36.0
trigger2.5_lock1_trail1_max72,"{""stop_market"": 6, ""time_open_triggered"": 1, ""time_open_untriggered"": 35, ""trail_gap_open"": 20, ""trail_stop"": 67}",129.0,2.597187824312565,-0.47382917962579574,0.011766965321965946,0.7286821705426356,1.6149119668955103,0.6012970089504559,-0.18502896178922504,0.12750249747557815,2.5,1.0,1.0,72.0
trigger2.5_lock1_trail1_max144,"{""stop_market"": 13, ""time_open_untriggered"": 16, ""trail_gap_open"": 19, ""trail_stop"": 72}",120.0,1.899369205555029,-0.4386432691666696,0.011732727223281303,0.7833333333333333,1.5093346816865576,0.4174755502537287,-0.3111942578158864,0.12750249747557815,2.5,1.0,1.0,144.0
trigger2.5_lock1_trail1.5_max36,"{""stop_market"": 2, ""time_open_triggered"": 4, ""time_open_untriggered"": 64, ""trail_gap_open"": 15, ""trail_stop"": 60}",145.0,2.976450262858797,-0.2603582024460547,0.010921641952322604,0.6275862068965518,1.7007108997160894,1.009213061369987,-0.14810811847370753,0.18278077196774806,2.5,1.0,1.5,36.0
trigger2.5_lock1_trail1.5_max72,"{""stop_market"": 6, ""time_open_triggered"": 3, ""time_open_untriggered"": 34, ""trail_gap_open"": 13, ""trail_stop"": 63}",119.0,2.701573291491293,-0.4069146970567482,0.013267763980680556,0.7226890756302521,1.6887487465656914,0.6480082399612537,-0.18502896178922504,0.3064820866315321,2.5,1.0,1.5,72.0
trigger2.5_lock1_trail1.5_max144,"{""stop_market"": 11, ""time_open_untriggered"": 16, ""trail_gap_open"": 13, ""trail_stop"": 69}",109.0,2.177121494960643,-0.4386432691666695,0.013854936950010636,0.7798165137614679,1.616161771068324,0.456328029478115,-0.3111942578158864,0.2910614611783572,2.5,1.0,1.5,144.0
trigger2.5_lock1_trail2_max36,"{""stop_market"": 2, ""time_open_triggered"": 7, ""time_open_untriggered"": 63, ""trail_gap_open"": 8, ""trail_stop"": 57}",137.0,2.2848440525210827,-0.3106048366661116,0.01037903584476765,0.5985401459854015,1.6089415771529185,1.0791681310172014,-0.14810811847370753,0.28535406805761865,2.5,1.0,2.0,36.0
trigger2.5_lock1_trail2_max72,"{""stop_market"": 6, ""time_open_triggered"": 3, ""time_open_untriggered"": 33, ""trail_gap_open"": 6, ""trail_stop"": 64}",112.0,1.9514357366277486,-0.4682292345330903,0.012244524184464355,0.7142857142857143,1.594293233127582,0.6377172932510329,-0.18502896178922504,0.3064820866315321,2.5,1.0,2.0,72.0
trigger2.5_lock1_trail2_max144,"{""stop_market"": 12, ""time_open_untriggered"": 15, ""trail_gap_open"": 5, ""trail_stop"": 71}",103.0,1.6542690038021024,-0.4386432691666695,0.013260328419374948,0.7669902912621359,1.5720366628464038,0.4775807583330847,-0.3111942578158864,0.4226928372585801,2.5,1.0,2.0,144.0
