trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_levered,mae_1x,mfe_1x
1,2025-06-02 21:35:00+00:00,2025-06-02 21:40:00+00:00,2025-06-02 22:00:00+00:00,1,target,5,35.58313978500001,36.16429178104611,0.015496134274602754,0.04648840282380826,-0.004577862925331592,0.01640833885170867
2,2025-06-03 00:45:00+00:00,2025-06-03 00:50:00+00:00,2025-06-03 03:50:00+00:00,1,time_open,37,36.461080806,35.96949344,-0.014306255089924119,-0.042918765269772355,-0.021727271601694423,0.0063058798290522855
3,2025-06-03 05:55:00+00:00,2025-06-03 06:00:00+00:00,2025-06-03 09:00:00+00:00,1,time_open,37,36.275882301,36.426614088,0.0033241059043635436,0.009972317713090631,-0.014553043852330598,0.007335940082501047
4,2025-06-03 11:10:00+00:00,2025-06-03 11:15:00+00:00,2025-06-03 14:15:00+00:00,1,time_open,37,37.683390939000006,37.390868584,-0.008588737313778872,-0.025766211941336617,-0.015471452243486021,0.008242598483315655
5,2025-06-09 20:55:00+00:00,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,1,target,13,38.03076327000001,38.603630510074716,0.0142276903055964,0.042683070916789204,-0.0018809287534841273,0.020910354187587465
6,2025-06-09 23:25:00+00:00,2025-06-09 23:30:00+00:00,2025-06-10 00:25:00+00:00,1,target,12,38.489254704000004,39.06903049152757,0.014227746718657884,0.042683240155973655,-0.0026296874176681287,0.0161537369528586
7,2025-06-10 00:40:00+00:00,2025-06-10 00:45:00+00:00,2025-06-10 02:00:00+00:00,1,target,16,38.767552998000006,39.41867106627719,0.01595915187490664,0.04787745562471993,-0.005716853017712646,0.017964688202939172
8,2025-06-10 11:35:00+00:00,2025-06-10 11:40:00+00:00,2025-06-10 14:40:00+00:00,1,time_open,37,41.646638946,40.102584288,-0.0378890815202644,-0.11366724456079319,-0.03940073526766298,0.00548330092846383
9,2025-06-13 03:10:00+00:00,2025-06-13 03:15:00+00:00,2025-06-13 03:30:00+00:00,-1,stop_market,4,38.572567178,39.331181004265005,-0.0205046631446452,-0.0615139894339356,-0.020725283064026337,-0.0005556493531035933
10,2025-06-13 23:15:00+00:00,2025-06-13 23:20:00+00:00,2025-06-14 02:20:00+00:00,1,time_open,37,42.046067073,41.902059224,-0.0042529040536935046,-0.012758712161080514,-0.012355542062663887,0.014744135900360611
11,2025-06-16 05:40:00+00:00,2025-06-16 05:45:00+00:00,2025-06-16 06:15:00+00:00,1,target,7,43.479603609,44.07605804578135,0.01288301743459912,0.038649052303797365,-0.0017855019822026346,0.01955851296730704
12,2025-06-16 06:55:00+00:00,2025-06-16 07:00:00+00:00,2025-06-16 10:00:00+00:00,1,time_open,37,44.37556394400001,44.500745095999996,0.001990455497046504,0.005971366491139512,-0.008066709280990863,0.011547708027928705
13,2025-06-16 12:40:00+00:00,2025-06-16 12:45:00+00:00,2025-06-16 14:00:00+00:00,1,target,16,44.51671523700001,45.01788253553686,0.010423966871420816,0.031271900614262445,-0.006675573319243081,0.017258343498835593
14,2025-06-16 14:40:00+00:00,2025-06-16 14:45:00+00:00,2025-06-16 17:45:00+00:00,1,time_open,37,45.27052320600001,44.663788128,-0.014226196470066788,-0.04267858941020036,-0.017435078823927266,0.007057059900682949
15,2025-06-17 00:50:00+00:00,2025-06-17 00:55:00+00:00,2025-06-17 02:25:00+00:00,-1,target,19,42.629209724999996,42.01532903477545,0.013577119504604974,0.04073135851381492,-0.0094880238595967,0.018114568156001543
16,2025-06-20 18:45:00+00:00,2025-06-20 18:50:00+00:00,2025-06-20 19:10:00+00:00,-1,target,5,34.538899952,34.079257794984095,0.012484151561667963,0.03745245468500389,-0.0014888138765876285,0.016123847394501456
17,2025-06-23 05:35:00+00:00,2025-06-23 05:40:00+00:00,2025-06-23 06:05:00+00:00,1,target,6,35.55310759500001,35.94402288397651,0.01016136758684936,0.030484102760548082,-0.005958694120768341,0.010938351984024264
18,2025-06-24 21:00:00+00:00,2025-06-24 21:05:00+00:00,2025-06-25 00:10:00+00:00,-1,stop_market,38,37.128118736,37.57948084751084,-0.012991244348168413,-0.03897373304450524,-0.01406688181804762,0.005201414522862491
19,2025-06-27 01:15:00+00:00,2025-06-27 01:20:00+00:00,2025-06-27 01:25:00+00:00,-1,stop_market,2,35.738611279000004,36.129784782765206,-0.011779264275294164,-0.035337792825882494,-0.01338071411530019,-0.00012280054660585016
20,2025-07-11 05:00:00+00:00,2025-07-11 05:05:00+00:00,2025-07-11 06:20:00+00:00,1,target,16,45.353612265,45.82142021292368,0.00948107918998686,0.02844323756996058,-0.0051245896789245,0.01736108097408673
21,2025-07-11 06:40:00+00:00,2025-07-11 06:45:00+00:00,2025-07-11 09:45:00+00:00,1,time_open,37,46.025332248000005,45.94712684,-0.0025277998608205727,-0.007583399582461718,-0.021236504439277284,0.007184472894584459
22,2025-07-29 16:30:00+00:00,2025-07-29 16:35:00+00:00,2025-07-29 17:10:00+00:00,-1,stop_market,8,43.27351764,43.84836718562875,-0.014118926630372468,-0.042356779891117406,-0.015631412707848305,0.008308029011897977
23,2025-08-01 20:35:00+00:00,2025-08-01 20:40:00+00:00,2025-08-01 22:10:00+00:00,-1,target,19,37.41980542,36.94708452822626,0.011808821952484455,0.03542646585745336,-0.014877445762210078,0.012554993665170211
24,2025-08-08 00:35:00+00:00,2025-08-08 00:40:00+00:00,2025-08-08 03:40:00+00:00,1,time_open,37,41.108061672000005,40.898794432,-0.005917873540102114,-0.017753620620306342,-0.018393170682038065,0.001336436839040056
25,2025-08-13 18:00:00+00:00,2025-08-13 18:05:00+00:00,2025-08-13 21:05:00+00:00,1,time_open,37,47.425833375,46.9373882,-0.011124189384001304,-0.033372568152003915,-0.01719524940740326,0.012549418379092403
26,2025-08-13 21:10:00+00:00,2025-08-13 21:15:00+00:00,2025-08-13 23:35:00+00:00,1,target,29,47.213605899,47.88427972667163,0.01336988356928487,0.04010965070785461,-0.019277992802768554,0.01426271279597957
27,2025-08-13 23:40:00+00:00,2025-08-13 23:45:00+00:00,2025-08-14 02:45:00+00:00,1,time_open,37,47.75118210000001,47.618567984,-0.003605361250074216,-0.010816083750222649,-0.014135412739151658,0.006634765592535841
28,2025-08-15 08:00:00+00:00,2025-08-15 08:05:00+00:00,2025-08-15 08:40:00+00:00,1,target,8,48.49898363100001,49.06925592410717,0.01092423962991835,0.032772718889755054,-0.005259786165208517,0.012248016855765709
29,2025-08-22 15:35:00+00:00,2025-08-22 15:40:00+00:00,2025-08-22 18:40:00+00:00,1,time_open,37,44.121291402000004,44.33670180000001,0.00405088529599411,0.01215265588798233,-0.01080174173027672,0.018283884545669205
30,2025-08-22 19:50:00+00:00,2025-08-22 19:55:00+00:00,2025-08-22 22:05:00+00:00,1,target,27,44.46766266000001,44.883437331513676,0.008516845829247341,0.025550537487742025,-0.006523879645051315,0.009295234228080984
31,2025-08-25 02:45:00+00:00,2025-08-25 02:50:00+00:00,2025-08-25 05:50:00+00:00,1,time_open,37,47.062443876,45.793086184,-0.027789914422283627,-0.08336974326685088,-0.03153169976852445,0.003964012674130046
32,2025-08-25 22:30:00+00:00,2025-08-25 22:35:00+00:00,2025-08-25 23:00:00+00:00,-1,target,6,43.44333523,43.03190037978499,0.00864521367131681,0.02593564101395043,-0.0044351806627087745,0.00928416816675437
33,2025-08-26 17:35:00+00:00,2025-08-26 17:40:00+00:00,2025-08-26 19:15:00+00:00,1,target,20,47.459869857,48.18669492978511,0.014478845915917589,0.04343653774775277,-0.00730195067735108,0.019471822105380232
34,2025-08-26 22:45:00+00:00,2025-08-26 22:50:00+00:00,2025-08-27 01:50:00+00:00,1,time_open,37,49.01253408000001,48.950919632,-0.002085917491393976,-0.006257752474181928,-0.018012896052066366,0.004722586259714445
35,2025-08-27 02:20:00+00:00,2025-08-27 02:25:00+00:00,2025-08-27 02:45:00+00:00,1,target,5,49.06458987600001,49.64233485058442,0.010940986832674504,0.03282296049802351,-0.003646928744502468,0.02456782227358678
36,2025-08-27 04:20:00+00:00,2025-08-27 04:25:00+00:00,2025-08-27 07:25:00+00:00,1,time_open,37,50.613249807,50.010199208,-0.012739258054619527,-0.03821777416385858,-0.017213618308157166,0.011968213764377289
37,2025-09-08 10:05:00+00:00,2025-09-08 10:10:00+00:00,2025-09-08 13:05:00+00:00,1,target,36,50.8545084,51.41647162307475,0.010216506279960895,0.030649518839882685,-0.010925202397936056,0.017569565179397006
38,2025-09-08 13:55:00+00:00,2025-09-08 14:00:00+00:00,2025-09-08 17:00:00+00:00,1,time_open,37,51.387079236000005,51.011463472,-0.008135828775788662,-0.024407486327365988,-0.011897688654976661,0.011149120995353812
39,2025-09-09 10:55:00+00:00,2025-09-09 11:00:00+00:00,2025-09-09 12:40:00+00:00,1,stop_market,21,55.07002680300001,53.347606854076005,-0.032093257432788874,-0.09627977229836662,-0.034607976845959634,0.0005624329385345295
40,2025-09-18 01:45:00+00:00,2025-09-18 01:50:00+00:00,2025-09-18 04:50:00+00:00,1,time_open,37,59.35261709700001,58.55545456,-0.014254711821291198,-0.042764135463873594,-0.018874118544412247,0.001270085578143787
41,2025-09-25 05:25:00+00:00,2025-09-25 05:30:00+00:00,2025-09-25 06:05:00+00:00,-1,target,8,43.353431799999996,42.721793125433365,0.013746238399617484,0.04123871519885245,-0.0015118801013012256,0.017978549047644177
