label,modes,min_trades,min_total_return,min_pf,min_added_rate,worst_dd,avg_add_leg_net
add0.25_cush0.1_chase0.5_lock,4,1997,-0.9693285428544273,0.5643680705094906,0.001443001443001443,-0.970019410453275,-0.0018773587914335057
add0.25_cush0.1_chase0.5_nolock,4,1997,-0.9706500755516482,0.5619175321269523,0.05242905242905243,-0.9712962161966927,-0.0015029828727653916
add0.25_cush0.1_chase1.5_lock,4,1997,-0.9714266864608619,0.5556178212192807,0.07503607503607504,-0.9720512543186942,-0.0017555240437281882
add0.25_cush0.1_chase1.5_nolock,4,1997,-0.9734483952940943,0.5522755353854641,0.16113516113516113,-0.9739775142846702,-0.0016211915851535186
add0.25_cush0.1_chase1_lock,4,1997,-0.9699102853238488,0.5620344349926599,0.022607022607022607,-0.9705679993342428,-0.0014122859799955978
add0.25_cush0.1_chase1_nolock,4,1997,-0.9720514570185468,0.5581170346982263,0.1091871091871092,-0.9726084141220518,-0.001493319062624742
add0.25_cush0.3_chase0.5_lock,4,1997,-0.9692816808211906,0.5645631752253024,0.000481000481000481,-0.9699736039766826,-0.0030701661120445135
add0.25_cush0.3_chase0.5_nolock,4,1997,-0.970558351267762,0.5622245801243573,0.049062049062049064,-0.9712065112293489,-0.0015142031947655676
add0.25_cush0.3_chase1.5_lock,4,1997,-0.9712196165609159,0.5565424620413164,0.07118807118807119,-0.9718487106422699,-0.0017498985356391653
add0.25_cush0.3_chase1.5_nolock,4,1997,-0.9732248919142,0.5532442125349762,0.15536315536315537,-0.9737584648684466,-0.0016233461979275406
add0.25_cush0.3_chase1_lock,4,1997,-0.9697689557745178,0.5626340457135162,0.020202020202020204,-0.970429759027388,-0.001403561171755166
add0.25_cush0.3_chase1_nolock,4,1997,-0.9718875470823605,0.558766722143309,0.10437710437710437,-0.9724477705745054,-0.0014961662751746384
add0.25_cush0.5_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.25_cush0.5_chase0.5_nolock,4,1997,-0.9700756086607345,0.5632217815055578,0.031265031265031266,-0.9707496487721454,-0.0015165396447720514
add0.25_cush0.5_chase1.5_lock,4,1997,-0.9707188297854713,0.5587010116760778,0.04954304954304954,-0.9713588702809728,-0.0019019558832309778
add0.25_cush0.5_chase1.5_nolock,4,1997,-0.9724443763446009,0.5557245297729344,0.12025012025012025,-0.9730051628587665,-0.001711450483124987
add0.25_cush0.5_chase1_lock,4,1997,-0.9694460537476174,0.5639476935399476,0.007696007696007696,-0.9701139151327883,-0.0016467765225311333
add0.25_cush0.5_chase1_nolock,4,1997,-0.9711949865218672,0.5607075313293538,0.075998075998076,-0.9717811994597743,-0.0015628727813993726
add0.25_cush0.8_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.25_cush0.8_chase0.5_nolock,4,1997,-0.9694371762026874,0.5642728052115632,0.006734006734006734,-0.970125596860064,-0.0017611225026374
add0.25_cush0.8_chase1.5_lock,4,1997,-0.9696490151498067,0.5631487304653945,0.012506012506012507,-0.9703326641830625,-0.0018796040252301374
add0.25_cush0.8_chase1.5_nolock,4,1997,-0.9707758753094997,0.560523368960356,0.05098605098605099,-0.9714020722261804,-0.0019018182853369756
add0.25_cush0.8_chase1_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.25_cush0.8_chase1_nolock,4,1997,-0.9701550446021897,0.5625883536130498,0.027898027898027897,-0.9707945443047986,-0.0020276450433986655
add0.5_cush0.1_chase0.5_lock,4,1997,-0.9694192247225216,0.564115050251289,0.001443001443001443,-0.9701080497329075,-0.0018773587914335057
add0.5_cush0.1_chase0.5_nolock,4,1997,-0.9719993952344886,0.559271368485689,0.05242905242905243,-0.9726015436415085,-0.0015029828727653916
add0.5_cush0.1_chase1.5_lock,4,1997,-0.9734622340980568,0.5481174002669591,0.07503607503607504,-0.9740246007817827,-0.0017555240437281882
add0.5_cush0.1_chase1.5_nolock,4,1997,-0.9770872763481201,0.541661371137972,0.16113516113516113,-0.977484175118138,-0.0016211915851535186
add0.5_cush0.1_chase1_lock,4,1997,-0.9705691719745106,0.5600817888585852,0.022607022607022607,-0.9711928460704069,-0.0014122859799955978
add0.5_cush0.1_chase1_nolock,4,1997,-0.9746115302741004,0.5524688145591166,0.1091871091871092,-0.9750513144115057,-0.001493319062624742
add0.5_cush0.3_chase0.5_lock,4,1997,-0.9693256847761162,0.5644598843376852,0.000481000481000481,-0.970016616752528,-0.0030701661120445135
add0.5_cush0.3_chase0.5_nolock,4,1997,-0.9718240619775641,0.5598348692349489,0.049062049062049064,-0.9724299808974796,-0.0015142031947655676
add0.5_cush0.3_chase1.5_lock,4,1997,-0.9730761089562915,0.5499040690981439,0.07118807118807119,-0.9736466580889952,-0.0017498985356391653
add0.5_cush0.3_chase1.5_nolock,4,1997,-0.9766998096274099,0.5435080376923814,0.15536315536315537,-0.9771034201732607,-0.0016233461979275406
add0.5_cush0.3_chase1_lock,4,1997,-0.9702919986114383,0.5612251030536158,0.020202020202020204,-0.9709215463391084,-0.001403561171755166
add0.5_cush0.3_chase1_nolock,4,1997,-0.9743128000675206,0.5536947234337259,0.10437710437710437,-0.9747577588691588,-0.0014961662751746384
add0.5_cush0.5_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.5_cush0.5_chase0.5_nolock,4,1997,-0.9708918504306765,0.5617364088905497,0.031265031265031266,-0.9715475048817973,-0.0015165396447720514
add0.5_cush0.5_chase1.5_lock,4,1997,-0.9721303884731978,0.553913573404772,0.04954304954304954,-0.9727209785427977,-0.0019019558832309778
add0.5_cush0.5_chase1.5_nolock,4,1997,-0.9753205845751244,0.5481352597057294,0.12025012025012025,-0.9757690268389544,-0.001711450483124987
add0.5_cush0.5_chase1_lock,4,1997,-0.9696534447425477,0.5635305326302665,0.007696007696007696,-0.9702965241828327,-0.0016467765225311333
add0.5_cush0.5_chase1_nolock,4,1997,-0.9730305737108489,0.5571843367532567,0.075998075998076,-0.9735206270760155,-0.0015628727813993726
add0.5_cush0.8_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.5_cush0.8_chase0.5_nolock,4,1997,-0.9696355547661724,0.5638196622150611,0.006734006734006734,-0.9703195069915092,-0.0017611225026374
add0.5_cush0.8_chase1.5_lock,4,1997,-0.9700554122855127,0.5620075458746108,0.012506012506012507,-0.9707299073156838,-0.0018796040252301374
add0.5_cush0.8_chase1.5_nolock,4,1997,-0.9722387087816764,0.55685213674544,0.05098605098605099,-0.9728030279356503,-0.0019018182853369756
add0.5_cush0.8_chase1_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add0.5_cush0.8_chase1_nolock,4,1997,-0.9710459288234674,0.5605180207765084,0.027898027898027897,-0.9716344942767795,-0.0020276450433986655
add1_cush0.1_chase0.5_lock,4,1997,-0.9695999449519306,0.563668267727273,0.001443001443001443,-0.970284699280237,-0.0018773587914335057
add1_cush0.1_chase0.5_nolock,4,1997,-0.9745195361335197,0.5541645661805975,0.05242905242905243,-0.975041446568338,-0.0015029828727653916
add1_cush0.1_chase1.5_lock,4,1997,-0.9771145303170086,0.5360009831066338,0.07503607503607504,-0.9775688973283516,-0.0017555240437281882
add1_cush0.1_chase1.5_nolock,4,1997,-0.9829473129276706,0.5236395624996643,0.16113516113516113,-0.9832281602508133,-0.0016211915851535186
add1_cush0.1_chase1_lock,4,1997,-0.9718467204069938,0.5569691627734116,0.022607022607022607,-0.9724056742622292,-0.0014122859799955978
add1_cush0.1_chase1_nolock,4,1997,-0.9790586527710848,0.5423682528870796,0.1091871091871092,-0.9794035439479004,-0.001493319062624742
add1_cush0.3_chase0.5_lock,4,1997,-0.9694135999921893,0.5642534159078347,0.000481000481000481,-0.9701025516983472,-0.0030701661120445135
add1_cush0.3_chase0.5_nolock,4,1997,-0.9741992666389655,0.5551671539432659,0.049062049062049064,-0.9747277370795999,-0.0015142031947655676
add1_cush0.3_chase1.5_lock,4,1997,-0.9764433853476704,0.5393344307099067,0.07118807118807119,-0.9769110772388659,-0.0017498985356391653
add1_cush0.3_chase1.5_nolock,4,1997,-0.9823653976248196,0.5269971430934509,0.15536315536315537,-0.982655828736981,-0.0016233461979275406
add1_cush0.3_chase1_lock,4,1997,-0.971313729486072,0.559061453035056,0.020202020202020204,-0.9718832653173457,-0.001403561171755166
add1_cush0.3_chase1_nolock,4,1997,-0.9785627281439958,0.5445618753540953,0.10437710437710437,-0.9789157868960098,-0.0014961662751746384
add1_cush0.5_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add1_cush0.5_chase0.5_nolock,4,1997,-0.9724612852798161,0.5588172705649406,0.031265031265031266,-0.9730815885677814,-0.0015165396447720514
add1_cush0.5_chase1.5_lock,4,1997,-0.9747572537424904,0.5463514327962116,0.04954304954304954,-0.9752584220092548,-0.0019019558832309778
add1_cush0.5_chase1.5_nolock,4,1997,-0.9802127296948883,0.535314168931804,0.12025012025012025,-0.9805386139308402,-0.001711450483124987
add1_cush0.5_chase1_lock,4,1997,-0.9700651843229064,0.5628325861338186,0.007696007696007696,-0.9706595087096336,-0.0016467765225311333
add1_cush0.5_chase1_nolock,4,1997,-0.9763656125307038,0.5505722382086279,0.075998075998076,-0.9767548564326599,-0.0015628727813993726
add1_cush0.8_chase0.5_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add1_cush0.8_chase0.5_nolock,4,1997,-0.9700288802469329,0.5629157109316999,0.006734006734006734,-0.9707039729052407,-0.0017611225026374
add1_cush0.8_chase1.5_lock,4,1997,-0.9708535026740265,0.56027160981185,0.012506012506012507,-0.9715100208996473,-0.0018796040252301374
add1_cush0.8_chase1.5_nolock,4,1997,-0.974952498360785,0.5503005080216029,0.05098605098605099,-0.9754063700015229,-0.0019018182853369756
add1_cush0.8_chase1_lock,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
add1_cush0.8_chase1_nolock,4,1997,-0.9727511007408367,0.5565075913500674,0.027898027898027897,-0.9732448626654071,-0.0020276450433986655
no_add_baseline,4,1997,-0.9692376459683392,0.5647386042148472,0.0,-0.96993056099888,
