label,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,armed_rate,deadline_exit_rate,candidate_count,filter_reject_count,filter_reject_rate
5m_conservative_base,8344,1.295525233936726e-07,3.7865342644296076e-07,-0.9999998704474766,-0.9999998739758374,0.40328379674017256,0.5825734457582284,-0.001852254861222866,0.006410037679852544,0.007436230438792408,0.8620009469332004,-0.06765699824183452,0.07755944026126306,4199,4145,1.0130277442702051,0.50323585810163,0.4967641418983701,0.416289592760181,0.39010856453558507,0.8632963223896807,0.8610478051689175,0.41694630872483224,0.5830536912751678,8344,0,0.0
5m_conservative_prev_exit_filter,6587,3.4795991161838496e-06,8.14100917288218e-06,-0.9999965204008838,-0.9999970828126835,0.40063761955366634,0.58071689894267,-0.001860095679131456,0.006430439589169919,0.007401818721949928,0.8687648037232517,-0.06402036302789871,0.07755944026126306,3334,3253,1.0249000922225637,0.5061484742674965,0.4938515257325034,0.40731853629274145,0.3937903473716569,0.8732702512130667,0.8639300724520884,0.41597085167754666,0.5840291483224533,10815,4228,0.39093851132686086
5m_optimistic_base,8752,5.2210079661487857e-08,1.6227171524275444e-07,-0.9999999477899203,-0.9999999499036885,0.39408135283363804,0.566450119723109,-0.0018700109425395255,0.006199845467842966,0.007118537203035323,0.870943747431617,-0.06765699824183452,0.07755944026126306,4404,4348,1.012879484820607,0.503199268738574,0.496800731261426,0.4030426884650318,0.3850045998160074,0.8751492388146237,0.8676230803728155,0.5506170018281535,0.44938299817184646,8752,0,0.0
5m_optimistic_prev_exit_filter,6758,1.8604838649387382e-06,4.541124352566856e-06,-0.999998139516135,-0.9999983594708783,0.38857650192364607,0.5599352931062661,-0.0019068558694920442,0.006243996288669051,0.007086947294305945,0.8810558382007203,-0.06402036302789871,0.07755944026126306,3457,3301,1.0472584065434716,0.5115418762947618,0.4884581237052382,0.39195834538617297,0.38503483792790066,0.8755257050347939,0.8869932735540218,0.5420242675347736,0.4579757324652264,11330,4572,0.40353045013239186
1m_conservative_base,8389,9.402284458632151e-08,2.808304230814014e-07,-0.9999999059771554,-0.9999999085968976,0.40040529264513053,0.5740697409164937,-0.0018809292255648554,0.006331386217459063,0.007365057967735302,0.8596519192646511,-0.06765699824183452,0.07755944026126306,4222,4167,1.0131989440844733,0.503278102276791,0.49672189772320896,0.40999526290857413,0.39068874490040795,0.8614146952489825,0.8584351095210432,0.4396233162474669,0.5603766837525331,8389,0,0.0
1m_conservative_prev_exit_filter,6613,2.207527977408208e-06,5.32623379383286e-06,-0.9999977924720226,-0.9999981504719245,0.3969454105549675,0.5679453925235228,-0.0019216803028963088,0.0063638259531485185,0.007375404957389206,0.8628442763366891,-0.06402036302789871,0.07755944026126306,3361,3252,1.0335178351783518,0.5082413428096174,0.4917586571903826,0.40017851829812556,0.3936039360393604,0.8709499607515828,0.8544825700768051,0.43747164675638894,0.5625283532436111,10858,4245,0.39095597715969793
1m_optimistic_base,8426,1.1993656108273195e-07,3.5238124061152463e-07,-0.9999998800634389,-0.9999998849191696,0.4017327320199383,0.579613742599464,-0.0018437684274392751,0.006327895803091314,0.007330989895470629,0.8631707168224219,-0.06765699824183452,0.07755944026126306,4240,4186,1.0129001433349258,0.5032043674341324,0.49679563256586756,0.4115566037735849,0.3917821309125657,0.8654419281171571,0.8615584705253584,0.4509850462853074,0.5490149537146927,8426,0,0.0
1m_optimistic_prev_exit_filter,6612,2.4848360020864823e-06,5.947523973154743e-06,-0.9999975151639979,-0.9999979262370065,0.397459165154265,0.5711114509603591,-0.001904020615989329,0.006379043259746663,0.007367848895465782,0.8657945283965262,-0.06402036302789871,0.07755944026126306,3367,3245,1.0375963020030816,0.5092256503327284,0.4907743496672716,0.3991683991683992,0.39568567026194146,0.869483974647529,0.8619679175387882,0.4460072595281307,0.5539927404718693,10942,4330,0.39572290257722537
