signal_ts,entry_ts,exit_ts,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,atr_ratio_14_96,atr_bps,dir_ret192_bps,leverage_fixed_1x,net_ret_fixed_1x,leverage_fixed_3x,net_ret_fixed_3x,leverage_vol_target1_floor0p5_cap3,net_ret_vol_target1_floor0p5_cap3,leverage_vol_target1_floor1_cap3,net_ret_vol_target1_floor1_cap3,leverage_vol_target0p8_floor0p5_cap3,net_ret_vol_target0p8_floor0p5_cap3,leverage_vol_target0p8_floor1_cap3,net_ret_vol_target0p8_floor1_cap3
2025-06-02 21:35:00+00:00,2025-06-02 21:40:00+00:00,2025-06-02 22:00:00+00:00,target,5,0.015496134274602754,-0.004577862925331592,0.01640833885170867,0.9880519079649689,64.32490002612413,,1.0,0.015496134274602754,3.0,0.04648840282380826,3.0,0.04648840282380826,3.0,0.04648840282380826,2.4290221805685657,0.03764045386607887,2.4290221805685657,0.03764045386607887
2025-06-03 00:45:00+00:00,2025-06-03 00:50:00+00:00,2025-06-03 03:50:00+00:00,time_open,37,-0.014306255089924119,-0.021727271601694423,0.0063058798290522855,1.1546615087040528,73.149978041282,,1.0,-0.014306255089924119,3.0,-0.042918765269772355,2.5981640310908807,-0.037169997394251676,2.5981640310908807,-0.037169997394251676,2.078531224872705,-0.029735997915401345,2.078531224872705,-0.029735997915401345
2025-06-03 05:55:00+00:00,2025-06-03 06:00:00+00:00,2025-06-03 09:00:00+00:00,time_open,37,0.0033241059043635436,-0.014553043852330598,0.007335940082501047,0.7253731013369421,40.43052297502433,,1.0,0.0033241059043635436,3.0,0.009972317713090631,3.0,0.009972317713090631,3.0,0.009972317713090631,3.0,0.009972317713090631,3.0,0.009972317713090631
2025-06-03 11:10:00+00:00,2025-06-03 11:15:00+00:00,2025-06-03 14:15:00+00:00,time_open,37,-0.008588737313778872,-0.015471452243486021,0.008242598483315655,1.4841824913929422,67.74167839970261,,1.0,-0.008588737313778872,3.0,-0.025766211941336617,2.0213147759103567,-0.01736054163875386,2.0213147759103567,-0.01736054163875386,1.6170518207282856,-0.013888433311003088,1.6170518207282856,-0.013888433311003088
2025-06-09 20:55:00+00:00,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,target,13,0.0142276903055964,-0.0018809287534841273,0.020910354187587465,1.1391129487787748,59.24491407513234,,1.0,0.0142276903055964,3.0,0.042683070916789204,2.6336282132656406,0.037470446598424724,2.6336282132656406,0.037470446598424724,2.106902570612513,0.029976357278739787,2.106902570612513,0.029976357278739787
2025-06-09 23:25:00+00:00,2025-06-09 23:30:00+00:00,2025-06-10 00:25:00+00:00,target,12,0.014227746718657884,-0.0026296874176681287,0.0161537369528586,1.0623802781710643,59.23743642517197,,1.0,0.014227746718657884,3.0,0.042683240155973655,2.8238476011288873,0.04017698844095147,2.8238476011288873,0.04017698844095147,2.25907808090311,0.03214159075276118,2.25907808090311,0.03214159075276118
2025-06-10 00:40:00+00:00,2025-06-10 00:45:00+00:00,2025-06-10 02:00:00+00:00,target,16,0.01595915187490664,-0.005716853017712646,0.017964688202939172,1.2054848215473113,66.17240234591115,,1.0,0.01595915187490664,3.0,0.04787745562471993,2.4886252787068046,0.039716348782613764,2.4886252787068046,0.039716348782613764,1.9909002229654438,0.031773079026091014,1.9909002229654438,0.031773079026091014
2025-06-10 11:35:00+00:00,2025-06-10 11:40:00+00:00,2025-06-10 14:40:00+00:00,time_open,37,-0.0378890815202644,-0.03940073526766298,0.00548330092846383,1.3930912044119612,79.15521978022001,,1.0,-0.0378890815202644,3.0,-0.11366724456079319,2.1534842733188686,-0.08159354118438596,2.1534842733188686,-0.08159354118438596,1.7227874186550953,-0.06527483294750878,1.7227874186550953,-0.06527483294750878
2025-06-13 23:15:00+00:00,2025-06-13 23:20:00+00:00,2025-06-14 02:20:00+00:00,time_open,37,-0.0042529040536935046,-0.012355542062663887,0.014744135900360611,0.8071841217182378,59.99142979574332,,1.0,-0.0042529040536935046,3.0,-0.012758712161080514,3.0,-0.012758712161080514,3.0,-0.012758712161080514,2.973299319727902,-0.012645156729714934,2.973299319727902,-0.012645156729714934
2025-06-16 05:40:00+00:00,2025-06-16 05:45:00+00:00,2025-06-16 06:15:00+00:00,target,7,0.01288301743459912,-0.0017855019822026346,0.01955851296730704,1.0871820407485822,53.858399279037705,,1.0,0.01288301743459912,3.0,0.038649052303797365,2.7594274809160217,0.03554975234615304,2.7594274809160217,0.03554975234615304,2.207541984732818,0.028439801876922438,2.207541984732818,0.028439801876922438
