label,month,slice_start,slice_end,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
baseline_v6_2,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
baseline_v6_2,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,19.0,-0.01901340974118193,-0.17880194405330707,3.4193892391660184e-05,0.5789473684210527,1.0017389127530665,0.7285373910931392,-0.11366724456079319,0.04787745562471993
baseline_v6_2,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,-0.02258705769927205,-0.049618971086638375,-0.007165647301206182,0.3333333333333333,0.5695461624243559,1.1390923248487117,-0.042356779891117406,0.02844323756996058
baseline_v6_2,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,14.0,0.05031498115455779,-0.08336974326685087,0.004172830404506413,0.5714285714285714,1.3078159130778026,0.980861934808352,-0.08336974326685088,0.04343653774775277
baseline_v6_2,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,8.0,-0.09703479653226355,-0.156040854048502,-0.011706267836368403,0.375,0.5271657721909649,0.8786096203182748,-0.09627977229836662,0.04123871519885245
baseline_v6_2,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,25.0,0.07529630920202979,-0.13995696206858155,0.00467906660912648,0.44,1.2250836790522517,1.5591974097028658,-0.09043755994940063,0.21472617537964928
baseline_v6_2,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,16.0,0.2992453512483484,-0.13720024610595527,0.017539081719440654,0.8125,2.58734084041732,0.59707865548092,-0.12411333068229081,0.0636267877420081
baseline_v6_2,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,6.0,0.23486191285272606,0.0,0.0358632236284449,1.0,inf,inf,0.015818574374212288,0.054077215122204744
baseline_v6_2,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,30.0,1.8136003154187041,-0.07326579818917411,0.035828106501148455,0.8333333333333334,6.506684859986757,1.3013369719973515,-0.07326579818917425,0.09230243912687061
baseline_v6_2,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,23.0,0.14285497717976714,-0.22379719205419224,0.007963956870837632,0.6521739130434783,1.3047499011583912,0.695866613951142,-0.14810811847370753,0.08478413003940544
baseline_v6_2,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,11.0,0.1330832310112331,-0.09790398278492307,0.012192921934902089,0.6363636363636364,1.9242058739065027,1.0995462136608587,-0.056339861740838625,0.06358998082207908
baseline_v6_2,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.01501187099554957,-0.004987412162845262,0.007556057812452832,0.5,4.030051483911143,4.030051483911143,-0.004987412162845227,0.02009952778775089
baseline_v6_2,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,38.0,0.47068237900406307,-0.21228621539536718,0.011132269520817995,0.6842105263157895,1.7800784272262271,0.8215746587197971,-0.11204445569580701,0.06096250574354524
baseline_v6_2,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_ema_pair_13_55,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
long_ema_pair_13_55,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,21.0,-0.028969584388931935,-0.1723936803646725,-0.0003567494109342279,0.6190476190476191,0.9819621229717671,0.6042843833672413,-0.09578617940098494,0.04787745562471993
long_ema_pair_13_55,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,2.0,0.004273280495334042,-0.0423567798911173,0.0031678693957592173,0.5,1.149580275172124,1.149580275172124,-0.042356779891117406,0.04869251868263584
long_ema_pair_13_55,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,15.0,0.12042782388249451,-0.10781776333811166,0.008370742458465088,0.6,1.7445653196922415,1.1630435464614943,-0.10781776333811172,0.04853469507504815
long_ema_pair_13_55,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,7.0,-0.03295340314024198,-0.0961469867867113,-0.003872697571448953,0.42857142857142855,0.7938801471939676,1.05850686292529,-0.08826393461870974,0.04123871519885245
long_ema_pair_13_55,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,21.0,0.15388229386071228,-0.10395942221110832,0.008761156654086963,0.5714285714285714,1.4375123640099567,1.0781342730074677,-0.09276737192925318,0.21472617537964928
long_ema_pair_13_55,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,15.0,0.22538630543234683,-0.15905049503080182,0.015032288703475302,0.8,1.947472642348999,0.48686816058724974,-0.12411333068229081,0.0636267877420081
long_ema_pair_13_55,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,7.0,0.277559705140606,0.0,0.03567947414815598,1.0,inf,inf,0.015818574374212288,0.054077215122204744
long_ema_pair_13_55,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,24.0,1.0848019453460434,-0.14000128825822777,0.032395291258736,0.875,4.0294974291731815,0.575642489881883,-0.14000128825822777,0.0897658479298123
long_ema_pair_13_55,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,20.0,-0.11572875125174908,-0.26426608339198443,-0.0037014475275181646,0.6,0.8877849151934949,0.5918566101289966,-0.14810811847370753,0.08018267853800756
long_ema_pair_13_55,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,10.0,-0.042442864577538875,-0.15055959347097536,-0.003362570805860117,0.5,0.8209850766441028,0.8209850766441028,-0.08593716784313057,0.07211501601028131
long_ema_pair_13_55,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.03075893293275489,0.0,0.015274452688762267,1.0,inf,inf,0.01044937758977364,0.02009952778775089
long_ema_pair_13_55,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,30.0,0.02654407080097676,-0.1989635807793606,0.0024142380225594447,0.6333333333333333,1.1110651787392123,0.6432482613753334,-0.15850642115536032,0.1027103019436229
long_ema_pair_13_55,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.10117404751717363,-0.20977121462142245,0.0077020711754072204,0.6,1.4302364761851243,0.9534909841234163,-0.11491856960560566,0.07929874322881589
long_ema_pair_21_96,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
long_ema_pair_21_96,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,20.0,0.017821296443243373,-0.17880194405330707,0.001905781447849849,0.6,1.102018454864602,0.7346789699097345,-0.11366724456079319,0.04787745562471993
long_ema_pair_21_96,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,-0.02258705769927205,-0.049618971086638375,-0.007165647301206182,0.3333333333333333,0.5695461624243559,1.1390923248487117,-0.042356779891117406,0.02844323756996058
long_ema_pair_21_96,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,14.0,0.05031498115455779,-0.08336974326685087,0.004172830404506413,0.5714285714285714,1.3078159130778026,0.980861934808352,-0.08336974326685088,0.04343653774775277
long_ema_pair_21_96,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,8.0,-0.09703479653226355,-0.156040854048502,-0.011706267836368403,0.375,0.5271657721909649,0.8786096203182748,-0.09627977229836662,0.04123871519885245
long_ema_pair_21_96,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,26.0,0.09403126091170133,-0.1477210766714051,0.0052443028846216174,0.46153846153846156,1.2548514880636246,1.4639934027408954,-0.10438801980496228,0.21472617537964928
long_ema_pair_21_96,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,16.0,0.2992453512483484,-0.13720024610595527,0.017539081719440654,0.8125,2.58734084041732,0.59707865548092,-0.12411333068229081,0.0636267877420081
long_ema_pair_21_96,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,6.0,0.23486191285272606,0.0,0.0358632236284449,1.0,inf,inf,0.015818574374212288,0.054077215122204744
long_ema_pair_21_96,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,30.0,1.8136003154187041,-0.07326579818917411,0.035828106501148455,0.8333333333333334,6.506684859986757,1.3013369719973515,-0.07326579818917425,0.09230243912687061
long_ema_pair_21_96,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,23.0,0.14285497717976714,-0.22379719205419224,0.007963956870837632,0.6521739130434783,1.3047499011583912,0.695866613951142,-0.14810811847370753,0.08478413003940544
long_ema_pair_21_96,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,11.0,0.10777678874447183,-0.11805152371918859,0.010251974600020865,0.6363636363636364,1.6774218811023025,0.9585267892013157,-0.06539606737251177,0.06358998082207908
long_ema_pair_21_96,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.01501187099554957,-0.004987412162845262,0.007556057812452832,0.5,4.030051483911143,4.030051483911143,-0.004987412162845227,0.02009952778775089
long_ema_pair_21_96,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,38.0,0.5574020539845774,-0.1545800425506505,0.012711246901159162,0.7105263157894737,1.9058885297342028,0.7764731047065271,-0.11204445569580701,0.06096250574354524
long_ema_pair_21_96,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.008018345117068781,-0.14925618813407404,0.0014006072524241344,0.5333333333333333,1.0756408147973338,0.941185712947667,-0.05757499094154777,0.07929874322881589
long_ema_pair_34_144,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
long_ema_pair_34_144,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,21.0,0.022994081928773502,-0.2202606432865294,0.0021436333405448846,0.6190476190476191,1.1120418184074738,0.6843334267122916,-0.10848024966333683,0.05896955508696307
long_ema_pair_34_144,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,0.013086230888530226,-0.04235677989111741,0.004933215884919358,0.6666666666666666,1.3494044564483452,0.6747022282241726,-0.042356779891117406,0.03740283555259115
long_ema_pair_34_144,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,20.0,0.18522612997949017,-0.08246627504641113,0.009363912325954092,0.65,1.6641861776146394,0.8961002494848059,-0.0824662750464111,0.047664526482747216
long_ema_pair_34_144,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,6.0,0.029236253142635338,-0.027738463890054077,0.005138154105595407,0.5,1.5593354370516068,1.5593354370516066,-0.027738463890054185,0.04123871519885245
long_ema_pair_34_144,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,19.0,0.27950080712255265,-0.10654285400414354,0.014817260845812738,0.5263157894736842,1.944707120317285,1.7502364082855566,-0.0657063026677415,0.21472617537964928
long_ema_pair_34_144,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,15.0,0.007428527662553641,-0.1795968142926624,0.0020194869788701655,0.6666666666666666,1.0897406258500784,0.5448703129250392,-0.10969478246189776,0.0636267877420081
long_ema_pair_34_144,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8.0,0.12870815887367382,-0.046908910569235296,0.015788935667780037,0.75,2.6520092229725147,0.8840030743241715,-0.04690891056923519,0.045978271436897686
long_ema_pair_34_144,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,30.0,1.2244078298852954,-0.16144399884754057,0.028162308418651645,0.8333333333333334,3.4061253005040726,0.6812250601008145,-0.1114322586718624,0.08889706338525873
long_ema_pair_34_144,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,21.0,-0.25099963267626635,-0.3930788310669885,-0.010885608559259552,0.5714285714285714,0.7080311044792188,0.5310233283594141,-0.17053818182214264,0.06522562427781256
long_ema_pair_34_144,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,12.0,0.00484507135331147,-0.10109899688525859,0.0015581480562238872,0.5,1.0774987200291073,1.0774987200291073,-0.10109899688525856,0.05572990538205606
long_ema_pair_34_144,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.016418337070231326,-0.004987412162845151,0.008262815742892109,0.5,4.313468176722063,4.313468176722063,-0.004987412162845227,0.021513043648629444
long_ema_pair_34_144,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,32.0,0.23837239448033376,-0.13254972585437708,0.008013358398120963,0.65625,1.4234664603012641,0.7456252887292336,-0.1028409997612855,0.06729987067407017
long_ema_pair_34_144,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,13.0,0.02297904974281373,-0.20462842324984454,0.0029525166954877937,0.5384615384615384,1.1393391029597126,0.976576373965468,-0.06766754692326912,0.07929874322881589
long_ema_pair_9_55,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
long_ema_pair_9_55,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,23.0,-0.07367076324830157,-0.22834888982581314,-0.0022354138001216338,0.5652173913043478,0.8918903909311803,0.6860695314855233,-0.10046820041295643,0.05896955508696307
long_ema_pair_9_55,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,-0.013418571526763845,-0.04235677989111741,-0.004111612826835295,0.6666666666666666,0.7087871525594274,0.3543935762797137,-0.042356779891117406,0.020407143033515235
long_ema_pair_9_55,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,15.0,-0.03837730885251922,-0.13435222553731974,-0.0011083067345249303,0.6666666666666666,0.9516133217609927,0.47580666088049633,-0.1343522255373198,0.04853469507504815
long_ema_pair_9_55,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,7.0,-0.08065982139262062,-0.11477952938070735,-0.011137691194216663,0.2857142857142857,0.4876470777228424,1.219117694307106,-0.08826393461870974,0.04123871519885245
long_ema_pair_9_55,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,22.0,0.07197953633246224,-0.19174674623169685,0.0052109468716181806,0.5454545454545454,1.2240232089694187,1.020019340807849,-0.09855143390328583,0.21472617537964928
long_ema_pair_9_55,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,14.0,0.20966126064662105,-0.1295133723514974,0.014955894308660725,0.7857142857142857,2.019473093911681,0.5507653892486403,-0.12411333068229081,0.0636267877420081
long_ema_pair_9_55,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,7.0,0.2817885402143301,0.0,0.03617372738003843,1.0,inf,inf,0.015818574374212288,0.054077215122204744
long_ema_pair_9_55,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,28.0,1.6351965733030038,-0.09850028917684062,0.03616802254407551,0.8571428571428571,5.4220781855147475,0.9036796975857913,-0.09850028917684066,0.0897658479298123
long_ema_pair_9_55,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,20.0,-0.02146170590559826,-0.24182274025567174,0.0010526110593248208,0.6,1.0362437867865013,0.6908291911910008,-0.14810811847370753,0.08217304352806683
long_ema_pair_9_55,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,10.0,-0.043994320617032456,-0.18631624684070125,-0.003167379904610788,0.5,0.8652570780310248,0.8652570780310248,-0.08593716784313057,0.08319255439856911
long_ema_pair_9_55,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.03472723338018824,0.0,0.017238084185522116,1.0,inf,inf,0.01044937758977364,0.024026790781270593
long_ema_pair_9_55,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,31.0,0.13280274525386226,-0.20441280097548198,0.005241066487475884,0.5806451612903226,1.2778402878175819,0.922884652312698,-0.10943833429468094,0.1027103019436229
long_ema_pair_9_55,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.11355323471154088,-0.16307994786771673,0.00832646384264722,0.6,1.460676861021234,0.9737845740141561,-0.08118996886165125,0.07929874322881589
