label,slice,slice_start,slice_end,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
baseline_v6_2,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,144.0,4.044556394299187,-0.22379719205419224,0.012602206545816437,0.6458333333333334,1.7875904138444287,0.9802915172695255,-0.14810811847370753,0.21472617537964928
baseline_v6_2,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
baseline_v6_2,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_ema_pair_13_55,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,132.0,2.518698640142982,-0.2642660833919842,0.011060448742599104,0.6818181818181818,1.6258750573767577,0.7587416934424869,-0.14810811847370753,0.21472617537964928
long_ema_pair_13_55,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,42.0,0.013209849611594215,-0.1989635807793605,0.0016511985237073039,0.6190476190476191,1.0825647127943365,0.6661936694118994,-0.15850642115536032,0.1027103019436229
long_ema_pair_13_55,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.10117404751717363,-0.20977121462142245,0.0077020711754072204,0.6,1.4302364761851243,0.9534909841234163,-0.11491856960560566,0.07929874322881589
long_ema_pair_21_96,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,146.0,4.325164411338023,-0.22379719205419224,0.012818896557336453,0.6506849315068494,1.8068939662223775,0.9700167608141185,-0.14810811847370753,0.21472617537964928
long_ema_pair_21_96,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.7511531343200166,-0.15458004255065028,0.011978651342533005,0.6862745098039216,1.866949319513964,0.8534625460635265,-0.11204445569580701,0.06358998082207908
long_ema_pair_21_96,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.008018345117068781,-0.14925618813407404,0.0014006072524241344,0.5333333333333333,1.0756408147973338,0.941185712947667,-0.05757499094154777,0.07929874322881589
long_ema_pair_34_144,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,143.0,2.0645643549405737,-0.39760306284681624,0.009316967397690126,0.6573426573426573,1.5071036276035799,0.7856178484316533,-0.17053818182214264,0.21472617537964928
long_ema_pair_34_144,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,46.0,0.2648029225499353,-0.13254972585437708,0.006340236454355256,0.6086956521739131,1.3423949033197926,0.8629681521341525,-0.1028409997612855,0.06729987067407017
long_ema_pair_34_144,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,13.0,0.02297904974281373,-0.20462842324984454,0.0029525166954877937,0.5384615384615384,1.1393391029597126,0.976576373965468,-0.06766754692326912,0.07929874322881589
long_ema_pair_9_55,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,139.0,2.4628744500655833,-0.32864620841824255,0.0104507805778204,0.6690647482014388,1.571763835265178,0.7774315744322385,-0.14810811847370753,0.21472617537964928
long_ema_pair_9_55,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,43.0,0.12057426617974332,-0.2044128009754821,0.003843614661318343,0.5813953488372093,1.201594788848117,0.8651482479706444,-0.10943833429468094,0.1027103019436229
long_ema_pair_9_55,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.11355323471154088,-0.16307994786771673,0.00832646384264722,0.6,1.460676861021234,0.9737845740141561,-0.08118996886165125,0.07929874322881589
long_pullback_buffer_0p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,121.0,2.1772212468160226,-0.24183187093458058,0.010958173148958266,0.6611570247933884,1.641725104137019,0.8413841158702223,-0.141853859734921,0.21472617537964928
long_pullback_buffer_0p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,40.0,0.3653239559015815,-0.1336013925494216,0.008746266165704387,0.625,1.5953866457257795,0.9572319874354678,-0.1028409997612855,0.05368631586124746
long_pullback_buffer_0p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,-0.031858449870808436,-0.16534632395384585,-0.0007919264456573168,0.5333333333333333,0.9664571028718582,0.8456499650128759,-0.08970784088117299,0.07929874322881589
long_pullback_buffer_0p005,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,152.0,2.2282970058910263,-0.29943196960276364,0.009155109925982837,0.6513157894736842,1.4957636925536844,0.8007623808620734,-0.14810811847370753,0.21472617537964928
long_pullback_buffer_0p005,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,48.0,0.06856006605811427,-0.19449125618912522,0.002556080686393948,0.5625,1.1285131204369176,0.8777324270064915,-0.1028409997612855,0.06729987067407017
long_pullback_buffer_0p005,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,16.0,0.15210240968367406,-0.15076272701673832,0.00993702421116742,0.625,1.5828513123812076,0.9497107874287246,-0.06766754692326912,0.07929874322881589
long_pullback_buffer_0p015,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,123.0,2.304130249498104,-0.22379719205419224,0.011194672731715651,0.6585365853658537,1.6346099540561692,0.8475755317328283,-0.14810811847370753,0.21472617537964928
long_pullback_buffer_0p015,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,43.0,0.2663381783229699,-0.21478563389070604,0.006669126876312993,0.627906976744186,1.3821020275958011,0.8190234237604747,-0.12752718000468155,0.1027103019436229
long_pullback_buffer_0p015,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,16.0,0.2529529254211518,-0.16534632395384596,0.015306454831744027,0.6875,2.017917718155971,0.9172353264345321,-0.08367810267677749,0.07929874322881589
long_pullback_buffer_0p02,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,112.0,1.5314065018308023,-0.22379719205419224,0.00982104403440695,0.6428571428571429,1.5240326005162712,0.8466847780645951,-0.14810811847370753,0.21472617537964928
long_pullback_buffer_0p02,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,37.0,0.2903023691296338,-0.17712128411307937,0.008115866060738108,0.5945945945945946,1.5087007922378906,1.028659631071289,-0.14566242354940137,0.1027103019436229
long_pullback_buffer_0p02,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,14.0,0.13450035371509816,-0.16534632395384596,0.01020867683744733,0.6428571428571429,1.5940398350072624,0.8855776861151459,-0.08367810267677749,0.07929874322881589
long_require_candle_True,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,169.0,2.0202567234678686,-0.2844621150162199,0.008036288719881806,0.6390532544378699,1.4088096096857983,0.7957165388040156,-0.14810811847370753,0.21472617537964928
long_require_candle_True,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,58.0,0.13544211621776725,-0.20913580241855556,0.003187849454217682,0.5689655172413793,1.1796013600612079,0.8936373939857635,-0.11204445569580701,0.06835994002075582
long_require_candle_True,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,20.0,0.30247591750509795,-0.17098904175771779,0.014342719525364148,0.65,2.011118382865972,1.0829098984662926,-0.08987294256365932,0.07929874322881589
long_htf_threshold_None,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,154.0,4.380580950343823,-0.2410389448874488,0.012285567050691927,0.6428571428571429,1.751550337693898,0.9730835209410544,-0.12411333068229081,0.21472617537964928
long_htf_threshold_None,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
long_htf_threshold_None,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_htf_threshold_0p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,153.0,5.06319085379287,-0.22346032962369344,0.013093409700217332,0.6405228758169934,1.833358141538001,1.0289254875978575,-0.12411333068229081,0.21472617537964928
long_htf_threshold_0p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
long_htf_threshold_0p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_htf_threshold_0p25,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,151.0,4.583678504541478,-0.22485921749826532,0.012721094547424552,0.6423841059602649,1.7962346694903364,0.9999656922935892,-0.12411333068229081,0.21472617537964928
long_htf_threshold_0p25,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
long_htf_threshold_0p25,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_htf_threshold_0p75,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,135.0,3.9230072571774697,-0.21779329475867448,0.013116955809977366,0.6444444444444445,1.8444690969655664,1.0176381224637607,-0.12411333068229081,0.21472617537964928
long_htf_threshold_0p75,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6929013303969338,-0.21228621539536718,0.011240301835647008,0.6666666666666666,1.8279302956779366,0.9139651478389684,-0.11204445569580701,0.06358998082207908
long_htf_threshold_0p75,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,14.0,0.0763521904112463,-0.1106215240096291,0.0061579709124291475,0.5714285714285714,1.367940929560976,1.0259556971707318,-0.05757499094154777,0.07929874322881589
long_htf_threshold_1p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,126.0,2.1271852466858308,-0.24776775159167863,0.01041583170208052,0.6111111111111112,1.606981192338401,1.022624395124437,-0.12411333068229081,0.21472617537964928
long_htf_threshold_1p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,46.0,0.45082681841789674,-0.2122862153953673,0.009018501922820226,0.6304347826086957,1.6111310083422137,0.9444561083385391,-0.11204445569580701,0.06096250574354524
long_htf_threshold_1p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,14.0,0.0763521904112463,-0.1106215240096291,0.0061579709124291475,0.5714285714285714,1.367940929560976,1.0259556971707318,-0.05757499094154777,0.07929874322881589
long_quality_window_48,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,53.0,0.02730070577047372,-0.27941396516687,0.0025156065078906784,0.6037735849056604,1.1075094924357027,0.7268031044109299,-0.20555756498829858,0.21472617537964928
