emergency_mult,breakeven_trigger,lock_profit_mult,trail_start_mult,trail_distance_mult,fail_bars,fail_progress_mult,config_id,mode,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
0.75,1.0,0.0,1.5,1.0,3,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,5m_conservative,4357,0.00019559563713381626,2.9029228004439703e-15,-0.9998044043628662,-0.9998060694071775,0.1326600872159743,0.22273145515536275,-0.0019531537816347027,0.00421897179578488,0.0028971835735766235,1.4562321263531417,-0.014101380870370604,0.031803496760621525,2243,2114,1.0610217596972564,0.514803764057838,0.48519623594216205,0.14177440927329468,0.12298959318826869,1.4285763563152765,1.4864375347311518
0.75,1.0,0.0,1.5,1.0,3,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,5m_optimistic,4357,0.00023817754259334496,6.28264356133715e-15,-0.9997618224574066,-0.9997638499881235,0.1397750745926096,0.23250658318007403,-0.0019079473458568507,0.004135206934861883,0.0028898792980867616,1.4309272147108663,-0.014101380870370604,0.031803496760621525,2243,2114,1.0610217596972564,0.514803764057838,0.48519623594216205,0.14801604993312528,0.13103122043519394,1.40783405914752,1.4550701060298983
0.75,1.0,0.0,1.5,1.0,3,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,1m_conservative,4245,0.000736977930023387,5.260405518581851e-13,-0.9992630220699766,-0.9992692957319455,0.15830388692579506,0.3192458628341915,-0.0016908931193047086,0.005009098443162686,0.0029510090806755705,1.6974188510514376,-0.014101380870370604,0.03633685444119938,2183,2062,1.0586808923375364,0.5142520612485276,0.4857479387514723,0.16491067338524965,0.1513094083414161,1.7016949782717061,1.6887515341418498
0.75,1.0,0.0,1.5,1.0,3,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,1m_optimistic,4245,0.0007550776223637351,5.785257763098633e-13,-0.9992449223776363,-0.9992513501166091,0.15948174322732628,0.32092670144907703,-0.0016851644225727002,0.004993677664537806,0.0029524222961640153,1.6913832655395966,-0.014101380870370604,0.03633685444119938,2183,2062,1.0586808923375364,0.5142520612485276,0.4857479387514723,0.1662849289967934,0.15227934044616878,1.6955355958405036,1.6828676770136881
0.75,1.0,0.0,1.5,1.0,3,0.5,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p5,5m_conservative,4437,0.00017701025849464652,1.9627713451317196e-15,-0.9998229897415054,-0.9998244965743175,0.13387423935091278,0.21565384059603834,-0.0019405395130502236,0.003985427347496532,0.0028564969200668183,1.3952149990077027,-0.014101380870370604,0.031803496760621525,2285,2152,1.061802973977695,0.5149876042370971,0.48501239576290284,0.1435448577680525,0.12360594795539033,1.3700653332907913,1.4230747986957453
0.75,1.0,0.0,1.5,1.0,3,0.5,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p5,5m_optimistic,4437,0.0002146908978505828,4.1822432236068575e-15,-0.9997853091021495,-0.9997871366984261,0.14108631958530538,0.22506751071782477,-0.0018970452837294269,0.003905186072867798,0.002850127631992314,1.3701793663668214,-0.014101380870370604,0.031803496760621525,2285,2152,1.061802973977695,0.5149876042370971,0.48501239576290284,0.150109409190372,0.13150557620817843,1.348890971982625,1.3926407700922052
0.75,1.0,0.0,1.5,1.0,3,0.5,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p5,1m_conservative,4329,0.0006560017448270454,3.3333036385300385e-13,-0.999343998255173,-0.9993496719701119,0.15846615846615847,0.3110235973370648,-0.0016850588079912587,0.004800290548536113,0.002906291214957434,1.6516894534969782,-0.014101380870370604,0.03633685444119938,2226,2103,1.0584878744650499,0.5142065142065142,0.4857934857934858,0.16621743036837378,0.15026153114598192,1.6477302561757976,1.652967014990051
0.75,1.0,0.0,1.5,1.0,3,0.5,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p5,1m_optimistic,4329,0.0006718792985773887,3.660893173127141e-13,-0.9993281207014226,-0.9993339317402553,0.1596211596211596,0.3126570619710774,-0.001679521628122421,0.00478618968944626,0.0029076157788755705,1.6460873971791312,-0.014101380870370604,0.03633685444119938,2226,2103,1.0584878744650499,0.5142065142065142,0.4857934857934858,0.16756513926325248,0.15121255349500715,1.6423578574148316,1.6471293673871716
0.75,1.0,0.0,1.5,1.0,5,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail5_0p3,5m_conservative,4311,0.00021068186457994537,3.8843633749954704e-15,-0.99978931813542,-0.9997911116040539,0.13593133843655764,0.22694482161528787,-0.001956713276766357,0.004225882160567213,0.00292933097509588,1.4426100008821625,-0.014101380870370604,0.031803496760621525,2230,2081,1.0716001922152811,0.5172813732312689,0.4827186267687312,0.14394618834080716,0.1273426237385872,1.4279788973960752,1.4573270328430563
0.75,1.0,0.0,1.5,1.0,5,0.3,em0p75__be1p0__lock0p0__ts1p5__td1p0__fail5_0p3,5m_optimistic,4311,0.00025585867809054625,8.318516973205699e-15,-0.9997441413219095,-0.9997463193665872,0.14312224541869636,0.23677645250002055,-0.0019116472376285718,0.004143690987856416,0.002923055923368755,1.4175886799596042,-0.014101380870370604,0.031803496760621525,2230,2081,1.0716001922152811,0.5172813732312689,0.4827186267687312,0.15022421524663676,0.1355117731859683,1.4070021891522346,1.4271615917323852
