label,window,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
HYPE-5M-PBTR-V1-live-realistic,recent_1w,34,0.9441813992679258,0.04993769768248067,-0.05581860073207423,-0.08783200552830561,0.38235294117647056,0.4948643630208619,-0.0016703794085832192,0.004279853106865553,0.005353856680051507,0.7993962787260077,-0.013664935245779962,0.01192288111254245,2,32,0.0625,0.058823529411764705,0.9411764705882353,0.5,0.375,0.9368014840404463,0.7981949279576106
HYPE-5M-PBTR-V1-live-realistic,recent_1m,201,0.6750288483996894,0.008356018831003282,-0.32497115160031065,-0.3425348532125271,0.4079601990049751,0.5860547701402887,-0.0019106883140162475,0.006630822085641766,0.007796434975965467,0.8504941176426142,-0.03102974969237959,0.03564673287701717,103,98,1.0510204081632653,0.5124378109452736,0.48756218905472637,0.42718446601941745,0.3877551020408163,0.8901124818683094,0.811997530915105
HYPE-5M-PBTR-V1-live-realistic,recent_3m,399,0.5106238697851163,0.06536977879272331,-0.4893761302148837,-0.5026621479995201,0.39348370927318294,0.5820079890865583,-0.0016498547024821676,0.005838212617632895,0.006507815732474171,0.8971078557894719,-0.03102974969237959,0.03564673287701717,222,177,1.2542372881355932,0.556390977443609,0.44360902255639095,0.45045045045045046,0.3220338983050847,0.9112711807360329,0.8418253557013596
HYPE-5M-PBTR-V1-live-realistic,recent_6m,583,0.37705781386110915,0.1381850697704962,-0.6229421861388909,-0.6560149900590804,0.3876500857632933,0.60442914679052,-0.0016334628145381414,0.006438585728094727,0.006743499146849146,0.9547840947089187,-0.04323861289230572,0.03564673287701717,342,241,1.4190871369294606,0.5866209262435678,0.41337907375643224,0.4327485380116959,0.3236514522821577,0.9999285910145771,0.8549449343440803
HYPE-5M-PBTR-V1-live-realistic,full,1357,0.12707832894957422,0.14610394215447098,-0.8729216710504257,-0.8827190316418856,0.3949889462048637,0.6374899380970932,-0.0014733193121853683,0.00655941650880758,0.0067175902014085355,0.9764538044360327,-0.04323861289230572,0.152435454944923,757,600,1.2616666666666667,0.5578481945467944,0.4421518054532056,0.4200792602377807,0.36333333333333334,0.9310724732524855,1.047837518386146
