round_name,selected_variant_id,adopted,rejection_reasons,effective_variants,complete_development_passes,train_return_pct,train_max_drawdown_pct,train_trades,train_profit_factor,validation_return_pct,validation_max_drawdown_pct,validation_trades,validation_profit_factor,reused_diagnostic_return_pct,reused_diagnostic_max_drawdown_pct,reused_diagnostic_trades,reused_diagnostic_profit_factor,recent_3m_return_pct,recent_6m_return_pct,recent_1y_return_pct
R1_macro_momentum,iter-2b088917dcde,False,diagnostic_2x_return|diagnostic_return_sacrifice|diagnostic_mdd,24,4,35.411983531312984,-13.936769033745644,27,2.3667313084692867,43.80955370987307,-8.792085746420275,45,2.166420493906501,36.52330706269129,-19.64599190443814,112,1.3892466206957859,-8.312941978239529,-0.42868403463693916,0.86865445233959
R2_trend_quality,iter-6f9c1aea1a5e,False,diagnostic_2x_return|insufficient_recent_improvement,24,3,35.16424239107205,-13.11433518122792,29,2.3908021226807623,31.559473249314074,-8.424812258304225,52,1.7230095880820624,46.132074955334666,-15.867937781316533,130,1.4266028675258409,-10.589162837020238,-4.1937532466816645,-3.4033711862927474
R3_breakout_quality,iter-3b19443f189a,False,insufficient_recent_improvement,99,18,46.07501385143333,-11.648653525976227,21,3.7838248438177255,34.39225019098981,-7.028496492675707,34,2.4497461497834636,45.2593750266862,-14.353644496247265,84,1.6188187952802935,-7.985997411333223,-8.805124525248342,-10.460241039474838
R4_volatility_band,iter-57d863330e2f,False,insufficient_recent_improvement,29,5,33.44696538524366,-13.677238709126193,30,2.2253364652966243,42.390383198536405,-8.240669224943776,50,2.085952992632814,54.865674843406765,-15.35228812593643,127,1.4929417573261925,-11.609295299090883,-5.9410017875945575,-5.540099589688763
R5_exit_structure,iter-5efc8d348221,False,diagnostic_2x_return|diagnostic_mdd|insufficient_recent_improvement|rolling_stability,74,2,34.488358199387605,-12.36500639312359,35,2.224187017882031,32.428213899699124,-8.486876019801336,59,1.7800603973079878,44.71290981636302,-17.372812474404963,145,1.4191196461693047,-9.090114829695683,-4.17850035551115,-12.843986085332048
R6_cooldown,iter-ee9cc1575f81,False,insufficient_recent_improvement,6,6,32.38188593014686,-13.267193700954305,33,2.1030740845367633,30.94430341478891,-9.119428392579753,55,1.684739309792344,50.24563042718437,-14.226913313872846,133,1.4436203014795037,-9.338366257726394,-2.863537535088012,-6.490396641344054
