label,direction,signal_ts,entry_ts,exit_ts,entry_fill,exit_fill,signal_atr,exit_reason,hold_bars,funding_return,trade_return,equity_before,equity_after
selected_train,long,2020-03-05 02:30:00+00:00,2020-03-05 02:45:00+00:00,2020-03-07 02:45:00+00:00,8940.404731999999,9099.318815999999,30.951920481267585,time_open,192,-0.0016031600000000062,0.014153885086311761,1.0,1.0141538850863117
selected_train,long,2020-04-27 00:00:00+00:00,2020-04-27 00:15:00+00:00,2020-04-29 00:15:00+00:00,7727.029575999999,7745.9004,26.44880433660158,time_open,192,-0.0006000000000000172,-0.0001602587008914325,1.0141538850863117,1.0139913581021838
selected_train,long,2020-04-29 06:00:00+00:00,2020-04-29 06:15:00+00:00,2020-05-01 06:15:00+00:00,7900.839072,8781.346056,24.05147330685747,time_open,192,-0.0016179700000000033,0.10771532878004125,1.0139913581021838,1.123213770620281
selected_train,long,2020-06-01 20:45:00+00:00,2020-06-01 21:00:00+00:00,2020-06-02 14:45:00+00:00,9668.795972,9540.894799481555,31.020821861155554,stop,71,-0.0011279000000000011,-0.016342913711732753,1.123213770620281,1.1048571848872037
selected_train,long,2020-06-09 00:00:00+00:00,2020-06-09 00:15:00+00:00,2020-06-09 00:15:00+00:00,9866.965208,9742.103745597267,30.24076538603769,stop,0,-0.0,-0.014641840556931811,1.1048571848872037,1.0886800421479048
selected_train,long,2020-06-10 18:30:00+00:00,2020-06-10 18:45:00+00:00,2020-06-10 18:45:00+00:00,9940.944787999999,9836.638261787517,25.092574103962146,stop,0,-0.0,-0.012482124376352571,1.0886800421479048,1.0750910024557618
selected_train,long,2020-06-22 11:45:00+00:00,2020-06-22 12:00:00+00:00,2020-06-24 10:30:00+00:00,9462.223376,9384.548598665286,18.479863941655594,stop,186,-0.0006350100000000192,-0.010835736137389345,1.0750910024557618,1.0634416000294697
selected_train,long,2020-07-01 13:30:00+00:00,2020-07-01 13:45:00+00:00,2020-07-02 15:00:00+00:00,9232.071351999999,9149.075106101993,19.833787854443266,stop,101,-0.0003000000000000086,-0.011281001824053932,1.0634416000294697,1.0514449133997625
selected_train,long,2020-07-06 12:30:00+00:00,2020-07-06 12:45:00+00:00,2020-07-08 12:45:00+00:00,9243.055744,9282.165648,18.458946801303004,time_open,192,-0.0006000000000000172,0.001627043001592006,1.0514449133997625,1.0531556594876692
selected_train,long,2020-07-08 13:45:00+00:00,2020-07-08 14:00:00+00:00,2020-07-09 02:45:00+00:00,9436.7732,9356.378858942055,19.162572973675616,stop,51,-0.00020000000000000573,-0.0107107424979639,1.0531556594876692,1.0418755804086235
selected_train,long,2020-07-21 07:15:00+00:00,2020-07-21 07:30:00+00:00,2020-07-23 07:30:00+00:00,9219.966512,9498.768972,10.303481053824687,time_open,192,-0.0006000000000000172,0.02760874936774372,1.0418755804086235,1.0706404621804977
selected_train,long,2020-07-23 16:45:00+00:00,2020-07-23 17:00:00+00:00,2020-07-24 01:45:00+00:00,9631.941236,9554.864855220223,18.31322636188911,stop,35,-0.00010000000000000286,-0.010094162600495133,1.0706404621804977,1.0598332432685784
selected_train,long,2020-07-24 20:45:00+00:00,2020-07-24 21:00:00+00:00,2020-07-24 22:00:00+00:00,9619.576292,9540.84421949616,18.728551917527035,stop,4,-0.0,-0.010176383038486449,1.0598332432685784,1.049047974228156
selected_train,long,2020-07-25 17:15:00+00:00,2020-07-25 17:30:00+00:00,2020-07-27 17:30:00+00:00,9691.395008,10806.485676,19.87474408489263,time_open,192,-0.0027145600000000047,0.11023025201235148,1.049047974228156,1.1646847968003724
selected_train,long,2020-08-29 07:30:00+00:00,2020-08-29 07:45:00+00:00,2020-08-29 10:45:00+00:00,11567.255051999999,11445.685742711335,29.247300737260836,stop,12,-0.00010000000000000286,-0.012599270521261351,1.1646847968003724,1.1500106179734844
selected_train,long,2020-08-30 01:30:00+00:00,2020-08-30 01:45:00+00:00,2020-09-01 01:45:00+00:00,11624.34788,11620.35,26.895178040819857,time_open,192,-0.0006546100000000138,-0.002998189025785257,1.1500106179734844,1.1465626687591397
selected_train,long,2020-09-01 05:45:00+00:00,2020-09-01 06:00:00+00:00,2020-09-02 08:00:00+00:00,11810.502312,11692.721228025006,28.27553097493857,stop,104,-0.0013779000000000013,-0.013340499369839581,1.1465626687591397,1.1312669501990769
selected_train,long,2020-09-12 18:00:00+00:00,2020-09-12 18:15:00+00:00,2020-09-13 11:30:00+00:00,10434.882284,10330.950604425962,24.949411429681433,stop,69,-0.00019999999999997797,-0.012150064128050982,1.1312669501990769,1.1175219842082134
selected_train,long,2020-09-19 11:15:00+00:00,2020-09-19 11:30:00+00:00,2020-09-20 02:00:00+00:00,11008.70172,10898.126175001911,26.553637532535188,stop,58,0.00012224999999999042,-0.011912082136768112,1.1175219842082134,1.104209970542681
selected_train,long,2020-09-28 00:00:00+00:00,2020-09-28 00:15:00+00:00,2020-09-28 23:15:00+00:00,10850.0883,10739.255542704517,26.63383402748137,stop,92,-0.00019999999999997797,-0.012404702623312922,1.104209970542681,1.090512574224402
selected_train,long,2020-10-01 01:45:00+00:00,2020-10-01 02:00:00+00:00,2020-10-01 15:45:00+00:00,10837.463252,10731.678725290854,25.372534365832916,stop,55,-9.999999999998899e-05,-0.011851243416021137,1.090512574224402,1.0775886442590368
selected_train,long,2020-10-05 00:00:00+00:00,2020-10-05 00:15:00+00:00,2020-10-05 06:00:00+00:00,10713.873835999999,10630.478342779907,19.785400081455816,stop,23,-0.0,-0.009776094716267099,1.0775886442590368,1.0670540356075866
selected_train,long,2020-10-09 10:30:00+00:00,2020-10-09 10:45:00+00:00,2020-10-11 10:45:00+00:00,10986.983036,11370.440004,22.88933065942031,time_open,192,-0.0005999999999999339,0.03226612382824484,1.0670540356075866,1.1014837332519294
selected_train,long,2020-10-12 13:45:00+00:00,2020-10-12 14:00:00+00:00,2020-10-13 10:00:00+00:00,11496.5968,11377.677868483723,28.59150980299041,stop,80,-0.00029999999999996696,-0.01263349387227014,1.1014837332519294,1.087568145257486
selected_train,long,2020-10-14 13:30:00+00:00,2020-10-14 13:45:00+00:00,2020-10-14 14:15:00+00:00,11514.013764,11389.812900376353,29.910778841048064,stop,2,-0.0,-0.012776143341773979,1.087568145257486,1.0736732187397289
selected_train,long,2020-10-15 16:15:00+00:00,2020-10-15 16:30:00+00:00,2020-10-16 04:00:00+00:00,11446.396728,11327.566214323559,28.57441851371612,stop,46,-9.999999999998899e-05,-0.012471096335703088,1.0736732187397289,1.0602833365957613
selected_train,long,2020-10-18 23:45:00+00:00,2020-10-19 00:00:00+00:00,2020-10-19 03:15:00+00:00,11506.1006,11423.277581422099,19.56296977238454,stop,13,-0.0,-0.00919098489016537,1.0602833365957613,1.0505382884698156
selected_train,long,2020-10-19 13:00:00+00:00,2020-10-19 13:15:00+00:00,2020-10-21 13:15:00+00:00,11600.648404,12416.0316,21.198462361731615,time_open,192,-0.00043519999999996895,0.06778223823587749,1.0505382884698156,1.1217461250147875
selected_train,long,2020-10-26 11:00:00+00:00,2020-10-26 11:15:00+00:00,2020-10-26 15:30:00+00:00,13167.785008,13006.8654945602,38.928671327681734,stop,17,-0.0,-0.01420847650752911,1.1217461250147875,1.105807821550103
selected_train,long,2020-12-15 00:30:00+00:00,2020-12-15 00:45:00+00:00,2020-12-15 05:15:00+00:00,19374.736796,19109.13756803997,64.48812856183262,stop,18,-0.0,-0.015694824942698117,1.105807821550103,1.0884523613706079
selected_train,long,2020-12-16 10:00:00+00:00,2020-12-16 10:15:00+00:00,2020-12-18 10:15:00+00:00,19652.847996,23018.808792,62.7168777612367,time_open,192,-0.0021410700000000227,0.16695855056839787,1.0884523613706079,1.2701787899877945
