scope,run,direction,entry_ts,exit_ts,raw_entry_price,entry_fill,raw_exit_price,exit_fill,exit_reason,hold_bars,leverage,entry_atr_pct,tp_pct,sl_pct,entry_fee,exit_fee,funding_pnl,both_hit,net_account_return_pct,equity_before,equity_after
latest_full,v3_latest_full,long,2025-06-09 10:30:00+00:00,2025-06-10 01:30:00+00:00,36.379,36.393551599999995,39.343,39.32726280000001,time_close,30,2.707243597476959,0.009973243643520997,0.1,0.025,0.002707243597476959,0.0029254765127565575,-0.000563929896766931,False,21.203626527259757,1.0,1.2120362652725976
latest_full,v3_latest_full,long,2025-06-16 05:30:00+00:00,2025-06-16 20:30:00+00:00,43.473,43.490389199999996,44.566,44.548173600000005,time_close,30,2.2006920649343953,0.012268867794006834,0.1,0.025,0.002667318591398125,0.0027321937982590226,-0.002009619987880747,False,4.741283419472153,1.2120362652725976,1.2695023397559568
latest_full,v3_latest_full,long,2025-06-29 22:30:00+00:00,2025-06-30 13:30:00+00:00,39.229,39.244691599999996,39.956,39.940017600000004,time_close,30,3.0,0.008760578365843553,0.1,0.025,0.0038085070192678708,0.003875985035878899,-0.0022299236809644315,False,4.5343438190104335,1.2695023397559568,1.3270659406308738
latest_full,v3_latest_full,short,2025-07-01 19:30:00+00:00,2025-07-02 07:30:00+00:00,37.256,37.2410976,38.17212504,38.187393890016,stop_market,24,2.4485372552315376,0.011026991703847624,0.1,0.025,0.0032493703957835783,0.0033319368975404384,0.00048579219051018014,False,-6.681055865055585,1.3270659406308738,1.2384039237711997
latest_full,v3_latest_full,short,2025-07-08 03:00:00+00:00,2025-07-08 10:00:00+00:00,37.203,37.188118800000005,38.11782177,38.133068898708,stop_market,14,3.0,0.008210131990332542,0.1,0.025,0.003715211771313599,0.003809615302422677,-0.0003674076002631679,False,-8.260290832377603,1.2384039237711997,1.1361081579881227
latest_full,v3_latest_full,long,2025-07-09 18:30:00+00:00,2025-07-10 09:30:00+00:00,40.38,40.396152,41.632,41.6153472,time_close,30,3.0,0.007448127268517113,0.1,0.025,0.003408324473964368,0.003511191025181917,-0.0006941715761842635,False,8.384136974326161,1.1361081579881227,1.2313610221303408
latest_full,v3_latest_full,long,2025-07-10 17:30:00+00:00,2025-07-11 08:30:00+00:00,42.869,42.8861476,45.841,45.822663600000006,time_close,30,3.0,0.007638558115222492,0.1,0.025,0.0036940830663910224,0.003947025674595503,-0.0007599620815246452,False,19.8594508829665,1.2313610221303408,1.47590255951231
latest_full,v3_latest_full,long,2025-07-20 16:30:00+00:00,2025-07-20 21:00:00+00:00,47.231,47.2498924,46.06864509,46.050217631963996,stop_market,9,3.0,0.0088796750851426,0.1,0.025,0.004427707678536931,0.004315288180578878,-0.00021843407623653308,False,-8.22418303370338,1.47590255951231,1.3545216316189048
latest_full,v3_latest_full,short,2025-07-24 06:00:00+00:00,2025-07-24 14:30:00+00:00,42.313,42.29607480000001,43.353476670000006,43.37081806066801,stop_market,17,2.273066622187583,0.011878226417321369,0.1,0.025,0.003078917909863997,0.0031571532139536415,0.0003109300823128917,False,-6.213296500149756,1.3545216316189048,1.270361186487756
latest_full,v3_latest_full,short,2025-07-30 19:00:00+00:00,2025-07-31 01:30:00+00:00,41.683,41.6663268,42.70798497,42.725068163988,stop_market,13,2.3138027984096503,0.011669101627225082,0.1,0.025,0.002939365268286374,0.0030140545397535305,0.0002153755909877671,False,-6.331058957064862,1.270361186487756,1.1899338708035474
