name,base_candidate,month,month_start,month_end,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,21,0.7,0.9910013891077576,0.8957857614060559,-0.008998610892242409,-0.0760159544325264,0.8095238095238095,0.9366581251560114,-0.0003385870877575752,0.006184875421851593,0.02806330275359654,0.22039014709553212,-0.02806935332679163,0.006185803073738972,0.8095238095238095,0.19047619047619047,0.0,10,11,24.095238095238095
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,13,0.41935483870967744,1.0029738999326077,1.035606512923782,0.00297389993260766,-0.04381466409831225,0.7692307692307693,1.0684870554542927,0.00030493893196618406,0.006184676639304288,0.019294186759160833,0.3205461166362878,-0.028069353326791408,0.006185803073738972,0.7692307692307693,0.15384615384615385,0.07692307692307693,6,7,26.53846153846154
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,13,0.41935483870967744,1.0109362839009302,1.1367287522529614,0.010936283900930155,-0.044942122358430536,0.8461538461538461,1.2117853756201837,0.000914565928881572,0.006184369429913064,0.02806935332679163,0.22032461374912432,-0.02806935332679163,0.006185803073738861,0.8461538461538461,0.15384615384615385,0.0,7,6,14.538461538461538
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,10,0.3333333333333333,1.014445335191576,1.1907862380457201,0.014445335191576092,-0.051390418135887406,0.8,1.4315866965879287,0.0014916851100185194,0.006184958247912957,0.01728140744155923,0.3578966741469822,-0.02806128589586492,0.006185803073738972,0.8,0.1,0.1,5,5,24.0
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,17,0.5483870967741935,1.036185469405751,1.5201574880314028,0.03618546940575107,-0.0522279712239484,0.8823529411764706,1.652576883634836,0.00215498954348737,0.006184901926191208,0.028069353326791408,0.2203435844846448,-0.028069353326791408,0.006185803073738972,0.8823529411764706,0.11764705882352941,0.0,6,11,12.647058823529411
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,19,0.6333333333333333,0.9788517470067997,0.7708653135635172,-0.021148252993200334,-0.06692270514185816,0.7894736842105263,0.8264264542351619,-0.0010254835715397658,0.0061846015436753604,0.028063302753596486,0.2203803877960432,-0.028069353326791408,0.006185803073738972,0.7894736842105263,0.21052631578947367,0.0,11,8,16.36842105263158
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,0.41935483870967744,1.031153294475536,1.4354159815111787,0.031153294475535942,-0.03175167898583264,0.8461538461538461,1.8535377020238366,0.0024097170061926606,0.006184369429913094,0.01835087132426972,0.33700685491342486,-0.02806935332679163,0.006185803073738972,0.8461538461538461,0.07692307692307693,0.07692307692307693,8,5,18.384615384615383
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,8,0.25806451612903225,1.014806548571758,1.189074947881729,0.014806548571757894,-0.030737506417240934,0.875,1.5428324657048185,0.0019040721267125256,0.0061848375585093025,0.02806128589586492,0.22040463795783122,-0.02806128589586492,0.006185803073739083,0.875,0.125,0.0,4,4,10.75
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,23,0.8214285714285714,0.9971355134117252,0.9632716454789717,-0.0028644865882747617,-0.0815698268669175,0.8260869565217391,0.9918047342086113,-4.000335346439743e-05,0.005860487828766235,0.028067336469059897,0.20880099667549712,-0.02806935332679163,0.006185803073738972,0.782608695652174,0.17391304347826086,0.043478260869565216,10,13,13.652173913043478
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,15,0.4838709677419355,1.0968924010228394,2.973191897869438,0.09689240102283936,-0.024486053966040977,1.0,inf,0.006184451352417378,0.006184451352417378,0.0,inf,0.00618355020486956,0.006185803073738972,1.0,0.0,0.0,9,6,15.066666666666666
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,3,0.1,1.0063229779893594,1.079761193481762,0.006322977989359435,-0.010675785323952747,0.6666666666666666,2.0584972120335108,0.0021197569482765493,0.006183550204869782,0.006007829564909917,1.0292486060167554,-0.006007829564909917,0.006183550204869782,0.6666666666666666,0.0,0.3333333333333333,3,0,44.0
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,14,0.45161290322580644,1.0530400245904097,1.838447997504766,0.053040024590409685,-0.03715185039593283,0.9285714285714286,2.86432212885298,0.00373787975355216,0.006184589990501665,0.028069353326791408,0.22033247145022924,-0.028069353326791408,0.006185803073738861,0.9285714285714286,0.07142857142857142,0.0,7,7,14.071428571428571
R1_relax_frequency_R01242__tp_sl_0011,R1_relax_frequency_R01242,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,19,0.754550468836183,1.0776657972458847,2.959304520610518,0.07766579724588474,-0.03430009531230649,0.8947368421052632,3.5502309357628907,0.00397493994006292,0.006184610378455264,0.014807258786272003,0.41767422773681073,-0.028069353326791408,0.006185803073738972,0.8947368421052632,0.05263157894736842,0.05263157894736842,9,10,9.210526315789474
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,19,0.6333333333333333,1.069351496349303,2.2622565901018215,0.06935149634930293,-0.025390104249896406,0.8947368421052632,4.621528492475297,0.0035473976131609936,0.005059507890612836,0.009305539745179659,0.5437092344088584,-0.015890189455034252,0.005060633702918631,0.8947368421052632,0.0,0.10526315789473684,10,9,30.526315789473685
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,15,0.4838709677419355,0.9672326292860961,0.675338934052531,-0.0327673707139039,-0.05044072418621537,0.7333333333333333,0.636787526650806,-0.002116400583689756,0.005059763757045915,0.021850852520712852,0.23155910060029308,-0.03978972037087925,0.00506063370291852,0.7333333333333333,0.0,0.26666666666666666,5,10,35.53333333333333
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,15,0.4838709677419355,1.029674405552773,1.411346685344943,0.029674405552772898,-0.0505793433997348,0.9333333333333333,1.7460445008028609,0.0020178120377667944,0.005059813468238665,0.04057020798883938,0.12471746434306151,-0.04057020798883938,0.005060633702918631,0.9333333333333333,0.0,0.06666666666666667,6,9,24.4
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,13,0.43333333333333335,0.9458624343545291,0.5078151177459924,-0.0541375656454709,-0.08059443353144657,0.7692307692307693,0.4861483282733944,-0.004113693870612278,0.005059485374366755,0.03469095802054239,0.1458444984820183,-0.05057274074319822,0.00506063370291852,0.7692307692307693,0.07692307692307693,0.15384615384615385,6,7,37.30769230769231
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,14,0.45161290322580644,1.0512166579508333,1.8012894358081393,0.0512166579508333,-0.031037035902723553,0.9285714285714286,4.233718655168032,0.003588283386449879,0.005059308708435684,0.015535045799365594,0.3256706657821563,-0.015535045799365594,0.00506063370291852,0.9285714285714286,0.0,0.07142857142857142,9,5,28.214285714285715
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,15,0.5,0.9848514311719526,0.8304022559349256,-0.015148568828047382,-0.06946862524009256,0.8,0.8110697351701491,-0.0009429090118734491,0.005059836252535335,0.024953890069508586,0.20276743379253725,-0.029059151830381588,0.00506063370291852,0.8,0.0,0.2,8,7,31.6
R3_live_candidate_gate_R03979__tp_sl_0005,R3_live_candidate_gate_R03979,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,15,0.4838709677419355,0.999106175106043,0.9895193241439404,-0.0008938248939569515,-0.06284283682148784,0.8666666666666667,1.0107785403752603,4.67597830628307e-05,0.00505960315165412,0.03253672211278055,0.1555043908269631,-0.05057274074319822,0.00506063370291852,0.8666666666666667,0.06666666666666667,0.06666666666666667,8,7,34.333333333333336
