config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-05 13:55:00+00:00,2025-06-05 14:00:00+00:00,2025-06-05 14:15:00+00:00,-1,34.675752951,34.56259875656427,target_limit,4,0.0024352385043377995,-0.007198855711289657,0.008298390849843185,short
HYPE_5M_MS_R11999,2025-06-05 14:15:00+00:00,2025-06-05 14:20:00+00:00,2025-06-05 14:20:00+00:00,-1,34.420027639000004,34.30770792944819,target_limit,1,0.0024352385043377995,-0.006398746017621374,0.003370933928842468,short
HYPE_5M_MS_R11999,2025-06-05 16:30:00+00:00,2025-06-05 16:35:00+00:00,2025-06-05 16:40:00+00:00,-1,34.362089873,34.24995922642971,target_limit,2,0.002435238504337688,-0.0023618690403124512,0.004164178416646069,short
HYPE_5M_MS_R11999,2025-06-05 16:50:00+00:00,2025-06-05 16:55:00+00:00,2025-06-05 16:55:00+00:00,-1,33.912572723,33.80190894438972,target_limit,1,0.002435238504337577,-0.003051656083603597,0.00479387760780936,short
HYPE_5M_MS_R11999,2025-06-05 19:55:00+00:00,2025-06-05 20:00:00+00:00,2025-06-05 20:10:00+00:00,-1,33.486030893999995,33.376759010098446,target_limit,3,0.002435238504337688,-0.007610769645216357,0.009109198249430461,short
HYPE_5M_MS_R11999,2025-06-05 20:35:00+00:00,2025-06-05 20:40:00+00:00,2025-06-05 20:40:00+00:00,-1,32.975579197,32.86797302315971,target_limit,1,0.0024352385043377995,-0.005309823334746403,0.009357809764508174,short
HYPE_5M_MS_R11999,2025-06-06 17:00:00+00:00,2025-06-06 17:05:00+00:00,2025-06-06 17:15:00+00:00,-1,34.444001887,34.33160394449032,target_limit,3,0.0024352385043379106,-0.0023597928092453794,0.018929330254336074,short
HYPE_5M_MS_R11999,2025-06-06 20:55:00+00:00,2025-06-06 21:00:00+00:00,2025-06-06 21:30:00+00:00,-1,33.67382917,33.56394446126181,target_limit,7,0.0024352385043379106,-0.005438468646425735,0.003825795081088379,short
HYPE_5M_MS_R11999,2025-06-07 01:10:00+00:00,2025-06-07 01:15:00+00:00,2025-06-07 01:15:00+00:00,-1,33.619887112,33.510178427417024,target_limit,1,0.002435238504337688,-0.002053955571939007,0.004041866992215315,short
HYPE_5M_MS_R11999,2025-06-07 09:00:00+00:00,2025-06-07 09:05:00+00:00,2025-06-07 09:05:00+00:00,-1,33.602905353000004,33.49325208342885,target_limit,1,0.002435238504337688,-0.0026196684738555446,0.0038361371329607152,short
HYPE_5M_MS_R11999,2025-06-08 22:55:00+00:00,2025-06-08 23:00:00+00:00,2025-06-08 23:40:00+00:00,-1,35.230157436,35.11519410441358,target_limit,9,0.002435238504337688,-0.006995459719781231,0.003694489195412931,short
HYPE_5M_MS_R11999,2025-06-09 00:35:00+00:00,2025-06-09 00:40:00+00:00,2025-06-09 03:40:00+00:00,-1,34.79662311800001,35.381656776,time_open,37,-0.017649237785340704,-0.02057112533388851,0.0011961826829820499,short
HYPE_5M_MS_R11999,2025-06-09 04:45:00+00:00,2025-06-09 04:50:00+00:00,2025-06-09 05:35:00+00:00,-1,35.004399934,34.890173296100166,target_limit,10,0.0024352385043377995,-0.004888386508153279,0.0033824300437440558,short
HYPE_5M_MS_R11999,2025-06-11 11:20:00+00:00,2025-06-11 11:25:00+00:00,2025-06-11 12:40:00+00:00,-1,41.207736604000004,42.43276349438264,stop_market,16,-0.030569729706392115,-0.0322597346914162,0.0011827051912206565,short
HYPE_5M_MS_R11999,2025-06-11 21:45:00+00:00,2025-06-11 21:50:00+00:00,2025-06-11 21:55:00+00:00,-1,41.41551342,41.280365985283744,target_limit,2,0.0024352385043379106,-0.0016819782089687746,0.01126421916514797,short
HYPE_5M_MS_R11999,2025-06-12 00:00:00+00:00,2025-06-12 00:05:00+00:00,2025-06-12 00:05:00+00:00,-1,41.562355689,41.42672907741681,target_limit,1,0.002435238504337688,-0.0024031027654163465,0.0060717369075109495,short
HYPE_5M_MS_R11999,2025-06-12 00:25:00+00:00,2025-06-12 00:30:00+00:00,2025-06-12 00:30:00+00:00,-1,41.1557924,41.02149248899398,target_limit,1,0.0024352385043377995,-0.0035298388478379886,0.008645013964061254,short
HYPE_5M_MS_R11999,2025-06-12 02:40:00+00:00,2025-06-12 02:45:00+00:00,2025-06-12 03:20:00+00:00,-1,41.402527369000005,41.267422310469264,target_limit,8,0.002435238504337688,-0.006246977508586064,0.004843360580691236,short
HYPE_5M_MS_R11999,2025-06-12 08:00:00+00:00,2025-06-12 08:05:00+00:00,2025-06-12 08:05:00+00:00,-1,41.317618574,41.18279059052837,target_limit,1,0.0024352385043377995,-0.0014888138765876285,0.003839005718974664,short
HYPE_5M_MS_R11999,2025-06-12 10:40:00+00:00,2025-06-12 10:45:00+00:00,2025-06-12 10:55:00+00:00,-1,40.841130395,40.70785729156599,target_limit,3,0.002435238504337688,-0.0029334359874200336,0.007911886666084,short
HYPE_5M_MS_R11999,2025-06-12 11:10:00+00:00,2025-06-12 11:15:00+00:00,2025-06-12 11:20:00+00:00,-1,40.648337484,40.51569350393551,target_limit,2,0.0024352385043377995,-0.0028664839970946746,0.008569538277847566,short
HYPE_5M_MS_R11999,2025-06-12 11:25:00+00:00,2025-06-12 11:30:00+00:00,2025-06-12 13:10:00+00:00,-1,40.368637924,41.568720021695704,stop_market,21,-0.030569729706392115,-0.03166075087116928,0.0008084970333021024,short
HYPE_5M_MS_R11999,2025-06-12 20:00:00+00:00,2025-06-12 20:05:00+00:00,2025-06-12 20:10:00+00:00,-1,41.765137870000004,41.628849537981516,target_limit,2,0.002435238504337688,-0.007235233312506321,0.013387669681359515,short
HYPE_5M_MS_R11999,2025-06-12 20:45:00+00:00,2025-06-12 20:50:00+00:00,2025-06-12 20:50:00+00:00,-1,40.996963007,40.86318138933985,target_limit,1,0.002435238504337688,-0.004342683807880624,0.0032920245086679456,short
HYPE_5M_MS_R11999,2025-06-13 05:05:00+00:00,2025-06-13 05:10:00+00:00,2025-06-13 05:10:00+00:00,-1,39.444630449,39.31591441536178,target_limit,1,0.002435238504337688,-0.001666277828469524,0.006632853344595957,short
HYPE_5M_MS_R11999,2025-06-13 06:15:00+00:00,2025-06-13 06:20:00+00:00,2025-06-13 06:20:00+00:00,-1,38.814307512,38.687648353212374,target_limit,1,0.0024352385043377995,-0.0017464508316436128,0.0051864254421585265,short
HYPE_5M_MS_R11999,2025-06-14 11:40:00+00:00,2025-06-14 11:45:00+00:00,2025-06-14 11:45:00+00:00,-1,41.292645399,41.15789890819282,target_limit,1,0.002435238504337688,-0.0016825529776478703,0.005730933359036738,short
HYPE_5M_MS_R11999,2025-06-14 12:15:00+00:00,2025-06-14 12:20:00+00:00,2025-06-14 12:20:00+00:00,-1,40.8561143,40.72279230096732,target_limit,1,0.0024352385043377995,-0.001733575283082726,0.0033560288918615955,short
