ts,outer_break_mid_exit_k1,outer_break_mid_exit_k2,compression_expansion_break_k1,compression_expansion_break_k2,trend_pullback_mid_reclaim_k1,trend_pullback_mid_reclaim_k2
2025-06-16 21:15:00+00:00,0.9889365387310136,0.9910951571575513,1.0,1.0,1.0,1.0
2025-06-16 21:30:00+00:00,0.9807075463330025,0.9828482027832894,1.0,1.0,1.0,1.0
2025-06-16 21:45:00+00:00,0.9826807107227163,0.9848256741318863,1.0,1.0,1.0,1.0
2025-06-16 22:00:00+00:00,0.9862010153725467,0.9883536627879057,1.0,1.0,1.0,1.0
2025-06-16 22:15:00+00:00,0.981021458849548,0.9831628004978391,1.0,1.0,1.0,1.0
2025-06-16 22:30:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 22:45:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:00:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:15:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:30:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:45:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-17 00:00:00+00:00,0.9689949114693022,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-17 00:15:00+00:00,0.9506229025824133,0.9401294338536419,1.0,1.0,1.0,1.0
2025-06-17 00:30:00+00:00,0.953525945867133,0.9430004318406481,1.0,1.0,1.0,1.0
2025-06-17 00:45:00+00:00,0.9396689924591428,0.9292964386725887,1.0,1.0,1.0,1.0
2025-06-17 01:00:00+00:00,0.9464869535512981,0.9360391395734313,1.0,1.0,1.0,1.0
2025-06-17 01:15:00+00:00,0.9460629702407364,0.9356198364105904,1.0,1.0,1.0,1.0
2025-06-17 01:30:00+00:00,0.949585568847939,0.9391035507470393,1.0,1.0,1.0,1.0
2025-06-17 01:45:00+00:00,0.9496754151502238,0.9391924052792322,1.0,1.0,1.0,1.0
2025-06-17 02:00:00+00:00,0.9477658199030681,0.937303889135006,1.0,1.0,1.0,1.0
2025-06-17 02:15:00+00:00,0.9554406711962841,0.9448940214383632,1.0,1.0,1.0,1.0
2025-06-17 02:30:00+00:00,0.9467990885082614,0.9363478290228214,1.0,1.0,1.0,1.0
2025-06-17 02:45:00+00:00,0.9313667591654486,0.9210858497367251,1.0,1.0,1.0,1.0
2025-06-17 03:00:00+00:00,0.9328367125047373,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 03:15:00+00:00,0.9332053626689186,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 03:30:00+00:00,0.9357011444528007,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 03:45:00+00:00,0.9298318752944048,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 04:00:00+00:00,0.9258920041437124,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 04:15:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0,1.0
2025-06-17 04:30:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0068698602057258,1.0
2025-06-17 04:45:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.007433052147482,0.9991825323025642
2025-06-17 05:00:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0083727560414701,1.0001145403545217
2025-06-17 05:15:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0085375112941906,1.0002779463200817
2025-06-17 05:30:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.014941522011158,1.006629510457701
2025-06-17 05:45:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.014607691043482,1.006298413447401
2025-06-17 06:00:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0116528469059136,1.0033677684366564
2025-06-17 06:15:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0159409169094256,1.0076207206657566
2025-06-17 06:30:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.023180400877901,1.0148009158248947
2025-06-17 06:45:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.020247888004098,1.0118924191927756
2025-06-17 07:00:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0220551718700444,1.0136849020440346
2025-06-17 07:15:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0198545514687531,1.011502303944328
2025-06-17 07:30:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.024092407709067,1.015705453643164
2025-06-17 07:45:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0217858385933374,1.0134177745114612
2025-06-17 08:00:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0241682944710446,1.0157807189194417
2025-06-17 08:15:00+00:00,0.924596125694713,0.9185745287680227,1.0,1.0,1.0283446089956776,1.0199228309074488
2025-06-17 08:30:00+00:00,0.9346079939280061,0.9185745287680227,1.0,1.0,1.0409027118431062,1.0323780873408788
2025-06-17 08:45:00+00:00,0.9460949219169996,0.9285936860898854,1.0,1.0,1.053696069670314,1.0450666720991353
2025-06-17 09:00:00+00:00,0.9455178236359719,0.9280272631997488,1.0,1.0,1.0530533369207287,1.0444292031031008
2025-06-17 09:15:00+00:00,0.9463708877538585,0.9288645470021968,1.0,1.0,1.054003421618755,1.0453715069439888
2025-06-17 09:30:00+00:00,0.9542933053093114,0.9366404125629747,1.0,1.0,1.0628268705635537,1.054122694967365
2025-06-17 09:45:00+00:00,0.9540584312494274,0.9364098832957921,1.0,1.0,1.0625652838368584,1.053863250543302
2025-06-17 10:00:00+00:00,0.9562651608886362,0.9385757919825491,1.0,1.0,1.0650229889717173,1.056300827943673
2025-06-17 10:15:00+00:00,0.9521850081526392,0.934571115515993,1.0,1.0,1.0604787928218602,1.0517938471506414
2025-06-17 10:30:00+00:00,0.9631054727713008,0.9452895690867087,1.0,1.0,1.072641262338494,1.0638567103501146
2025-06-17 10:45:00+00:00,0.9518598310093384,0.9342519536273339,1.0,1.0,1.06011663267291,1.051434652965027
2025-06-17 11:00:00+00:00,0.9608122968822469,0.943038813266823,1.0,1.0,1.0700872792598588,1.0613236434882236
2025-06-17 11:15:00+00:00,0.9640039686584986,0.9461714442437374,1.0,1.0,1.073641945846061,1.0648491986142163
2025-06-17 11:30:00+00:00,0.9641718091703904,0.946336179975853,1.0,1.0,1.0738288751737797,1.0650345970569548
2025-06-17 11:45:00+00:00,0.9561606299012001,0.9384731946504155,1.0,1.0,1.0649065694792665,1.0561853618856274
2025-06-17 12:00:00+00:00,0.9566899819562766,0.9389927545430601,1.0,1.0,1.065496125735182,1.056770089884639
2025-06-17 12:15:00+00:00,0.9547065196578185,0.937045983110006,1.0,1.0,1.0632870805539756,1.0545791360009804
2025-06-17 12:30:00+00:00,0.955200333374883,0.937530662066787,1.0,1.0,1.0638370566301243,1.0551246079678775
2025-06-17 12:45:00+00:00,0.9697711460208095,0.9518319380918084,1.0,1.0,1.0800650350932222,1.0712196850356248
2025-06-17 13:00:00+00:00,0.9719067781742086,0.9539280644820005,1.0,1.0,1.082443556692026,1.0735787273850526
2025-06-17 13:15:00+00:00,0.964057811917886,0.946224291489344,1.0,1.0,1.0737019128002014,1.0649086744602436
2025-06-17 13:30:00+00:00,0.9759064599521059,0.9578537585738773,1.0,1.0,1.0868981297709757,1.077996819088381
2025-06-17 13:45:00+00:00,0.9730057808016186,0.9550067373267309,1.0,1.0,1.0836675509469713,1.0747926975606121
2025-06-17 14:00:00+00:00,0.9604943799334075,0.9427267772706938,1.0,1.0,1.0697332050208863,1.0609724689918485
2025-06-17 14:15:00+00:00,0.9580889762048364,0.9403658696459891,1.0,1.0,1.0670542302203134,1.0583154340459477
2025-06-17 14:30:00+00:00,0.9613117533007245,0.9435290305441081,1.0,1.0,1.0706435397924228,1.0618753484440642
2025-06-17 14:45:00+00:00,0.9683972376221122,0.9504834447908285,1.0,1.0,1.0785348695186505,1.069702050975095
2025-06-17 15:00:00+00:00,0.9679372259336572,0.9500319425794421,1.0,1.0,1.078022539839145,1.0691939170941875
2025-06-17 15:15:00+00:00,0.9797410434675959,0.9616174084559138,1.0,1.0,1.0911688276528617,1.0822325414673781
2025-06-17 15:30:00+00:00,0.9718592945788638,0.9538814592568706,1.0,1.0,1.0823906726984331,1.073526276492635
2025-06-17 15:45:00+00:00,0.977054316280505,0.9589803814046286,1.0,1.0,1.0881765339498388,1.079264753589855
2025-06-17 16:00:00+00:00,0.974342015569272,0.9563182538983053,1.0,1.0,1.0851557581978672,1.0762687169212752
2025-06-17 16:15:00+00:00,0.9843193013423485,0.9661109759165364,1.0,1.0,1.0962677793719864,1.0872897345780699
2025-06-17 16:30:00+00:00,0.9940526501367299,0.9756642733982093,1.0,1.0,1.1071081201578656,1.09804129681277
2025-06-17 16:45:00+00:00,1.0019131948412772,0.9833794106564031,1.0,1.0,1.1158626593365208,1.1067241394165783
2025-06-17 17:00:00+00:00,1.0009538555677113,0.9824378176178883,1.0,1.0,1.1147942126102786,1.1056644428905595
2025-06-17 17:15:00+00:00,0.9872900163852155,0.9690267375045905,1.0,1.0,1.0995763594016064,1.09057121850921
2025-06-17 17:30:00+00:00,0.995297724835505,0.9768863162156998,1.0,1.0,1.1084947995344834,1.0994166197764819
2025-06-17 17:45:00+00:00,0.9906653380887328,0.9723396211802131,1.0,1.0,1.1033355627653265,1.0942996353289636
2025-06-17 18:00:00+00:00,0.9918063654809517,0.9734595413991307,1.0,1.0,1.1046063613403059,1.095560026513755
2025-06-17 18:15:00+00:00,1.000523587347959,0.982015508668827,1.0,1.0,1.1143150091798888,1.1051891639665214
2025-06-17 18:30:00+00:00,0.9926346546624432,0.9742725085616973,1.0,1.0,1.1055288534020111,1.0964749636922393
2025-06-17 18:45:00+00:00,0.9707384891967827,0.9527813869733971,1.0,1.0,1.0811423960206858,1.0722882227587147
2025-06-17 19:00:00+00:00,0.9545136332777662,0.9368566648180459,1.0,1.0,1.063072256844593,1.054366071621683
2025-06-17 19:15:00+00:00,0.9460317902155394,0.9285317222234591,1.0,1.0,1.0536257578821846,1.044996936139645
2025-06-17 19:30:00+00:00,0.9459854989332641,0.9284862872555231,1.0,1.0,1.0535742018056604,1.0449458022891254
2025-06-17 19:45:00+00:00,0.9520490634768852,0.9344376855982985,1.0,1.0,1.0603273869034728,1.0516436811930947
2025-06-17 20:00:00+00:00,0.9542768789143621,0.9366242900299372,1.0,1.0,1.062808575963936,1.0541045501940376
2025-06-17 20:15:00+00:00,0.9630142116408485,0.9451999961405273,1.0,1.0,1.0725396219087195,1.063755902319457
2025-06-17 20:30:00+00:00,0.9616949812331113,0.9439051693755338,1.0,1.0,1.0710703529554462,1.0622986661584675
2025-06-17 20:45:00+00:00,0.9690146176935961,0.9510894043230245,1.0,1.0,1.0792224653821791,1.0703840156720605
2025-06-17 21:00:00+00:00,0.9757907738502085,0.9577402124789755,1.0,1.0,1.086769286471999,1.0778690309703842
2025-06-17 21:15:00+00:00,0.9789187030831267,0.9608102800471835,1.0,1.0,1.090252960956008,1.0813241753943537
2025-06-17 21:30:00+00:00,0.9765638647160422,0.9584990024060287,1.0,1.0,1.0876303024102059,1.0787229954930453
2025-06-17 21:45:00+00:00,0.9780193240339558,0.9599275380652591,1.0,1.0,1.0892512938428025,1.0803307115799952
2025-06-17 22:00:00+00:00,0.9727244410309385,0.9547306018897388,1.0,1.0,1.0833542138771488,1.0744819266104009
2025-06-17 22:15:00+00:00,0.9646718432477573,0.9468269642262662,1.0,1.0,1.0743857790634608,1.065586940101045
2025-06-17 22:30:00+00:00,0.9614459185891463,0.9436607139902771,1.0,1.0,1.0707929639504237,1.0620235488711394
2025-06-17 22:45:00+00:00,0.9694808851019172,0.9515470465335113,1.0,1.0,1.0797417622562897,1.070899059688717
2025-06-17 23:00:00+00:00,0.9685325353936481,0.9506162397709937,1.0,1.0,1.0786855549591916,1.069851502355253
2025-06-17 23:15:00+00:00,0.9605965291023351,0.9428270368441342,1.0,1.0,1.0698469718061483,1.0610853040674368
2025-06-17 23:30:00+00:00,0.9614798911397845,0.9436940581033171,1.0,1.0,1.0708308002628855,1.0620610753176043
2025-06-17 23:45:00+00:00,0.966981169187502,0.9490935713468556,1.0,1.0,1.076957748968305,1.0681378464834097
2025-06-18 00:00:00+00:00,0.9715056106417658,0.9535343179042938,1.0,1.0,1.0819967636246266,1.073135593394612
2025-06-18 00:15:00+00:00,0.9717742319553183,0.9537979701551785,1.0,1.0,1.0822959357433675,1.073432315399673
2025-06-18 00:30:00+00:00,0.9583846040987479,0.9406560288988917,1.0,1.0,1.067383480428388,1.0586419878114444
