ts,keltner_only_atr_k1,keltner_only_fixed1x_k1,keltner_only_atr_k2
2025-06-16 02:30:00+00:00,1.0093968937495836,1.006570142097535,1.0093968937495836
2025-06-16 02:45:00+00:00,1.0062220884742792,1.00435769088591,1.0062220884742792
2025-06-16 03:00:00+00:00,1.0119858813557787,1.0083781667435943,1.0119858813557787
2025-06-16 03:15:00+00:00,1.0049139572757946,1.0034536785628803,1.0049139572757946
2025-06-16 03:30:00+00:00,1.0090049529418255,1.0063084543198157,1.0090049529418255
2025-06-16 03:45:00+00:00,1.0036801566279476,1.0025972458357995,1.0036801566279476
2025-06-16 04:00:00+00:00,1.0125453310057246,1.008786631709203,1.0125453310057246
2025-06-16 04:15:00+00:00,1.0145948950140489,1.0102136214749176,1.0145948950140489
2025-06-16 04:30:00+00:00,1.0306937666806746,1.0214154911357776,1.0306937666806746
2025-06-16 04:45:00+00:00,1.0373217223794455,1.0260056415488263,1.0373217223794455
2025-06-16 05:00:00+00:00,1.0345690863551484,1.0241029885278736,1.0345690863551484
2025-06-16 05:15:00+00:00,1.0486650509112916,1.033854085260257,1.0486650509112916
2025-06-16 05:30:00+00:00,1.0474223256525976,1.0329978914008282,1.0474223256525976
2025-06-16 05:45:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 06:00:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 06:15:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 06:30:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 06:45:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 07:00:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 07:15:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 07:30:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 07:45:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 08:00:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 08:15:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 08:30:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 08:45:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 09:00:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 09:15:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 09:30:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 09:45:00+00:00,1.0522658101495215,1.0363379601886975,1.0522658101495215
2025-06-16 10:00:00+00:00,1.0584090545240765,1.0404006788525635,1.0584090545240765
2025-06-16 10:15:00+00:00,1.0451149424716335,1.031631035783042,1.0451149424716335
2025-06-16 10:30:00+00:00,1.0473974808047744,1.0331430432088218,1.0473974808047744
2025-06-16 10:45:00+00:00,1.0355197675986152,1.025280604594768,1.0355197675986152
2025-06-16 11:00:00+00:00,1.0305134689395428,1.021954188258053,1.0305134689395428
2025-06-16 11:15:00+00:00,1.034882622639354,1.0248618948460906,1.034882622639354
2025-06-16 11:30:00+00:00,1.0522085309824758,1.0363764129347195,1.0522085309824758
2025-06-16 11:45:00+00:00,1.0512935275747441,1.0357716099644076,1.0512935275747441
2025-06-16 12:00:00+00:00,1.0408456442529903,1.0288632964435198,1.0408456442529903
2025-06-16 12:15:00+00:00,1.036708344523774,1.0261187926687587,1.036708344523774
2025-06-16 12:30:00+00:00,1.049068956719065,1.0343290454864762,1.049068956719065
2025-06-16 12:45:00+00:00,1.0498423035658768,1.0348407326309232,1.0498423035658768
2025-06-16 13:00:00+00:00,1.0513542114524383,1.0358408484132515,1.0513542114524383
2025-06-16 13:15:00+00:00,1.0495601697902024,1.034654664578397,1.0495601697902024
2025-06-16 13:30:00+00:00,1.0608105764871274,1.0420973866794443,1.0608105764871274
2025-06-16 13:45:00+00:00,1.0658204204736526,1.045400094611784,1.0658204204736526
2025-06-16 14:00:00+00:00,1.073205481878796,1.0502611224840306,1.073205481878796
2025-06-16 14:15:00+00:00,1.0836176038308722,1.0570991234143678,1.0836176038308722
2025-06-16 14:30:00+00:00,1.0754462409411485,1.05174966690424,1.0754462409411485
2025-06-16 14:45:00+00:00,1.0728591868706465,1.0500517959249387,1.0728591868706465
2025-06-16 15:00:00+00:00,1.0730362419252395,1.0501680884577675,1.0730362419252395
2025-06-16 15:15:00+00:00,1.0677243019939102,1.0466793124729017,1.0677243019939102
2025-06-16 15:30:00+00:00,1.0620674893795092,1.0429579514223781,1.0620674893795092
2025-06-16 15:45:00+00:00,1.0537735758984212,1.0374922023794215,1.0537735758984212
2025-06-16 16:00:00+00:00,1.0637201129074854,1.0440643344420337,1.0637201129074854
2025-06-16 16:15:00+00:00,1.0579650354798866,1.0402735720569922,1.0579650354798866
2025-06-16 16:30:00+00:00,1.0655425305999906,1.0452736574114947,1.0655425305999906
2025-06-16 16:45:00+00:00,1.0687219421586793,1.0473667163971006,1.0687219421586793
2025-06-16 17:00:00+00:00,1.058254968663986,1.0404828779555528,1.058254968663986
2025-06-16 17:15:00+00:00,1.0658682623876874,1.0455062195210065,1.0658682623876874
2025-06-16 17:30:00+00:00,1.0550573638259337,1.038389818969947,1.0550573638259337
2025-06-16 17:45:00+00:00,1.053296810792754,1.0372270084223882,1.053296810792754
2025-06-16 18:00:00+00:00,1.0521354842608777,1.0364595534609995,1.0521354842608777
2025-06-16 18:15:00+00:00,1.0498488530794226,1.0349478997491732,1.0498488530794226
2025-06-16 18:30:00+00:00,1.0505870819766252,1.035436280179148,1.0505870819766252
2025-06-16 18:45:00+00:00,1.055755878894903,1.0388549431889706,1.055755878894903
2025-06-16 19:00:00+00:00,1.06336309589387,1.0438782847544243,1.06336309589387
2025-06-16 19:15:00+00:00,1.0690466637925884,1.0476225347175634,1.0690466637925884
2025-06-16 19:30:00+00:00,1.0485711951591372,1.0341571885768335,1.0485711951591372
2025-06-16 19:45:00+00:00,1.0442141053765246,1.0312734184188876,1.0442141053765246
2025-06-16 20:00:00+00:00,1.0504321382173996,1.0353953470436503,1.0504321382173996
2025-06-16 20:15:00+00:00,1.0470230870345194,1.0331403434812267,1.0470230870345194
2025-06-16 20:30:00+00:00,1.0531668574980353,1.0372086488773522,1.0531668574980353
2025-06-16 20:45:00+00:00,1.0514081198745004,1.0360462759070308,1.0514081198745004
2025-06-16 21:00:00+00:00,1.0375217328852444,1.0268635294414903,1.0375217328852444
2025-06-16 21:15:00+00:00,1.0352116455220672,1.0253291971206657,1.0352116455220672
2025-06-16 21:30:00+00:00,1.0223755812061606,1.0167973795185055,1.0223755812061606
2025-06-16 21:45:00+00:00,1.0254407805063652,1.0188431559462714,1.0254407805063652
2025-06-16 22:00:00+00:00,1.0309147566524364,1.022493007073081,1.0309147566524364
2025-06-16 22:15:00+00:00,1.022846598821431,1.0171228439501956,1.022846598821431
2025-06-16 22:30:00+00:00,0.9803109798762207,0.9887376960149425,0.9803109798762207
2025-06-16 22:45:00+00:00,0.9928474605371646,0.9972230186982901,0.9928474605371646
2025-06-16 23:00:00+00:00,1.0057121427389628,1.005894321056889,1.0057121427389628
2025-06-16 23:15:00+00:00,0.9903686207709637,0.9955956965398398,0.9903686207709637
