variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
keltner_only_atr_k1,2025-06-16 02:15:00+00:00,2025-06-16 02:30:00+00:00,2025-06-16 05:45:00+00:00,1,41.9927904,43.618056433839996,0.4106800595238095,1.430953333067611,1600,1613,13,take_profit,0.03870345405386533,0.052265810149521474,1.0,1.0522658101495215
keltner_only_atr_k1,2025-06-16 09:45:00+00:00,2025-06-16 10:00:00+00:00,2025-06-17 15:15:00+00:00,1,44.5067956,39.47523133176,0.4179806547619047,1.490131164933442,1630,1747,117,stop_loss,-0.1130515958385464,-0.16972514615150303,1.0522658101495215,0.8736698417316642
keltner_only_atr_k1,2025-06-17 20:45:00+00:00,2025-06-17 21:00:00+00:00,2025-06-18 13:00:00+00:00,-1,39.8810412,38.16552749743238,0.43269345238095236,1.1064738728204424,1770,1834,64,take_profit,0.04301577017421554,0.04532228221315848,0.8736698417316642,0.9132665528597521
keltner_only_atr_k1,2025-06-18 17:00:00+00:00,2025-06-18 17:15:00+00:00,2025-06-19 13:15:00+00:00,-1,38.5335804,36.81204337739809,0.434063988095238,1.0657138410166926,1851,1931,80,take_profit,0.04467627987670486,0.042389020313215564,0.9132665528597521,0.9519790273203046
keltner_only_atr_k1,2025-06-19 17:15:00+00:00,2025-06-19 17:30:00+00:00,2025-06-20 16:15:00+00:00,-1,36.3114696,34.58407746164953,0.4353050595238093,1.001394287667721,1948,2039,91,take_profit,0.04757152925450514,0.04360050067532062,0.9519790273203046,0.9934857895438747
keltner_only_atr_k1,2025-06-20 20:15:00+00:00,2025-06-20 20:30:00+00:00,2025-06-20 22:15:00+00:00,-1,34.699114800000004,33.089672757824765,0.40566815476190465,1.0268392899720848,2056,2063,7,take_profit,0.046382798277471826,0.04722453108977853,0.9934857895438747,1.0404026900994425
keltner_only_atr_k1,2025-06-21 13:45:00+00:00,2025-06-21 14:00:00+00:00,2025-06-21 17:45:00+00:00,-1,34.0493748,32.4657368546819,0.39915476190476196,1.0240539234692356,2126,2141,15,take_profit,0.04651004474003151,0.046724908012517385,1.0404026900994425,1.0890154100903147
keltner_only_atr_k1,2025-06-21 21:45:00+00:00,2025-06-21 22:00:00+00:00,2025-06-23 18:00:00+00:00,-1,32.067168,36.94826282434286,0.40552678571428574,0.9492837799158941,2158,2334,176,stop_loss,-0.15221471457482183,-0.14271717547943852,1.0890154100903147,0.9335942067086426
keltner_only_atr_k1,2025-06-23 22:00:00+00:00,2025-06-23 22:15:00+00:00,2025-06-25 22:15:00+00:00,1,38.2883092,37.0941564,0.4529494047619047,1.1829621462504356,2351,2543,192,timeout_next_open,-0.031188444330678244,-0.040404426295595486,0.9335942067086426,0.8958728683936883
keltner_only_atr_k1,2025-06-26 16:45:00+00:00,2025-06-26 17:00:00+00:00,2025-06-28 17:00:00+00:00,-1,36.395436,36.984787999999995,0.4214122023809522,1.0367995932045386,2618,2810,192,timeout_next_open,-0.016193019366494088,-0.02194638208894384,0.8958728683936883,0.8762117001208023
