label,family,parameter,value,slice,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
baseline,baseline,surface_combo,search_best,q4,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9862635947275792,-1.3736405272420815,-5.035302897110494,0.9496469710288951,-15.547764813126541,71.91011235955057,89,0.9101707102719113,1.004966787085127,0.003955342793490444,1.1250000000000013,-4.425000000000004,11,63,0,15,-1.4930768003275885,False,False,True,True,True,False,False,2026-03-19 18:56:15+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,full,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.9023141822188046,90.23141822188046,82.30529940023636,1.8230529940023636,-12.792639886589042,76.90217391304348,368,0.9408506218541106,1.4753990212022268,0.18136485179166786,0.7500000000000009,-2.950000000000003,30,274,0,64,-0.6760867953945247,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,first_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.7191743533291215,71.91743533291215,175.10140747927306,2.7510140747927307,-10.065791931579394,79.3296089385475,179,0.9152840288689446,2.1275450881909364,0.3076843718847544,0.7500000000000009,-2.950000000000003,8,137,0,34,-0.12029082427570192,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-12-12 00:07:30+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,second_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.1065277809287,10.652778092869998,20.810803892066197,1.208108038920662,-12.792639886588953,74.60317460317461,189,0.9664172148392767,1.1274407041597876,0.061728904190278974,0.7500000000000009,-2.950000000000003,22,137,0,30,-1.1720283172360308,False,False,True,True,True,False,False,2025-12-12 00:07:30+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,last_90d,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,0.9947552630600199,-0.5244736939980066,-2.111479771749103,0.978885202282509,-10.33158716013074,71.42857142857143,84,0.9333333333333333,1.0041688751451952,0.002198615147783024,0.7500000000000009,-2.950000000000003,10,59,0,15,-1.41248254059578,False,False,True,True,True,False,False,2026-03-27 13:45:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,is_2025_05_30_to_2026_03_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.7108808288902084,71.08808288902084,104.29221968753399,2.04292219687534,-12.710247535839814,77.91164658634538,249,0.9068973366719781,1.644240936068531,0.2217132587802924,0.7500000000000009,-2.950000000000003,17,186,0,46,-0.5293125574795989,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,val_2026_03_01_to_2026_06_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.0978033967165455,9.780339671654549,44.83947719340073,1.4483947719340073,-10.000657960127679,74.69879518072288,83,0.9021739130434783,1.2726573217255828,0.12002744031571758,0.7500000000000009,-2.950000000000003,9,62,0,12,-0.9377232612435131,False,False,True,True,True,False,False,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,oos_2026_06_01_to_latest,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.0128331692449757,1.2833169244975684,20.869065498506846,1.2086906549850684,-9.388044501055692,75.0,36,1.4650275540483255,1.0866311715719634,0.04370517991212179,0.7499999999999898,-2.950000000000003,4,26,0,6,-1.1334737091180265,False,False,True,True,True,False,False,2026-06-01 00:00:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,q1,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.1637937774901388,16.37937774901388,76.22412787616064,1.7622412787616064,-10.065791931579394,73.62637362637363,91,0.9306239846600441,1.4696155093255845,0.1724264263400019,0.7500000000000009,-2.950000000000003,5,65,0,21,-0.7215836024386351,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-09-05 05:18:45+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,q2,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.4772156258102087,47.72156258102087,329.45756241881304,4.2945756241881305,-3.6744506650798203,85.22727272727273,88,0.8999440730778449,3.551900869127971,0.4475533837548962,0.7500000000000009,-2.950000000000003,3,72,0,13,0.6023385266541692,False,False,True,True,True,False,False,2025-09-05 05:18:45+00:00,2025-12-12 00:07:30+00:00
