name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold32_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold32,fixed,macd0p0_atr60p0to280p0,1.0,1.8327933906206406,83.27933906206407,76.07618002969762,1.7607618002969763,-19.451969598697016,81.46067415730337,356,0.9101707102719113,1.4153403870854175,0.17841762928353586,0.7500000000000009,-2.950000000000003,44,288,0,24,-0.7380902179050279,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_breakout_w96_k2p5_fixed_tp120p0_sl280p0_hold64_h10p0_atrR1p2_x1,bb_breakout_w96_k2p5,bb_breakout,fixed_tp120p0_sl280p0_hold64,fixed,h10p0_atrR1p2,1.0,1.877326389241401,87.73263892414009,80.06813632473944,1.8006813632473944,-19.9202928707361,77.88461538461539,312,0.7976777011371807,1.3579178979719757,0.21488887532515222,1.0500000000000012,-2.9500000000000135,60,242,0,10,-0.7521235101232577,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold32_macd0p0_atr60p0to280p0_x1,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold32,fixed,macd0p0_atr60p0to280p0,1.0,1.7001751116189192,70.01751116189192,64.14949094721443,1.6414949094721443,-15.701817352387081,82.08469055374593,307,0.7848944046445977,1.4210325254083074,0.18118319919548026,0.7499999999999898,-2.9500000000000135,38,250,0,19,-0.7764144202284831,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_ema_cross_f89_s377_fixed_tp120p0_sl280p0_hold64_rsi48to78_atrR1p2_x3,ema_cross_f89_s377,ema_cross,fixed_tp120p0_sl280p0_hold64,fixed,rsi48to78_atrR1p2,3.0,3.606906171717244,260.6906171717244,231.33213149712805,3.3133213149712804,-20.46826973990158,82.35294117647058,102,0.2607792484486937,2.090538916574395,1.3532329993290406,3.1500000000000035,-8.85000000000004,13,84,0,5,-0.7793551247229125,False,False,False,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp60p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x2,bb_reversion_w48_k1p5,bb_reversion,fixed_tp60p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,2.0,1.7255722540131972,72.55722540131973,66.43814541431658,1.6643814541431659,-20.04885910718587,85.35031847133759,314,0.802791019734214,1.3362707876466815,0.19212278007993477,0.9000000000000011,-5.900000000000006,22,266,0,26,-0.7808655269849001,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.7319803216079437,73.19803216079437,67.0152527369886,1.670152527369886,-13.873626332638766,77.41935483870968,310,0.7925643825401475,1.477762966491295,0.18397143126316215,0.7499999999999898,-2.9500000000000135,26,234,0,50,-0.7846125061898892,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp120p0_sl280p0_hold64_macd0p0_atr60p0to280p0_x1,bb_reversion_w48_k1p5,bb_reversion,fixed_tp120p0_sl280p0_hold64,fixed,macd0p0_atr60p0to280p0,1.0,1.7678818900499749,76.78818900499749,70.24593218407504,1.7024593218407504,-17.407967996351115,78.18791946308725,298,0.7618844709579482,1.3341958507438685,0.20448609424533723,1.0500000000000012,-2.9500000000000135,59,231,0,8,-0.7898806875844036,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_breakout_w96_k2p5_fixed_tp120p0_sl280p0_hold64_atr35p0to400p0_atrR1p2_x1,bb_breakout_w96_k2p5,bb_breakout,fixed_tp120p0_sl280p0_hold64,fixed,atr35p0to400p0_atrR1p2,1.0,2.0393091199112874,103.93091199112874,94.53664120720642,1.9453664120720642,-20.539599062963056,76.19047619047619,483,1.2348664411835202,1.252966565254758,0.16099916071956386,1.0500000000000012,-2.9500000000000135,99,366,0,18,-0.7914240541129623,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold32_adx28_rsi42to82_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold32,fixed,adx28_rsi42to82,1.5,1.943580940485998,94.35809404859981,85.99567869275081,1.8599567869275082,-20.402312666608914,78.34549878345499,411,1.0507869716903246,1.259815486008216,0.18091688596448754,1.1250000000000013,-4.42500000000002,53,320,0,38,-0.7944817388400209,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
HYPE_15M_MII_bb_breakout_w96_k2p5_fixed_tp120p0_sl280p0_hold64_adx34_atrR1p2_x1p5,bb_breakout_w96_k2p5,bb_breakout,fixed_tp120p0_sl280p0_hold64,fixed,adx34_atrR1p2,1.5,2.3795787585949864,137.95787585949864,124.68973705349131,2.246897370534913,-13.594858614145267,80.85106382978722,188,0.4806519481211217,1.6223204469492816,0.4884765564087754,1.5750000000000017,-4.42500000000002,32,152,0,4,-0.7972199704425562,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
