strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position
composite,6A=F,fx,-0.004829306428577422,-0.005676225576857443,4.234595741400103,0.0764026316442751
composite,6B=F,fx,0.0031190463699673726,0.001962829888815959,5.781082405757064,0.09669583712764025
composite,6C=F,fx,-0.008883993933337518,-0.010519745918764077,8.17875992713281,0.1389488322951074
composite,6E=F,fx,0.00018114522418343838,-0.0009078673170186991,5.445062706010688,0.10579277728679296
composite,6J=F,fx,0.01591259201825003,0.015228947171018945,3.418224236155414,0.08065618884799725
composite,6S=F,fx,0.010180217892349196,0.009231662815654136,4.742775383475306,0.08848601381216115
composite,BZ=F,commodity,0.00048684192400585036,0.0003271901954735517,0.7982586426614922,0.01734031549583753
composite,ES=F,equity_index,0.022898640307097942,0.022392548572709288,2.530458671943281,0.06597424818637708
composite,GC=F,commodity,0.03819804284368084,0.03789313590828446,1.5245346769819024,0.040164312452017244
composite,HG=F,commodity,0.004914090190723486,0.004682289593437682,1.1590029864290137,0.022699729699932128
composite,NG=F,commodity,-0.01346465626374739,-0.01353260819682081,0.33975966536708785,0.006280096957428599
composite,NKD=F,equity_index,0.02963398944154485,0.029167129358586768,2.334300414790392,0.048958281274844966
composite,NQ=F,equity_index,0.027988340149963924,0.027676107890022422,1.5611612997075115,0.04801643469144026
composite,RTY=F,equity_index,-0.033241389418641354,-0.033734607226167376,2.4660890376301166,0.045148858928070926
composite,SI=F,commodity,0.017738821249613776,0.017564534740085937,0.8714325476391991,0.018315534400091843
composite,UB=F,bond,0.006257492602598057,0.005695133017797717,2.8117979240016946,0.06398895479503419
composite,YM=F,equity_index,0.005138255667957556,0.00453540190431677,3.0142688182039294,0.07106501068499148
composite,ZB=F,bond,-0.004495368977912898,-0.0052240163896032366,3.643237058451695,0.07954798609934322
composite,ZC=F,commodity,0.007145881468508289,0.006908187383847862,1.188470423302137,0.023432400537019376
composite,ZF=F,bond,0.003321292165063986,0.0008438006001741609,12.387457824449124,0.25035701465322585
composite,ZN=F,bond,-0.0014284099340417522,-0.003060212226371961,8.159011461651042,0.17076249318801504
