year,strategy,asset_class,gross_contribution,net_contribution_2bps,turnover,surface
2022,always_long,bond,-0.22365621566173619,-0.22407971380275174,2.1174907050777687,24_yahoo_continuous_futures
2022,always_long,commodity,0.05415457273630824,0.0540727508916526,0.40910922327823623,24_yahoo_continuous_futures
2022,always_long,equity_index,-0.0723755211529733,-0.07244059278596786,0.3253581649728666,24_yahoo_continuous_futures
2022,always_long,fx,-0.10347335224561183,-0.10367357041117706,1.00109082782615,24_yahoo_continuous_futures
2022,mop_tsmom,bond,0.22365621566173619,0.22323271752072063,2.1174907050777687,24_yahoo_continuous_futures
2022,mop_tsmom,commodity,0.04206478392153574,0.04169780466573701,1.8348962789936456,24_yahoo_continuous_futures
2022,mop_tsmom,equity_index,-0.05893087491338162,-0.05927690230405972,1.7301369533904989,24_yahoo_continuous_futures
2022,mop_tsmom,fx,0.07178274479199474,0.071298527411308,2.421086903433713,24_yahoo_continuous_futures
2023,always_long,bond,0.009921572454494381,0.00967737145688287,1.2210049880575744,24_yahoo_continuous_futures
2023,always_long,commodity,-0.023920507765436454,-0.024007333587158994,0.43412910861269766,24_yahoo_continuous_futures
2023,always_long,equity_index,0.1124081291334165,0.11234139762084945,0.33365756283524056,24_yahoo_continuous_futures
2023,always_long,fx,0.03997306544514431,0.039828627873846945,0.7221878564868506,24_yahoo_continuous_futures
2023,mop_tsmom,bond,-0.009921572454494381,-0.010165773452105899,1.2210049880575744,24_yahoo_continuous_futures
2023,mop_tsmom,commodity,-0.02904282117642399,-0.02950413045704928,2.306546403126455,24_yahoo_continuous_futures
2023,mop_tsmom,equity_index,0.01052107767892821,0.010175165514740472,1.729560820938688,24_yahoo_continuous_futures
2023,mop_tsmom,fx,-0.030158648747452742,-0.031123229807036006,4.822905297916308,24_yahoo_continuous_futures
2024,always_long,bond,-0.03714599654982622,-0.03737509136133142,1.1454740575260465,24_yahoo_continuous_futures
2024,always_long,commodity,0.04327490008563432,0.04318998403033376,0.424580276502814,24_yahoo_continuous_futures
2024,always_long,equity_index,0.10160521524109666,0.10152511780221055,0.4004871944305053,24_yahoo_continuous_futures
2024,always_long,fx,-0.09315119100117862,-0.0933498177930019,0.993133959116404,24_yahoo_continuous_futures
2024,mop_tsmom,bond,-0.030521292638749007,-0.03247515581069651,9.769315859737496,24_yahoo_continuous_futures
2024,mop_tsmom,commodity,0.005756676595881952,0.005384953659092398,1.858614683947771,24_yahoo_continuous_futures
2024,mop_tsmom,equity_index,0.10160521524109666,0.101494466765033,0.5537423803182284,24_yahoo_continuous_futures
2024,mop_tsmom,fx,-0.09538451627619207,-0.09842120493504479,15.183443294263585,24_yahoo_continuous_futures
2025,always_long,bond,0.04241417551579583,0.042103959639327414,1.5510793823420568,24_yahoo_continuous_futures
2025,always_long,commodity,0.11690379934744428,0.11680754780829301,0.48125769575630584,24_yahoo_continuous_futures
2025,always_long,equity_index,0.05742284116354842,0.05731718118876072,0.5282998739385472,24_yahoo_continuous_futures
2025,always_long,fx,0.10134456746418598,0.10113654674223789,1.0401036097403653,24_yahoo_continuous_futures
2025,mop_tsmom,bond,-0.024776424332485315,-0.028306545020146144,17.650603438304138,24_yahoo_continuous_futures
2025,mop_tsmom,commodity,0.1107760188923415,0.11036350600788697,2.062564422272616,24_yahoo_continuous_futures
2025,mop_tsmom,equity_index,0.029802888637447175,0.029534453487609958,1.3421757491860913,24_yahoo_continuous_futures
