ts,close,return,sigma_ann,month,return_1m,forecast_1m,return_3m,forecast_3m,return_12m,forecast_12m,forecast_composite,forecast_long_only,symbol,asset_class
2020-01-31 00:00:00+00:00,3224.0,-0.019986321149023434,,2020-01,,,,,,,,1.0,ES=F,equity_index
2020-02-28 00:00:00+00:00,2951.0,-0.00202908353060538,,2020-02,-0.08467741935483875,-1.0,,,,,,1.0,ES=F,equity_index
2020-03-31 00:00:00+00:00,2569.75,-0.015892771661081828,0.5144344358844711,2020-03,-0.1291934937309387,-1.0,,,,,,1.0,ES=F,equity_index
2020-04-30 00:00:00+00:00,2902.5,-0.01309078544712683,0.48513057623164935,2020-04,0.129487304212472,1.0,-0.0997208436724566,-1.0,,,,1.0,ES=F,equity_index
2020-05-29 00:00:00+00:00,3042.0,0.0013166556945358732,0.43122168892880447,2020-05,0.04806201550387601,1.0,0.03083700440528636,1.0,,,,1.0,ES=F,equity_index
2020-06-30 00:00:00+00:00,3090.25,0.013944713313099877,0.38962162696218483,2020-06,0.015861275476660053,1.0,0.20254888607841237,1.0,,,,1.0,ES=F,equity_index
2020-07-31 00:00:00+00:00,3263.5,0.004540207772220084,0.3345376432416414,2020-07,0.05606342528921604,1.0,0.12437553832902659,1.0,,,,1.0,ES=F,equity_index
2020-08-31 00:00:00+00:00,3499.0,-0.0015694107575974225,0.2858237202073115,2020-08,0.07216178948981145,1.0,0.15023011176857337,1.0,,,,1.0,ES=F,equity_index
2020-09-30 00:00:00+00:00,3352.0,0.005474315710536137,0.2721612650049731,2020-09,-0.04201200342955125,-1.0,0.0847018849607637,1.0,,,,1.0,ES=F,equity_index
2020-10-30 00:00:00+00:00,3264.75,-0.01135589370883483,0.2516318370590949,2020-10,-0.02602923627684961,-1.0,0.00038302436034931553,1.0,,,,1.0,ES=F,equity_index
2020-11-30 00:00:00+00:00,3623.25,-0.00364361336449881,0.23330365444407095,2020-11,0.10980932690098788,1.0,0.03551014575593037,1.0,,,,1.0,ES=F,equity_index
2020-12-31 00:00:00+00:00,3748.75,0.006578505739410545,0.20092585577482638,2020-12,0.0346374111640102,1.0,0.11836217183770881,1.0,,,,1.0,ES=F,equity_index
2021-01-29 00:00:00+00:00,3705.25,-0.019580604617318254,0.18959795152875025,2021-01,-0.011603867955985336,-1.0,0.13492610460219012,1.0,0.1492710918114144,1.0,0.3333333333333333,1.0,ES=F,equity_index
2021-02-26 00:00:00+00:00,3809.25,-0.004898119122257016,0.1812791656296918,2021-02,0.028068281492476865,1.0,0.05133512730283596,1.0,0.29083361572348365,1.0,1.0,1.0,ES=F,equity_index
2021-03-31 00:00:00+00:00,3967.5,0.005002849724526692,0.1742636323340862,2021-03,0.041543610947036846,1.0,0.05835278426142043,1.0,0.5439245062749294,1.0,1.0,1.0,ES=F,equity_index
2021-04-30 00:00:00+00:00,4174.5,-0.006899012727489051,0.15754493745160703,2021-04,0.05217391304347818,1.0,0.12664462586869973,1.0,0.43824289405684747,1.0,1.0,1.0,ES=F,equity_index
2021-05-28 00:00:00+00:00,4202.5,0.000833531793284159,0.15208791076915065,2021-05,0.006707390106599487,1.0,0.10323554505480081,1.0,0.38149243918474696,1.0,1.0,1.0,ES=F,equity_index
2021-06-30 00:00:00+00:00,4288.5,0.001517982251284522,0.13162879994343324,2021-06,0.020464009518143866,1.0,0.08090737240075607,1.0,0.3877518000161799,1.0,1.0,1.0,ES=F,equity_index
