year,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
2022,tsmom_1m,1M,0.0,0.05618823977206433,0.05618823977206433,-0.09984241982745845,27.36215829093429
2022,tsmom_1m,1M,2.0,0.05044747193832988,0.05618823977206433,-0.10177557691496819,27.36215829093429
2023,tsmom_1m,1M,0.0,-0.0021986187531450874,-0.0021986187531450874,-0.12953709347223774,26.75034541448948
2023,tsmom_1m,1M,2.0,-0.00750792898246222,-0.0021986187531450874,-0.13151696898311582,26.75034541448948
2024,tsmom_1m,1M,0.0,-0.08355575574618879,-0.08355575574618879,-0.10949871766705732,33.200588071167786
2024,tsmom_1m,1M,2.0,-0.08962164833950559,-0.08355575574618879,-0.1147535963541696,33.200588071167786
2025,tsmom_1m,1M,0.0,0.0774581544447126,0.0774581544447126,-0.06513491530586002,38.585515406327005
2025,tsmom_1m,1M,2.0,0.06916530824889278,0.0774581544447126,-0.06814867478315823,38.585515406327005
2026,tsmom_1m,1M,0.0,-0.04296009705883408,-0.04296009705883408,-0.09316850952421907,19.488025899053735
2026,tsmom_1m,1M,2.0,-0.04669703578753648,-0.04296009705883408,-0.09535640261252032,19.488025899053735
2022,tsmom_3m,3M,0.0,0.14004435756312117,0.14004435756312117,-0.0764651721204267,14.144440789006484
2022,tsmom_3m,3M,2.0,0.1368296538925906,0.14004435756312117,-0.07684221823489867,14.144440789006484
2023,tsmom_3m,3M,0.0,-0.1132442672423366,-0.1132442672423366,-0.13965806165359473,19.94214937241832
2023,tsmom_3m,3M,2.0,-0.11676191403610192,-0.1132442672423366,-0.1426485341181668,19.94214937241832
2024,tsmom_3m,3M,0.0,-0.03409980803606494,-0.03409980803606494,-0.09882489726254451,20.176362517203323
2024,tsmom_3m,3M,2.0,-0.037986279450968774,-0.03409980803606494,-0.10126426294828161,20.176362517203323
2025,tsmom_3m,3M,0.0,0.03943461283293637,0.03943461283293637,-0.06448064372808271,19.20176833203397
2025,tsmom_3m,3M,2.0,0.03543868106953152,0.03943461283293637,-0.0652265570056011,19.20176833203397
2026,tsmom_3m,3M,0.0,-0.012087564532218154,-0.012087564532218154,-0.09323054376640405,12.989270902093493
2026,tsmom_3m,3M,2.0,-0.014660221262835171,-0.012087564532218154,-0.09484091217136248,12.989270902093493
2022,tsmom_12m,12M,0.0,0.17178453708079244,0.17178453708079244,-0.07501940485279124,4.747687553693904
2022,tsmom_12m,12M,2.0,0.1706741931612521,0.17178453708079244,-0.07509566709207982,4.747687553693904
2023,tsmom_12m,12M,0.0,-0.022557605167613626,-0.022557605167613626,-0.05902306378056699,6.731862697933543
2023,tsmom_12m,12M,2.0,-0.02387411884342272,-0.022557605167613626,-0.0593227936591576,6.731862697933543
2024,tsmom_12m,12M,0.0,4.139333169139725e-05,4.139333169139725e-05,-0.09426209561268406,18.9119576650686
2024,tsmom_12m,12M,2.0,-0.003739500221164538,4.139333169139725e-05,-0.09598282121937074,18.9119576650686
2025,tsmom_12m,12M,0.0,0.057361432442619265,0.057361432442619265,-0.0684722871521668,17.987719713284456
2025,tsmom_12m,12M,2.0,0.0535606951648635,0.057361432442619265,-0.0690216322112217,17.987719713284456
2026,tsmom_12m,12M,0.0,0.04956592468999044,0.04956592468999044,-0.07976871224590631,6.306245676154254
2026,tsmom_12m,12M,2.0,0.048243653641226736,0.04956592468999044,-0.07982746339720426,6.306245676154254
2022,composite,Composite,0.0,0.16252942204952658,0.16252942204952658,-0.0645404159410563,17.361388002870413
2022,composite,Composite,2.0,0.15851470093650488,0.16252942204952658,-0.0650317908858159,17.361388002870413
2023,composite,Composite,0.0,-0.05422163928659385,-0.05422163928659385,-0.0828801615799386,18.078603934919588
2023,composite,Composite,2.0,-0.057629898474991004,-0.05422163928659385,-0.08409077728719727,18.078603934919588
2024,composite,Composite,0.0,-0.03982564827220347,-0.03982564827220347,-0.09216441089937,24.38873400694297
2024,composite,Composite,2.0,-0.04450045129034863,-0.03982564827220347,-0.09545624808668318,24.38873400694297
2025,composite,Composite,0.0,0.07252733288396462,0.07252733288396462,-0.06085024768185887,29.237094365228884
2025,composite,Composite,2.0,0.0662655117022557,0.07252733288396462,-0.06214267479576818,29.237094365228884
2026,composite,Composite,0.0,-0.001660106885314372,-0.001660106885314372,-0.08496949138958176,15.421664372571
2026,composite,Composite,2.0,-0.004746050579528482,-0.001660106885314372,-0.08589034359571368,15.421664372571
2022,long_only,Long-only RP,0.0,-0.19053139428960553,-0.19053139428960553,-0.21961442678983023,2.579602626930367
2022,long_only,Long-only RP,2.0,-0.1909494842800371,-0.19053139428960553,-0.21997828593415847,2.579602626930367
2023,long_only,Long-only RP,0.0,0.07676878513699448,0.07676878513699448,-0.1171656734942923,2.311887265113574
2023,long_only,Long-only RP,2.0,0.07627168402473306,0.07676878513699448,-0.11725934860553078,2.311887265113574
2024,long_only,Long-only RP,0.0,-0.0008450884420230231,-0.0008450884420230231,-0.09033854708734379,2.203790023180874
2024,long_only,Long-only RP,2.0,-0.0012864121686605445,-0.0008450884420230231,-0.09046693967446251,2.203790023180874
2025,long_only,Long-only RP,0.0,0.1775153359701822,0.1775153359701822,-0.05185608803101882,3.114291795854751
2025,long_only,Long-only RP,2.0,0.1767821182885363,0.1775153359701822,-0.05185608803101904,3.114291795854751
2026,long_only,Long-only RP,0.0,0.020980878585767027,0.020980878585767027,-0.07173567774359402,1.1478276337735922
2026,long_only,Long-only RP,2.0,0.020746053144252485,0.020980878585767027,-0.07174925790645181,1.1478276337735922
