surface,month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
24_yahoo_continuous_futures,2022-01,mop_tsmom,MOP 12M TSMOM,0.0,0.061886502552900735,0.061886502552900735,-0.03343488056899946,0.3532945410921531
24_yahoo_continuous_futures,2022-01,mop_tsmom,MOP 12M TSMOM,2.0,0.06181403247022632,0.061886502552900735,-0.03343488056899946,0.3532945410921531
24_yahoo_continuous_futures,2022-02,mop_tsmom,MOP 12M TSMOM,0.0,0.01897819399956746,0.01897819399956746,-0.020547532593994333,1.1898631573520377
24_yahoo_continuous_futures,2022-02,mop_tsmom,MOP 12M TSMOM,2.0,0.018736222919889522,0.01897819399956746,-0.020547532593994222,1.1898631573520377
24_yahoo_continuous_futures,2022-03,mop_tsmom,MOP 12M TSMOM,0.0,0.10089017915430043,0.10089017915430043,-0.026080158018787714,0.7525421177922864
24_yahoo_continuous_futures,2022-03,mop_tsmom,MOP 12M TSMOM,2.0,0.10072485792571939,0.10089017915430043,-0.026080158018787603,0.7525421177922864
24_yahoo_continuous_futures,2022-04,mop_tsmom,MOP 12M TSMOM,0.0,0.05874686611605684,0.05874686611605684,-0.02213739793445757,1.0722862936780742
24_yahoo_continuous_futures,2022-04,mop_tsmom,MOP 12M TSMOM,2.0,0.05852102541726789,0.05874686611605684,-0.022137397934457237,1.0722862936780742
24_yahoo_continuous_futures,2022-05,mop_tsmom,MOP 12M TSMOM,0.0,-0.01857719978626926,-0.01857719978626926,-0.06589898540304762,2.0102426413237615
24_yahoo_continuous_futures,2022-05,mop_tsmom,MOP 12M TSMOM,2.0,-0.01896702429624708,-0.01857719978626926,-0.06589898540304795,2.0102426413237615
24_yahoo_continuous_futures,2022-06,mop_tsmom,MOP 12M TSMOM,0.0,0.05844251636291875,0.05844251636291875,-0.0587618787318922,0.4922251590673177
24_yahoo_continuous_futures,2022-06,mop_tsmom,MOP 12M TSMOM,2.0,0.058339082595595615,0.05844251636291875,-0.0587618787318922,0.4922251590673177
24_yahoo_continuous_futures,2022-07,mop_tsmom,MOP 12M TSMOM,0.0,-0.04806589204222844,-0.04806589204222844,-0.07555917010701718,0.46850472454509123
24_yahoo_continuous_futures,2022-07,mop_tsmom,MOP 12M TSMOM,2.0,-0.04815491815716022,-0.04806589204222844,-0.07555917010701729,0.46850472454509123
24_yahoo_continuous_futures,2022-08,mop_tsmom,MOP 12M TSMOM,0.0,0.08179782273081626,0.08179782273081626,-0.02415491722882901,0.5008549691331399
24_yahoo_continuous_futures,2022-08,mop_tsmom,MOP 12M TSMOM,2.0,0.08168825851292771,0.08179782273081626,-0.024154917228828787,0.5008549691331399
24_yahoo_continuous_futures,2022-09,mop_tsmom,MOP 12M TSMOM,0.0,0.10767114932821875,0.10767114932821875,-0.03694469596386041,0.31662279703865537
