ts,close,return,sigma_ann,month,return_12m,forecast_12m,forecast_always_long,symbol,asset_class,surface
2020-01-31 00:00:00+00:00,3224.0,-0.019986321149023434,,2020-01,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-02-28 00:00:00+00:00,2951.0,-0.00202908353060538,,2020-02,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-03-31 00:00:00+00:00,2569.75,-0.015892771661081828,0.5140003355429976,2020-03,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-04-30 00:00:00+00:00,2902.5,-0.01309078544712683,0.4895863734398007,2020-04,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-05-29 00:00:00+00:00,3042.0,0.0013166556945358732,0.43518509544972456,2020-05,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-06-30 00:00:00+00:00,3090.25,0.013944713313099877,0.394306532867333,2020-06,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-07-31 00:00:00+00:00,3263.5,0.004540207772220084,0.33762046004510793,2020-07,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-08-31 00:00:00+00:00,3499.0,-0.0015694107575974225,0.2875655704970803,2020-08,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-09-30 00:00:00+00:00,3352.0,0.005474315710536137,0.2747950205065332,2020-09,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-10-30 00:00:00+00:00,3264.75,-0.01135589370883483,0.2550541712155505,2020-10,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-11-30 00:00:00+00:00,3623.25,-0.00364361336449881,0.23470399525683694,2020-11,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2020-12-31 00:00:00+00:00,3748.75,0.006578505739410545,0.202069190613886,2020-12,,,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-01-29 00:00:00+00:00,3705.25,-0.019580604617318254,0.19521266854346112,2021-01,0.1492710918114144,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-02-26 00:00:00+00:00,3809.25,-0.004898119122257016,0.18276318869855088,2021-02,0.29083361572348365,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-03-31 00:00:00+00:00,3967.5,0.005002849724526692,0.17525823709154484,2021-03,0.5439245062749294,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-04-30 00:00:00+00:00,4174.5,-0.006899012727489051,0.15794190101289485,2021-04,0.43824289405684747,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-05-28 00:00:00+00:00,4202.5,0.000833531793284159,0.1523460054060183,2021-05,0.38149243918474696,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-06-30 00:00:00+00:00,4288.5,0.001517982251284522,0.1316726774298341,2021-06,0.3877518000161799,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-07-30 00:00:00+00:00,4389.5,-0.005043350144500525,0.12712837171419525,2021-07,0.3450283438026658,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-08-31 00:00:00+00:00,4520.5,-0.001049665764322416,0.11544935221939108,2021-08,0.2919405544441269,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-09-30 00:00:00+00:00,4297.75,-0.011954710040806948,0.12747342925767718,2021-09,0.28214498806682586,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-10-29 00:00:00+00:00,4597.0,0.002070844686648421,0.12262742500359769,2021-10,0.40807106210276434,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-11-30 00:00:00+00:00,4566.25,-0.01822188776607181,0.12529363351142891,2021-11,0.2602635755192162,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2021-12-31 00:00:00+00:00,4758.5,-0.0028812405050029355,0.14093123638042873,2021-12,0.2693564521507168,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-01-31 00:00:00+00:00,4504.25,0.01831232690894713,0.15795504166348473,2022-01,0.21563997031239457,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-02-28 00:00:00+00:00,4368.0,-0.002739726027397249,0.1783343597757696,2022-02,0.14668241779877933,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-03-31 00:00:00+00:00,4530.75,-0.01419712793733685,0.19464230636872337,2022-03,0.14196597353497165,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-04-29 00:00:00+00:00,4127.5,-0.036418816388467334,0.2162209782225033,2022-04,-0.011258833393220757,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-05-31 00:00:00+00:00,4131.25,-0.005895446068699961,0.24623358869247916,2022-05,-0.016954193932183226,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-06-30 00:00:00+00:00,3789.5,-0.008308799476611006,0.26238787087012944,2022-06,-0.11635770082779529,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-07-29 00:00:00+00:00,4133.5,0.014729348226341088,0.24857730847113535,2022-07,-0.058320993279416755,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-08-31 00:00:00+00:00,3956.5,-0.007774294670846449,0.2336588291905371,2022-08,-0.12476495962835965,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-09-30 00:00:00+00:00,3601.5,-0.014435246630635556,0.23711117281009803,2022-09,-0.16200337385841423,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-10-31 00:00:00+00:00,3883.0,-0.007222754873761561,0.25056472696010335,2022-10,-0.15531868609963018,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-11-30 00:00:00+00:00,4081.25,0.03009843513377075,0.25776709086866073,2022-11,-0.10621407062688204,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2022-12-30 00:00:00+00:00,3861.0,-0.00277652224446312,0.23762570527236612,2022-12,-0.1886098560470737,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2023-01-31 00:00:00+00:00,4090.0,0.014259144451332917,0.22066271227139542,2023-01,-0.09196869623133708,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2023-02-28 00:00:00+00:00,3975.5,-0.0031344032096288776,0.20483377045627385,2023-02,-0.08985805860805862,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2023-03-31 00:00:00+00:00,4137.75,0.014154411764705888,0.19551513133676116,2023-03,-0.08674060585995691,-1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2023-04-28 00:00:00+00:00,4188.5,0.008365934396629582,0.17871291785141286,2023-04,0.014778921865536088,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
2023-05-31 00:00:00+00:00,4190.5,-0.005812574139976268,0.1646319786320216,2023-05,0.014341906202723242,1.0,1.0,ES=F,equity_index,24_yahoo_continuous_futures
