factor,label,observations,correlation,mean_difference_monthly,mean_absolute_difference_monthly,max_absolute_difference_monthly
TSMOM,Diversified,300,0.9744175023698748,-0.00019549789793010355,0.004953991366087331,0.0457885362009559
TSMOM^EQ,Equity indices,300,0.9988588062847801,-1.7142136821262984e-05,0.001029404875569831,0.0475354027829995
TSMOM^FX,Currencies,300,0.9924684553845513,0.00034203533844648777,0.003171657683084229,0.03534082316725359
TSMOM^FI,Fixed income,300,0.974581819006693,-0.001006461250653772,0.009593537257464008,0.15014628827923748
TSMOM^CM,Commodities,300,0.9312053066271391,-0.00032895701258008373,0.00902198529738098,0.10023431335491309
