DATE,TSMOM,TSMOM^EQ,TSMOM^FX,TSMOM^FI,TSMOM^CM
1991-10-31,0.006289379,0.009072945,0.03065319,0.09391467,-0.04055337
1991-11-29,-0.006106876,-0.06839009,-0.03433156,0.003380975,0.04068857
1991-12-31,0.05034851,0.06094671,-0.07097661,0.2044758,0.07455704
1992-01-31,-0.01039539,0.0375236,-0.01124503,-0.03184657,-0.02663807
1992-02-28,0.0005673695,0.0447715,-0.008138239,0.01570761,-0.0207777
1992-03-31,-0.01468785,-0.001061823,-0.02120592,-0.1205789,0.01814151
1992-04-30,0.01472199,0.03676247,-0.03350818,0.04575095,0.02551221
1992-05-29,0.01566111,-0.0203152,0.05477937,0.09185106,-0.01782621
1992-06-30,0.0215256,0.01824713,0.007015068,0.08791129,0.01070996
1992-07-31,0.04190531,0.08791694,0.01478859,0.18322,-0.01012759
1992-08-31,0.04680062,0.06107198,0.08234247,-0.01425172,0.03632116
1992-09-30,0.03262985,0.03279831,0.08615874,-0.02804658,0.01708518
1992-10-30,0.01607735,-0.02694996,-0.03622146,0.09307895,0.04678967
1992-11-30,0.02204578,-0.02769336,0.113394,-0.05650581,0.0122004
1992-12-31,0.01374223,-0.01580311,0.01350069,0.09352755,0.002080826
1993-01-29,0.02357816,-0.02268592,0.04486517,0.1015097,0.006541676
1993-02-26,0.04055397,-0.07316834,0.01657483,0.2371275,0.04787669
1993-03-31,-0.01098484,-0.02105095,-0.004090309,-0.03860578,-0.001341159
1993-04-30,-0.01864546,-0.04343465,-0.005400925,-0.0213862,-0.01416697
1993-05-31,0.03272694,0.00544715,0.07297696,-0.01235639,0.03456127
1993-06-30,0.006938237,-0.059073,0.02532303,0.149924,-0.0199746
1993-07-30,0.0336846,0.02508053,0.01854876,0.1132129,0.02156775
1993-08-31,0.06214525,0.1725431,0.05586522,0.1765897,-0.02701515
1993-09-30,-0.02584572,-0.09536397,0.03068618,0.02087379,-0.0443477
1993-10-29,0.05476967,0.1332262,-0.0397703,0.1104267,0.06001571
1993-11-30,0.007999912,-0.1149425,0.01445271,0.0312701,0.05741251
1993-12-31,0.07397283,0.1801715,-0.03134342,0.1311071,0.07203954
1994-01-31,-0.005349561,0.1126667,-0.02762494,-0.02924962,-0.04154075
1994-02-28,-0.05155176,-0.1034309,0.04773179,-0.2590734,0.0004306379
1994-03-31,-0.0656361,-0.1020649,-0.01746981,-0.2089409,-0.01584154
1994-04-29,0.001402614,0.0393769,0.0307142,-0.02765707,-0.02421017
1994-05-31,0.0172019,-0.07460519,-0.0247702,-0.01848869,0.1069493
1994-06-30,-0.0104736,-0.1023872,0.02360986,0.02769493,-0.004202926
1994-07-29,-0.01680721,0.007002724,0.01000722,-0.06316221,-0.02598624
1994-08-31,0.01015951,0.01392972,0.01322623,-0.02204603,0.02054351
1994-09-30,0.02380248,-0.04363291,0.006490427,0.079151,0.0444622
1994-10-31,0.006038502,-0.03101531,0.001252482,0.0223417,0.02051022
1994-11-30,0.01429024,-0.0004528734,-0.02109054,-0.01792331,0.05956611
1994-12-30,0.01664196,0.03532822,0.04245874,-0.01342772,0.003451952
1995-01-31,0.00475708,0.01230091,0.02486818,-0.04825978,0.01114082
1995-02-28,-0.00966871,-0.005324033,0.04973881,-0.1420117,0.007373045
1995-03-31,0.05460199,0.06368566,0.1825186,0.04164969,-0.02946104
1995-04-28,-0.01886328,-0.07560747,-0.01444695,-0.005578169,0.0006601044
1995-05-31,0.01373971,0.003963591,-0.04630472,0.170466,-0.009696702
1995-06-30,0.009093271,0.04499273,0.01624076,-0.04033547,0.008386166
1995-07-31,-0.01778682,-0.003884227,-0.02486926,-0.03249747,-0.01370518
1995-08-31,-0.0174897,-0.006616646,-0.09459514,0.05987592,-0.00651692
1995-09-29,0.04786925,0.0557548,0.06229281,0.07497515,0.02361136
1995-10-31,0.01773926,-0.03026544,0.04726309,0.05808827,0.004842649
1995-11-30,0.03619786,0.01286364,-0.01365815,0.1425656,0.03395249
1995-12-29,0.02284704,-0.006269065,0.01209216,0.04745822,0.03306883
1996-01-31,-0.02791252,0.05087894,-0.0335586,0.02787051,-0.08515643
1996-02-29,-0.02582941,0.01476976,-0.02336407,-0.2083996,0.03986298
1996-03-29,0.0322133,0.02866632,0.05659138,-0.05171137,0.05825057
1996-04-30,0.05118347,0.05250835,0.03165212,-0.01972327,0.09647887
1996-05-31,0.001410335,-0.002355448,0.05603974,-0.01001816,-0.02452988
1996-06-28,0.01664238,0.01334113,0.01536032,0.0004782347,0.02617105
1996-07-31,-0.05840734,-0.1462738,-0.1376583,0.01234026,-0.003153299
1996-08-30,0.04804054,0.03554866,0.06076878,0.07931046,0.03195348
1996-09-30,0.08529935,0.1015128,0.09867064,0.0567705,0.08281851
1996-10-31,0.02312721,0.02641501,0.05840976,0.05492537,-0.01383099
1996-11-29,0.07608519,0.1771969,0.1027867,0.04069049,0.03266277
1996-12-31,0.03040829,0.02447269,0.05597526,0.002165428,0.03044651
1997-01-31,0.05340874,0.1634635,0.05860335,0.04093467,0.008620101
1997-02-28,-0.005044025,0.04703277,0.02007023,0.02140504,-0.05206915
1997-03-31,0.02209375,0.01583743,0.04192354,-0.02351242,0.03456698
1997-04-30,0.02853598,0.06470939,0.02097164,0.02124567,0.02117755
1997-05-30,0.01092583,0.06821439,-0.1425993,0.05570796,0.05087506
1997-06-30,0.03445751,0.1197223,0.0147818,0.1039664,-0.02128628
1997-07-31,0.0751201,0.162341,0.0274908,0.1804805,0.01752737
1997-08-29,-0.0607238,-0.1228228,-0.01347026,-0.07666714,-0.05384733
1997-09-30,0.03832032,0.1510172,0.01460997,0.1310808,-0.03701388
1997-10-31,-0.007449698,-0.1452193,0.01084333,0.06601997,0.005537264
1997-11-28,0.01845689,0.05222181,0.04559209,-0.01692412,0.005925225
1997-12-31,0.05076954,0.05154118,0.01699297,0.0620949,0.06372957
1998-01-30,0.02331675,0.06276254,-0.03361048,0.1038286,0.001634777
1998-02-27,0.03027371,0.09665518,-0.01733148,-0.01278916,0.04785883
1998-03-31,0.04720029,0.1390076,0.05787219,0.03561854,0.01074327
1998-04-30,0.00264858,-0.006781206,-0.03169124,-0.001616512,0.02610931
1998-05-29,0.04451206,0.02844253,0.02977002,0.1024765,0.03328969
1998-06-30,0.02648428,0.017553,0.06523938,-0.008954883,0.02516741
1998-07-31,0.04042574,0.003760477,0.009831607,0.01273255,0.0827757
1998-08-31,0.05233085,-0.174305,0.08979556,0.1766938,0.06739679
1998-09-30,0.003455603,-0.08247973,-0.04936366,0.3115922,-0.06933208
1998-10-30,-0.006752902,0.04743875,-0.0598392,-0.05067211,0.01883418
1998-11-30,0.03955035,0.0593943,-0.004414973,-0.0007058675,0.07222645
1998-12-31,0.03743716,0.04518478,0.01990205,-0.0469042,0.08022439
1999-01-29,-0.005552882,0.0107086,-0.09359708,0.02551155,0.02051376
1999-02-26,-0.01804449,-0.009005093,-0.0397738,-0.1787404,0.05638703
1999-03-31,-0.04524393,-0.007576471,-0.04473554,0.04881097,-0.09881298
1999-04-30,-0.009004928,0.03892589,-0.04347179,0.008933867,-0.01722005
1999-05-31,0.008729011,-0.06381472,-0.01068913,-0.1099063,0.09507336
1999-06-30,-0.02268448,0.03418693,0.04092959,-0.05646859,-0.06174158
1999-07-30,0.003322357,-0.002744345,-0.01231852,-0.01831287,0.02243249
1999-08-31,-0.00447395,-0.04716783,0.04411668,-0.0110845,-0.01000467
1999-09-30,0.01161555,-0.04119112,0.03830697,0.01957003,0.01475798
1999-10-29,0.018757,0.07289454,0.0294695,0.05050533,-0.0201293
1999-11-30,0.06151167,0.1322529,0.06862768,0.004608632,0.0551353
1999-12-31,0.06667548,0.2027433,0.00529731,0.07178554,0.04420994
2000-01-31,-0.002917663,-0.1196399,-0.003538063,0.06373849,0.01338997
2000-02-29,0.02071142,0.1338945,-0.004952462,-0.1078378,0.04466187
2000-03-31,-0.03078285,-0.01503597,0.05144478,-0.1005349,-0.04873838
2000-04-28,0.01411808,-0.01952836,-0.004781067,0.04536423,0.02316583
2000-05-31,0.008941437,-0.03704567,-0.001570211,-0.007775175,0.03910421
2000-06-30,0.01186184,0.03057266,-0.04907039,-0.04269741,0.06031773
2000-07-31,-0.000753332,-0.01869292,0.02381876,0.004589848,-0.008760991
2000-08-31,0.05728288,0.02013993,0.08532231,-0.007380132,0.08682898
2000-09-29,-0.01161445,-0.05464539,0.03273629,-0.02936268,-0.009518615
2000-10-31,0.02830848,0.02527836,0.07117184,0.01036363,0.01623781
2000-11-30,0.04108865,-0.0455659,-0.05668171,0.1882404,0.05502475
2000-12-29,-0.01869686,-0.01478271,-0.1441366,0.1386901,-0.02958047
2001-01-31,0.000731527,-0.0430797,0.01823924,0.0720209,-0.02426741
2001-02-28,0.03050895,0.04468488,0.05869043,0.04647311,0.003785339
2001-03-30,0.05977836,0.05657354,0.10942,0.02358625,0.05274741
2001-04-30,-0.06056043,-0.1180588,-0.06817154,-0.1780509,0.02355223
2001-05-31,0.002722291,0.04351201,-0.01066223,-0.007870962,-0.0005849638
2001-06-29,0.02093485,0.06022049,0.02801445,0.01460468,0.00582802
2001-07-31,0.008855132,0.0428333,0.005672229,0.07925333,-0.03749433
2001-08-31,0.04609012,0.1174148,-0.03422081,0.1093119,0.02788795
2001-09-28,0.09671636,0.2439848,0.04433176,0.08204875,0.07501679
2001-10-31,0.04516217,-0.05944527,0.01171729,0.1593096,0.04403868
2001-11-30,-0.05772152,-0.06130102,-0.01797291,-0.1369218,-0.03665334
2001-12-31,-0.0004758001,-0.01303628,0.05640055,-0.09633946,0.02372804
2002-01-31,0.01511608,0.03541964,0.04653643,-0.03540505,0.01705263
2002-02-28,0.005797463,-0.001441361,0.005320088,0.03603476,-0.006367937
2002-03-29,-0.04906204,-0.06728102,-0.02356932,-0.03727908,-0.06086775
2002-04-30,0.01669885,0.04595628,-0.01041988,-0.02447358,0.03987288
2002-05-31,0.02862039,0.04784321,0.009541055,0.02873597,0.0308937
2002-06-28,0.05889471,0.1844758,0.06289058,0.1257785,-0.02363803
