source,scope,year,factor,label,return
original,original_paper_1985_2009,1999,TSMOM^EQ,Equity indices,0.33096994308373007
original,original_paper_1985_2009,1999,TSMOM^FX,Currencies,-0.030167969386966864
original,original_paper_1985_2009,1999,TSMOM^FI,Fixed income,-0.16203587149840093
original,original_paper_1985_2009,1999,TSMOM^CM,Commodities,0.08786207243073418
original,original_paper_1985_2009,2000,TSMOM,Diversified,0.12030275219681608
original,original_paper_1985_2009,2000,TSMOM^EQ,Equity indices,-0.12712530577155357
original,original_paper_1985_2009,2000,TSMOM^FX,Currencies,-0.022383210283952293
original,original_paper_1985_2009,2000,TSMOM^FI,Fixed income,0.12151804433158353
original,original_paper_1985_2009,2000,TSMOM^CM,Commodities,0.26036668141392183
original,original_paper_1985_2009,2001,TSMOM,Diversified,0.19751356821489896
original,original_paper_1985_2009,2001,TSMOM^EQ,Equity indices,0.30181740489422415
original,original_paper_1985_2009,2001,TSMOM^FX,Currencies,0.2066425409605026
original,original_paper_1985_2009,2001,TSMOM^FI,Fixed income,0.11287019172094404
original,original_paper_1985_2009,2001,TSMOM^CM,Commodities,0.16177910402948337
original,original_paper_1985_2009,2002,TSMOM,Diversified,0.3126331431815179
original,original_paper_1985_2009,2002,TSMOM^EQ,Equity indices,0.6105935623233327
original,original_paper_1985_2009,2002,TSMOM^FX,Currencies,0.24344312380256383
original,original_paper_1985_2009,2002,TSMOM^FI,Fixed income,0.7228471628525581
original,original_paper_1985_2009,2002,TSMOM^CM,Commodities,0.05759730787838424
original,original_paper_1985_2009,2003,TSMOM,Diversified,0.22192479186135183
original,original_paper_1985_2009,2003,TSMOM^EQ,Equity indices,-5.645627815242804e-06
original,original_paper_1985_2009,2003,TSMOM^FX,Currencies,0.6765159055731711
original,original_paper_1985_2009,2003,TSMOM^FI,Fixed income,-0.034229922758525766
original,original_paper_1985_2009,2003,TSMOM^CM,Commodities,0.23436536597864643
original,original_paper_1985_2009,2004,TSMOM,Diversified,0.12591007438902113
original,original_paper_1985_2009,2004,TSMOM^EQ,Equity indices,0.40257276419793664
original,original_paper_1985_2009,2004,TSMOM^FX,Currencies,-0.006839245886322343
original,original_paper_1985_2009,2004,TSMOM^FI,Fixed income,0.13373907848419986
original,original_paper_1985_2009,2004,TSMOM^CM,Commodities,0.082417903034395
original,original_paper_1985_2009,2005,TSMOM,Diversified,0.1258073721712638
original,original_paper_1985_2009,2005,TSMOM^EQ,Equity indices,0.8172103549505405
original,original_paper_1985_2009,2005,TSMOM^FX,Currencies,-0.03480810672311441
original,original_paper_1985_2009,2005,TSMOM^FI,Fixed income,0.017033026741193114
original,original_paper_1985_2009,2005,TSMOM^CM,Commodities,0.030210044934316782
original,original_paper_1985_2009,2006,TSMOM,Diversified,0.1495988053338393
original,original_paper_1985_2009,2006,TSMOM^EQ,Equity indices,0.5091284102237768
original,original_paper_1985_2009,2006,TSMOM^FX,Currencies,0.0934712664872539
original,original_paper_1985_2009,2006,TSMOM^FI,Fixed income,-0.20864809140595109
original,original_paper_1985_2009,2006,TSMOM^CM,Commodities,0.26341246468975754
original,original_paper_1985_2009,2007,TSMOM,Diversified,0.12803906700333845
original,original_paper_1985_2009,2007,TSMOM^EQ,Equity indices,0.07211751782786391
original,original_paper_1985_2009,2007,TSMOM^FX,Currencies,0.13833003280860323
original,original_paper_1985_2009,2007,TSMOM^FI,Fixed income,0.16646281986348632
original,original_paper_1985_2009,2007,TSMOM^CM,Commodities,0.10689996972240112
original,original_paper_1985_2009,2008,TSMOM,Diversified,0.24938101028734416
original,original_paper_1985_2009,2008,TSMOM^EQ,Equity indices,0.4384364811728203
original,original_paper_1985_2009,2008,TSMOM^FX,Currencies,0.23464231734399577
original,original_paper_1985_2009,2008,TSMOM^FI,Fixed income,0.32908935027765307
original,original_paper_1985_2009,2008,TSMOM^CM,Commodities,0.09668146452085802
original,original_paper_1985_2009,2009,TSMOM,Diversified,-0.09586957402548335
original,original_paper_1985_2009,2009,TSMOM^EQ,Equity indices,-0.1908539236723592
original,original_paper_1985_2009,2009,TSMOM^FX,Currencies,-0.16069213476255628
original,original_paper_1985_2009,2009,TSMOM^FI,Fixed income,-0.06348808980549658
original,original_paper_1985_2009,2009,TSMOM^CM,Commodities,-0.05523214364146989
updated,updated_reconstruction_1985_2009,1985,TSMOM,Diversified,0.2898775313913984
updated,updated_reconstruction_1985_2009,1985,TSMOM^EQ,Equity indices,1.0535148694719116
updated,updated_reconstruction_1985_2009,1985,TSMOM^FX,Currencies,-0.08527179907744575
updated,updated_reconstruction_1985_2009,1985,TSMOM^FI,Fixed income,0.2906915374993997
updated,updated_reconstruction_1985_2009,1985,TSMOM^CM,Commodities,0.21724327492028106
updated,updated_reconstruction_1985_2009,1986,TSMOM,Diversified,0.19796893951422545
updated,updated_reconstruction_1985_2009,1986,TSMOM^EQ,Equity indices,0.8747209993392455
updated,updated_reconstruction_1985_2009,1986,TSMOM^FX,Currencies,0.24769547935360547
updated,updated_reconstruction_1985_2009,1986,TSMOM^FI,Fixed income,0.2891456501227525
updated,updated_reconstruction_1985_2009,1986,TSMOM^CM,Commodities,-0.12439272581252847
updated,updated_reconstruction_1985_2009,1987,TSMOM,Diversified,0.20680073826944567
updated,updated_reconstruction_1985_2009,1987,TSMOM^EQ,Equity indices,0.08661604278558599
updated,updated_reconstruction_1985_2009,1987,TSMOM^FX,Currencies,0.25131127894496563
updated,updated_reconstruction_1985_2009,1987,TSMOM^FI,Fixed income,-0.05511547920751447
updated,updated_reconstruction_1985_2009,1987,TSMOM^CM,Commodities,0.2799899534974275
updated,updated_reconstruction_1985_2009,1988,TSMOM,Diversified,0.09838075676721347
updated,updated_reconstruction_1985_2009,1988,TSMOM^EQ,Equity indices,-0.1902930537162042
updated,updated_reconstruction_1985_2009,1988,TSMOM^FX,Currencies,0.4515518675756367
updated,updated_reconstruction_1985_2009,1988,TSMOM^FI,Fixed income,0.04451768198585104
updated,updated_reconstruction_1985_2009,1988,TSMOM^CM,Commodities,0.05102549487539476
updated,updated_reconstruction_1985_2009,1989,TSMOM,Diversified,0.2735384244358927
updated,updated_reconstruction_1985_2009,1989,TSMOM^EQ,Equity indices,0.18876887923678565
updated,updated_reconstruction_1985_2009,1989,TSMOM^FX,Currencies,0.2372159234959692
updated,updated_reconstruction_1985_2009,1989,TSMOM^FI,Fixed income,0.20037181861284892
updated,updated_reconstruction_1985_2009,1989,TSMOM^CM,Commodities,0.29649707223667665
updated,updated_reconstruction_1985_2009,1990,TSMOM,Diversified,0.1683621368720809
updated,updated_reconstruction_1985_2009,1990,TSMOM^EQ,Equity indices,0.05381440956563632
updated,updated_reconstruction_1985_2009,1990,TSMOM^FX,Currencies,-0.012566134845895749
updated,updated_reconstruction_1985_2009,1990,TSMOM^FI,Fixed income,0.37703659664481015
updated,updated_reconstruction_1985_2009,1990,TSMOM^CM,Commodities,0.24373701653808033
updated,updated_reconstruction_1985_2009,1991,TSMOM,Diversified,0.10403121073459554
updated,updated_reconstruction_1985_2009,1991,TSMOM^EQ,Equity indices,-0.17852753523397247
updated,updated_reconstruction_1985_2009,1991,TSMOM^FX,Currencies,-0.01353503022481406
updated,updated_reconstruction_1985_2009,1991,TSMOM^FI,Fixed income,0.5172631086932442
updated,updated_reconstruction_1985_2009,1991,TSMOM^CM,Commodities,0.14541360249627466
updated,updated_reconstruction_1985_2009,1992,TSMOM,Diversified,0.1934467881193771
updated,updated_reconstruction_1985_2009,1992,TSMOM^EQ,Equity indices,0.24141693279075116
updated,updated_reconstruction_1985_2009,1992,TSMOM^FX,Currencies,0.2795669409612185
updated,updated_reconstruction_1985_2009,1992,TSMOM^FI,Fixed income,0.35848088997405547
updated,updated_reconstruction_1985_2009,1992,TSMOM^CM,Commodities,0.060788361717316386
