surface,year,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
24_yahoo_continuous_futures,2022,mop_tsmom,MOP 12M TSMOM,0.0,0.29381100102035673,0.29381100102035673,-0.1689382928407197,8.103610840895627
24_yahoo_continuous_futures,2022,mop_tsmom,MOP 12M TSMOM,2.0,0.2917223251024763,0.29381100102035673,-0.16906117845890511,8.103610840895627
24_yahoo_continuous_futures,2023,mop_tsmom,MOP 12M TSMOM,0.0,-0.06381728507146789,-0.06381728507146789,-0.1261470043469577,10.080017510039024
24_yahoo_continuous_futures,2023,mop_tsmom,MOP 12M TSMOM,2.0,-0.06570961592442148,-0.06381728507146789,-0.12670209753849326,10.080017510039024
24_yahoo_continuous_futures,2024,mop_tsmom,MOP 12M TSMOM,0.0,-0.026778060522411273,-0.026778060522411273,-0.1516020376172722,27.365116218267076
24_yahoo_continuous_futures,2024,mop_tsmom,MOP 12M TSMOM,2.0,-0.03209882978917933,-0.026778060522411273,-0.15411246153022906,27.365116218267076
24_yahoo_continuous_futures,2025,mop_tsmom,MOP 12M TSMOM,0.0,0.12893173471468589,0.12893173471468589,-0.0913612220110438,26.490766844384897
24_yahoo_continuous_futures,2025,mop_tsmom,MOP 12M TSMOM,2.0,0.1229632076284981,0.12893173471468589,-0.09208002800129156,26.490766844384897
24_yahoo_continuous_futures,2026,mop_tsmom,MOP 12M TSMOM,0.0,0.05319324617066634,0.05319324617066634,-0.1620963965036899,11.515078098276149
24_yahoo_continuous_futures,2026,mop_tsmom,MOP 12M TSMOM,2.0,0.05077077277904585,0.05319324617066634,-0.16228088561134268,11.515078098276149
24_yahoo_continuous_futures,2022,always_long,Always-long control,0.0,-0.3118490676682121,-0.3118490676682121,-0.3882414025961387,3.853048921155022
24_yahoo_continuous_futures,2022,always_long,Always-long control,2.0,-0.3123803116955465,-0.3118490676682121,-0.388479143785308,3.853048921155022
24_yahoo_continuous_futures,2023,always_long,Always-long control,0.0,0.12812620029815247,0.12812620029815247,-0.19954811684414853,2.7109795159923635
24_yahoo_continuous_futures,2023,always_long,Always-long control,2.0,0.12751502394750847,0.12812620029815247,-0.19967282419421217,2.7109795159923635
24_yahoo_continuous_futures,2024,always_long,Always-long control,0.0,-0.00423340734561517,-0.00423340734561517,-0.16984702267660978,2.96367548757577
