strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position,surface
always_long,6A=F,fx,0.00280406236957515,0.002691130677533138,0.564658460210048,0.1655328591603566,24_yahoo_continuous_futures
always_long,6B=F,fx,-0.003930448748344157,-0.004076380487287465,0.7296586947165273,0.21118790330006781,24_yahoo_continuous_futures
always_long,6C=F,fx,-0.029327447199069115,-0.029487559227529134,0.8005601423001029,0.28257350235715434,24_yahoo_continuous_futures
always_long,6E=F,fx,-0.002601218705276085,-0.0027777802891040012,0.8828079191395779,0.2226496702750507,24_yahoo_continuous_futures
always_long,6J=F,fx,-0.05199089972102123,-0.052119418343201857,0.6425931109031424,0.16555869328526146,24_yahoo_continuous_futures
always_long,6S=F,fx,0.024008707706968613,0.023854538535850327,0.7708458555914237,0.1966767581243857,24_yahoo_continuous_futures
always_long,BZ=F,commodity,0.030485884690346295,0.030439167315902196,0.23358687222050284,0.05043486773938548,24_yahoo_continuous_futures
always_long,ES=F,equity_index,0.054907795487696115,0.05481882017013606,0.44487658780024897,0.10537595990241655,24_yahoo_continuous_futures
always_long,GC=F,commodity,0.0984740406445521,0.09838995143813761,0.4204460320724536,0.103583699096577,24_yahoo_continuous_futures
always_long,HG=F,commodity,0.033206502251173116,0.03315212630971197,0.27187970730574007,0.06522973699066435,24_yahoo_continuous_futures
always_long,NG=F,commodity,0.028932684599735987,0.02891365755752146,0.0951352110726485,0.020317735919626108,24_yahoo_continuous_futures
always_long,NKD=F,equity_index,0.074163254392358,0.07409760558976292,0.32824401297541556,0.08370733512155125,24_yahoo_continuous_futures
always_long,NQ=F,equity_index,0.05418080659251788,0.05411473421668095,0.33036187918465754,0.07762260531139988,24_yahoo_continuous_futures
always_long,RTY=F,equity_index,0.028594866977519305,0.02854450824836601,0.2517936457664737,0.07453821521973031,24_yahoo_continuous_futures
always_long,SI=F,commodity,0.07294803752384312,0.07290578051062557,0.21128506608775827,0.05292714451942991,24_yahoo_continuous_futures
always_long,UB=F,bond,-0.06361886654216091,-0.0636837086848766,0.32421071357852094,0.11698845499723767,24_yahoo_continuous_futures
always_long,YM=F,equity_index,0.05015164702847244,0.05006435306561678,0.4364698142783002,0.1181334076903385,24_yahoo_continuous_futures
always_long,ZB=F,bond,-0.05789774013795707,-0.057984934137414734,0.43596999728832164,0.1502998937222741,24_yahoo_continuous_futures
always_long,ZC=F,commodity,-0.01068973265406487,-0.010751813885723825,0.310406158294775,0.06953173848538098,24_yahoo_continuous_futures
always_long,ZF=F,bond,-0.05421146389624917,-0.05449939875259117,1.439674281710023,0.39928899367308074,24_yahoo_continuous_futures
always_long,ZN=F,bond,-0.05139736192389634,-0.05157004727177788,0.8634267394077273,0.27469297610511917,24_yahoo_continuous_futures
always_long,ZS=F,commodity,0.0059088682086319184,0.005848146640910027,0.30360783860945195,0.083777067079665,24_yahoo_continuous_futures
always_long,ZT=F,bond,-0.06116994714100293,-0.06203924781395941,4.346503364782441,0.9191479096456069,24_yahoo_continuous_futures
