year,strategy,asset_class,gross_contribution,net_contribution_2bps,turnover
2022,composite,bond,0.1425975830208043,0.14124687276938866,6.7535512570781835
2022,composite,commodity,0.020271242389448486,0.019968848413954923,1.5119698774678194
2022,composite,equity_index,-0.04516405134786087,-0.04574969966223118,2.928241571851534
2022,composite,fx,0.03921053616872722,0.037977011109432635,6.16762529647288
2022,long_only,bond,-0.13004848007707132,-0.13034572459714824,1.4862226003845722
2022,long_only,commodity,0.02157757951067233,0.021545904531133562,0.15837489769384858
2022,long_only,equity_index,-0.04358713426848901,-0.04364335737132295,0.28111551416972047
2022,long_only,fx,-0.05313570906265499,-0.05326648698559143,0.653889614682226
2022,tsmom_12m,bond,0.13429400791296975,0.1340003500616207,1.4682892567453585
2022,tsmom_12m,commodity,0.018099512027539906,0.017957656527230963,0.7092775015447215
2022,tsmom_12m,equity_index,-0.028942553340922026,-0.029160981468607038,1.0921406384250685
2022,tsmom_12m,fx,0.04063991411807681,0.040344318086681055,1.4779801569787552
2022,tsmom_1m,bond,0.09860358068873974,0.09625377297267251,11.749038580336137
2022,tsmom_1m,commodity,0.023911511036770534,0.023527559601937288,1.9197571741662234
2022,tsmom_1m,equity_index,-0.07227944044411244,-0.07315593969383874,4.382496248631443
2022,tsmom_1m,fx,0.010056607262438774,0.008194434004878678,9.310866287800486
2022,tsmom_3m,bond,0.11207066136503606,0.11126108344752257,4.047889587567461
2022,tsmom_3m,commodity,0.005075961246990697,0.004784486047974029,1.457375995083344
2022,tsmom_3m,equity_index,-0.019716484887499327,-0.020157002816907032,2.202589647038529
2022,tsmom_3m,fx,0.03976034127463079,0.03847302416276736,6.43658555931715
2023,composite,bond,-0.02848880328138229,-0.029999922061710527,7.555593901641194
2023,composite,commodity,-0.012481464576455565,-0.012873213429843012,1.9587442669372295
2023,composite,equity_index,0.002620306826388616,0.0019938931248984697,3.1320685074507284
2023,composite,fx,-0.014456042063106257,-0.015542481514884344,5.432197258890439
2023,long_only,bond,-0.00021564623471374426,-0.00043487781425196795,1.0961578976911153
2023,long_only,commodity,-0.006926621520941695,-0.006972542941177636,0.2296071011796999
2023,long_only,equity_index,0.06637849252557923,0.06631661573605975,0.3093839475973621
2023,long_only,fx,0.019602631362736298,0.01946728369900722,0.6767383186453962
2023,tsmom_12m,bond,-0.004620993327448119,-0.004881980491695985,1.3049358212393345
2023,tsmom_12m,commodity,-0.007429865869901917,-0.0076218961793415255,0.9601515471980373
2023,tsmom_12m,equity_index,0.010198903202908833,0.009951047174138672,1.239280143850816
2023,tsmom_12m,fx,-0.018155675051112142,-0.018801174088241213,3.2274951856453558
2023,tsmom_1m,bond,-0.003089257244008282,-0.0051659981114363426,10.383704337140303
2023,tsmom_1m,commodity,-0.00041665855132440717,-0.0010339525054526334,3.086469770641121
2023,tsmom_1m,equity_index,0.00984940495092964,0.00893583130117202,4.567868248788104
2023,tsmom_1m,fx,-0.0034320201818803376,-0.0051744807934643285,8.71230305791995
2023,tsmom_3m,bond,-0.050087221310045206,-0.051979126970189866,9.459528300723294
2023,tsmom_3m,commodity,-0.026878210834882836,-0.027243457635515424,1.8262340031629567
2023,tsmom_3m,equity_index,-0.019303530680220688,-0.019907579168755924,3.020242442676178
2023,tsmom_3m,fx,-0.01968133613276749,-0.020808565057938665,5.636144625855891
2024,composite,bond,-0.032160742111425174,-0.03422478029268452,10.320190906296718
2024,composite,commodity,-0.0009603612670576057,-0.0013713402030291657,2.054894679857796
2024,composite,equity_index,0.02726053472741372,0.026769953107486377,2.4529080996367068
2024,composite,fx,-0.03128456039719272,-0.03319670846142307,9.560740321151748
2024,long_only,bond,-0.024624167977024693,-0.024816138583366544,0.9598530317092691
2024,long_only,commodity,0.016660462773857136,0.016619195878940216,0.20633447458461204
2024,long_only,equity_index,0.058921182803909296,0.058859569597163375,0.3080660337296046
2024,long_only,fx,-0.04694520006327753,-0.04709110735990901,0.7295364831573885
2024,tsmom_12m,bond,-0.02193144932041934,-0.0234630759298074,7.658133046940315
2024,tsmom_12m,commodity,0.004314067179736254,0.004122994611389865,0.9553628417319423
2024,tsmom_12m,equity_index,0.08290477902315621,0.082822357853089,0.4121058503360369
2024,tsmom_12m,fx,-0.061182875202376655,-0.06316014638758873,9.886355926060306
2024,tsmom_1m,bond,-0.04594345439637994,-0.048885592503347064,14.710690534835631
2024,tsmom_1m,commodity,0.0023501057845871243,0.001751622067707904,2.9924185843961135
2024,tsmom_1m,equity_index,-0.04006527603420413,-0.04104898083304032,4.918523994181001
2024,tsmom_1m,fx,0.0010610147270194578,-0.0010547762645315522,10.578954957755045
2024,tsmom_3m,bond,-0.02224140538844126,-0.024166069148163227,9.623318798609816
2024,tsmom_3m,commodity,-0.010101175454883113,-0.010450828788566728,1.7482666684180797
2024,tsmom_3m,equity_index,0.025796317686538114,0.025442895752880276,1.76710966828918
2024,tsmom_3m,fx,-0.023931745697569944,-0.025339279173947193,7.037667381886247
2025,composite,bond,-0.025947917186302596,-0.029707987539068767,18.800351763830857
2025,composite,commodity,0.02703846891622281,0.02664097751716247,1.987456995301719
