day,net_return,gross_return,cost,funding,long_return,short_return,turnover,equity,variant
2020-03-01,-0.043887909862018945,-0.04154055986201895,0.0028,0.00045264999999999986,-0.017764206656580146,-0.0237763532054388,2.0,0.956112090137981,all_listed_momentum
2020-03-02,-0.003801500670946723,-0.005607594004280056,0.0,0.0018060933333333333,0.07322771685328405,-0.07883531085756412,0.0,0.9524774293858213,all_listed_momentum
2020-03-03,0.025421507229766174,0.02453116389643284,0.0,0.0008903433333333334,0.008126483973199483,0.016404679923233356,0.0,0.976690841243142,all_listed_momentum
2020-03-04,0.039111567710057506,0.03863080437672417,0.0,0.00048076333333333337,0.0044560410251108795,0.03417476335161329,0.0,1.0148907512122163,all_listed_momentum
2020-03-05,-0.026054155380321686,-0.026860092046988353,0.0,0.0008059366666666667,0.017897958160595584,-0.04475805020758394,0.0,0.9884486298860817,all_listed_momentum
2020-03-06,0.008857075099831172,0.008693145099831172,0.0,0.00016392999999999996,0.0299973020306874,-0.021304156930856223,0.0,0.9972033936333079,all_listed_momentum
2020-03-07,0.006801581468055017,0.00634784480138835,0.0,0.0004537366666666668,-0.046577882526686556,0.05292572732807491,0.0,1.003985953755326,all_listed_momentum
2020-03-08,0.05149925033782512,0.05150446033782512,0.0,-5.210000000000067e-06,-0.12021744689576502,0.17172190723359015,0.0,1.0556904777234315,all_listed_momentum
2020-03-09,-0.006262948509850673,-0.00739132517651734,0.0,0.0011283766666666667,0.019637702151893716,-0.02702902732841106,0.0,1.04907874261911,all_listed_momentum
2020-03-10,0.0021255841933547383,0.0017688308600214049,0.0,0.00035675333333333334,-0.0029771650734548016,0.004745995933476206,0.0,1.0513086478120055,all_listed_momentum
2020-03-11,-0.019743084214555985,-0.01991150754788932,0.0,0.00016842333333333333,-0.03734102329748893,0.01742951574959961,0.0,1.0305525726427622,all_listed_momentum
2020-03-12,0.01684476271563238,0.01668903604896571,0.0,0.00015572666666666655,-0.42798355252197107,0.4446725885709368,0.0,1.047911986194914,all_listed_momentum
2020-03-13,-0.03585624607393581,-0.034869899407269145,0.0,-0.0009863466666666667,0.21775585212762502,-0.2526257515348942,0.0,1.0103377961540823,all_listed_momentum
