ts,month,close,return_1m,return_3m,return_12m,forecast_1m,forecast_3m,forecast_12m,forecast_composite,sigma_ann,target_tsmom_1m,target_tsmom_3m,target_tsmom_12m,target_composite_1_3_12m,common_valid,applied_next_month_in_sample
1985-10-31 00:00:00+00:00,1985-10,326.7,,,,,,,,,,,,,False,True
1985-11-29 00:00:00+00:00,1985-11,327.3,0.0018365472910928382,,,1.0,,,,,,,,,False,True
1985-12-31 00:00:00+00:00,1985-12,331.1,0.011610143599144473,,,1.0,,,,0.08509079638275627,,,,,False,True
1986-01-31 00:00:00+00:00,1986-01,352.9,0.0658411356085773,0.08019589837771646,,1.0,1.0,,,0.11618755718234354,,,,,False,True
1986-02-28 00:00:00+00:00,1986-02,341.0,-0.03372060073675254,0.04185762297586315,,-1.0,1.0,,,0.15075837573590578,,,,,False,True
1986-03-31 00:00:00+00:00,1986-03,334.8,-0.018181818181818188,0.011174871639987982,,-1.0,1.0,,,0.1563245278683566,,,,,False,True
1986-04-30 00:00:00+00:00,1986-04,348.1,0.03972520908004773,-0.013601586851799241,,1.0,-1.0,,,0.15578857660515688,,,,,False,True
1986-05-30 00:00:00+00:00,1986-05,347.1,-0.002872737719046281,0.017888563049853534,,-1.0,1.0,,,0.13979070005954047,,,,,False,True
1986-06-30 00:00:00+00:00,1986-06,347.7,0.0017286084701813031,0.03853046594982068,,1.0,1.0,,,0.1448906103385599,,,,,False,True
1986-07-31 00:00:00+00:00,1986-07,369.7,0.0632729364394593,0.062051134731399005,,1.0,1.0,,,0.14398902641863134,,,,,False,True
1986-08-29 00:00:00+00:00,1986-08,393.3,0.06383554233162037,0.13310285220397566,,1.0,1.0,,,0.19218248625818005,,,,,False,True
1986-09-30 00:00:00+00:00,1986-09,429.8,0.09280447495550481,0.23612309462180048,,1.0,1.0,,,0.22809042058163656,,,,,False,True
1986-10-31 00:00:00+00:00,1986-10,405.5,-0.05653792461610052,0.09683527184203422,0.24119987756351402,-1.0,1.0,1.0,0.3333333333333333,0.21960835896614184,-0.45535607328780014,0.45535607328780014,0.45535607328780014,0.15178535776260005,True,True
1986-11-28 00:00:00+00:00,1986-11,394.8,-0.02638717632552401,0.0038138825324181003,0.2062328139321723,-1.0,1.0,1.0,0.3333333333333333,0.21827483634759756,-0.4581380138604358,0.4581380138604358,0.4581380138604358,0.15271267128681193,True,True
1986-12-31 00:00:00+00:00,1986-12,406.9,0.03064842958459968,-0.05328059562587262,0.22893385684083345,1.0,-1.0,1.0,0.3333333333333333,0.19405908124076088,0.5153069846596575,-0.5153069846596575,0.5153069846596575,0.1717689948865525,True,True
1987-01-30 00:00:00+00:00,1987-01,408.9,0.0049152125829441395,0.00838471023427867,0.1586851799376594,1.0,1.0,1.0,1.0,0.20403544155133332,0.4901109299427324,0.4901109299427324,0.4901109299427324,0.4901109299427324,True,True
1987-02-27 00:00:00+00:00,1987-02,407.4,-0.003668378576669129,0.03191489361702127,0.1947214076246333,-1.0,1.0,1.0,0.3333333333333333,0.19472249235260405,-0.513551356044271,0.513551356044271,0.513551356044271,0.17118378534809034,True,True
1987-03-31 00:00:00+00:00,1987-03,422.7,0.03755522827687785,0.038830179405259235,0.26254480286738335,1.0,1.0,1.0,1.0,0.17810356499842858,0.5614710744329139,0.5614710744329139,0.5614710744329139,0.5614710744329139,True,True
1987-04-30 00:00:00+00:00,1987-04,456.5,0.07996214809557611,0.11640988016629983,0.31140476874461354,1.0,1.0,1.0,1.0,0.20958715840168024,0.4771284689510744,0.4771284689510744,0.4771284689510744,0.4771284689510744,True,True
1987-05-29 00:00:00+00:00,1987-05,456.0,-0.0010952902519167917,0.11929307805596467,0.31374243733794294,-1.0,1.0,1.0,0.3333333333333333,0.20740471079337644,-0.482149125820114,0.482149125820114,0.482149125820114,0.16071637527337132,True,True
1987-06-30 00:00:00+00:00,1987-06,452.2,-0.008333333333333304,0.06978944878164173,0.3005464480874318,-1.0,1.0,1.0,0.3333333333333333,0.19984273662589724,-0.5003934678256462,0.5003934678256462,0.5003934678256462,0.16679782260854872,True,True
1987-07-31 00:00:00+00:00,1987-07,475.1,0.05064130915524112,0.04074479737130354,0.28509602380308374,1.0,1.0,1.0,1.0,0.18220048936156244,0.5488459463001657,0.5488459463001657,0.5488459463001657,0.5488459463001657,True,True
1987-08-31 00:00:00+00:00,1987-08,458.7,-0.03451904862134292,0.005921052631578938,0.16628527841342478,-1.0,1.0,1.0,0.3333333333333333,0.18375553197735114,-0.5442013033508322,0.5442013033508322,0.5442013033508322,0.18140043445027737,True,True
