episode_id,side,entry_ts,exit_ts,entry_close,exit_close,sessions,start_position,max_abs_position,net_return,closed_by_reversal
1,long,1986-11-03T00:00:00+00:00,1988-01-29T00:00:00+00:00,406.8,458.5,313,0.15178535776260005,0.5966978850601166,0.04335203941895749,True
2,short,1988-02-01T00:00:00+00:00,1988-03-31T00:00:00+00:00,458.4,457.9,43,-0.20502227930264977,0.20502227930264977,0.00038730625316496514,True
3,long,1988-04-04T00:00:00+00:00,1988-04-29T00:00:00+00:00,459.5,452.6,20,0.2128361125194039,0.2128361125194039,-0.0024871745534212897,True
4,short,1988-05-02T00:00:00+00:00,1988-05-31T00:00:00+00:00,447.2,459.8,21,-0.6950831716945851,0.6950831716945851,-0.011563036568015495,True
5,long,1988-06-01T00:00:00+00:00,1988-06-30T00:00:00+00:00,462.4,437.7,22,0.7598077074878903,0.7598077074878903,-0.03688643174013373,True
6,short,1988-07-01T00:00:00+00:00,1989-11-30T00:00:00+00:00,439.6,417.5,358,-0.7628784562884217,0.9118449226379888,0.03165810359531518,True
7,long,1989-12-01T00:00:00+00:00,1989-12-29T00:00:00+00:00,419.3,405.2,20,0.24537250753042086,0.24537250753042086,-0.007162422096777088,True
8,short,1990-01-02T00:00:00+00:00,1990-01-31T00:00:00+00:00,402.1,417.8,22,-0.22295930180794285,0.22295930180794285,-0.007183853119016037,True
9,long,1990-02-01T00:00:00+00:00,1990-02-28T00:00:00+00:00,423.3,408.9,19,0.6694027231835037,0.6694027231835037,-0.014368455807039937,True
10,short,1990-03-01T00:00:00+00:00,1990-07-31T00:00:00+00:00,409.0,379.2,106,-0.2317214399621695,0.6800681283212218,-0.0043483941400310755,True
11,long,1990-08-01T00:00:00+00:00,1990-11-30T00:00:00+00:00,382.4,385.7,85,0.6553020358813473,0.6553020358813473,0.00990622262344698,True
12,short,1990-12-03T00:00:00+00:00,1991-06-28T00:00:00+00:00,378.5,370.0,144,-0.17013410313624538,0.638616881382027,-0.004020787905971934,True
13,long,1991-07-01T00:00:00+00:00,1991-08-30T00:00:00+00:00,369.9,352.9,43,0.7689596110435408,0.7689596110435408,-0.012473092672067976,True
14,short,1991-09-03T00:00:00+00:00,1991-11-29T00:00:00+00:00,352.9,371.1,63,-0.9072188866562985,0.9072188866562985,-0.025283060097044507,True
15,long,1991-12-02T00:00:00+00:00,1991-12-31T00:00:00+00:00,369.9,355.2,21,0.3624337013019621,0.3624337013019621,-0.015761470444595194,True
16,short,1992-01-02T00:00:00+00:00,1992-07-31T00:00:00+00:00,353.2,361.4,148,-1.0126432482365852,1.1663795154037986,0.011123815138367021,True
17,long,1992-08-03T00:00:00+00:00,1992-08-31T00:00:00+00:00,356.5,345.3,21,0.4238672667230904,0.4238672667230904,-0.019109561198500047,True
18,short,1992-09-01T00:00:00+00:00,1992-09-30T00:00:00+00:00,343.4,349.4,21,-0.3394123448053258,0.3394123448053258,-0.00432886940303312,True
19,long,1992-10-01T00:00:00+00:00,1992-10-30T00:00:00+00:00,349.1,340.1,22,0.3368543306981359,0.3368543306981359,-0.009113766763904296,True
20,short,1992-11-02T00:00:00+00:00,1993-03-31T00:00:00+00:00,340.6,339.3,104,-1.0571234066505533,1.3067322016711744,-0.003912243494654022,True
21,long,1993-04-01T00:00:00+00:00,1993-08-31T00:00:00+00:00,340.2,375.7,106,0.43510049851412,1.1091976179593284,0.039423899146250774,True
22,short,1993-09-01T00:00:00+00:00,1993-10-29T00:00:00+00:00,372.6,369.6,42,-0.20060238559469387,0.20060238559469387,0.003249917514891454,True
23,long,1993-11-01T00:00:00+00:00,1994-04-29T00:00:00+00:00,362.1,377.8,123,0.19810732494561734,0.7856731103399038,-0.02854822969210813,True
24,short,1994-05-02T00:00:00+00:00,1994-05-31T00:00:00+00:00,377.4,390.0,21,-0.26802565903956743,0.26802565903956743,-0.008906221293200178,True
25,long,1994-06-01T00:00:00+00:00,1994-06-30T00:00:00+00:00,386.3,387.3,22,0.8111416762321547,0.8111416762321547,-0.005741322996907217,True
26,short,1994-07-01T00:00:00+00:00,1994-07-29T00:00:00+00:00,388.1,389.2,20,-0.27061504884099086,0.27061504884099086,-0.0016782035132776318,True
27,long,1994-08-01T00:00:00+00:00,1994-10-31T00:00:00+00:00,389.4,384.9,65,0.28245058839868015,1.0335500456329425,-0.016206345602105432,True
28,short,1994-11-01T00:00:00+00:00,1995-03-31T00:00:00+00:00,385.7,394.3,104,-0.38563207001245065,1.3759527468338606,0.002178754821460238,True
29,long,1995-04-03T00:00:00+00:00,1995-05-31T00:00:00+00:00,394.9,387.6,41,0.827030112121074,0.827030112121074,-0.013333884589417533,True
30,short,1995-06-01T00:00:00+00:00,1995-11-30T00:00:00+00:00,388.3,388.6,126,-0.4122622753142517,1.7528528030689887,-0.024796369009511765,True
31,long,1995-12-01T00:00:00+00:00,1996-04-30T00:00:00+00:00,387.4,393.5,103,1.5671395914570951,1.5671395914570951,-0.00842128309329404,True
32,short,1996-05-01T00:00:00+00:00,1996-05-31T00:00:00+00:00,394.9,394.4,22,-0.4422948498143395,0.4422948498143395,-0.0012367988707763233,True
33,long,1996-06-03T00:00:00+00:00,1996-06-28T00:00:00+00:00,393.6,381.6,20,0.49368458937459536,0.49368458937459536,-0.016319223186551657,True
34,short,1996-07-01T00:00:00+00:00,1996-07-31T00:00:00+00:00,382.7,393.1,21,-1.6294272660024274,1.6294272660024274,-0.04831130595249178,True
35,long,1996-08-01T00:00:00+00:00,1996-08-30T00:00:00+00:00,392.1,391.3,22,0.5400219312094768,0.5400219312094768,-0.002894717191912588,True
36,short,1996-09-03T00:00:00+00:00,1997-09-30T00:00:00+00:00,390.5,336.9,270,-0.5925692081066709,1.9848395518785769,0.17754058163096587,True
37,long,1997-10-01T00:00:00+00:00,1997-10-31T00:00:00+00:00,336.1,312.1,23,0.3164431355321468,0.3164431355321468,-0.02371058227831835,True
38,short,1997-11-03T00:00:00+00:00,1998-03-31T00:00:00+00:00,314.4,303.3,101,-0.6693201099476983,0.7075878813507129,0.013171147079333645,True
39,long,1998-04-01T00:00:00+00:00,1998-05-29T00:00:00+00:00,301.9,295.1,40,0.2232537659983021,0.23938675527696096,-0.006692945860159338,True
40,short,1998-06-01T00:00:00+00:00,1998-09-30T00:00:00+00:00,290.6,299.0,86,-0.7563249367797739,0.762122477574468,-0.02797275194513793,True
41,long,1998-10-01T00:00:00+00:00,1998-10-30T00:00:00+00:00,302.1,293.7,22,0.24501687600826375,0.24501687600826375,-0.0044717054675254,True
42,short,1998-11-02T00:00:00+00:00,1998-11-30T00:00:00+00:00,290.9,295.1,19,-0.2585192771764212,0.2585192771764212,-0.0014790295769718798,True
43,long,1998-12-01T00:00:00+00:00,1998-12-31T00:00:00+00:00,295.9,289.2,22,0.27369069842125154,0.27369069842125154,-0.005554643329394371,True
44,short,1999-01-04T00:00:00+00:00,1999-09-30T00:00:00+00:00,288.3,299.5,187,-0.8768496747363324,1.0469661768786083,-0.1080593770785907,True
45,long,1999-10-01T00:00:00+00:00,1999-11-30T00:00:00+00:00,305.3,293.0,41,0.412761233845329,0.412761233845329,-0.008001785928031802,True
46,short,1999-12-01T00:00:00+00:00,2000-02-29T00:00:00+00:00,291.9,294.2,59,-0.14280924319045935,0.5136124932971129,-0.015056185422936186,True
47,long,2000-03-01T00:00:00+00:00,2000-03-31T00:00:00+00:00,293.3,281.4,23,0.39885601092237766,0.39885601092237766,-0.0175583313717651,True
48,short,2000-04-03T00:00:00+00:00,2000-05-31T00:00:00+00:00,280.4,274.8,41,-0.45216492200471975,0.5077660662728714,0.009900049130748156,True
49,long,2000-06-01T00:00:00+00:00,2000-09-29T00:00:00+00:00,275.4,276.9,84,0.1901262432056437,0.5578287696130952,-0.009595661631422336,True
50,short,2000-10-02T00:00:00+00:00,2001-06-29T00:00:00+00:00,276.3,271.3,187,-0.7318497484495708,0.8514036686247479,0.015475266335921223,True
