year,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position,partial_year
1986,tsmom_1m,1M,0.0,40,1986-11-03T00:00:00+00:00,1986-12-31T00:00:00+00:00,-0.003579773393521002,-0.003579773393521002,-0.03243540495689856,0.4581380138604358,0.4568165920884339,True
1987,tsmom_1m,1M,0.0,253,1987-01-02T00:00:00+00:00,1987-12-31T00:00:00+00:00,0.020924691937346696,0.020924691937346696,-0.07792008651531723,7.481950219227905,0.5304718559255328,False
1988,tsmom_1m,1M,0.0,252,1988-01-04T00:00:00+00:00,1988-12-30T00:00:00+00:00,-0.01104791281664197,-0.01104791281664197,-0.11922236820616505,11.078272965244896,0.696016476573084,False
1989,tsmom_1m,1M,0.0,252,1989-01-03T00:00:00+00:00,1989-12-29T00:00:00+00:00,0.11070319263766848,0.11070319263766848,-0.08027781623907171,6.279041058572991,0.7811269887956398,False
1990,tsmom_1m,1M,0.0,251,1990-01-02T00:00:00+00:00,1990-12-31T00:00:00+00:00,0.02389188965304445,0.02389188965304445,-0.08452398583240095,7.830792543087184,0.5959087017795616,False
1991,tsmom_1m,1M,0.0,252,1991-01-02T00:00:00+00:00,1991-12-31T00:00:00+00:00,-0.10561183439704835,-0.10561183439704835,-0.11896603626469049,8.275459571732501,0.7507866861477928,False
1992,tsmom_1m,1M,0.0,254,1992-01-02T00:00:00+00:00,1992-12-31T00:00:00+00:00,0.0360292799041424,0.0360292799041424,-0.10441275967151054,15.41177139736455,1.1319836285825442,False
1993,tsmom_1m,1M,0.0,251,1993-01-04T00:00:00+00:00,1993-12-30T00:00:00+00:00,0.0116736557422632,0.0116736557422632,-0.1524661278030044,9.21175815354977,0.9264840653408242,False
1994,tsmom_1m,1M,0.0,251,1994-01-03T00:00:00+00:00,1994-12-30T00:00:00+00:00,-0.11313066997322241,-0.11313066997322241,-0.1256041149974847,12.038193511518902,0.8863220026345369,False
1995,tsmom_1m,1M,0.0,250,1995-01-03T00:00:00+00:00,1995-12-29T00:00:00+00:00,0.034553483520812556,0.034553483520812556,-0.05417539225869872,14.338899545214804,1.360454094345554,False
1996,tsmom_1m,1M,0.0,251,1996-01-02T00:00:00+00:00,1996-12-31T00:00:00+00:00,-0.09180514001914841,-0.09180514001914841,-0.16970962137847034,22.102516120771906,1.6143613659979086,False
1997,tsmom_1m,1M,0.0,250,1997-01-02T00:00:00+00:00,1997-12-31T00:00:00+00:00,-0.030778864293558583,-0.030778864293558583,-0.2051694954448351,13.454019722572028,1.0626185921015,False
1998,tsmom_1m,1M,0.0,250,1998-01-02T00:00:00+00:00,1998-12-31T00:00:00+00:00,-0.14579926310058067,-0.14579926310058067,-0.17262599046845895,12.867345854015138,0.7168848844141434,False
1999,tsmom_1m,1M,0.0,249,1999-01-04T00:00:00+00:00,1999-12-30T00:00:00+00:00,-0.20047907938428577,-0.20047907938428577,-0.24521003887427195,12.027411458449313,0.8340795427800186,False
2000,tsmom_1m,1M,0.0,248,2000-01-04T00:00:00+00:00,2000-12-29T00:00:00+00:00,0.020534625089703162,0.020534625089703162,-0.06312129777414122,5.905890537098894,0.589056911483037,False
2001,tsmom_1m,1M,0.0,247,2001-01-02T00:00:00+00:00,2001-12-31T00:00:00+00:00,0.0034957353497448995,0.0034957353497448995,-0.08481240333112694,7.954646078466078,0.74409412575203,False
2002,tsmom_1m,1M,0.0,251,2002-01-02T00:00:00+00:00,2002-12-31T00:00:00+00:00,0.029504941362693105,0.029504941362693105,-0.09837832876402386,6.274204095795544,0.7484590672690947,False
2003,tsmom_1m,1M,0.0,250,2003-01-02T00:00:00+00:00,2003-12-31T00:00:00+00:00,0.08121442286052938,0.08121442286052938,-0.07200337047593441,8.873675429586461,0.6194925046664232,False
