episode_id,side,entry_ts,exit_ts,entry_close,exit_close,sessions,start_position,max_abs_position,net_return,closed_by_reversal
1,short,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,1781.5999755859375,1827.5,22,-0.6963797291258764,0.6963797291258764,-0.021346475336368242,True
2,long,2022-01-03T00:00:00+00:00,2022-01-31T00:00:00+00:00,1799.4000244140625,1795.0,20,0.24932633629708906,0.24932633629708906,-0.004473899816773597,True
3,short,2022-02-01T00:00:00+00:00,2022-02-28T00:00:00+00:00,1800.300048828125,1899.4000244140625,19,-0.23716078896693543,0.23716078896693543,-0.01360051734435952,True
4,long,2022-03-01T00:00:00+00:00,2022-05-31T00:00:00+00:00,1942.4000244140625,1842.699951171875,64,0.7201193918992336,0.7201193918992336,-0.001158784179986383,True
5,short,2022-06-01T00:00:00+00:00,2022-11-30T00:00:00+00:00,1843.300048828125,1746.0,127,-0.6554191445944172,0.7358977622083217,0.02185919318587337,True
6,long,2022-12-01T00:00:00+00:00,2023-02-28T00:00:00+00:00,1801.0999755859375,1828.9000244140625,60,0.22195436493891724,0.676927039193981,-0.01456859352712303,True
7,short,2023-03-01T00:00:00+00:00,2023-03-31T00:00:00+00:00,1837.699951171875,1969.0,23,-0.23627075525110525,0.23627075525110525,-0.01802448818624436,True
8,long,2023-04-03T00:00:00+00:00,2023-06-30T00:00:00+00:00,1983.9000244140625,1921.0999755859375,62,0.604336598165523,0.6229076807564891,-0.006467625275346833,True
9,short,2023-07-03T00:00:00+00:00,2023-07-31T00:00:00+00:00,1921.699951171875,1970.5,20,-0.24138399350462725,0.24138399350462725,-0.00631246309822131,True
10,long,2023-08-01T00:00:00+00:00,2023-08-31T00:00:00+00:00,1940.699951171875,1938.199951171875,23,0.26003189979033287,0.26003189979033287,-0.004323366429892728,True
11,short,2023-09-01T00:00:00+00:00,2023-10-31T00:00:00+00:00,1939.800048828125,1985.199951171875,42,-0.285612875325406,0.29456406625849335,-0.008056190444368116,True
12,long,2023-11-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1978.800048828125,2629.199951171875,293,0.8125499694504438,0.8266307956144261,0.18646126712373,True
13,short,2025-01-02T00:00:00+00:00,2025-01-31T00:00:00+00:00,2658.89990234375,2812.5,21,-0.20710644295144473,0.20710644295144473,-0.014141611548218136,True
14,long,2025-02-03T00:00:00+00:00,2025-07-31T00:00:00+00:00,2833.89990234375,3293.199951171875,125,0.6392315434182355,0.6811601004396648,0.11295727366603003,True
15,short,2025-08-01T00:00:00+00:00,2025-08-29T00:00:00+00:00,3347.699951171875,3473.699951171875,21,-0.1742580312960502,0.1742580312960502,-0.009554073160193743,True
16,long,2025-09-02T00:00:00+00:00,2026-04-30T00:00:00+00:00,3549.39990234375,4614.7001953125,167,0.567134119013537,0.5805985066967946,0.18231655284860726,True
17,short,2026-05-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,4629.89990234375,4049.10009765625,63,-0.10433845718582448,0.11550447693545367,0.01413693655903625,False
