month,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position
1986-11,tsmom_1m,1M,0.0,19,1986-11-03T00:00:00+00:00,1986-11-28T00:00:00+00:00,0.011029026046750712,0.011029026046750712,-0.01824966611192147,0.45535607328780014,0.45535607328780014
1986-12,tsmom_1m,1M,0.0,21,1986-12-01T00:00:00+00:00,1986-12-31T00:00:00+00:00,-0.014449436231711577,-0.014449436231711577,-0.01935692445622572,0.002781940572635644,0.45813801386043584
1987-01,tsmom_1m,1M,0.0,21,1987-01-02T00:00:00+00:00,1987-01-30T00:00:00+00:00,0.0029483653319979375,0.0029483653319979375,-0.021972099746676355,0.9734449985200933,0.5153069846596575
1987-02,tsmom_1m,1M,0.0,19,1987-02-02T00:00:00+00:00,1987-02-27T00:00:00+00:00,-0.001576416082511245,-0.001576416082511245,-0.02047557710023673,0.025196054716925098,0.49011092994273237
1987-03,tsmom_1m,1M,0.0,22,1987-03-02T00:00:00+00:00,1987-03-31T00:00:00+00:00,-0.019313638444908188,-0.019313638444908188,-0.02775494537509282,1.0036622859870035,0.513551356044271
1987-04,tsmom_1m,1M,0.0,21,1987-04-01T00:00:00+00:00,1987-04-30T00:00:00+00:00,0.04488069376668724,0.04488069376668724,-0.02352027057237771,1.075022430477185,0.5614710744329139
1987-05,tsmom_1m,1M,0.0,20,1987-05-01T00:00:00+00:00,1987-05-29T00:00:00+00:00,-0.00014448059576932515,-0.00014448059576932515,-0.0300900489809951,0.08434260548183947,0.4771284689510743
1987-06,tsmom_1m,1M,0.0,22,1987-06-01T00:00:00+00:00,1987-06-30T00:00:00+00:00,0.0029949023126936147,0.0029949023126936147,-0.017851909519010722,0.9592775947711885,0.4821491258201138
1987-07,tsmom_1m,1M,0.0,22,1987-07-01T00:00:00+00:00,1987-07-31T00:00:00+00:00,-0.02493466973916203,-0.02493466973916203,-0.031594981927718924,0.01824434200553221,0.5003934678256461
1987-08,tsmom_1m,1M,0.0,21,1987-08-03T00:00:00+00:00,1987-08-31T00:00:00+00:00,-0.018708201655259216,-0.018708201655259216,-0.034098498987496395,1.049239414125812,0.5488459463001656
1987-09,tsmom_1m,1M,0.0,21,1987-09-01T00:00:00+00:00,1987-09-30T00:00:00+00:00,-0.0007114016248680466,-0.0007114016248680466,-0.012464420517542818,1.093047249650998,0.544201303350832
1987-10,tsmom_1m,1M,0.0,22,1987-10-01T00:00:00+00:00,1987-10-30T00:00:00+00:00,0.016459195179727715,0.016459195179727715,-0.02365708541836531,1.1408991884109487,0.5966978850601166
1987-11,tsmom_1m,1M,0.0,20,1987-11-02T00:00:00+00:00,1987-11-30T00:00:00+00:00,0.030534329386194825,0.030534329386194825,-0.015689631745076094,0.04101546454976612,0.5556824205103505
1987-12,tsmom_1m,1M,0.0,22,1987-12-01T00:00:00+00:00,1987-12-31T00:00:00+00:00,-0.009413833732099919,-0.009413833732099919,-0.020991208588680976,0.01855859053061293,0.5742410110409631
1988-01,tsmom_1m,1M,0.0,20,1988-01-04T00:00:00+00:00,1988-01-29T00:00:00+00:00,0.038404043153540623,0.038404043153540623,-0.009759532060291898,1.181701693790631,0.6074606827496678
1988-02,tsmom_1m,1M,0.0,20,1988-02-01T00:00:00+00:00,1988-02-29T00:00:00+00:00,0.03619879113850222,0.03619879113850222,-0.009435404030619376,0.007606155158281558,0.6150668379079495
1988-03,tsmom_1m,1M,0.0,23,1988-03-01T00:00:00+00:00,1988-03-31T00:00:00+00:00,-0.03400613432096211,-0.03400613432096211,-0.04173439363727949,0.033711039112491625,0.581355798795458
1988-04,tsmom_1m,1M,0.0,20,1988-04-04T00:00:00+00:00,1988-04-29T00:00:00+00:00,-0.00731186723005095,-0.00731186723005095,-0.016096599489988317,1.2198641363536695,0.6385083375582119
1988-05,tsmom_1m,1M,0.0,21,1988-05-02T00:00:00+00:00,1988-05-31T00:00:00+00:00,-0.011384996543362558,-0.011384996543362558,-0.02689717821775872,1.333591509252797,0.6950831716945849
1988-06,tsmom_1m,1M,0.0,22,1988-06-01T00:00:00+00:00,1988-06-30T00:00:00+00:00,-0.03660730474158935,-0.03660730474158935,-0.05486137272156988,1.4548908791824755,0.7598077074878904
1988-07,tsmom_1m,1M,0.0,20,1988-07-01T00:00:00+00:00,1988-07-29T00:00:00+00:00,-0.018509266977870475,-0.018509266977870475,-0.03620360062635497,1.5226861637763118,0.7628784562884215
1988-08,tsmom_1m,1M,0.0,23,1988-08-01T00:00:00+00:00,1988-08-31T00:00:00+00:00,-0.010562618973745441,-0.010562618973745441,-0.011330238679845728,1.402710316735532,0.6398318604471102
1988-09,tsmom_1m,1M,0.0,21,1988-09-01T00:00:00+00:00,1988-09-30T00:00:00+00:00,0.07312961064940704,0.07312961064940704,-0.007519913439982262,1.376140114945904,0.7363082544987941
1988-10,tsmom_1m,1M,0.0,21,1988-10-03T00:00:00+00:00,1988-10-31T00:00:00+00:00,-0.02923177303857849,-0.02923177303857849,-0.024281215182519356,0.008097146107629571,0.7444054006064234
1988-11,tsmom_1m,1M,0.0,20,1988-11-01T00:00:00+00:00,1988-11-30T00:00:00+00:00,0.027558739217810713,0.027558739217810713,-0.01688613810358952,1.533045905683721,0.7886405050772975
1988-12,tsmom_1m,1M,0.0,21,1988-12-01T00:00:00+00:00,1988-12-30T00:00:00+00:00,-0.03194697091687382,-0.03194697091687382,-0.047785338674589006,0.00422790514545035,0.7928684102227479
1989-01,tsmom_1m,1M,0.0,21,1989-01-03T00:00:00+00:00,1989-01-31T00:00:00+00:00,0.032008692069834144,0.032008692069834144,-0.01156418161867756,1.573193637442565,0.7803252272198173
1989-02,tsmom_1m,1M,0.0,19,1989-02-01T00:00:00+00:00,1989-02-28T00:00:00+00:00,0.011335114748714403,0.011335114748714403,-0.021638839415374034,0.08832792610709839,0.8686531533269156
