trade_id,direction,entry_ts,entry_price,entry_qty,allocation,exit_ts,exit_reason,binance_realized_pnl_usdt,binance_commission_usdt,binance_funding_usdt,manual_exit,binance_net_usdt,implied_entry_equity_usdt,live_total_return,research_exit_ts,research_entry_price,research_exit_price,research_entry_atr,research_allocation,research_exit_reason,research_total_return,entry_adverse_slippage_bps,return_delta_pp,exit_reason_match,parity_status,exit_price,entry_atr,mfe_atr,floor_offset_atr,entry_bar,exit_bar,hold_bars,raw_price_return,trade_return,entry_equity,exit_equity
ht-e-1979443,1,2026-06-15 04:45:00+00:00,64.782,3.8,2.4689773262044223,2026-06-15 10:30:00+00:00,take_profit,9.975,-0.17431511,0.01784884,False,9.818533729999999,99.70589741236768,0.09847495468991278,2026-06-15 10:30:00+00:00,64.8,67.42456845238095,0.5249136904761903,2.4689773262044223,take_profit,0.09792255566524544,-2.777777777778212,0.05523990246673466,True,automatic_match,,,,,,,,,,,
ht-e-1979467,1,2026-06-15 10:45:00+00:00,67.176,4.23,2.590868462430135,2026-06-16 03:45:00+00:00,take_profit,10.96839,-0.20110181,0.0138711,False,10.781159289999998,109.67537878533365,0.09830063419340303,2026-06-16 03:45:00+00:00,67.19,69.78318452380952,0.5186369047619046,2.5910227129265135,take_profit,0.09462285065513276,-2.0836433993143277,0.36777835382702656,True,automatic_match,,,,,,,,,,,
ht-e-1979556,1,2026-06-16 09:00:00+00:00,73.7885931,20.25,2.868171896672045,2026-06-16 10:45:00+00:00,take_profit,52.03049,-1.05635939,0.0,False,50.97413061,520.9656408699738,0.09784547503915422,2026-06-16 10:45:00+00:00,73.741,76.31054613095237,0.5139092261904759,2.869806426579645,take_profit,0.0964727692961087,6.454089312593059,0.13727057430455158,True,automatic_match,,,,,,,,,,,
ht-e-1979564,1,2026-06-16 11:00:00+00:00,75.468,22.07,2.9113896457765684,2026-06-17 11:00:00+00:00,stop_loss,-79.0106,-1.62607343,-0.49061349,False,-81.12728692,572.0906380278524,-0.14180845049250798,2026-06-17 11:00:00+00:00,75.359,71.734875,0.5177321428571426,2.911119235677578,stop_loss,-0.1482414896073614,14.464098515107882,0.6433039114853406,True,automatic_match,,,,,,,,,,,
ht-e-1981191,1,2026-07-03 09:45:00+00:00,67.7169938,38.6,2.968387136765661,2026-07-03 14:45:00+00:00,take_profit,88.04684,-1.84732252,-0.13372818,False,86.06578929999999,880.5711115997037,0.0977386018758294,2026-07-03 14:45:00+00:00,67.699,69.9796324404762,0.456126488095238,2.9684309842520977,take_profit,0.09691092152486602,2.657912229131476,0.08276803509633807,True,automatic_match,,,,,,,,,,,
ht-e-1981213,1,2026-07-03 15:15:00+00:00,70.5294647,466.98,3.0,2026-07-07 13:34:30.040000+00:00,manual_exit,457.11625979,-33.16440741,-32.56097418,True,391.3908782,10978.616475202,0.035650291553954536,2026-07-06 01:00:00+00:00,70.44,72.68158482142857,0.4483169642857141,3.0,take_profit,0.08321606741414622,12.700837592278802,-4.756577586019168,False,manual_path_divergence,,,,,,,,,,,
ht-e-1982171,-1,2026-07-13 14:45:00+00:00,64.146,531.1,3.0,2026-07-15 02:57:34.125000+00:00,stop_loss,-1286.76139,-34.71132125,8.03900295,False,-1313.4337083,11355.9802,-0.11566009143798965,2026-07-15 02:45:00+00:00,64.153,66.5486875,0.34224107142857135,3.0,stop_loss,-0.11719579148084247,1.0911414898762128,0.15357000428528195,True,automatic_match,,,,,,,,,,,
ht-e-1982356,1,2026-07-15 13:00:00+00:00,68.9912188,437.05,3.0,2026-07-15 18:45:06.502000+00:00,indicator_exit,-393.22696973,-29.95599855,-1.48420863,False,-424.66717691,10050.870725513332,-0.04225177982162444,2026-07-15 18:45:00+00:00,68.949,68.143,0.3134315476190477,3.0,indicator_exit,-0.04038135950944488,6.12319250460569,-0.18704203121795576,True,automatic_match,,,,,,,,,,,
ht-e-1982492,-1,2026-07-16 23:00:00+00:00,61.8909443,466.06,3.0,2026-07-17 01:30:00+00:00,take_profit,735.8828,-20.04424876,-2.04017321,False,713.79837803,9614.964500152668,0.07423827493264964,2026-07-17 01:30:00+00:00,61.922,60.34278869047619,0.31584226190476195,3.0,take_profit,0.07058109871630824,5.0152934336744615,0.3657176216341401,True,automatic_match,,,,,,,,,,,
ht-e-1982504,-1,2026-07-17 02:00:00+00:00,60.0265899,516.3,3.0,2026-07-17 16:02:42.328000+00:00,manual_exit,-392.17698973,-31.18781661,-3.05715181,True,-426.42195814999997,10330.576121789998,-0.04127765510101222,2026-07-18 13:15:00+00:00,60.043,58.43506845238095,0.32158630952380957,3.0,take_profit,0.06176534723199434,2.733057975118358,-10.304300233300657,False,manual_path_divergence,,,,,,,,,,,
ht-e-1982903,1,2026-07-21 05:45:00+00:00,63.0384048,471.63,3.0,2026-07-21 17:26:12+00:00,stop_loss,-1043.22074992,-29.20919231,0.01119474,False,-1072.4187474899998,9910.267618608,-0.10821289482398781,2026-07-21 17:15:00+00:00,63.031,60.76591666666666,0.32358333333333344,3.0,stop_loss,-0.11019787255906599,1.174787009567968,0.19849777350781778,True,automatic_match,,,,,,,,,,,
,1,2026-07-06 01:15:00+00:00,,,3.0,2026-07-06 11:30:00+00:00,indicator_exit,,,,,,,,,,,,,,-0.07471215055047498,,,,research_only_blocked_by_live_occupancy,70.732,0.43070238095238056,0.04643577766106491,0.0,38555.0,38596.0,41.0,-0.023294991645838814,-0.07234663446836931,91.20649995080579,84.6080166377255
