variant,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,remaining_allocation_at_exit,mfe_atr,exit_reason,entry_bar,exit_bar,hold_bars,raw_price_return,trade_return,entry_equity,exit_equity,stage_mode,satellite_allocation,satellite_entry_bar,satellite_entry_ts,satellite_entry_price,satellite_entry_atr,early_signal_bar,early_signal_ts,confirmation_signal_bar,confirmation_signal_ts,add_bar,add_ts,add_price,add_allocation,profit_partial_taken,profit_partial_ts,profit_partial_price,profit_partial_allocation
custom_v35_3_control,2025-06-16 11:30:00+00:00,2025-06-17 00:15:00+00:00,1,44.058,41.23689174107143,0.41794196428571423,2.108331001185657,2.108331001185657,4.278105940033533,stop_loss,1636,1687,51,-0.06403169138246334,-0.13654674189630478,0.9982079186489922,0.8619058796223806,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-06-29 11:45:00+00:00,2025-06-30 02:15:00+00:00,1,38.81,40.58371279761905,0.35474255952380923,2.1880656243838823,2.1880656243838823,4.704820313188215,take_profit,2885,2943,58,0.04570246837462122,0.09813934877262276,0.8603028589897229,0.9447324213181998,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-06-30 02:30:00+00:00,2025-06-30 12:30:00+00:00,1,40.801,39.886,0.3289985119047616,2.4803151700461834,2.4803151700461834,1.4224988353001211,indicator_exit,2944,2984,40,-0.022425920933310417,-0.059671643506988725,0.9427406722854044,0.8864857869692508,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-07-10 03:45:00+00:00,2025-07-10 16:30:00+00:00,1,41.427,42.52315327380952,0.2192306547619046,3.0,3.0,4.853335867447721,take_profit,3909,3960,51,0.026459875776897235,0.07614698400712405,0.8842252482124792,0.9515563340468101,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-07-10 22:30:00+00:00,2025-07-11 04:45:00+00:00,1,43.776,44.85779315476191,0.21635863095238075,3.0,3.0,4.834565625580325,take_profit,3984,4009,25,0.02471201468297468,0.07181105904682283,0.9491298653949907,1.0172878862019734,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-07-11 05:15:00+00:00,2025-07-11 17:00:00+00:00,1,45.391,46.490925595238096,0.2199851190476189,3.0,3.0,4.877602651694519,take_profit,4011,4058,47,0.02423223976643163,0.06624147941508429,1.0146938020921583,1.0819086206960595,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-07-13 20:00:00+00:00,2025-07-14 00:30:00+00:00,1,49.073,49.197,0.26496875000000003,3.0,3.0,0.8831230097888968,indicator_exit,4262,4280,18,0.0025268477574227344,0.003121939767905868,1.0791497537132846,1.082518794244928,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-08-01 08:45:00+00:00,2025-08-01 13:45:00+00:00,-1,39.684,38.1551681547619,0.305766369047619,2.3361365810925903,0.5840341452731477,1.5927193089183431,take_profit,6041,6061,20,0.03852514477467228,0.08011536703090161,1.0803692192532155,1.1669233957825755,base,0.0,,,,,,,,,,,,0.0,True,2025-08-01 13:45:00+00:00,38.33862797619047,1.7521024358194426
custom_v35_3_control,2025-08-01 14:30:00+00:00,2025-08-01 18:00:00+00:00,-1,39.343,37.790031250000006,0.31059374999999995,2.280065197706007,0.5700162994265017,3.770198209075381,take_profit,6064,6078,14,0.03947255547365469,0.08135691346154306,1.1646618335729297,1.2594151255788846,base,0.0,,,,,,,,,,,,0.0,True,2025-08-01 18:00:00+00:00,37.9763875,1.7100488982795055
custom_v35_3_control,2025-08-01 19:30:00+00:00,2025-08-02 18:45:00+00:00,-1,37.11,35.53152529761905,0.3156949404761904,2.115903406600141,0.5289758516500354,4.374476188680492,take_profit,6084,6177,93,0.04253502296903666,0.07350701684059735,1.2571500449375288,1.3495593944619095,base,0.0,,,,,,,,,,,,0.0,True,2025-08-02 18:45:00+00:00,35.72094226190476,1.5869275549501056
custom_v35_3_control,2025-08-09 14:00:00+00:00,2025-08-10 15:45:00+00:00,1,43.63,45.04446428571429,0.28289285714285706,3.0,3.0,4.623658628960991,take_profit,6830,6933,103,0.03241953439638534,0.09066597058554482,1.3461180180060317,1.4681651146312384,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-08-18 04:15:00+00:00,2025-08-19 03:15:00+00:00,-1,44.118,42.25584226190476,0.37243154761904773,2.132268345892901,0.5330670864732252,4.822362690491219,take_profit,7655,7747,92,0.04220857106159026,0.07742171588218971,1.465504170930837,1.5789660184768082,base,0.0,,,,,,,,,,,,0.0,True,2025-08-19 02:45:00+00:00,42.47930119047619,1.5992012594196756
custom_v35_3_control,2025-08-23 02:45:00+00:00,2025-08-23 05:45:00+00:00,1,44.117,44.388,0.30887351190476187,2.856638610927767,2.856638610927767,1.0845863665489544,indicator_exit,8129,8141,12,0.006142756760432411,0.01413430864488685,1.575132063477143,1.5973954662187864,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-08-26 21:15:00+00:00,2025-08-27 03:45:00+00:00,1,48.892,50.617126488095245,0.3450252976190478,2.834111025330267,2.834111025330267,3.993910039377718,take_profit,8491,8517,26,0.03528443279258853,0.09699008813869825,1.5935473495315566,1.7481056474158114,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-08-27 04:15:00+00:00,2025-08-27 08:45:00+00:00,1,50.696,48.31168303571428,0.35323214285714305,2.870406956170061,2.870406956170061,1.4806127091653691,stop_loss,8519,8537,18,-0.04703165859802971,-0.1333421963318404,1.7438405389969183,1.5113130114745688,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-08-27 09:00:00+00:00,2025-08-27 14:30:00+00:00,1,48.949,50.74155208333333,0.35851041666666683,2.7306877415230835,2.7306877415230835,4.158874974576515,take_profit,8538,8560,22,0.036620811116331975,0.09869185344999143,1.5078051261476364,1.6566132086885448,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-09-08 06:45:00+00:00,2025-09-08 09:15:00+00:00,1,49.929,51.11623958333333,0.23744791666666668,3.0,3.0,4.914762009212523,take_profit,9681,9691,10,0.023778557217916108,0.06900709054735521,1.6523888450063888,1.7664153916531844,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-09-08 09:30:00+00:00,2025-09-09 04:15:00+00:00,1,50.95,52.144776785714285,0.2389553571428571,3.0,3.0,4.281134401972857,take_profit,9692,9767,75,0.023449985980653176,0.06144341195308889,1.7619110324044687,1.8701688577931888,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-09-09 07:15:00+00:00,2025-09-09 12:30:00+00:00,1,54.998,53.28973772321428,0.2530758928571428,3.0,3.0,1.4264495757554543,stop_loss,9779,9800,21,-0.0310604435940528,-0.09743942447953802,1.865399927205816,1.683636431874709,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-09-09 13:00:00+00:00,2025-09-10 06:15:00+00:00,1,53.769,55.07030952380952,0.26026190476190475,3.0,3.0,4.726008599396228,take_profit,9802,9871,69,0.024201854671084044,0.06306063198628542,1.6793431589734285,1.785243599900138,base,0.0,,,,,,,,,,,,0.0,False,,,0.0
custom_v35_3_control,2025-09-21 12:15:00+00:00,2025-09-21 16:30:00+00:00,-1,52.711,51.205107142857145,0.30117857142857146,3.0,0.75,3.595873354678045,take_profit,10951,10968,17,0.028568853885201473,0.07790150329647183,1.7806912287203924,1.9194097523445524,base,0.0,,,,,,,,,,,,0.0,True,2025-09-21 16:30:00+00:00,51.38581428571428,2.25
custom_v35_3_control,2025-09-21 16:45:00+00:00,2025-09-22 00:45:00+00:00,-1,51.229,49.73002678571429,0.2997946428571428,3.0,0.75,4.60982219972004,take_profit,10969,11001,32,0.029260247404511386,0.07848122525228152,1.9145152574760735,2.064768760646983,base,0.0,,,,,,,,,,,,0.0,True,2025-09-22 00:30:00+00:00,49.90990357142857,2.25
