name,signals,trade_count,cfg_name,cfg_side_mode,cfg_trigger_style,cfg_fast_ma,cfg_slow_ma,cfg_structure_window,cfg_platform_window,cfg_structure_margin_bps,cfg_slope_lookback,cfg_min_slow_slope_bps,cfg_min_fast_slope_bps,cfg_pullback_touch_bps,cfg_reclaim_bps,cfg_min_body_atr,cfg_max_dist_slow_bps,cfg_min_atr_bps,cfg_max_atr_bps,cfg_min_rvol60,cfg_min_adx14,cfg_close_pos,cfg_require_body_dir,cfg_tp_bps,cfg_sl_bps,cfg_max_hold_bars,cfg_cooldown_bars,reason_stop_market,reason_target_limit,reason_time_open,full_trades,full_trades_per_day,full_equity_multiple,full_annualized_multiple,full_total_return,full_max_dd,full_win_rate,full_profit_factor,full_avg_trade,full_avg_win,full_avg_loss_abs,full_payoff_ratio,full_worst_trade,full_best_trade,full_target_rate,full_stop_rate,full_time_rate,full_long_trades,full_short_trades,full_avg_bars_held,train_first_60pct_trades,train_first_60pct_trades_per_day,train_first_60pct_equity_multiple,train_first_60pct_annualized_multiple,train_first_60pct_total_return,train_first_60pct_max_dd,train_first_60pct_win_rate,train_first_60pct_profit_factor,train_first_60pct_avg_trade,train_first_60pct_avg_win,train_first_60pct_avg_loss_abs,train_first_60pct_payoff_ratio,train_first_60pct_worst_trade,train_first_60pct_best_trade,train_first_60pct_target_rate,train_first_60pct_stop_rate,train_first_60pct_time_rate,train_first_60pct_long_trades,train_first_60pct_short_trades,train_first_60pct_avg_bars_held,val_next_20pct_trades,val_next_20pct_trades_per_day,val_next_20pct_equity_multiple,val_next_20pct_annualized_multiple,val_next_20pct_total_return,val_next_20pct_max_dd,val_next_20pct_win_rate,val_next_20pct_profit_factor,val_next_20pct_avg_trade,val_next_20pct_avg_win,val_next_20pct_avg_loss_abs,val_next_20pct_payoff_ratio,val_next_20pct_worst_trade,val_next_20pct_best_trade,val_next_20pct_target_rate,val_next_20pct_stop_rate,val_next_20pct_time_rate,val_next_20pct_long_trades,val_next_20pct_short_trades,val_next_20pct_avg_bars_held,fwd_last_20pct_trades,fwd_last_20pct_trades_per_day,fwd_last_20pct_equity_multiple,fwd_last_20pct_annualized_multiple,fwd_last_20pct_total_return,fwd_last_20pct_max_dd,fwd_last_20pct_win_rate,fwd_last_20pct_profit_factor,fwd_last_20pct_avg_trade,fwd_last_20pct_avg_win,fwd_last_20pct_avg_loss_abs,fwd_last_20pct_payoff_ratio,fwd_last_20pct_worst_trade,fwd_last_20pct_best_trade,fwd_last_20pct_target_rate,fwd_last_20pct_stop_rate,fwd_last_20pct_time_rate,fwd_last_20pct_long_trades,fwd_last_20pct_short_trades,fwd_last_20pct_avg_bars_held,recent_30d_trades,recent_30d_trades_per_day,recent_30d_equity_multiple,recent_30d_annualized_multiple,recent_30d_total_return,recent_30d_max_dd,recent_30d_win_rate,recent_30d_profit_factor,recent_30d_avg_trade,recent_30d_avg_win,recent_30d_avg_loss_abs,recent_30d_payoff_ratio,recent_30d_worst_trade,recent_30d_best_trade,recent_30d_target_rate,recent_30d_stop_rate,recent_30d_time_rate,recent_30d_long_trades,recent_30d_short_trades,recent_30d_avg_bars_held,recent_14d_trades,recent_14d_trades_per_day,recent_14d_equity_multiple,recent_14d_annualized_multiple,recent_14d_total_return,recent_14d_max_dd,recent_14d_win_rate,recent_14d_profit_factor,recent_14d_avg_trade,recent_14d_avg_win,recent_14d_avg_loss_abs,recent_14d_payoff_ratio,recent_14d_worst_trade,recent_14d_best_trade,recent_14d_target_rate,recent_14d_stop_rate,recent_14d_time_rate,recent_14d_long_trades,recent_14d_short_trades,recent_14d_avg_bars_held,paper_candidate_pass,frequency_fit,score,reason_gap_stop_market
HYPE_5M_MA_PBS_R01150,126,102,HYPE_5M_MA_PBS_R01150,long,reclaim,13,89,16,3,3.0,10,0.0,10.0,10.0,10.0,0.2,240.0,10.0,80.0,1.5,32.0,0.54,False,50.0,160.0,20,2,10.0,62.0,30.0,102,0.2603747496055734,0.9750752055121947,0.9767410734880132,-0.02492479448780527,-0.1386797599448769,0.6470588235294118,0.9243237180474341,-0.0002232589229448289,0.0042143380763973864,0.00835885342173889,0.5041765734804187,-0.01656301975985192,0.004433814053737403,0.6078431372549019,0.09803921568627451,0.29411764705882354,102,0,11.294117647058824,60,0.2552693623584053,0.8921279711857434,0.8374640404608109,-0.10787202881425662,-0.1386797599448769,0.5666666666666667,0.5549344352976046,-0.0018692925184330693,0.0041130811901692035,0.009692396598912965,0.42436162699228586,-0.01656301975985192,0.004433814053737403,0.5166666666666667,0.16666666666666666,0.31666666666666665,60,0,12.083333333333334,16,0.20421548988672422,1.0277331169268964,1.1360161223644158,0.027733116926896395,-0.02168296039847184,0.75,2.0766224042141856,0.0017240291988155992,0.004433814053737218,0.006405325365949258,0.6922074680713951,-0.010368291903319534,0.004433814053737403,0.75,0.0,0.25,16,0,9.25,26,0.33185017106592685,1.0634831319984324,1.3323375102192034,0.06348313199843236,-0.01476249596935364,0.7692307692307693,3.6529461931883547,0.0023769489917139235,0.004254789196581396,0.003882518357844323,1.0958838579565064,-0.008365736588935328,0.004433814053737403,0.7307692307692307,0.0,0.2692307692307692,26,0,10.73076923076923,8,0.26666666666666666,1.027754150386374,1.3955695600507243,0.027754150386374077,-0.009591914030038451,0.875,8.655768077540564,0.0034313789737071285,0.004433814053737213,0.00358566658650346,1.2365382967915093,-0.00358566658650346,0.004433814053737403,0.875,0.0,0.125,8,0,7.0,4,0.2857142857142857,1.0097269325409945,1.2872941688506465,0.009726932540994548,-0.00959191403003834,0.75,3.709614890374501,0.002428943893677021,0.004433814053737182,0.00358566658650346,1.2365382967915004,-0.00358566658650346,0.004433814053737403,0.75,0.0,0.25,4,0,8.5,False,0.31930258523437344,168.0088606315485,
HYPE_5M_MA_PBS_R01957,112,98,HYPE_5M_MA_PBS_R01957,both,reclaim,55,377,60,8,5.0,10,0.0,20.0,50.0,35.0,1.0,900.0,60.0,400.0,1.0,12.0,0.74,True,80.0,220.0,10,8,9.0,58.0,31.0,98,0.25016397511123717,1.0863965800083184,1.0803252913358883,0.0863965800083184,-0.0752139306496985,0.6428571428571429,1.2426701354073024,0.0008931666685156808,0.007114715895944206,0.010305621940855662,0.6903722974485013,-0.02256852529166972,0.007435991263539325,0.5918367346938775,0.09183673469387756,0.3163265306122449,50,48,6.387755102040816,62,0.2637783411036855,1.0640014580948574,1.1012018391371177,0.06400145809485736,-0.0752139306496985,0.6129032258064516,1.3110049497035265,0.001041526575410987,0.00716333858390859,0.008651342438043549,0.8280031261285431,-0.02256852529166972,0.007435991263539325,0.5806451612903226,0.06451612903225806,0.3548387096774194,29,33,6.532258064516129,24,0.30632323483008633,0.9884478387152428,0.9472729460580332,-0.011552161284757223,-0.06612465562793235,0.6666666666666666,0.9164668422001477,-0.0004183248446658276,0.006884347356830731,0.015023669247658944,0.45823342110007387,-0.02256852529166972,0.007435991263539325,0.5833333333333334,0.16666666666666666,0.25,12,12,5.708333333333333,12,0.15316161741504317,1.0329811833007665,1.1633135825232077,0.03298118330076649,-0.03608714491865661,0.75,2.0036588885270494,0.0027496235092529507,0.007318964171851874,0.010958398478543822,0.6678862961756831,-0.022562115135162823,0.007435991263539325,0.6666666666666666,0.08333333333333333,0.25,9,3,7.0,9,0.3,1.0102838823660971,1.1326577300292429,0.010283882366097119,-0.03608714491865672,0.6666666666666666,1.32533333247548,0.0011883774318729636,0.0072617653870813564,0.010958398478543822,0.66266666623774,-0.022562115135162823,0.007435991263539325,0.5555555555555556,0.1111111111111111,0.3333333333333333,6,3,7.222222222222222,4,0.2857142857142857,0.9914387851529268,0.7990613348308997,-0.008561214847073173,-0.026624606588061872,0.5,0.6421984304736925,-0.002071119139562976,0.007434676502466118,0.01157691478159207,0.6421984304736925,-0.022562115135162823,0.007435991263539325,0.5,0.25,0.25,3,1,7.25,False,0.31731548063546144,147.5726630468951,
HYPE_5M_MA_PBS_R01765,132,121,HYPE_5M_MA_PBS_R01765,both,engulf_reclaim,21,144,20,13,35.0,60,0.0,10.0,35.0,3.0,0.5,320.0,40.0,120.0,0.4,32.0,0.8,True,50.0,100.0,15,2,31.0,77.0,13.0,121,0.3088759284536704,0.9460642575454056,0.9496183324606217,-0.053935742454594426,-0.12625492174727793,0.6528925619834711,0.8675530246401302,-0.00043546506796603927,0.004368834418101534,0.009472123625093141,0.4612307219605756,-0.010566718669586235,0.004435539608018455,0.6363636363636364,0.256198347107438,0.10743801652892562,49,72,6.256198347107438,80,0.3403591498112071,0.955954523065173,0.9323959821075227,-0.044045476934826966,-0.07089549456232769,0.65,0.8408752095499689,-0.0005397068307551916,0.004387713500960482,0.009690630303941442,0.4527789589884447,-0.010566718669586235,0.004435539608018455,0.6375,0.2625,0.1,34,46,5.7125,24,0.30632323483008633,0.9357179143464466,0.7336380766556373,-0.06428208565355342,-0.08706276805796265,0.5,0.4474967447467628,-0.0027379101160078002,0.004435108219448063,0.009910928451463661,0.4474967447467628,-0.010566718669586235,0.004435539608018455,0.5,0.4166666666666667,0.08333333333333333,9,15,7.5,17,0.21697895800464448,1.0576414394171052,1.2985611535343249,0.0576414394171052,-0.010111446800809443,0.8823529411764706,8.432820847053442,0.0033055950600418696,0.004250367889779959,0.003780201162993789,1.1243761129404588,-0.004646858946017079,0.004435539608018344,0.8235294117647058,0.0,0.17647058823529413,6,11,7.0588235294117645,10,0.3333333333333333,1.0347378476279583,1.5155118044110425,0.034737847627958285,-0.010111446800809443,0.9,12.749331986101394,0.003423218842718135,0.004127303534127983,0.002913543379970499,1.4165924429001548,-0.002913543379970499,0.004435539608018344,0.8,0.0,0.2,4,6,6.6,6,0.42857142857142855,1.0193948266612158,1.6506230897724636,0.019394826661215836,-0.010111446800809443,0.8333333333333334,7.611341103846887,0.003210404850973325,0.004435194497162089,0.002913543379970499,1.5222682207693774,-0.002913543379970499,0.004435539608018344,0.8333333333333334,0.0,0.16666666666666666,1,5,6.0,False,0.32883615339993455,144.355801754346,
HYPE_5M_MA_PBS_R00606,95,80,HYPE_5M_MA_PBS_R00606,long,reclaim,34,233,30,5,5.0,30,20.0,-10.0,5.0,0.0,0.2,180.0,40.0,180.0,0.8,16.0,0.74,True,180.0,75.0,30,3,44.0,22.0,14.0,80,0.20421548988672422,1.1045619337043375,1.0971580291867455,0.10456193370433753,-0.06045459602706871,0.4375,1.2916614086764509,0.0013068553420860223,0.013228761154481563,0.007965738067554953,1.6607075254411512,-0.00806430131149432,0.017431854033578376,0.275,0.55,0.175,80,0,13.3625,55,0.23399691549520485,1.0437484897383804,1.068801558716208,0.043748489738380414,-0.06045459602706871,0.41818181818181815,1.1820532274438778,0.0008395046824873764,0.013034567544667548,0.00792569674970462,1.6445957947045258,-0.00806430131149432,0.017431854033578376,0.2545454545454545,0.5636363636363636,0.18181818181818182,55,0,13.909090909090908,11,0.1403981492971229,1.0637065409356727,1.3336428096698678,0.06370654093567274,-0.016370403805468503,0.6363636363636364,2.942446635196537,0.005696172708262907,0.013559300719552705,0.008064301311494236,1.681398077255164,-0.00806430131149432,0.017431854033578376,0.45454545454545453,0.36363636363636365,0.18181818181818182,11,0,12.909090909090908,14,0.17868855365088368,0.9948838528601254,0.9763716600377883,-0.005116147139874627,-0.028799549766169052,0.35714285714285715,0.9409988155698776,-0.0003058735686297092,0.013659296368526433,0.008064301311494234,1.6937978680257797,-0.00806430131149432,0.017431854033578376,0.21428571428571427,0.6428571428571429,0.14285714285714285,14,0,11.571428571428571,8,0.26666666666666666,0.9860791658698107,0.8430939215875668,-0.013920834130189297,-0.025387040785262105,0.25,0.7205358265707102,-0.0016902624752261038,0.017431854033578265,0.008064301311494227,2.1616074797121305,-0.00806430131149432,0.017431854033578376,0.25,0.75,0.0,8,0,7.5,2,0.14285714285714285,0.9839364303326541,0.6554130951687168,-0.0160635696673459,-0.017463570972061304,0.0,0.0,-0.008064301311494264,0.0,0.008064301311494264,0.0,-0.00806430131149432,-0.008064301311494208,0.0,1.0,0.0,2,0,9.0,False,0.3084604525664434,144.33022030183,
HYPE_5M_MA_PBS_R01959,111,99,HYPE_5M_MA_PBS_R01959,long,platform_break,34,233,20,3,3.0,60,5.0,3.0,10.0,3.0,0.0,650.0,25.0,180.0,1.0,8.0,0.8,False,60.0,220.0,45,8,16.0,65.0,18.0,99,0.25271666873482124,0.8686045857766486,0.8769190318310036,-0.13139541422335144,-0.18959724656059473,0.6767676767676768,0.7258394630452638,-0.0013641743704531917,0.0053366154894043385,0.015393953139529898,0.3466695942902752,-0.022562115135163156,0.005433663282955905,0.6565656565656566,0.16161616161616163,0.18181818181818182,99,0,18.545454545454547,63,0.26803283047632553,0.8582294862082679,0.7885385019261075,-0.1417705137917321,-0.15565844004571017,0.6190476190476191,0.579830409575744,-0.0023626863369424988,0.005266940150444263,0.014760829378945987,0.3568187135850733,-0.022562115135163156,0.005433663282955905,0.5873015873015873,0.19047619047619047,0.2222222222222222,63,0,21.46031746031746,22,0.2807962985942458,0.9603557805704767,0.8281351579663181,-0.03964421942952334,-0.06126526220938344,0.6818181818181818,0.676228182303884,-0.001773809912812853,0.005433663282955875,0.017218395332317272,0.3155731517418125,-0.022562115135163156,0.005433663282955905,0.6818181818181818,0.18181818181818182,0.13636363636363635,22,0,15.0,14,0.17868855365088368,1.0538687616869797,1.2771077647722757,0.05386876168697974,-0.027672667396290263,0.9285714285714286,3.964435087366637,0.0037728424738852984,0.0054336632829558714,0.017817828044032154,0.304956545182049,-0.017817828044032154,0.005433663282955905,0.9285714285714286,0.0,0.07142857142857142,14,0,11.0,11,0.36666666666666664,1.0368746716169408,1.5540582256945774,0.0368746716169408,-0.02767266739629015,0.9090909090909091,3.0495654518205093,0.003319891344138809,0.005433663282955905,0.017817828044032154,0.3049565451820509,-0.017817828044032154,0.005433663282955905,0.9090909090909091,0.0,0.09090909090909091,11,0,11.727272727272727,7,0.5,1.0146413988925902,1.4611360515405707,0.014641398892590196,-0.02767266739629015,0.8571428571428571,1.8297392710923057,0.002112021664814754,0.005433663282955906,0.017817828044032154,0.30495654518205095,-0.017817828044032154,0.005433663282955905,0.8571428571428571,0.0,0.14285714285714285,7,0,15.428571428571429,False,0.31781160159794797,140.26937693353517,
HYPE_5M_MA_PBS_R00163,137,98,HYPE_5M_MA_PBS_R00163,long,reclaim,13,89,60,8,35.0,5,3.0,0.0,5.0,20.0,0.35,650.0,60.0,120.0,1.0,8.0,0.58,True,50.0,220.0,5,15,2.0,60.0,36.0,98,0.25016397511123717,0.9986531969281849,0.998744222192615,-0.001346803071815117,-0.06478117833156694,0.6836734693877551,1.0032273181058857,9.046487045904332e-06,0.004113285113134408,0.008861404737080867,0.4641798038997382,-0.022562115135162934,0.004433814053737403,0.6122448979591837,0.02040816326530612,0.3673469387755102,98,0,3.663265306122449,54,0.22974242612256476,0.9694184058672455,0.9528820458670745,-0.03058159413275452,-0.059409921322624015,0.6481481481481481,0.8276791976100033,-0.0005508474631245476,0.004082078959358498,0.00908518560980384,0.449311564416859,-0.022562115135162934,0.004433814053737403,0.5740740740740741,0.018518518518518517,0.4074074074074074,54,0,3.9814814814814814,22,0.2807962985942458,1.0051684691548668,1.0243237207192322,0.005168469154866795,-0.03403635911910885,0.7272727272727273,1.0946124665665091,0.0002600400333370072,0.004136708669182906,0.01007774299558539,0.41047967496244087,-0.022562115135162934,0.004433814053737403,0.6363636363636364,0.045454545454545456,0.3181818181818182,22,0,3.227272727272727,22,0.2807962985942458,1.0248600837323876,1.1212868715451325,0.024860083732387572,-0.03626861589427355,0.7272727272727273,1.5985655590981909,0.0011323380911731828,0.004158125018470718,0.006936427048286912,0.5994620846618216,-0.016316695017600195,0.004433814053737403,0.6818181818181818,0.0,0.3181818181818182,22,0,3.3181818181818183,8,0.26666666666666666,1.0295186899454754,1.4250228032052874,0.02951868994547535,-0.011225125798790092,0.875,16.553488419700443,0.0036452205461180278,0.004433814053737245,0.00187493400721649,2.364784059957206,-0.00187493400721649,0.004433814053737403,0.875,0.0,0.125,8,0,2.625,4,0.2857142857142857,1.0114605213722232,1.346214346739971,0.011460521372223198,-0.011225125798790092,0.75,7.094352179871753,0.0028566270384988743,0.004433814053737329,0.00187493400721649,2.364784059957251,-0.00187493400721649,0.004433814053737403,0.75,0.0,0.25,4,0,3.0,False,0.31731548063546144,137.1181710525602,
HYPE_5M_MA_PBS_R02922,141,115,HYPE_5M_MA_PBS_R02922,long,reclaim,89,610,30,21,0.0,20,10.0,0.0,10.0,35.0,0.35,450.0,5.0,260.0,0.0,8.0,0.62,False,100.0,90.0,15,10,45.0,44.0,26.0,115,0.2935597667121661,0.9824434183979908,0.9836209672701245,-0.017556581602009236,-0.17030997026443973,0.4956521739130435,0.9714986316394327,-0.00011730777483631133,0.008067263893909491,0.008160766138948566,0.9885424672822297,-0.009564075155322182,0.009433060199830137,0.3826086956521739,0.391304347826087,0.22608695652173913,115,0,8.365217391304348,73,0.31057772420272645,0.8960324069621215,0.8431664808442982,-0.1039675930378785,-0.17030997026443973,0.410958904109589,0.6988032663578694,-0.001466136869160822,0.008277149302794877,0.008263778384478754,1.001618015112946,-0.009564075155322182,0.009433060199830137,0.3287671232876712,0.4657534246575342,0.2054794520547945,73,0,7.808219178082192,16,0.20421548988672422,1.0935522849086565,1.5172754418648253,0.09355228490865652,-0.018448339131527214,0.8125,4.1407709678157225,0.005632231796595603,0.009139071862422757,0.009564075155322071,0.9555625310343975,-0.009564075155322071,0.009433060199830137,0.75,0.1875,0.0625,16,0,6.875,26,0.33185017106592685,1.0026382717269768,1.0123587953711646,0.0026382717269768374,-0.037055174082867404,0.5384615384615384,1.0383234243342778,0.00013161109988594417,0.006622259189821342,0.007440811671705354,0.8899915065722381,-0.009564075155322182,0.009433060199830137,0.3076923076923077,0.3076923076923077,0.38461538461538464,26,0,10.846153846153847,10,0.3333333333333333,1.0155149109254742,1.2061623231922836,0.01551491092547419,-0.025013674827174426,0.5,1.5017141742784812,0.0015757659114294443,0.00943306019982996,0.006281528376971071,1.5017141742784812,-0.009564075155322182,0.009433060199830137,0.5,0.3,0.2,10,0,7.9,3,0.21428571428571427,1.0066930110892318,1.190096171159749,0.006693011089231815,-0.00794294408290308,0.3333333333333333,3.473890830964679,0.0022392145936469265,0.009433060199829915,0.001357708209444568,6.947781661929358,-0.002290742719266017,0.009433060199829915,0.3333333333333333,0.0,0.6666666666666666,3,0,12.0,False,0.325808715241009,136.1217193905997,
HYPE_5M_MA_PBS_R03072,154,138,HYPE_5M_MA_PBS_R03072,both,reclaim,21,144,16,5,35.0,10,0.0,35.0,20.0,10.0,1.0,650.0,40.0,260.0,1.5,32.0,0.62,False,180.0,160.0,45,2,54.0,57.0,27.0,138,0.3522717200545993,1.1427565797418786,1.1324900571414438,0.1427565797418786,-0.1263591116690591,0.5289855072463768,1.157823448597145,0.0010885204457158277,0.015096060545503416,0.014643024589430238,1.030938687107047,-0.016567621980628198,0.01743749678194238,0.41304347826086957,0.391304347826087,0.1956521739130435,58,80,23.652173913043477,92,0.3914130222828881,1.0405838928133158,1.0637701191723727,0.04058389281331576,-0.1263591116690591,0.5108695652173914,1.078115042454155,0.0005522410193420925,0.014919321195017068,0.014453376053029555,1.032237806605042,-0.016567621980628198,0.01743749678194238,0.391304347826087,0.40217391304347827,0.20652173913043478,36,56,24.108695652173914,27,0.34461363918384713,1.024614878136376,1.1200367529688964,0.024614878136375973,-0.083720442043968,0.5185185185185185,1.1344453490897486,0.0010381750098258178,0.01689445144393169,0.01603781499613435,1.0534135384404808,-0.016567621980628198,0.017437496781942268,0.48148148148148145,0.4444444444444444,0.07407407407407407,11,16,20.48148148148148,19,0.24250589424048502,1.0718054807752246,1.3816446313486184,0.07180548077522464,-0.0443163331093368,0.631578947368421,1.7683159881615884,0.0037567853928428753,0.013690166953408647,0.013271868710984161,1.0315176597609266,-0.016567621980627976,0.017437496781942268,0.42105263157894735,0.2631578947368421,0.3157894736842105,11,8,25.94736842105263,9,0.3,1.0089589459743782,1.1147046330524948,0.008958945974378185,-0.0443163331093368,0.4444444444444444,1.166741322073595,0.0011074781024688017,0.017436086094851214,0.011955408291437127,1.4584266525919936,-0.016567621980627976,0.017437496781942268,0.4444444444444444,0.3333333333333333,0.2222222222222222,3,6,19.88888888888889,5,0.35714285714285715,0.9984427274791481,0.9601557240283478,-0.0015572725208519156,-0.044316333109336914,0.4,0.9727492989486677,-0.0001953667313777052,0.01743467540776021,0.011948728157469649,1.4591239484230016,-0.016567621980627976,0.017437496781942268,0.4,0.4,0.2,2,3,22.4,True,0.3374973292666813,135.82326033370944,
HYPE_5M_MA_PBS_R02820,138,90,HYPE_5M_MA_PBS_R02820,long,engulf_reclaim,8,55,60,13,20.0,30,10.0,5.0,0.0,35.0,0.35,900.0,60.0,650.0,0.4,8.0,0.54,False,100.0,220.0,45,20,22.0,59.0,9.0,90,0.22974242612256476,1.0076882059910273,1.0071664045027113,0.007688205991027264,-0.11987248694372332,0.6777777777777778,1.029500112140488,0.00018127708711890636,0.009333796325691732,0.019070573725051526,0.48943447954219915,-0.022562115135163156,0.009433060199830137,0.6555555555555556,0.24444444444444444,0.1,90,0,14.044444444444444,48,0.20421548988672422,0.9709074144974673,0.9551573918627695,-0.029092585502532686,-0.09958778681729086,0.6458333333333334,0.9201679570543636,-0.000517602148777844,0.009237734512009562,0.018306745471390176,0.5046082345136832,-0.022562115135163156,0.009433060199830137,0.6041666666666666,0.25,0.14583333333333334,48,0,16.729166666666668,24,0.30632323483008633,1.0151357399551382,1.0725424861560862,0.015135739955138172,-0.11055425894244286,0.7083333333333334,1.121348111323613,0.0007230741755825283,0.009433060199829993,0.020429749026161317,0.4617315752508994,-0.022562115135163045,0.009433060199830137,0.7083333333333334,0.25,0.041666666666666664,24,0,8.458333333333334,18,0.22974242612256474,1.0224080014527717,1.1088347461078345,0.022408001452771664,-0.06491763718408539,0.7222222222222222,1.240894193492064,0.0013225589315587437,0.009433060199829948,0.01976474436594639,0.4772669974969478,-0.022562115135163045,0.009433060199830137,0.7222222222222222,0.2222222222222222,0.05555555555555555,18,0,14.333333333333334,8,0.26666666666666666,0.9927175714349215,0.9148565638379028,-0.007282428565078547,-0.03945773090700333,0.625,0.878319321645208,-0.0008167738200319942,0.009433060199830003,0.017899830519801988,0.5269915929871247,-0.022562115135163045,0.009433060199830137,0.625,0.25,0.125,8,0,19.0,3,0.21428571428571427,0.9959653206723954,0.8998971286774062,-0.004034679327604596,-0.02722474925764673,0.6666666666666666,0.8361858046835954,-0.0012319982451675902,0.009433060199830026,0.022562115135162823,0.4180929023417977,-0.022562115135162823,0.009433060199830137,0.6666666666666666,0.3333333333333333,0.0,3,0,8.0,False,0.3133622907216633,127.77892669869658,
HYPE_5M_MA_PBS_R01617,452,240,HYPE_5M_MA_PBS_R01617,both,reclaim,89,610,45,21,0.0,20,5.0,-10.0,75.0,35.0,0.0,240.0,0.0,400.0,1.25,12.0,0.58,False,80.0,160.0,45,15,57.0,145.0,38.0,240,0.6126464696601727,0.9841823724528559,0.9852441644444017,-0.01581762754714411,-0.16479950771537022,0.6583333333333333,0.9972681106154888,-1.2837058170146164e-05,0.007118172121742569,0.01375307425848977,0.517569525762469,-0.016567621980627976,0.007435991263539325,0.6041666666666666,0.2375,0.15833333333333333,114,126,20.733333333333334,148,0.629664427150733,0.9262205921098319,0.8877196171993678,-0.07377940789016812,-0.16479950771537022,0.6418918918918919,0.9074598406445841,-0.00046192057465975977,0.0070567151716570305,0.013938720497303062,0.5062670689911891,-0.016567621980627976,0.007435991263539325,0.581081081081081,0.2702702702702703,0.14864864864864866,73,75,19.79054054054054,41,0.5233021928347308,0.999160455998792,0.9960921777976793,-0.0008395440012080035,-0.08258870196935575,0.6585365853658537,1.006998633892983,3.4029664412655226e-05,0.007435212145866216,0.014239679406962066,0.5221474397963616,-0.016567621980627976,0.007435991263539325,0.6585365853658537,0.1951219512195122,0.14634146341463414,12,29,19.682926829268293,51,0.6509368740139334,1.0634716389582661,1.3322703875987645,0.06347163895826613,-0.054578339697695544,0.7058823529411765,1.3368838617545913,0.0012527085264292242,0.0070425701663755684,0.012642959409441998,0.5570349423977463,-0.016567621980627976,0.007435991263539325,0.6274509803921569,0.17647058823529413,0.19607843137254902,29,22,24.313725490196077,13,0.43333333333333335,0.999856403961763,0.9982531202729206,-0.00014359603823699274,-0.038753817364490906,0.6923076923076923,1.009942249832231,5.066882474726965e-05,0.00743453041790239,0.016563019759851753,0.4488632221476582,-0.016563019759851808,0.007435991263539325,0.6923076923076923,0.3076923076923077,0.0,9,4,14.538461538461538,9,0.6428571428571429,1.0186193105351928,1.6181727402894366,0.018619310535192835,-0.038753817364490684,0.7777777777777778,1.5710918369031062,0.002102001195403589,0.007434864325476528,0.016563019759851697,0.44888338197231603,-0.016563019759851697,0.007435991263539325,0.7777777777777778,0.2222222222222222,0.0,5,4,18.11111111111111,False,0.39193218796502893,127.48187423727826,
