name,base_name,month,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_05,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_06,11,0.36666666666666664,0.9862844237571146,0.8452330565056605,-0.013715576242885441,-0.0684657869994123,0.45454545454545453,0.8769818345107716,-0.0011115465731985476,0.017432982583251024,0.016565320870239854,1.052378201412926,-0.016567621980627976,0.017437496781942268,0.45454545454545453,0.5454545454545454,0.0,7,4,14.818181818181818
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_07,11,0.3548387096774194,0.9910331548175362,0.8993111416530133,-0.008966845182463823,-0.047965243098957,0.36363636363636365,0.8803946994004994,-0.0007327849339738758,0.014833246630401042,0.009627660113616683,1.540690723950874,-0.016567621980627976,0.017437496781942268,0.2727272727272727,0.2727272727272727,0.45454545454545453,4,7,37.81818181818182
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_08,10,0.3225806451612903,1.0266685152130681,1.3635594624015674,0.026668515213068122,-0.03739690505614013,0.6,1.417257223199739,0.002764799915091591,0.015651547105312583,0.016565320870239892,0.9448381487998261,-0.016567621980627976,0.01743749678194238,0.5,0.4,0.1,2,8,24.4
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_09,12,0.4,1.0015961845689298,1.019607810499774,0.0015961845689298482,-0.0604720443231469,0.5,1.0352962305304854,0.0002540579029837728,0.01490386850620811,0.014395752700240563,1.0352962305304854,-0.016567621980628198,0.017437496781942268,0.4166666666666667,0.4166666666666667,0.16666666666666666,5,7,23.833333333333332
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_10,12,0.3870967741935484,1.009499262198308,1.1178358167385922,0.0094992621983081,-0.030886828139746192,0.5,1.1322619643129745,0.0009039310374020796,0.0154766600863487,0.013668798011544539,1.1322619643129745,-0.016567621980627976,0.017437496781942268,0.4166666666666667,0.3333333333333333,0.25,6,6,22.083333333333332
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_11,14,0.4666666666666667,0.9575244712941106,0.5895217232815009,-0.04247552870588944,-0.10355387681659489,0.42857142857142855,0.6864338117069994,-0.002968288520419949,0.015161854982802614,0.01656589614783687,0.9152450822759991,-0.016567621980627976,0.01743749678194238,0.2857142857142857,0.5714285714285714,0.14285714285714285,5,9,18.428571428571427
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2025_12,16,0.5161290322580645,1.036404798843325,1.5239530159593238,0.036404798843324926,-0.043251171047099635,0.625,1.3792237322529117,0.0023557360523922826,0.013708370205971588,0.016565320870239892,0.827534239351747,-0.016567621980627976,0.017437496781942268,0.4375,0.375,0.1875,7,9,24.5625
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2026_01,15,0.4838709677419355,1.0186599170351847,1.2433755222756184,0.01865991703518466,-0.08372044204396778,0.5333333333333333,1.2034337442844205,0.0013546273546068523,0.015025201526904496,0.01426888598516188,1.0530045262488679,-0.016567621980628198,0.01743749678194238,0.4,0.4,0.2,3,12,23.2
HYPE_5M_MA_PBS_R03072__base,HYPE_5M_MA_PBS_R03072,2026_02,10,0.35714285714285715,1.0029120865628594,1.0386605240964568,0.0029120865628593506,-0.05321076955035786,0.5,1.052553340835562,0.000435293569975935,0.017436368232269378,0.01656578109231751,1.0525533408355618,-0.016567621980627976,0.017437496781942268,0.5,0.5,0.0,3,7,19.5
