entry_ts,direction,entry_price,allocation,stop_loss_pct,take_profit_pct,ret_16,ret_32,ret_96,exit_ts,exit_reason,both_stop_take_hit,hold_bars,trade_equity_return,exit_price
2025-06-06T12:15:00+00:00,1,34.284,1.1789351015969807,0.035,0.035,-0.017903692457532427,-0.007354218541895774,-0.029056924384027294,2025-06-06T13:45:00+00:00,take,False,6,0.03927962941652341,35.48394
2025-06-06T16:30:00+00:00,1,34.657,1.2110606669902235,0.035,0.035,0.006885531667634837,-0.003020539669754463,0.012622352081811394,2025-06-06T22:00:00+00:00,stop,False,22,-0.04443572367298132,33.444005
2025-06-08T01:15:00+00:00,1,34.623,0.6637912004831028,0.035,0.035,-0.003798014674147754,-0.007880107742564202,0.034263352849802864,2025-06-08T16:45:00+00:00,take,False,62,0.021946075755472805,35.834804999999996
2025-06-08T23:45:00+00:00,1,34.984,1.3799273915446655,0.035,0.035,-0.027871175702336992,-0.006503280038622106,0.001804072048337657,2025-06-09T10:15:00+00:00,take,False,42,0.04581461457335978,36.208439999999996
2025-06-10T14:00:00+00:00,1,40.353,1.550049739678849,0.035,0.035,-0.01827072790969242,0.04152901094362993,0.09141806182890222,2025-06-10T20:30:00+00:00,take,False,26,0.05167436162061234,41.765355
2025-06-11T02:00:00+00:00,1,41.074,1.5523958736601338,0.035,0.035,-0.02106868773535442,0.01948422646379888,0.050700910672260235,2025-06-11T06:30:00+00:00,take,False,18,0.05185594389791315,42.51159
2025-06-11T10:15:00+00:00,1,41.693,1.5544229243529628,0.035,0.035,-0.011358247178222536,0.011646810472423663,0.021661888308951438,2025-06-11T14:15:00+00:00,take,False,16,0.05163274129863371,43.152255
2025-06-11T17:45:00+00:00,1,42.913,1.575907754522104,0.035,0.035,0.0008162694155511296,0.0274871303723212,0.07349593495934936,2025-06-11T21:45:00+00:00,stop,False,16,-0.0574031677489677,41.411044999999994
2025-06-12T07:45:00+00:00,1,41.478,0.7506487905813912,0.035,0.035,-0.009291327298349472,-0.008367600650282192,-0.026383737852682887,2025-06-12T14:45:00+00:00,take,False,28,0.024955085220745854,42.92973
2025-06-13T03:30:00+00:00,-1,38.939,1.3191731161067248,0.035,0.035,-0.053983139379509715,-0.07354270758981685,-0.07354270758981685,2025-06-13T09:45:00+00:00,stop,False,25,-0.04925114576959322,40.301865
2025-06-13T22:00:00+00:00,-1,42.391,0.6732546795235393,0.035,0.035,0.044267625757500983,0.07156218402426684,0.038893245760219575,2025-06-14T12:15:00+00:00,take,False,57,0.022592165423973798,40.907315
2025-06-14T18:15:00+00:00,1,39.584,1.2098399263192605,0.035,0.035,-0.04586979053679463,-0.0570972582835092,-0.027682935815872778,2025-06-15T05:45:00+00:00,take,False,46,0.04022088648026356,40.96944
