candidate_filter,bucket,trades,stops,takes,stop_rate,avg_trade_equity_return,sum_trade_equity_return
4h>=3%,blocked_if_filter_added,54,18,36,0.3333333333333333,0.011803355442411602,0.6373811938902265
4h>=3%,kept,264,109,155,0.4128787878787879,0.007339293673115994,1.9375735297026224
4h>=4%,blocked_if_filter_added,25,5,20,0.2,0.021633508686666515,0.5408377171666628
4h>=4%,kept,293,122,171,0.41638225255972694,0.006942378861522819,2.034117006426186
8h>=4%,blocked_if_filter_added,38,8,30,0.21052631578947367,0.020201878282940636,0.7676713747517442
8h>=4%,kept,280,119,161,0.425,0.006454583388718232,1.8072833488411049
24h>=5%,blocked_if_filter_added,0,0,0,0.0,0.0,0.0
24h>=5%,kept,318,127,191,0.39937106918238996,0.008097341898090719,2.5749547235928487
