adverse_entry_slippage_bps,start,end,days,cumulative_return,max_drawdown,annualized_return,sharpe,entries,exits,long_entries,short_entries,stops,takes,stop_rate,both_stop_take_hits,both_hit_rate_per_exit,avg_allocation,max_allocation,costs,funding,blocked_by_trend_total
0,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,8.998697398046577,-0.27977454853154593,9.120966514421243,3.3894333470804363,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.5885591908099929,2.8989135733845584,0.6320299161957036,-0.004681492813799317,158
5,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,9.404990947879446,-0.3069640007457023,9.534443177518897,3.4449273785679155,320,319,160,160,128,191,0.4012539184952978,0,0.0,0.5807001144448624,2.8989135733845584,0.6326041865568091,-0.004744313553236391,162
10,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,6.581622477131247,-0.306408888844819,6.663131847144063,3.0397277588714124,317,316,160,157,128,188,0.4050632911392405,0,0.0,0.5778549278028969,2.8989135733845584,0.6238148705144685,-0.0050669527370380855,166
20,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.2561037560356976,-0.4168587005421841,2.276458702145379,1.9465749571904256,318,317,157,161,139,178,0.4384858044164038,0,0.0,0.5718505328287757,2.896447315563762,0.6039709067704399,-0.003966870282861115,165
50,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,0.1877362936593252,-0.5260105129541426,0.1888155143127952,0.6042144855033311,315,314,154,161,158,156,0.5031847133757962,0,0.0,0.5383508559285082,2.896447315563762,0.547258507724262,-0.002584183705866097,159
