window,start,end_exclusive,return_pct,annual_return_pct,max_drawdown_pct,sharpe,trades,win_rate,profit_factor,long_trades,short_trades,top_trade_positive_pnl_share,top3_trade_positive_pnl_share
0,2020-01-01T00:00:00+00:00,2020-06-29T00:00:00+00:00,-9.015155210960446,-17.434546864060675,-16.318910225431736,-1.2923857426149057,9,0.1111111111111111,0.34719282637194326,9,0,1.0,1.0
1,2020-06-29T00:00:00+00:00,2020-12-26T00:00:00+00:00,60.8250506505426,162.0833557226122,-15.061928772035238,3.980109540702578,39,0.3076923076923077,2.2477892348954214,39,0,0.21207055405788122,0.4900679297406213
2,2020-12-26T00:00:00+00:00,2021-06-24T00:00:00+00:00,6.029658443325325,12.605872620578529,-7.846358078186244,1.1025287896172775,4,0.75,3.179145025173471,4,0,0.6595829357968991,1.0
3,2021-06-24T00:00:00+00:00,2021-12-21T00:00:00+00:00,7.750328849581956,16.342321465808674,-22.33495086663574,0.8610401368382699,35,0.2571428571428571,1.1903799750562674,35,0,0.2077135846729886,0.5036259479106907
4,2021-12-21T00:00:00+00:00,2022-06-19T00:00:00+00:00,-11.176290283099489,-21.362796186424017,-19.85860920578606,-1.2303843123956633,26,0.23076923076923078,0.7300907795437827,26,0,0.31158303536403525,0.6869386074539143
5,2022-06-19T00:00:00+00:00,2022-12-16T00:00:00+00:00,-4.053546505401274,-8.048534298319632,-16.976869916068583,-0.2021726325707776,30,0.2,0.960535805654268,30,0,0.3617993120916298,0.8422727054140189
6,2022-12-16T00:00:00+00:00,2023-06-14T00:00:00+00:00,19.726737855698584,44.063604140942125,-19.258883046736496,1.9285666218988535,41,0.21951219512195122,1.4728324250219549,41,0,0.27447697001690163,0.6744007025385916
7,2023-06-14T00:00:00+00:00,2023-12-11T00:00:00+00:00,33.572448294779036,79.85640503017055,-23.775718417286186,3.1843832502442146,42,0.23809523809523808,1.8713168655043408,42,0,0.2696512515314629,0.6140711594261827
8,2023-12-11T00:00:00+00:00,2024-06-08T00:00:00+00:00,12.03350718129177,25.91185992254217,-12.198583203930335,1.463962149865119,34,0.23529411764705882,1.34693600441543,34,0,0.27785628488236636,0.5928726414440586
9,2024-06-08T00:00:00+00:00,2024-12-05T00:00:00+00:00,15.088473261475311,32.97162809879437,-14.22462772361649,1.605972762207626,41,0.2682926829268293,1.337873891937604,41,0,0.24116645097450048,0.5366380641619114
10,2024-12-05T00:00:00+00:00,2025-06-03T00:00:00+00:00,-17.239235760746606,-31.865616309359435,-20.468862120307165,-1.9460910331913022,44,0.20454545454545456,0.673581724832351,44,0,0.25654329656674635,0.6141847613433745
11,2025-06-03T00:00:00+00:00,2025-11-30T00:00:00+00:00,-6.695007464953373,-13.109201266510794,-19.68214231995239,-0.9950232367109169,42,0.21428571428571427,0.85354051200608,42,0,0.25600175692465604,0.6120568402937328
12,2025-11-30T00:00:00+00:00,2026-05-29T00:00:00+00:00,-21.67699038364299,-39.06999457523308,-22.62763731592361,-2.9472213620200987,45,0.15555555555555556,0.5637081974401197,45,0,0.20281461835438996,0.5943579010438999
