candidate_id,channel,channel_window,channel_multiplier,ema_fast,ema_slow,slope_lag,volatility_mode,volume_min,stop_atr,max_hold_bars,development_gate,stress_gate,complete_gate,gate_failures,train_start,train_end_exclusive,train_return_pct,train_annual_return_pct,train_max_drawdown_pct,train_sharpe,train_trades,train_win_rate,train_profit_factor,train_long_trades,train_short_trades,train_top_trade_positive_pnl_share,train_top3_trade_positive_pnl_share,validation_start,validation_end_exclusive,validation_return_pct,validation_annual_return_pct,validation_max_drawdown_pct,validation_sharpe,validation_trades,validation_win_rate,validation_profit_factor,validation_long_trades,validation_short_trades,validation_top_trade_positive_pnl_share,validation_top3_trade_positive_pnl_share,stress_2x_train_start,stress_2x_train_end_exclusive,stress_2x_train_return_pct,stress_2x_train_annual_return_pct,stress_2x_train_max_drawdown_pct,stress_2x_train_sharpe,stress_2x_train_trades,stress_2x_train_win_rate,stress_2x_train_profit_factor,stress_2x_train_long_trades,stress_2x_train_short_trades,stress_2x_train_top_trade_positive_pnl_share,stress_2x_train_top3_trade_positive_pnl_share,stress_2x_validation_start,stress_2x_validation_end_exclusive,stress_2x_validation_return_pct,stress_2x_validation_annual_return_pct,stress_2x_validation_max_drawdown_pct,stress_2x_validation_sharpe,stress_2x_validation_trades,stress_2x_validation_win_rate,stress_2x_validation_profit_factor,stress_2x_validation_long_trades,stress_2x_validation_short_trades,stress_2x_validation_top_trade_positive_pnl_share,stress_2x_validation_top3_trade_positive_pnl_share,reused_diagnostic_start,reused_diagnostic_end_exclusive,reused_diagnostic_return_pct,reused_diagnostic_annual_return_pct,reused_diagnostic_max_drawdown_pct,reused_diagnostic_sharpe,reused_diagnostic_trades,reused_diagnostic_win_rate,reused_diagnostic_profit_factor,reused_diagnostic_long_trades,reused_diagnostic_short_trades,reused_diagnostic_top_trade_positive_pnl_share,reused_diagnostic_top3_trade_positive_pnl_share,reused_diagnostic_2x_cost_start,reused_diagnostic_2x_cost_end_exclusive,reused_diagnostic_2x_cost_return_pct,reused_diagnostic_2x_cost_annual_return_pct,reused_diagnostic_2x_cost_max_drawdown_pct,reused_diagnostic_2x_cost_sharpe,reused_diagnostic_2x_cost_trades,reused_diagnostic_2x_cost_win_rate,reused_diagnostic_2x_cost_profit_factor,reused_diagnostic_2x_cost_long_trades,reused_diagnostic_2x_cost_short_trades,reused_diagnostic_2x_cost_top_trade_positive_pnl_share,reused_diagnostic_2x_cost_top3_trade_positive_pnl_share,recent_1y_start,recent_1y_end_exclusive,recent_1y_return_pct,recent_1y_annual_return_pct,recent_1y_max_drawdown_pct,recent_1y_sharpe,recent_1y_trades,recent_1y_win_rate,recent_1y_profit_factor,recent_1y_long_trades,recent_1y_short_trades,recent_1y_top_trade_positive_pnl_share,recent_1y_top3_trade_positive_pnl_share,phase_gate_pass
btc30-ct-11c61639bde8,donchian,48,0.0,24,96,16,cap_0.005,0.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.1459452480814,32.29199306859114,-12.417005553860239,2.4278753428036413,57,0.3508771929824561,2.348485741632433,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,63.2560455829513,27.771689189331482,-16.58767235328227,1.9881334740466095,101,0.27722772277227725,1.6981047009659285,101,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.122153163078174,22.082209574349477,-15.475325302145892,1.752424619512248,58.0,0.3448275862068966,1.8051096444955894,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,21.899340626645557,10.408034411742673,-22.96046511512889,0.873600309507792,103.0,0.24271844660194175,1.263788448063812,103.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-10.887808718111813,-4.412750691571676,-46.01132815871858,-0.23131689644587208,206.0,0.23300970873786409,0.9681706077824358,206.0,0.0,0.09218627394597337,0.22103129235352814,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-51.49208409191522,-24.665656786949462,-65.72160322228187,-2.0839511100659323,210.0,0.20476190476190476,0.6979278023937999,210.0,0.0,0.09901672427956108,0.23630465060700498,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.022069732498174,-34.022069732498174,-34.830076969475186,-3.8937419132984648,86.0,0.19767441860465115,0.4334078611288428,86.0,0.0,0.15901245106205877,0.3800333834066967,
btc30-ct-61f367763b1a,donchian,48,0.0,24,96,16,cap_0.005,1.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.1459452480814,32.29199306859114,-12.417005553860239,2.4278753428036413,57,0.3508771929824561,2.348485741632433,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,63.2560455829513,27.771689189331482,-16.58767235328227,1.9881334740466095,101,0.27722772277227725,1.6981047009659285,101,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.122153163078174,22.082209574349477,-15.475325302145892,1.752424619512248,58.0,0.3448275862068966,1.8051096444955894,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,21.899340626645557,10.408034411742673,-22.96046511512889,0.873600309507792,103.0,0.24271844660194175,1.263788448063812,103.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-13.819045035675781,-5.656282835632586,-47.78721935117735,-0.3394124602492166,205.0,0.21951219512195122,0.9493570444287882,205.0,0.0,0.09314626062936006,0.22333301351209772,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-52.20529102977072,-25.101259725578306,-66.22559499234175,-2.1483003984892863,209.0,0.19617224880382775,0.6925824514366097,209.0,0.0,0.09933396545450007,0.23706175063780843,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.210568957359854,-34.210568957359854,-35.01626771425518,-3.925209985245246,85.0,0.18823529411764706,0.4264334997234973,85.0,0.0,0.16243977501940435,0.38822455026716185,
btc30-ct-61c3aed928fb,donchian,48,0.0,24,96,4,cap_0.005,0.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.10113253749977,32.275091072634886,-12.417005553860239,2.423760210821462,57,0.3508771929824561,2.3471655565039353,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,60.252881269021444,26.591027039447557,-16.54734236893144,1.9152283737081892,103,0.27184466019417475,1.659870017628134,103,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.08394836488197,22.066591356732413,-15.496980355207645,1.7491655258754888,58.0,0.3448275862068966,1.804283170105885,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.027289666935875,9.099628627661183,-22.92319312412777,0.7836673969865748,105.0,0.23809523809523808,1.2348062586676174,105.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-14.085084336006858,-5.770412073017395,-47.266688465018944,-0.34229629892778074,211.0,0.23222748815165878,0.9487084368372031,211.0,0.0,0.09154100277419065,0.21948415182042455,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-53.792563292696094,-26.085117596376996,-66.83962813396201,-2.2223391568915005,215.0,0.20465116279069767,0.684207889751339,215.0,0.0,0.09843777376801892,0.23492297797196146,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.24747129937869,-34.24747129937869,-35.05271812698052,-3.899305046277485,88.0,0.20454545454545456,0.44060760712782276,88.0,0.0,0.15320174388401603,0.36614602619593756,
btc30-ct-62eedb027db2,donchian,48,0.0,24,96,4,cap_0.005,1.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.10113253749977,32.275091072634886,-12.417005553860239,2.423760210821462,57,0.3508771929824561,2.3471655565039353,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,60.252881269021444,26.591027039447557,-16.54734236893144,1.9152283737081892,103,0.27184466019417475,1.659870017628134,103,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.08394836488197,22.066591356732413,-15.496980355207645,1.7491655258754888,58.0,0.3448275862068966,1.804283170105885,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.027289666935875,9.099628627661183,-22.92319312412777,0.7836673969865748,105.0,0.23809523809523808,1.2348062586676174,105.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-16.911150190656375,-6.996281865867315,-49.001286118753974,-0.4507796823357553,210.0,0.21904761904761905,0.9305722161117208,210.0,0.0,0.09248752836722243,0.22175359786828316,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-54.471946519603144,-26.512512840168633,-67.3271816978286,-2.287451063264053,214.0,0.19626168224299065,0.6790575702177233,214.0,0.0,0.09875131009850123,0.23567123634514334,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.43532655101376,-34.43532655101376,-35.23827278503513,-3.9305455169148207,87.0,0.19540229885057472,0.43381326663608144,87.0,0.0,0.15638065497885137,0.37374349627359754,
btc30-ct-427fad62f2dd,donchian,48,0.0,24,96,8,cap_0.005,0.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.04374618718899,32.253443518072736,-12.417005553860239,2.4239515550303192,57,0.3508771929824561,2.3454802789280436,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,60.252881269021444,26.591027039447557,-16.54734236893144,1.9152283737081892,103,0.27184466019417475,1.659870017628134,103,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.050251029037085,22.05281413774727,-15.516080510952857,1.7458644797547789,58.0,0.3448275862068966,1.8035561978300114,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.027289666935875,9.099628627661183,-22.92319312412777,0.7836673969865748,105.0,0.23809523809523808,1.2348062586676174,105.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-14.430161980538204,-5.918769106702982,-47.47849204757725,-0.35596034579208846,210.0,0.22857142857142856,0.9461441587928532,210.0,0.0,0.09218627394597337,0.22103129235352814,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-53.8676845474515,-26.132187017305363,-66.89353826012875,-2.2320260678143353,214.0,0.20093457943925233,0.6824088443814912,214.0,0.0,0.09901672427956108,0.23630465060700498,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.51156662614048,-34.51156662614048,-35.31357917624359,-3.969431128943833,87.0,0.19540229885057472,0.42898797400751926,87.0,0.0,0.15901245106205877,0.3800333834066967,
btc30-ct-250e71914136,donchian,48,0.0,24,96,8,cap_0.005,1.0,2.5,96,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,75.04374618718899,32.253443518072736,-12.417005553860239,2.4239515550303192,57,0.3508771929824561,2.3454802789280436,57,0,0.1576404950509695,0.37350564189975793,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,60.252881269021444,26.591027039447557,-16.54734236893144,1.9152283737081892,103,0.27184466019417475,1.659870017628134,103,0,0.17970396662781038,0.3602808866696971,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,49.050251029037085,22.05281413774727,-15.516080510952857,1.7458644797547789,58.0,0.3448275862068966,1.8035561978300114,58.0,0.0,0.16409216802506993,0.3870161915517545,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.027289666935875,9.099628627661183,-22.92319312412777,0.7836673969865748,105.0,0.23809523809523808,1.2348062586676174,105.0,0.0,0.1892427537527463,0.3772184275806994,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-17.244876928993246,-7.142708864516656,-49.20612268204756,-0.4647733529684847,209.0,0.215311004784689,0.9279532814303196,209.0,0.0,0.09314626062936006,0.22333301351209772,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-54.545963274215204,-26.559310093355126,-67.38029918891128,-2.297374961520269,213.0,0.19248826291079812,0.6772498090991511,213.0,0.0,0.09933396545450007,0.23706175063780843,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-34.69866735631383,-34.69866735631383,-35.49838855318094,-4.00100678850622,86.0,0.18604651162790697,0.4220627208765865,86.0,0.0,0.16243977501940435,0.38822455026716185,
btc30-ct-04c423865db5,donchian,96,0.0,48,192,16,cap_0.005,0.0,4.0,192,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,88.91410764389943,37.386238221692444,-10.350061473757687,2.5493518226853107,37,0.3783783783783784,2.6125191254968056,37,0,0.14611710520520618,0.3905567535034288,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,55.481909655964,24.69238535530709,-12.484980275689795,1.8900630496507211,45,0.3333333333333333,2.0426067995770385,45,0,0.19791166661585605,0.4155629214998509,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,67.8768505839267,29.521395231316383,-12.10043231600688,2.0856704308306417,38.0,0.3684210526315789,2.1495927298362876,38.0,0.0,0.15036394782367205,0.401042053438471,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,21.062628918917948,10.028464007691195,-19.23139594826767,0.8717310019461446,49.0,0.24489795918367346,1.366378792491579,49.0,0.0,0.20851334672382105,0.45819815937599867,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-23.402034905988977,-9.911350573426493,-42.856686030776046,-0.6135481120861561,116.0,0.22413793103448276,0.8616755597790867,116.0,0.0,0.12316811723835193,0.31068867980402837,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-45.91712844102328,-21.38767294248851,-58.40087096847127,-1.5765263917570815,118.0,0.2033898305084746,0.6826374394628116,118.0,0.0,0.13027611473359607,0.327491143421711,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-21.330848641660584,-21.330848641660584,-26.353671685568102,-1.9955272552833074,46.0,0.2391304347826087,0.5965703160891023,46.0,0.0,0.1764591521590559,0.45076319398357606,
btc30-ct-dca0db404879,donchian,96,0.0,48,192,16,cap_0.005,1.0,4.0,192,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,88.91410764389943,37.386238221692444,-10.350061473757687,2.5493518226853107,37,0.3783783783783784,2.6125191254968056,37,0,0.14611710520520618,0.3905567535034288,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,55.481909655964,24.69238535530709,-12.484980275689795,1.8900630496507211,45,0.3333333333333333,2.0426067995770385,45,0,0.19791166661585605,0.4155629214998509,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,67.8768505839267,29.521395231316383,-12.10043231600688,2.0856704308306417,38.0,0.3684210526315789,2.1495927298362876,38.0,0.0,0.15036394782367205,0.401042053438471,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,21.062628918917948,10.028464007691195,-19.23139594826767,0.8717310019461446,49.0,0.24489795918367346,1.366378792491579,49.0,0.0,0.20851334672382105,0.45819815937599867,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-23.402034905988977,-9.911350573426493,-42.856686030776046,-0.6135481120861561,116.0,0.22413793103448276,0.8616755597790867,116.0,0.0,0.12316811723835193,0.31068867980402837,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-45.91712844102328,-21.38767294248851,-58.40087096847127,-1.5765263917570815,118.0,0.2033898305084746,0.6826374394628116,118.0,0.0,0.13027611473359607,0.327491143421711,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-21.330848641660584,-21.330848641660584,-26.353671685568102,-1.9955272552833074,46.0,0.2391304347826087,0.5965703160891023,46.0,0.0,0.1764591521590559,0.45076319398357606,
btc30-ct-033e3f40a19e,donchian,96,0.0,48,192,4,cap_0.005,0.0,4.0,192,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,88.91410764389943,37.386238221692444,-10.350061473757687,2.5493518226853107,37,0.3783783783783784,2.6125191254968056,37,0,0.14611710520520618,0.3905567535034288,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,54.186579181175375,24.17188859849695,-13.214073919454961,1.85634574523242,46,0.32608695652173914,2.0068130712524805,46,0,0.19791166661585605,0.4155629214998509,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,67.8768505839267,29.521395231316383,-12.10043231600688,2.0856704308306417,38.0,0.3684210526315789,2.1495927298362876,38.0,0.0,0.15036394782367205,0.401042053438471,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.76494629455805,9.43717206441239,-19.59179062573676,0.8296498639465236,50.0,0.24,1.3442690219280258,50.0,0.0,0.20851334672382105,0.45819815937599867,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-20.83323396259279,-8.740371426568306,-42.85668603077607,-0.5199307537696323,116.0,0.22413793103448276,0.8871987342470026,116.0,0.0,0.1307271360377953,0.3305189753273908,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-44.10175828493688,-20.364949848349468,-58.40087096847129,-1.4832549137421405,118.0,0.2033898305084746,0.7044113730961288,118.0,0.0,0.13817392507264886,0.34827894408794946,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-21.330848641660584,-21.330848641660584,-26.353671685568102,-1.9955272552833074,46.0,0.2391304347826087,0.5965703160891023,46.0,0.0,0.1764591521590559,0.45076319398357606,
btc30-ct-012a366b9985,donchian,96,0.0,48,192,4,cap_0.005,1.0,4.0,192,True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,88.91410764389943,37.386238221692444,-10.350061473757687,2.5493518226853107,37,0.3783783783783784,2.6125191254968056,37,0,0.14611710520520618,0.3905567535034288,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,54.186579181175375,24.17188859849695,-13.214073919454961,1.85634574523242,46,0.32608695652173914,2.0068130712524805,46,0,0.19791166661585605,0.4155629214998509,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,67.8768505839267,29.521395231316383,-12.10043231600688,2.0856704308306417,38.0,0.3684210526315789,2.1495927298362876,38.0,0.0,0.15036394782367205,0.401042053438471,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,19.76494629455805,9.43717206441239,-19.59179062573676,0.8296498639465236,50.0,0.24,1.3442690219280258,50.0,0.0,0.20851334672382105,0.45819815937599867,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-20.83323396259279,-8.740371426568306,-42.85668603077607,-0.5199307537696323,116.0,0.22413793103448276,0.8871987342470026,116.0,0.0,0.1307271360377953,0.3305189753273908,2024-01-01T00:00:00+00:00,2026-07-21T07:00:00+00:00,-44.10175828493688,-20.364949848349468,-58.40087096847129,-1.4832549137421405,118.0,0.2033898305084746,0.7044113730961288,118.0,0.0,0.13817392507264886,0.34827894408794946,2025-07-21T07:00:00+00:00,2026-07-21T07:00:00+00:00,-21.330848641660584,-21.330848641660584,-26.353671685568102,-1.9955272552833074,46.0,0.2391304347826087,0.5965703160891023,46.0,0.0,0.1764591521590559,0.45076319398357606,
