label,direction,signal_ts,entry_ts,exit_ts,entry_fill,exit_fill,signal_atr,exit_reason,hold_bars,funding_return,trade_return,equity_before,equity_after
selected_train,long,2020-01-05 01:00:00+00:00,2020-01-05 01:30:00+00:00,2020-01-05 21:30:00+00:00,7462.473795999999,7374.216884273882,34.12241785022719,stop,40,-0.00019999999999999998,-0.014014936604755815,1.0,0.9859850633952442
selected_train,long,2020-01-06 02:00:00+00:00,2020-01-06 02:30:00+00:00,2020-01-08 02:30:00+00:00,7512.6138439999995,8297.6796,33.15870431694695,time_open,96,-0.0006251400000000002,0.10177004209369583,0.9859850633952442,1.0863288048007336
selected_train,long,2020-01-14 00:30:00+00:00,2020-01-14 01:00:00+00:00,2020-01-16 01:00:00+00:00,8280.640932,8763.29328,35.98382609157858,time_open,96,-0.0012478900000000002,0.054980657718895404,1.0863288048007336,1.1460558769876594
selected_train,long,2020-01-19 01:00:00+00:00,2020-01-19 01:30:00+00:00,2020-01-19 11:00:00+00:00,9121.437116000001,9007.098219577761,44.29384616880358,stop,19,-0.00039329000000000013,-0.014915939235333235,1.1460558769876594,1.128961377166215
selected_train,long,2020-01-22 07:00:00+00:00,2020-01-22 07:30:00+00:00,2020-01-22 07:30:00+00:00,8798.047812,8709.676763236559,33.95431358088927,stop,0,-0.0,-0.012034348482883442,1.128961377166215,1.1153750625296808
selected_train,long,2020-01-26 16:30:00+00:00,2020-01-26 17:00:00+00:00,2020-01-28 17:00:00+00:00,8507.321568,8973.519156,34.52969757301268,time_open,96,-0.001630829999999998,0.051113943274332774,1.1153750625296808,1.1723862802054283
selected_train,long,2020-02-03 01:30:00+00:00,2020-02-03 02:00:00+00:00,2020-02-03 02:00:00+00:00,9532.641532,9411.489217959952,46.95448476480534,stop,0,-0.0,-0.014696497746161946,1.1723862802054283,1.155156307880758
selected_train,long,2020-02-05 12:00:00+00:00,2020-02-05 12:30:00+00:00,2020-02-07 12:30:00+00:00,9449.658351999999,9778.776924000002,43.50240542424813,time_open,96,-0.004059630000000002,0.028734162662188166,1.155156307880758,1.1883487571316564
selected_train,long,2020-02-08 21:30:00+00:00,2020-02-08 22:00:00+00:00,2020-02-10 05:30:00+00:00,9926.899172,9828.03918753902,37.97087826817937,stop,63,-0.0034500400000000014,-0.015398879286600789,1.1883487571316564,1.170049518070204
selected_train,long,2020-02-23 03:30:00+00:00,2020-02-23 04:00:00+00:00,2020-02-24 02:30:00+00:00,9797.717519999998,9716.588162183427,30.896466910192782,stop,45,-0.0015309199999999981,-0.011803074029069681,1.170049518070204,1.156239336990744
selected_train,long,2020-03-05 02:30:00+00:00,2020-03-05 03:00:00+00:00,2020-03-07 03:00:00+00:00,8930.42074,9102.277632000001,41.515135041913155,time_open,96,-0.0016031600000000062,0.015621582048155998,1.156239336990744,1.1743016246608504
selected_train,long,2020-04-23 01:30:00+00:00,2020-04-23 02:00:00+00:00,2020-04-23 06:00:00+00:00,7167.635908,7078.804766998896,34.39939441292647,stop,8,-0.0,-0.014380973447752143,1.1743016246608504,1.1574140241769506
