strategy_id,entry_window,stop_atr,use_ema_regime,allocation,fee_per_fill,slippage_per_fill,exit_window,train_return,train_max_drawdown,train_trades,train_win_rate,train_profit_factor,validation_return,validation_max_drawdown,validation_trades,validation_win_rate,validation_profit_factor,stress_train_return,stress_validation_return,base_gate,conservative_score,neighborhood_size,neighborhood_joint_positive,neighborhood_positive_ratio,candidate_gate
dtb-5e79abef48cf,192,3.0,True,1.0,0.001,0.0004,96,0.19416031600973382,-0.10280826575617874,40,0.45,2.0214186121607716,0.03756578442920233,-0.029918632752584107,10,0.8,3.777058154613211,0.06887022366108941,0.008886581346640332,True,0.03756578442920233,3,2,0.6666666666666666,True
dtb-b489c0b68808,96,3.0,True,1.0,0.001,0.0004,48,0.10019306036871911,-0.12572839315580775,53,0.39622641509433965,1.3682281658593995,0.04261400865768539,-0.04442574164607205,14,0.6428571428571429,2.1917386008264947,-0.048596416713817314,0.002492059946381131,False,0.04261400865768539,4,3,0.75,False
dtb-5e33fe2ac6dc,48,3.0,True,1.0,0.001,0.0004,24,0.21383469603867278,-0.09679434672499043,60,0.38333333333333336,1.671494517656715,0.041225454292726615,-0.05770659353962271,17,0.6470588235294118,1.5982571928090346,0.029281392278244667,-0.007226505950602813,False,0.041225454292726615,3,2,0.6666666666666666,False
dtb-9e2ee2a6d56c,192,4.0,False,1.0,0.001,0.0004,96,0.07140449519673364,-0.1180860113836667,38,0.34210526315789475,1.2742958142631957,0.018216755703558185,-0.0516904974325707,11,0.45454545454545453,1.3880054664678358,-0.03606606363918996,-0.01269891573190518,False,0.018216755703558185,4,2,0.5,False
dtb-facfb136edac,192,3.0,False,1.0,0.001,0.0004,96,0.13933510401488536,-0.10158343062410491,44,0.4090909090909091,1.6099931742382259,0.004051469394645624,-0.06122472469703055,13,0.6153846153846154,1.0731350972264728,0.008835358373751712,-0.03187665795440031,False,0.004051469394645624,3,2,0.6666666666666666,False
dtb-bb7707caf14b,96,3.0,False,1.0,0.001,0.0004,48,0.04693079461127403,-0.1245348483000478,60,0.38333333333333336,1.1651386432601596,-0.012579140438030878,-0.11656065334677546,22,0.45454545454545453,0.9383585522462767,-0.11188676974745138,-0.07163010980285922,False,-0.012579140438030878,4,1,0.25,False
dtb-5bdee06745cf,96,5.0,False,1.0,0.001,0.0004,48,0.05869363327059918,-0.1666996816595192,42,0.35714285714285715,1.1984344993117975,-0.014671473250512768,-0.10171815214136093,17,0.35294117647058826,0.9318758350618631,-0.06834515019716547,-0.060522348685666416,False,-0.014671473250512768,4,0,0.0,False
dtb-e24dcee39be5,96,4.0,True,1.0,0.001,0.0004,48,0.05337309239264654,-0.13408437160502007,45,0.35555555555555557,1.1999693234843765,-0.01613502604077577,-0.07073261772426653,13,0.46153846153846156,0.7561322159019884,-0.06995687881765722,-0.051340816935125044,False,-0.01613502604077577,5,1,0.2,False
dtb-8a379fda88d0,192,4.0,True,1.0,0.001,0.0004,96,0.14287696643795744,-0.10453910066414018,34,0.38235294117647056,1.626870061468072,-0.016256723967377873,-0.05365111705640835,10,0.4,0.4528508948086449,0.0398306261800172,-0.04344822701984774,False,-0.016256723967377873,4,1,0.25,False
dtb-f359ddd2588e,48,4.0,True,1.0,0.001,0.0004,24,0.17250868821056553,-0.09660943710387859,51,0.37254901960784315,1.5310110077256722,-0.02836274915560455,-0.09325425635375606,16,0.5,0.7269244073352243,0.01755673847889172,-0.07097610794452114,False,-0.02836274915560455,4,1,0.25,False
dtb-9683efc65985,96,4.0,False,1.0,0.001,0.0004,48,-0.03422214485387509,-0.19275798928927768,52,0.3269230769230769,0.9468721912200935,0.04171986693182128,-0.09197808754941195,18,0.4444444444444444,1.3590508423437144,-0.16386423507739956,-0.009535272262612304,False,-0.03422214485387509,5,1,0.2,False
dtb-6170a3a2b6ba,192,5.0,False,1.0,0.001,0.0004,96,0.1551311637878281,-0.11873781011644102,31,0.41935483870967744,1.5688302544420643,-0.04024062771583492,-0.08692702912207206,11,0.2727272727272727,0.5580550498664149,0.05899542350928244,-0.0693813831045419,False,-0.04024062771583492,3,1,0.3333333333333333,False
dtb-72884849eb17,48,4.0,False,1.0,0.001,0.0004,24,0.11526658007010471,-0.16505066532721757,58,0.3620689655172414,1.3272746663965544,-0.04770705084911253,-0.13883850310863988,23,0.43478260869565216,0.8289316682378457,-0.05092628329925086,-0.10716339342356163,False,-0.04770705084911253,4,0,0.0,False
dtb-b1d116d082a8,192,5.0,True,1.0,0.001,0.0004,96,0.2113399193485217,-0.08854482674261,28,0.4642857142857143,1.8860662705144269,-0.06638417233940075,-0.0946627807406979,10,0.1,0.05783277453964283,0.11990401310329712,-0.09219010997187971,False,-0.06638417233940075,3,0,0.0,False
dtb-a1c0189dcdee,48,5.0,False,1.0,0.001,0.0004,24,0.1828807716838039,-0.15587703365424033,50,0.36,1.5175832105422624,-0.06727249342383557,-0.13568609804381482,21,0.3333333333333333,0.7425823731018187,0.028605897868200225,-0.12059108682684905,False,-0.06727249342383557,3,0,0.0,False
dtb-f4754002b0df,48,3.0,False,1.0,0.001,0.0004,24,0.19832940588481018,-0.10423824544204963,67,0.3880597014925373,1.5761017467515888,-0.06989927470697899,-0.158890821960615,27,0.4444444444444444,0.7238094326202356,-0.0032063220011365745,-0.13733647666532656,False,-0.06989927470697899,3,0,0.0,False
dtb-bcf3f2985e8c,96,5.0,True,1.0,0.001,0.0004,48,0.14029616555943192,-0.1290833103211787,37,0.3783783783783784,1.5145576070982605,-0.0793626581115986,-0.10932859016787988,13,0.23076923076923078,0.26852231281604666,0.01762802705903832,-0.11230596497374168,False,-0.0793626581115986,4,0,0.0,False
dtb-2ded4bf03699,48,5.0,True,1.0,0.001,0.0004,24,0.2280632590708691,-0.09808932331741949,45,0.37777777777777777,1.709881282270991,-0.09702158267572303,-0.13650183716501507,16,0.25,0.3067237138782092,0.08296750199997538,-0.13662375235648472,False,-0.09702158267572303,3,0,0.0,False
