entry_ts,exit_ts,entry_fill,exit_fill,stop_at_exit,bars_held,exit_reason,trade_return,equity_after,segment
2026-06-25T05:00:00+00:00,2026-06-25T13:45:00+00:00,1236.3543439999999,1211.25592875,1211.740625,36,stop,-0.022258760997705185,0.9777412390022948,final_audit
2026-07-15T00:30:00+00:00,2026-07-15T08:00:00+00:00,1004.7117239999999,987.1262415000001,987.52125,31,stop,-0.019467024609695738,0.9587075262407228,final_audit
2026-04-13T19:15:00+00:00,2026-04-14T10:30:00+00:00,421.76864,435.28769025,435.461875,62,stop,0.02986422585456472,1.0298642258545647,all_since_train_start
2026-04-14T16:15:00+00:00,2026-04-14T21:00:00+00:00,442.666996,461.44253662500006,461.62718750000005,20,stop,0.0403308065783301,1.071399480749447,all_since_train_start
2026-04-17T12:30:00+00:00,2026-04-17T13:15:00+00:00,464.19560399999995,467.019055125,467.2059375,4,stop,0.004071301015175388,1.0757614705430805,all_since_train_start
2026-04-20T11:45:00+00:00,2026-04-20T13:30:00+00:00,455.73222,455.22783599999997,455.40999999999997,8,stop,-0.003103542786955349,1.072422798790692,all_since_train_start
2026-04-22T13:45:00+00:00,2026-04-22T13:45:00+00:00,467.306848,461.9676120108,462.152473,1,stop,-0.013401706549803327,1.0580505031439804,all_since_train_start
2026-04-22T14:30:00+00:00,2026-04-22T15:00:00+00:00,475.13998,473.79415650000004,473.98375000000004,3,stop,-0.0048258157918921185,1.0529445463172888,all_since_train_start
2026-04-22T16:30:00+00:00,2026-04-22T18:15:00+00:00,480.502124,481.44297075000003,481.635625,8,stop,-4.486504315492912e-05,1.0528973059147786,all_since_train_start
2026-04-22T18:45:00+00:00,2026-04-22T21:45:00+00:00,488.54534,486.16295700000006,486.3575,13,stop,-0.00686573481806807,1.0456683922217094,all_since_train_start
2026-04-23T16:45:00+00:00,2026-04-23T17:00:00+00:00,494.04754,487.1513115,487.34625,2,stop,-0.01592973010590948,1.0290111769533372,all_since_train_start
2026-04-24T11:30:00+00:00,2026-04-24T13:45:00+00:00,496.45850399999995,498.008529375,498.2078125,10,stop,0.0011169238119832503,1.0301605040396733,all_since_train_start
2026-04-27T00:15:00+00:00,2026-04-27T00:30:00+00:00,502.64097599999997,501.34094587500005,501.5415625,2,stop,-0.004580228802921749,1.0254421332274384,all_since_train_start
2026-04-27T02:15:00+00:00,2026-04-27T05:00:00+00:00,504.861864,506.74503337500005,506.9478125,12,stop,0.001723612170641875,1.0272095977685582,all_since_train_start
2026-04-27T11:15:00+00:00,2026-04-27T12:00:00+00:00,514.4957159999999,512.668288125,512.8734375,4,stop,-0.005543781404317327,1.0215149723021126,all_since_train_start
2026-04-27T13:45:00+00:00,2026-04-27T13:45:00+00:00,524.369664,518.5505982594,518.7581015,1,stop,-0.013074075136658703,1.008159608801013,all_since_train_start
2026-05-01T14:15:00+00:00,2026-05-01T14:30:00+00:00,543.007116,536.8773506250001,537.0921875,2,stop,-0.013264988591602744,0.9947863830917528,all_since_train_start
2026-05-03T17:00:00+00:00,2026-05-03T18:00:00+00:00,544.327644,543.994815,544.2125,5,stop,-0.002609227458572727,0.9921907591455755,all_since_train_start
2026-05-03T22:00:00+00:00,2026-05-03T22:15:00+00:00,547.228804,544.983481875,545.2015625,2,stop,-0.006093875323982534,0.9861444723617349,all_since_train_start
2026-05-04T00:15:00+00:00,2026-05-04T00:15:00+00:00,553.291228,549.7771666338001,549.9971655,1,stop,-0.008337500558206812,0.9779224922729464,all_since_train_start
2026-05-04T02:15:00+00:00,2026-05-04T03:00:00+00:00,558.12316,563.804700375,564.0303125,4,stop,0.008160375890780891,0.985902707401943,all_since_train_start
2026-05-04T13:45:00+00:00,2026-05-04T14:15:00+00:00,580.1319599999999,584.598879375,584.8328125,3,stop,0.005685441317746731,0.9915079993898844,all_since_train_start
2026-05-05T08:30:00+00:00,2026-05-05T14:30:00+00:00,593.83744,642.3985627500001,642.6556250000001,25,stop,0.07961264285233094,1.0704445716305404,all_since_train_start
2026-05-05T21:45:00+00:00,2026-05-05T23:00:00+00:00,658.1731639999999,672.762974625,673.0321875,6,stop,0.02012381872003033,1.091986004139874,all_since_train_start
2026-05-08T13:45:00+00:00,2026-05-08T16:45:00+00:00,696.6885639999999,727.5738540000001,727.865,13,stop,0.041912881591208206,1.137754284230645,all_since_train_start
2026-05-08T20:00:00+00:00,2026-05-09T23:00:00+00:00,747.2987999999999,758.0429115000001,758.34625,109,stop,0.010250107626684324,1.1494163880967303,all_since_train_start
2026-05-10T02:30:00+00:00,2026-05-10T02:45:00+00:00,761.2343719999999,759.2861640000001,759.7009375,2,stop_gap,-0.004553158881580033,1.144182912660634,all_since_train_start
2026-05-10T16:15:00+00:00,2026-05-10T19:00:00+00:00,765.8062,763.91743575,764.223125,12,stop,-0.004460443391636537,1.1390793495490334,all_since_train_start
2026-05-11T00:15:00+00:00,2026-05-11T00:30:00+00:00,773.279188,803.57844,807.379375,2,stop_gap,0.03710548420765214,1.181345440364988,all_since_train_start
2026-05-21T01:00:00+00:00,2026-05-21T06:45:00+00:00,742.1967599999999,740.9385060000001,741.235,24,stop,-0.0036909216277024592,1.176985186929357,all_since_train_start
2026-05-21T14:00:00+00:00,2026-05-21T14:15:00+00:00,759.023488,747.995682,748.295,2,stop,-0.016498895707846795,1.157566231080529,all_since_train_start
2026-05-22T14:45:00+00:00,2026-05-22T18:30:00+00:00,767.1967559999999,769.629212625,769.9371875,16,stop,0.0008489612127577928,1.1585489599119145,all_since_train_start
2026-05-24T21:15:00+00:00,2026-05-24T21:45:00+00:00,784.5737039999999,777.478884,777.79,3,stop,-0.011023821273923207,1.145777323240756,all_since_train_start
2026-05-25T09:15:00+00:00,2026-05-25T16:15:00+00:00,792.726964,791.8596918750001,792.1765625,29,stop,-0.0033116647617427164,1.1419828928545757,all_since_train_start
2026-05-26T11:45:00+00:00,2026-05-26T14:00:00+00:00,802.390828,852.4985516250001,852.8396875000001,10,stop,0.06032419281380741,1.2108720890732048,all_since_train_start
2026-05-26T14:30:00+00:00,2026-05-26T14:45:00+00:00,877.340796,879.895401,880.2475,2,stop,0.0009069384406026337,1.211970275517438,all_since_train_start
2026-05-26T17:45:00+00:00,2026-05-26T19:45:00+00:00,896.95864,901.9028445000001,902.2637500000001,9,stop,0.003502168967172148,1.2162148002054902,all_since_train_start
2026-05-27T00:15:00+00:00,2026-05-27T01:00:00+00:00,937.97504,957.6030555,957.9862499999999,4,stop,0.018885115527226937,1.239183157213294,all_since_train_start
2026-05-27T12:00:00+00:00,2026-05-27T12:30:00+00:00,980.151904,960.13766625,960.521875,3,stop,-0.022377707838267757,1.2114530785630728,all_since_train_start
2026-05-29T14:00:00+00:00,2026-05-29T14:15:00+00:00,977.470832,962.712573375,963.0978125,2,stop,-0.017067231586892606,1.1907769283145828,all_since_train_start
2026-05-31T15:30:00+00:00,2026-05-31T15:45:00+00:00,988.105084,988.059305625,988.4546875,2,stop,-0.0020452368474448424,1.1883415074637067,all_since_train_start
2026-05-31T18:15:00+00:00,2026-05-31T18:30:00+00:00,993.237136,1000.0998000000001,1000.5240625,2,stop_gap,0.004896579400349488,1.1941603160097338,all_since_train_start
2026-06-01T01:00:00+00:00,2026-06-01T01:00:00+00:00,1008.5532599999999,1000.4504196959999,1000.8507599999999,1,stop,-0.010017062155916578,1.1821983379001353,all_since_train_start
2026-06-01T02:15:00+00:00,2026-06-01T02:45:00+00:00,1014.015444,1006.061476875,1006.4640625,3,stop,-0.00982734935275098,1.1705804618293492,all_since_train_start
2026-06-01T09:15:00+00:00,2026-06-01T11:00:00+00:00,1018.877388,1014.7401915,1015.14625,8,stop,-0.006051427007239152,1.1634967796084885,all_since_train_start
2026-06-01T17:00:00+00:00,2026-06-02T00:00:00+00:00,1044.9878279999998,1028.2722764999999,1028.68375,29,stop,-0.017962953517505875,1.1425969410386134,all_since_train_start
2026-06-02T11:30:00+00:00,2026-06-02T13:30:00+00:00,1049.2295239999999,1032.856692,1033.27,9,stop,-0.017572430155242125,1.1225187360966191,all_since_train_start
2026-06-02T14:00:00+00:00,2026-06-02T14:15:00+00:00,1054.52164,1053.473129625,1053.8946875,2,stop,-0.002991311928999485,1.1191609324108078,all_since_train_start
2026-06-03T09:15:00+00:00,2026-06-03T13:30:00+00:00,1083.5332399999998,1068.01699725,1068.444375,18,stop,-0.016290417382582523,1.1009293337035555,all_since_train_start
2026-06-09T03:45:00+00:00,2026-06-09T13:30:00+00:00,967.626896,979.1941031250001,979.5859375,40,stop,0.009931305291923875,1.1118629990213997,all_since_train_start
2026-06-11T19:45:00+00:00,2026-06-12T01:15:00+00:00,988.375192,994.2134055,994.6112499999999,23,stop,0.0038960719912575215,1.1161948973100027,all_since_train_start
2026-06-14T21:30:00+00:00,2026-06-14T22:15:00+00:00,1021.1883119999999,1034.224582125,1034.6384375,4,stop,0.01074126589233071,1.1281842434896723,all_since_train_start
2026-06-15T08:15:00+00:00,2026-06-15T08:45:00+00:00,1055.341968,1061.9010071249998,1062.3259374999998,3,stop,0.004203660184352032,1.132926746674643,all_since_train_start
2026-06-15T16:15:00+00:00,2026-06-15T19:45:00+00:00,1081.402388,1078.0998375000001,1078.53125,15,stop,-0.0050468467017689145,1.1272090390598424,all_since_train_start
2026-06-16T08:30:00+00:00,2026-06-16T12:15:00+00:00,1120.788136,1113.6940316249998,1114.1396874999998,16,stop,-0.008315914886003362,1.117835264632287,all_since_train_start
2026-06-18T15:00:00+00:00,2026-06-19T01:45:00+00:00,1128.641276,1138.6662262500001,1139.121875,44,stop,0.006351030400899571,1.1249346703811645,all_since_train_start
2026-06-22T01:15:00+00:00,2026-06-22T01:45:00+00:00,1155.7721239999998,1162.2386685,1162.70375,3,stop,0.0035848151340847068,1.1289673532124034,all_since_train_start
2026-06-22T10:15:00+00:00,2026-06-22T13:30:00+00:00,1177.400772,1187.6444396250001,1188.1196875,14,stop,0.006683846806743388,1.1365131980510896,all_since_train_start
2026-06-22T20:00:00+00:00,2026-06-23T00:00:00+00:00,1212.844944,1221.4477878750001,1221.9365625,17,stop,0.005079931921650349,1.1422866077252463,all_since_train_start
2026-06-25T05:00:00+00:00,2026-06-25T13:45:00+00:00,1236.3543439999999,1211.25592875,1211.740625,36,stop,-0.022258760997705185,1.1168607231330105,all_since_train_start
2026-07-15T00:30:00+00:00,2026-07-15T08:00:00+00:00,1004.7117239999999,987.1262415000001,987.52125,31,stop,-0.019467024609695516,1.095118767950178,all_since_train_start
