ts,equity,position,segment
2026-06-25 00:00:00+00:00,1.0,0,final_audit
2026-06-25 00:15:00+00:00,1.0,0,final_audit
2026-06-25 00:30:00+00:00,1.0,0,final_audit
2026-06-25 00:45:00+00:00,1.0,0,final_audit
2026-06-25 01:00:00+00:00,1.0,0,final_audit
2026-06-25 01:15:00+00:00,1.0,0,final_audit
2026-06-25 01:30:00+00:00,1.0,0,final_audit
2026-06-25 01:45:00+00:00,1.0,0,final_audit
2026-06-25 02:00:00+00:00,1.0,0,final_audit
2026-06-25 02:15:00+00:00,1.0,0,final_audit
2026-06-25 02:30:00+00:00,1.0,0,final_audit
2026-06-25 02:45:00+00:00,1.0,0,final_audit
2026-06-25 03:00:00+00:00,1.0,0,final_audit
2026-06-25 03:15:00+00:00,1.0,0,final_audit
2026-06-25 03:30:00+00:00,1.0,0,final_audit
2026-06-25 03:45:00+00:00,1.0,0,final_audit
2026-06-25 04:00:00+00:00,1.0,0,final_audit
2026-06-25 04:15:00+00:00,1.0,0,final_audit
2026-06-25 04:30:00+00:00,1.0,0,final_audit
2026-06-25 04:45:00+00:00,1.0,0,final_audit
2026-06-25 05:00:00+00:00,1.0024790595146729,1,final_audit
2026-06-25 05:15:00+00:00,1.0084260924471666,1,final_audit
2026-06-25 05:30:00+00:00,1.0025760220081372,1,final_audit
2026-06-25 05:45:00+00:00,0.997792538997218,1,final_audit
2026-06-25 06:00:00+00:00,1.0008953387880846,1,final_audit
2026-06-25 06:15:00+00:00,0.9998368315677629,1,final_audit
2026-06-25 06:30:00+00:00,0.9986652014383992,1,final_audit
2026-06-25 06:45:00+00:00,1.0010811835672249,1,final_audit
2026-06-25 07:00:00+00:00,1.0026245032548693,1,final_audit
2026-06-25 07:15:00+00:00,1.0049192822668644,1,final_audit
2026-06-25 07:30:00+00:00,0.9991176930745672,1,final_audit
2026-06-25 07:45:00+00:00,1.0003216440350857,1,final_audit
2026-06-25 08:00:00+00:00,0.9966936307379529,1,final_audit
2026-06-25 08:15:00+00:00,0.9962168984784188,1,final_audit
2026-06-25 08:30:00+00:00,0.9915788592076965,1,final_audit
2026-06-25 08:45:00+00:00,0.98307040040618,1,final_audit
2026-06-25 09:00:00+00:00,0.9882498135987461,1,final_audit
2026-06-25 09:15:00+00:00,0.9868842584824533,1,final_audit
2026-06-25 09:30:00+00:00,0.9882740542221122,1,final_audit
2026-06-25 09:45:00+00:00,0.984347073236797,1,final_audit
2026-06-25 10:00:00+00:00,0.9897284916240812,1,final_audit
2026-06-25 10:15:00+00:00,0.9943826913103809,1,final_audit
2026-06-25 10:30:00+00:00,0.9998529919833408,1,final_audit
