name,fast_ema,slow_ema,overlay_filter,exit_model,exposure,cost_bps_round_trip,full_trades,full_total_return,full_final_equity,full_annualized_multiple,full_max_dd,full_win_rate,full_profit_factor,full_avg_trade,full_median_trade,full_worst_trade,full_trades_per_day,full_avg_mfe_capture,full_avg_giveback,full_long_trades,full_short_trades,full_armed_trades,full_partial_trades,train_first_60pct_trades,train_first_60pct_total_return,train_first_60pct_final_equity,train_first_60pct_annualized_multiple,train_first_60pct_max_dd,train_first_60pct_win_rate,train_first_60pct_profit_factor,train_first_60pct_avg_trade,train_first_60pct_median_trade,train_first_60pct_worst_trade,train_first_60pct_trades_per_day,train_first_60pct_avg_mfe_capture,train_first_60pct_avg_giveback,train_first_60pct_long_trades,train_first_60pct_short_trades,train_first_60pct_armed_trades,train_first_60pct_partial_trades,val_next_20pct_trades,val_next_20pct_total_return,val_next_20pct_final_equity,val_next_20pct_annualized_multiple,val_next_20pct_max_dd,val_next_20pct_win_rate,val_next_20pct_profit_factor,val_next_20pct_avg_trade,val_next_20pct_median_trade,val_next_20pct_worst_trade,val_next_20pct_trades_per_day,val_next_20pct_avg_mfe_capture,val_next_20pct_avg_giveback,val_next_20pct_long_trades,val_next_20pct_short_trades,val_next_20pct_armed_trades,val_next_20pct_partial_trades,fwd_last_20pct_trades,fwd_last_20pct_total_return,fwd_last_20pct_final_equity,fwd_last_20pct_annualized_multiple,fwd_last_20pct_max_dd,fwd_last_20pct_win_rate,fwd_last_20pct_profit_factor,fwd_last_20pct_avg_trade,fwd_last_20pct_median_trade,fwd_last_20pct_worst_trade,fwd_last_20pct_trades_per_day,fwd_last_20pct_avg_mfe_capture,fwd_last_20pct_avg_giveback,fwd_last_20pct_long_trades,fwd_last_20pct_short_trades,fwd_last_20pct_armed_trades,fwd_last_20pct_partial_trades,recent_30d_trades,recent_30d_total_return,recent_30d_final_equity,recent_30d_annualized_multiple,recent_30d_max_dd,recent_30d_win_rate,recent_30d_profit_factor,recent_30d_avg_trade,recent_30d_median_trade,recent_30d_worst_trade,recent_30d_trades_per_day,recent_30d_avg_mfe_capture,recent_30d_avg_giveback,recent_30d_long_trades,recent_30d_short_trades,recent_30d_armed_trades,recent_30d_partial_trades,recent_14d_trades,recent_14d_total_return,recent_14d_final_equity,recent_14d_annualized_multiple,recent_14d_max_dd,recent_14d_win_rate,recent_14d_profit_factor,recent_14d_avg_trade,recent_14d_median_trade,recent_14d_worst_trade,recent_14d_trades_per_day,recent_14d_avg_mfe_capture,recent_14d_avg_giveback,recent_14d_long_trades,recent_14d_short_trades,recent_14d_armed_trades,recent_14d_partial_trades,exit_reason_counts,score,paper_candidate_pass
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,3.0,15.0,63,-0.000488890135615816,0.9995111098643842,0.9980850683123752,-0.10591622094830644,0.38095238095238093,1.0289334498489433,0.00023109936797555572,-0.008842012581081245,-0.02406300386997034,0.6760865676980862,0.2295515338182596,0.014881986556876886,62,1,35,0,30,-0.07915841697420867,0.9208415830257913,0.5834807406377952,-0.10591622094830644,0.3,0.6260579183887188,-0.0026373743556874682,-0.00866003461999015,-0.019180108106125963,0.5365766410302272,0.1716548254648394,0.011591234136261296,29,1,18,0,21,0.10231475830464243,1.1023147583046424,6.747223822931034,-0.04756494900843955,0.5238095238095238,1.6634776512344644,0.00492448721432995,0.0001213517453852492,-0.02406300386997034,1.126810946163477,0.3365675579147811,0.01740200499553391,21,0,12,0,12,-0.015315546886377818,0.9846844531136222,0.7389807041737336,-0.09305184716619797,0.3333333333333333,0.9282936172996903,-0.0008111450539870724,-0.014524806522253568,-0.020583381828866036,0.6438919692362726,0.20260578770632323,0.019504006764511816,12,0,5,0,18,-0.05360907213765087,0.9463909278623491,0.5112804316678299,-0.09305184716619797,0.3333333333333333,0.7504249128611405,-0.002708032659986587,-0.014485941355186766,-0.020583381828866036,0.6,0.18404247298414894,0.01818048688066835,18,0,8,0,12,-0.015315546886377818,0.9846844531136222,0.6685372827287521,-0.09305184716619797,0.3333333333333333,0.9282936172996903,-0.0008111450539870724,-0.014524806522253568,-0.020583381828866036,0.8571428571428571,0.20260578770632323,0.019504006764511816,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.2043628321458044,False
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,3.0,15.0,63,-0.000488890135615816,0.9995111098643842,0.9980850683123752,-0.10591622094830644,0.38095238095238093,1.0289334498489433,0.00023109936797555572,-0.008842012581081245,-0.02406300386997034,0.6760865676980862,0.2295515338182596,0.014881986556876886,62,1,35,0,30,-0.07915841697420867,0.9208415830257913,0.5834807406377952,-0.10591622094830644,0.3,0.6260579183887188,-0.0026373743556874682,-0.00866003461999015,-0.019180108106125963,0.5365766410302272,0.1716548254648394,0.011591234136261296,29,1,18,0,21,0.10231475830464243,1.1023147583046424,6.747223822931034,-0.04756494900843955,0.5238095238095238,1.6634776512344644,0.00492448721432995,0.0001213517453852492,-0.02406300386997034,1.126810946163477,0.3365675579147811,0.01740200499553391,21,0,12,0,12,-0.015315546886377818,0.9846844531136222,0.7389807041737336,-0.09305184716619797,0.3333333333333333,0.9282936172996903,-0.0008111450539870724,-0.014524806522253568,-0.020583381828866036,0.6438919692362726,0.20260578770632323,0.019504006764511816,12,0,5,0,18,-0.05360907213765087,0.9463909278623491,0.5112804316678299,-0.09305184716619797,0.3333333333333333,0.7504249128611405,-0.002708032659986587,-0.014485941355186766,-0.020583381828866036,0.6,0.18404247298414894,0.01818048688066835,18,0,8,0,12,-0.015315546886377818,0.9846844531136222,0.6685372827287521,-0.09305184716619797,0.3333333333333333,0.9282936172996903,-0.0008111450539870724,-0.014524806522253568,-0.020583381828866036,0.8571428571428571,0.20260578770632323,0.019504006764511816,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.2043628321458044,False
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,15.0,20,0.004274236465473313,1.0042742364654733,1.0168585167091566,-0.022861220976071572,0.45,1.0979240942483155,0.00023311799593674483,-0.002400491471728604,-0.006781668466506017,0.21463065641209086,0.2672634618336165,0.004579111678068298,18,2,14,0,12,0.0061843962837304645,1.0061843962837305,1.04109925880667,-0.016903290251458758,0.5833333333333334,1.351688759029299,0.0005206421742593927,0.0013021754486102224,-0.0040854087651887565,0.21463065641209086,0.3278581980588706,0.003749062656883693,10,2,9,0,5,0.010181578300289651,1.0101815783002897,1.2196138396313185,-0.01103493568005609,0.4,1.583550526669109,0.0020829351048287444,-0.005171370491945658,-0.006781668466506017,0.2682883205151136,0.28219417199317665,0.00673058404007989,5,0,3,0,3,-0.011958243746605701,0.9880417562533943,0.7899578085057359,-0.011958243746605701,0.0,0.0,-0.004000007232173843,-0.003883997541411942,-0.006542391874717888,0.16097299230906814,0.0,0.0043135204927874,3,0,2,0,5,-0.022861220976071572,0.9771387790239284,0.7546009256833622,-0.022861220976071572,0.0,0.0,-0.004613087533891257,-0.005171370491945658,-0.006542391874717888,0.16666666666666666,0.0,0.005579606568053919,5,0,3,0,3,-0.011958243746605701,0.9880417562533943,0.7306195383202214,-0.011958243746605701,0.0,0.0,-0.004000007232173843,-0.003883997541411942,-0.006542391874717888,0.21428571428571427,0.0,0.0043135204927874,3,0,2,0,"{""armed_peak_drawdown_next_open"": 11, ""hard_stop"": 9}",1.196892059467007,False
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,15.0,20,0.004274236465473313,1.0042742364654733,1.0168585167091566,-0.022861220976071572,0.45,1.0979240942483155,0.00023311799593674483,-0.002400491471728604,-0.006781668466506017,0.21463065641209086,0.2672634618336165,0.004579111678068298,18,2,14,0,12,0.0061843962837304645,1.0061843962837305,1.04109925880667,-0.016903290251458758,0.5833333333333334,1.351688759029299,0.0005206421742593927,0.0013021754486102224,-0.0040854087651887565,0.21463065641209086,0.3278581980588706,0.003749062656883693,10,2,9,0,5,0.010181578300289651,1.0101815783002897,1.2196138396313185,-0.01103493568005609,0.4,1.583550526669109,0.0020829351048287444,-0.005171370491945658,-0.006781668466506017,0.2682883205151136,0.28219417199317665,0.00673058404007989,5,0,3,0,3,-0.011958243746605701,0.9880417562533943,0.7899578085057359,-0.011958243746605701,0.0,0.0,-0.004000007232173843,-0.003883997541411942,-0.006542391874717888,0.16097299230906814,0.0,0.0043135204927874,3,0,2,0,5,-0.022861220976071572,0.9771387790239284,0.7546009256833622,-0.022861220976071572,0.0,0.0,-0.004613087533891257,-0.005171370491945658,-0.006542391874717888,0.16666666666666666,0.0,0.005579606568053919,5,0,3,0,3,-0.011958243746605701,0.9880417562533943,0.7306195383202214,-0.011958243746605701,0.0,0.0,-0.004000007232173843,-0.003883997541411942,-0.006542391874717888,0.21428571428571427,0.0,0.0043135204927874,3,0,2,0,"{""armed_peak_drawdown_next_open"": 11, ""hard_stop"": 9}",1.196892059467007,False
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,15.0,63,0.0029588852053179515,1.002958885205318,1.0116481120741903,-0.07165077729158154,0.38095238095238093,1.0289334498489433,0.00015406624531703663,-0.005894675054054163,-0.016042002579980227,0.6760865676980862,0.2295515338182596,0.009921324371251258,62,1,35,0,30,-0.05279759259002326,0.9472024074099767,0.7016249009576262,-0.07165077729158154,0.3,0.6260579183887188,-0.0017582495704583127,-0.005773356413326766,-0.01278673873741731,0.5365766410302272,0.1716548254648394,0.007727489424174198,29,1,18,0,21,0.06850056978404417,1.0685005697840442,3.6638779455871533,-0.03171154236306051,0.5238095238095238,1.663477651234464,0.0032829914762199652,8.090116359016613e-05,-0.016042002579980227,1.126810946163477,0.3365675579147811,0.011601336663689274,21,0,12,0,12,-0.009018427286955677,0.9909815727130443,0.8373198703988624,-0.06279783314431409,0.3333333333333333,0.9282936172996903,-0.0005407633693247158,-0.009683204348169046,-0.013722254552577359,0.6438919692362726,0.20260578770632323,0.013002671176341211,12,0,5,0,18,-0.03473950937560211,0.9652604906243979,0.6502002865387899,-0.06279783314431353,0.3333333333333333,0.7504249128611407,-0.001805355106657725,-0.009657294236791177,-0.013722254552577359,0.6,0.18404247298414894,0.012120324587112234,18,0,8,0,12,-0.009018427286955677,0.9909815727130443,0.789502960341862,-0.06279783314431409,0.3333333333333333,0.9282936172996903,-0.0005407633693247158,-0.009683204348169046,-0.013722254552577359,0.8571428571428571,0.20260578770632323,0.013002671176341211,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.187992939234828,False
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,15.0,63,0.0029588852053179515,1.002958885205318,1.0116481120741903,-0.07165077729158154,0.38095238095238093,1.0289334498489433,0.00015406624531703663,-0.005894675054054163,-0.016042002579980227,0.6760865676980862,0.2295515338182596,0.009921324371251258,62,1,35,0,30,-0.05279759259002326,0.9472024074099767,0.7016249009576262,-0.07165077729158154,0.3,0.6260579183887188,-0.0017582495704583127,-0.005773356413326766,-0.01278673873741731,0.5365766410302272,0.1716548254648394,0.007727489424174198,29,1,18,0,21,0.06850056978404417,1.0685005697840442,3.6638779455871533,-0.03171154236306051,0.5238095238095238,1.663477651234464,0.0032829914762199652,8.090116359016613e-05,-0.016042002579980227,1.126810946163477,0.3365675579147811,0.011601336663689274,21,0,12,0,12,-0.009018427286955677,0.9909815727130443,0.8373198703988624,-0.06279783314431409,0.3333333333333333,0.9282936172996903,-0.0005407633693247158,-0.009683204348169046,-0.013722254552577359,0.6438919692362726,0.20260578770632323,0.013002671176341211,12,0,5,0,18,-0.03473950937560211,0.9652604906243979,0.6502002865387899,-0.06279783314431353,0.3333333333333333,0.7504249128611407,-0.001805355106657725,-0.009657294236791177,-0.013722254552577359,0.6,0.18404247298414894,0.012120324587112234,18,0,8,0,12,-0.009018427286955677,0.9909815727130443,0.789502960341862,-0.06279783314431409,0.3333333333333333,0.9282936172996903,-0.0005407633693247158,-0.009683204348169046,-0.013722254552577359,0.8571428571428571,0.20260578770632323,0.013002671176341211,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.187992939234828,False
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,15.0,20,0.0077757019855042575,1.0077757019855043,1.0308260540739775,-0.04531746193050035,0.45,1.0979240942483155,0.00046623599187348966,-0.004800982943457208,-0.013563336933012034,0.21463065641209086,0.2672634618336165,0.009158223356136596,18,2,14,0,12,0.012240620862449703,1.0122406208624497,1.0827242538037218,-0.033594979696912275,0.5833333333333334,1.351688759029299,0.0010412843485187854,0.0026043508972204447,-0.008170817530377513,0.21463065641209086,0.3278581980588706,0.007498125313767386,10,2,9,0,5,0.019896356835925832,1.0198963568359258,1.4712457861559236,-0.022008910774355073,0.4,1.583550526669109,0.004165870209657489,-0.010342740983891315,-0.013563336933012034,0.2682883205151136,0.28219417199317665,0.01346116808015978,5,0,3,0,3,-0.023833091541355933,0.9761669084586441,0.6232870530078483,-0.023833091541355933,0.0,0.0,-0.008000014464347687,-0.007767995082823884,-0.013084783749435776,0.16097299230906814,0.0,0.0086270409855748,3,0,2,0,5,-0.04531746193050035,0.9546825380694997,0.5685688595307604,-0.04531746193050035,0.0,0.0,-0.009226175067782514,-0.010342740983891315,-0.013084783749435776,0.16666666666666666,0.0,0.011159213136107838,5,0,3,0,3,-0.023833091541355933,0.9761669084586441,0.5329552709436691,-0.023833091541355933,0.0,0.0,-0.008000014464347687,-0.007767995082823884,-0.013084783749435776,0.21428571428571427,0.0,0.0086270409855748,3,0,2,0,"{""armed_peak_drawdown_next_open"": 11, ""hard_stop"": 9}",1.1718833181536858,False
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,15.0,20,0.0077757019855042575,1.0077757019855043,1.0308260540739775,-0.04531746193050035,0.45,1.0979240942483155,0.00046623599187348966,-0.004800982943457208,-0.013563336933012034,0.21463065641209086,0.2672634618336165,0.009158223356136596,18,2,14,0,12,0.012240620862449703,1.0122406208624497,1.0827242538037218,-0.033594979696912275,0.5833333333333334,1.351688759029299,0.0010412843485187854,0.0026043508972204447,-0.008170817530377513,0.21463065641209086,0.3278581980588706,0.007498125313767386,10,2,9,0,5,0.019896356835925832,1.0198963568359258,1.4712457861559236,-0.022008910774355073,0.4,1.583550526669109,0.004165870209657489,-0.010342740983891315,-0.013563336933012034,0.2682883205151136,0.28219417199317665,0.01346116808015978,5,0,3,0,3,-0.023833091541355933,0.9761669084586441,0.6232870530078483,-0.023833091541355933,0.0,0.0,-0.008000014464347687,-0.007767995082823884,-0.013084783749435776,0.16097299230906814,0.0,0.0086270409855748,3,0,2,0,5,-0.04531746193050035,0.9546825380694997,0.5685688595307604,-0.04531746193050035,0.0,0.0,-0.009226175067782514,-0.010342740983891315,-0.013084783749435776,0.16666666666666666,0.0,0.011159213136107838,5,0,3,0,3,-0.023833091541355933,0.9761669084586441,0.5329552709436691,-0.023833091541355933,0.0,0.0,-0.008000014464347687,-0.007767995082823884,-0.013084783749435776,0.21428571428571427,0.0,0.0086270409855748,3,0,2,0,"{""armed_peak_drawdown_next_open"": 11, ""hard_stop"": 9}",1.1718833181536858,False
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,15.0,63,0.0031535870345047456,1.0031535870345047,1.012418113332509,-0.036351682264959884,0.38095238095238093,1.0289334498489433,7.703312265851832e-05,-0.0029473375270270817,-0.008021001289990113,0.6760865676980862,0.2295515338182596,0.004960662185625629,62,1,35,0,30,-0.02639491941113714,0.9736050805888629,0.8396670719025429,-0.036351682264959884,0.3,0.6260579183887188,-0.0008791247852291563,-0.002886678206663383,-0.006393369368708655,0.5365766410302272,0.1716548254648394,0.003863744712087099,29,1,18,0,21,0.034372436764391834,1.0343724367643918,1.9393019467969705,-0.015853822506714965,0.5238095238095238,1.663477651234464,0.0016414957381099826,4.0450581795083065e-05,-0.008021001289990113,1.126810946163477,0.3365675579147811,0.005800668331844637,21,0,12,0,12,-0.0038891751422893694,0.9961108248577106,0.9264729255213403,-0.03178450863760973,0.3333333333333333,0.9282936172996903,-0.0002703816846623579,-0.004841602174084523,-0.006861127276288679,0.6438919692362726,0.20260578770632323,0.0065013355881706055,12,0,5,0,18,-0.016829757931696276,0.9831702420683037,0.8133074090600317,-0.03178450863760973,0.3333333333333333,0.7504249128611407,-0.0009026775533288625,-0.004828647118395589,-0.006861127276288679,0.6,0.18404247298414894,0.006060162293556117,18,0,8,0,12,-0.0038891751422893694,0.9961108248577106,0.9033333605085143,-0.03178450863760973,0.3333333333333333,0.9282936172996903,-0.0002703816846623579,-0.004841602174084523,-0.006861127276288679,0.8571428571428571,0.20260578770632323,0.0065013355881706055,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.1537950270238215,False
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,15.0,63,0.0031535870345047456,1.0031535870345047,1.012418113332509,-0.036351682264959884,0.38095238095238093,1.0289334498489433,7.703312265851832e-05,-0.0029473375270270817,-0.008021001289990113,0.6760865676980862,0.2295515338182596,0.004960662185625629,62,1,35,0,30,-0.02639491941113714,0.9736050805888629,0.8396670719025429,-0.036351682264959884,0.3,0.6260579183887188,-0.0008791247852291563,-0.002886678206663383,-0.006393369368708655,0.5365766410302272,0.1716548254648394,0.003863744712087099,29,1,18,0,21,0.034372436764391834,1.0343724367643918,1.9393019467969705,-0.015853822506714965,0.5238095238095238,1.663477651234464,0.0016414957381099826,4.0450581795083065e-05,-0.008021001289990113,1.126810946163477,0.3365675579147811,0.005800668331844637,21,0,12,0,12,-0.0038891751422893694,0.9961108248577106,0.9264729255213403,-0.03178450863760973,0.3333333333333333,0.9282936172996903,-0.0002703816846623579,-0.004841602174084523,-0.006861127276288679,0.6438919692362726,0.20260578770632323,0.0065013355881706055,12,0,5,0,18,-0.016829757931696276,0.9831702420683037,0.8133074090600317,-0.03178450863760973,0.3333333333333333,0.7504249128611407,-0.0009026775533288625,-0.004828647118395589,-0.006861127276288679,0.6,0.18404247298414894,0.006060162293556117,18,0,8,0,12,-0.0038891751422893694,0.9961108248577106,0.9033333605085143,-0.03178450863760973,0.3333333333333333,0.9282936172996903,-0.0002703816846623579,-0.004841602174084523,-0.006861127276288679,0.8571428571428571,0.20260578770632323,0.0065013355881706055,12,0,5,0,"{""armed_peak_drawdown_next_open"": 30, ""hard_stop"": 31, ""opposite_cross"": 2}",1.1537950270238215,False
