name,fast_ema,slow_ema,overlay_filter,exit_model,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,3.0,2026-04,19,-0.0670465669744349,0.9329534330255651,0.30092065084479924,-0.08221314521692225,0.2631578947368421,0.43715618505162585,-0.003601595136246015,-0.008596810222976033,-0.011631612680156497,0.9001480506662279,0.15863265293142942,0.00883695113879742,18,1,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,3.0,2026-05,26,0.13202779460715974,1.1320277946071597,102.69563681032311,-0.05023912706744582,0.5,1.70707603003038,0.00506669829426511,-0.001301374395296258,-0.02406300386997034,2.6587132509586704,0.3179312326111619,0.01733120186683751,26,0,16,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,3.0,2026-06,18,-0.05360907213765087,0.9463909278623491,0.2760409081124245,-0.09305184716619797,0.3333333333333333,0.7504249128611405,-0.002708032659986587,-0.014485941355186766,-0.020583381828866036,1.1512836457315447,0.18404247298414894,0.01818048688066835,18,0,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,3.0,2026-04,19,-0.0670465669744349,0.9329534330255651,0.30092065084479924,-0.08221314521692225,0.2631578947368421,0.43715618505162585,-0.003601595136246015,-0.008596810222976033,-0.011631612680156497,0.9001480506662279,0.15863265293142942,0.00883695113879742,18,1,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,3.0,2026-05,26,0.13202779460715974,1.1320277946071597,102.69563681032311,-0.05023912706744582,0.5,1.70707603003038,0.00506669829426511,-0.001301374395296258,-0.02406300386997034,2.6587132509586704,0.3179312326111619,0.01733120186683751,26,0,16,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,3.0,2026-06,18,-0.05360907213765087,0.9463909278623491,0.2760409081124245,-0.09305184716619797,0.3333333333333333,0.7504249128611405,-0.002708032659986587,-0.014485941355186766,-0.020583381828866036,1.1512836457315447,0.18404247298414894,0.01818048688066835,18,0,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-04,6,0.01390516465248992,1.01390516465249,1.2563737551579028,-0.006444484773245551,0.8333333333333334,5.144698609342614,0.002308871747401429,0.0027043557760836907,-0.003342397551701791,0.27149321266968324,0.4916952320965786,0.0029413568180527614,4,2,5,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-05,9,0.01367500306215419,1.0136750030621542,1.358136382133381,-0.01690329025145887,0.4444444444444444,1.654332815788103,0.0015416185670869568,-0.003227350663065508,-0.006781668466506017,0.5553413035094484,0.2661219826769843,0.005115117756975534,9,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-06,5,-0.022861220976071572,0.9771387790239284,0.5772688453027628,-0.022861220976071572,0.0,0.0,-0.004613087533891257,-0.005171370491945658,-0.006542391874717888,0.3252326316740446,0.0,0.005579606568053919,5,0,3,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-04,6,0.01390516465248992,1.01390516465249,1.2563737551579028,-0.006444484773245551,0.8333333333333334,5.144698609342614,0.002308871747401429,0.0027043557760836907,-0.003342397551701791,0.27149321266968324,0.4916952320965786,0.0029413568180527614,4,2,5,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-05,9,0.01367500306215419,1.0136750030621542,1.358136382133381,-0.01690329025145887,0.4444444444444444,1.654332815788103,0.0015416185670869568,-0.003227350663065508,-0.006781668466506017,0.5553413035094484,0.2661219826769843,0.005115117756975534,9,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,30,120,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-06,5,-0.022861220976071572,0.9771387790239284,0.5772688453027628,-0.022861220976071572,0.0,0.0,-0.004613087533891257,-0.005171370491945658,-0.006542391874717888,0.3252326316740446,0.0,0.005579606568053919,5,0,3,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-04,19,-0.04500708491631278,0.9549929150836872,0.45073299626703045,-0.055438800552523815,0.2631578947368421,0.4371561850516258,-0.00240106342416401,-0.005731206815317355,-0.007754408453437664,0.9001480506662279,0.15863265293142942,0.00589130075919828,18,1,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-05,26,0.08802393710673906,1.088023937106739,23.358184757914,-0.03364711435270917,0.5,1.7070760300303798,0.003377798862843407,-0.0008675829301975054,-0.016042002579980227,2.6587132509586704,0.3179312326111619,0.011554134577891673,26,0,16,0
