name,exit_model,filter_name,fast_ema,slow_ema,exposure,slice,start,end,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,6548,-0.9999645996663623,3.5400333637703375e-05,3.5766638349208156e-18,-0.9999676906285724,0.2044899205864386,0.44741678611134417,-0.0015496163438545871,-0.00274229214447269,-0.0169971325472002,70.27007690931855,0.11423315233957394,0.005021906825084189,3274,3274,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,3949,-0.9979211708229472,0.0020788291770528523,3.0046328797761138e-18,-0.9979325074801989,0.18966827044821474,0.35010037383899767,-0.0015547678384430124,-0.0024924717387619353,-0.014472334249531147,70.63137184761224,0.11404573531447415,0.0037964838393596944,1974,1975,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,1301,-0.8818946869757148,0.11810531302428517,6.5751845731948575e-19,-0.8835245178607711,0.23059185242121444,0.5511911509530036,-0.001614140690102719,-0.00364022595847152,-0.0169971325472002,69.80862099803255,0.11151756713576415,0.007499122661261092,651,650,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,1298,-0.8558153204729679,0.14418467952703204,3.2817721279175176e-17,-0.8714689887342273,0.22342064714946072,0.5498191207380269,-0.0014692700984011897,-0.003351837720312388,-0.015170474642703656,69.64764800572348,0.11751628224106593,0.006174962551935199,649,649,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,2109,-0.9674012935118008,0.032598706488199236,7.910692011633136e-19,-0.9709555248543849,0.22569938359412042,0.5333346117658689,-0.001598795701242255,-0.0035033755505852735,-0.0169971325472002,70.3,0.1136505625735901,0.0067767404814956,1055,1054,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,1.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,969,-0.744181512433876,0.2558184875661241,3.575747808702415e-16,-0.7696746297009476,0.22394220846233232,0.5600266935537985,-0.0013848468959674872,-0.0032751381123811694,-0.015170474642703656,69.21428571428571,0.11989163340171238,0.005829212868214071,485,484,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,2.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,6548,-0.9999999989748699,1.0251300678777795e-09,5.8212867052581205e-36,-0.9999999991445749,0.2044899205864386,0.44741678611134417,-0.0030992326877091743,-0.00548458428894538,-0.0339942650944004,70.27007690931855,0.11423315233957394,0.010043813650168378,3274,3274,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,2.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,3949,-0.9999959764084078,4.023591592256293e-06,5.661225627681967e-36,-0.9999960202065946,0.18966827044821474,0.35010037383899767,-0.0031095356768860247,-0.004984943477523871,-0.028944668499062295,70.63137184761224,0.11404573531447415,0.007592967678719389,1974,1975,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,2.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,1301,-0.98701009152641,0.012989908473590061,1.070486045129694e-37,-0.9873611461558918,0.23059185242121444,0.5511911509530036,-0.003228281380205438,-0.00728045191694304,-0.0339942650944004,69.80862099803255,0.11151756713576415,0.014998245322522185,651,650,0,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_A_cross_only_none,A_cross_only,none,8,21,2.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,1298,-0.9803863243613118,0.019613675638688242,3.4417755449516605e-34,-0.9843191376205541,0.22342064714946072,0.5498191207380269,-0.0029385401968023794,-0.006703675440624776,-0.03034094928540731,69.64764800572348,0.11751628224106593,0.012349925103870398,649,649,0,0
