strategy,entry_ts,exit_ts,direction,entry_price,exit_price,raw_return_pct,net_return_pct,min_path_return_pct,max_path_return_pct,bars_held,exit_reason,adx14,rvol60,htf_dir_spread,dir_ret60,churn360,previous_regime_age,atr_pct60
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-07 10:14:00+00:00,2026-04-07 10:39:00+00:00,long,36.918,36.401148,-1.4000000000000012,-4.650000000000003,-1.468118532964957,0.5796630370009215,25,stop_loss,21.654608488850048,0.42613264530789063,-0.004239795706671101,0.010704703498877421,0.0,682.0,0.0013399427544672268
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-07 19:41:00+00:00,2026-04-07 23:43:00+00:00,long,36.55,38.465922,5.241920656634758,15.275761969904272,-0.04103967168263001,7.170998632010961,242,trailing_stop,19.231802263050792,1.556072442741427,-0.0022741102171833782,0.002743559494087666,0.0,535.0,0.0010187237224912715
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-08 19:03:00+00:00,2026-04-08 21:00:00+00:00,short,37.952,38.483328,-1.4000000000000012,-4.650000000000003,-1.441296387669777,0.5617382087970135,117,stop_loss,40.687642648771686,1.704329912542308,-0.004424171106947261,0.015307975714804689,0.0,1402.0,0.0016621873243395215
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-09 03:56:00+00:00,2026-04-09 22:46:00+00:00,long,38.635,39.687529999999995,2.724291445580418,7.722874336741254,-1.1233337647211017,4.607221431344644,1130,trailing_stop,30.36420910264876,1.3974855364065248,5.460661809442158e-05,-5.176117394345425e-05,1.0,145.0,0.0009502980735219367
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-12 02:10:00+00:00,2026-04-12 16:01:00+00:00,short,41.221,40.895095999999995,0.7906261371630974,1.9218784114892924,-0.5548720175629129,2.6112715324106306,831,trailing_stop,50.89572390897089,0.2509698499083311,-0.0037575093042658825,0.03540257856190199,0.0,4214.0,0.0025648489553011283
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-13 01:31:00+00:00,2026-04-13 15:31:00+00:00,long,41.465,42.073789999999995,1.468202098155058,3.9546062944651745,-1.082840950198971,3.3281080429277576,840,trailing_stop,46.281435341999554,1.4144129581093643,-0.001521230867406298,0.011316521145309899,0.0,1401.0,0.0012749401115773411
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-14 15:58:00+00:00,2026-04-15 00:03:00+00:00,short,43.55,43.682379999999995,-0.3039724454649839,-1.3619173363949517,-0.6909447472236874,1.4914938242833742,485,trailing_stop,28.4914727858128,0.5689482794840859,-0.006639112920931112,0.006320160627909077,0.0,2307.0,0.002232631474210314
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-15 01:40:00+00:00,2026-04-15 05:41:00+00:00,long,44.072,43.454992000000004,-1.4000000000000012,-4.650000000000003,-1.4067888909057968,0.9234888364494376,241,stop_loss,28.501908973290288,1.7263066955542488,-0.0036518309045728836,0.010779074834300406,0.0,582.0,0.00118704573472799
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-15 11:17:00+00:00,2026-04-15 17:41:00+00:00,long,43.927,44.218478000000005,0.6635508912514076,1.540652673754223,-0.14797277300976353,2.5087076285655874,384,trailing_stop,25.359867225685445,0.37317357141173335,-0.001467841743887588,0.006991884828756234,1.0,331.0,0.0011928882008787353
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-17 09:42:00+00:00,2026-04-17 10:31:00+00:00,long,44.092,43.474712,-1.4000000000000012,-4.650000000000003,-1.4333665971151155,0.37875351537695057,49,stop_loss,28.099201470748888,0.3880113159064571,-0.0033703121736218256,0.004670980678089798,0.0,1148.0,0.001837404274299037
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-17 13:27:00+00:00,2026-04-17 17:12:00+00:00,long,44.553,44.73009999999999,0.397504096244905,0.742512288734715,-0.8933180706125254,2.237784212062044,225,trailing_stop,58.56087862555221,1.8027186356598826,-0.00242341082248565,0.023265962333486323,2.0,170.0,0.001916444085321588
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-18 11:09:00+00:00,2026-04-19 11:09:00+00:00,short,44.295,43.098,2.7023366068405053,7.657009820521515,-0.8572451765969769,3.7110746897682123,1440,max_hold,27.418150956974458,2.714246271161109,-0.002013853683448863,0.005366806637774335,0.0,1302.0,0.0011495161120392608
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-22 05:27:00+00:00,2026-04-22 15:07:00+00:00,long,40.544,40.752018,0.5130672849250173,1.089201854775052,-0.9865824782951838,2.355465666929768,580,trailing_stop,31.26310625144718,3.531697667221965,-0.0029866488681886683,0.009511478512026272,0.0,5418.0,0.001155945803735864
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-23 03:57:00+00:00,2026-04-23 04:51:00+00:00,short,40.596,40.877,-0.692186422307639,-2.526559266922917,-1.0022679054795591,0.13319520497261372,54,opposite_cross,40.18105968477469,0.5392232438612986,-0.003105033693333814,0.008717522953701873,0.0,1350.0,0.001224699265098348
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-23 10:28:00+00:00,2026-04-23 11:36:00+00:00,short,40.749,41.255,-1.2417482637610666,-4.175244791283199,-1.2432746837283681,0.6148148148148236,68,opposite_cross,23.62153070277309,0.7447821023505209,-0.0012837927741786714,0.005345766104425498,1.0,337.0,0.0011063937698373707
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-24 04:06:00+00:00,2026-04-24 17:18:00+00:00,short,40.949,41.054,-0.2564165181079048,-1.2192495543237143,-0.6622677211198025,0.7553762118005958,792,opposite_cross,19.4649791676955,0.2736364637322455,-0.0011197505368749638,0.004449090732276617,0.0,446.0,0.0008282660545231046
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-24 18:18:00+00:00,2026-04-24 18:43:00+00:00,short,40.869,41.226,-0.8735227189312189,-3.0705681567936565,-1.1608503228614842,0.056309063310977514,25,opposite_cross,32.73937338882621,0.8575986120382354,0.0004978844055597564,0.004457652303120341,1.0,60.0,0.0008192643340673711
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-25 06:06:00+00:00,2026-04-25 16:10:00+00:00,long,41.184,41.133034,-0.12375194250192623,-0.8212558275057787,-0.18210955710954435,1.706973581973581,604,trailing_stop,36.6718456713416,2.1140218628778493,0.00018680183134756057,0.0034110566966352174,1.0,48.0,0.00035775279443782013
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-25 16:51:00+00:00,2026-04-25 21:00:00+00:00,short,40.922,41.406,-1.182737891598662,-3.9982136747959856,-1.2666779260260275,0.029332681495963797,249,opposite_cross,43.6288458098008,0.4734426881894268,-0.002352449649807964,0.013785457788060729,0.0,645.0,0.000986046284303885
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-26 06:17:00+00:00,2026-04-26 16:06:00+00:00,short,41.174,41.314,-0.3400204012240726,-1.4700612036722178,-0.7377049180327777,0.5936820502797424,589,opposite_cross,34.45019666117522,0.031645020684979,-0.0004657809926014167,0.007305253513995691,0.0,557.0,0.0006836838781755563
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-27 15:56:00+00:00,2026-04-28 15:56:00+00:00,short,41.705,39.62,4.999400551492627,14.548201654477882,-0.29406139428135303,5.622388248702026,1440,max_hold,27.45181828547104,0.1564543291629557,-0.002410060395496849,0.0207565333771631,0.0,1430.0,0.002032929704671706
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-29 05:12:00+00:00,2026-04-29 12:20:00+00:00,long,40.548,40.058,-1.2084443129130928,-4.075332938739278,-1.2331064417480553,0.8705731478741319,428,opposite_cross,19.899703536678704,0.29921472206143607,-0.002654861934294983,0.009712122721386551,0.0,2236.0,0.0012627632812114704
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-30 02:42:00+00:00,2026-04-30 13:46:00+00:00,short,39.708,39.402708000000004,0.7688425506195085,1.8565276518585256,-0.1960488614085376,2.588745930863423,664,trailing_stop,57.465969273285054,0.556716267336171,0.0007191264051130686,0.009750623441396433,1.0,67.0,0.0009800465049904727
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-04-30 22:45:00+00:00,2026-05-01 06:50:00+00:00,long,39.589,39.765108,0.44484073858899187,0.8845222157669755,-0.20965419687286602,2.2859885321680373,485,trailing_stop,22.005926849305958,0.6110444795850059,-0.002387374775886131,0.002633911612004436,0.0,1203.0,0.0008070423602516007
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-02 23:57:00+00:00,2026-05-03 19:40:00+00:00,short,41.283,41.223,0.1453382748346832,-0.013985175495950406,-0.21029731689629072,1.5422077922077948,1183,opposite_cross,27.65182636472894,0.9016429709369521,-0.0011610989995698429,0.001958224543080811,0.0,2952.0,0.00043197765020307286
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-04 17:37:00+00:00,2026-05-04 19:06:00+00:00,long,41.604,41.341,-0.6321507547351168,-2.3464522642053502,-0.6850302855494594,0.2884338044418788,89,opposite_cross,26.785188016210917,0.45112583574360804,-0.001453547336920602,0.0039817563165134295,0.0,374.0,0.001059994231323903
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-04 20:07:00+00:00,2026-05-05 20:07:00+00:00,long,41.569,44.196,6.31961317327816,18.50883951983448,-0.14193269022589883,7.1688036758161156,1440,max_hold,19.78837536488861,0.1959563016754174,-0.0004183647357964837,0.004324716115003735,2.0,61.0,0.0007890495321032543
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-06 15:12:00+00:00,2026-05-07 06:32:00+00:00,short,43.401,43.014572,0.8903665814151807,2.2210997442455422,-0.7432648767323746,2.7145359019264514,920,trailing_stop,33.4094450726273,0.6165414650602192,-0.003401792100766299,0.006569309650247157,0.0,2585.0,0.0016059537798668267
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-08 08:38:00+00:00,2026-05-08 11:09:00+00:00,long,42.782,42.388,-0.9209480622691779,-3.2128441868075335,-0.9209480622691779,0.07947267542425251,151,opposite_cross,24.802647161806405,0.7452224786311185,-0.002184677146993552,0.006990702600917942,0.0,2486.0,0.0009049756127966758
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-08 14:51:00+00:00,2026-05-09 09:48:00+00:00,long,42.835,43.548754,1.6662869149060455,4.548860744718137,-1.078557254581547,3.5298237422668466,1137,trailing_stop,33.103666661758595,0.711721582067966,-0.0003374749335970373,0.011858641217046273,1.0,222.0,0.0014474482887425761
HYPE_1M_EMA_CROSSOVER_FAST144_SLOW1597_trail_act140p0_trail180p0_sl140p0_hold1440_adx18_ret60-30p0_atrmin3p5_atrmax100p0_cool30_x3,2026-05-09 15:08:00+00:00,2026-05-10 07:49:00+00:00,short,43.116,43.162182,-0.10711104926246495,-0.7713331477873949,-0.438738281069595,1.691077619755177,1001,trailing_stop,30.25751223923149,0.6121865736877059,-0.002824759162775692,0.008941706509746128,0.0,1457.0,0.0013054234798407396
