config,signal_ts,entry_ts,exit_ts,side,entry_price,final_exit_price,exit_reason,bars_held,raw_ret_1x,net_ret_1x,mae_1x,mfe_1x,max_dev_atr,max_drawdown_atr_after_arm,armed,partial_taken,partial_fraction,partial_ts,adx14,atr_bps,slow_slope_atr
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-26 16:39:00+00:00,2026-03-26 16:40:00+00:00,2026-03-26 16:56:00+00:00,short,38.973,38.961,opposite_cross,16,0.0003079054730198427,-0.0011920945269801573,-0.0019872794419367166,0.0037344184609044984,1.1786230131805566,0.0,False,False,0.0,,27.75165350469819,15.488012880585243,0.4608267138788053
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-26 19:47:00+00:00,2026-03-26 19:48:00+00:00,2026-03-26 19:49:00+00:00,long,38.569,38.553,opposite_cross,1,-0.0004148409344293391,-0.0019148409344293391,-0.0019148409344293391,0.0001296377920090297,-0.12799065524147166,0.0,False,False,0.0,,22.44677371012438,11.162637046872124,0.10070580373264217
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-26 21:46:00+00:00,2026-03-26 21:47:00+00:00,2026-03-26 21:49:00+00:00,short,39.077,39.099,opposite_cross,2,-0.0005629910177342712,-0.002062991017734271,-0.002062674237192695,0.0,-0.06609118540085107,0.0,False,False,0.0,,20.656597751108993,10.902182872549911,0.08990479410046313
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-27 03:25:00+00:00,2026-03-27 03:26:00+00:00,2026-03-27 03:52:00+00:00,long,38.581,38.593,opposite_cross,26,0.00031103392861764334,-0.0011889660713823567,-0.0015777584821544109,0.003784246131515401,1.8609896031532305,0.0,False,False,0.0,,21.919944534375297,9.935808808252249,0.1992431850708867
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-27 13:10:00+00:00,2026-03-27 13:11:00+00:00,2026-03-27 13:12:00+00:00,short,38.245,38.3140784526961,hard_stop,1,-0.0018062087252217474,-0.0033062087252217474,-0.0024143155694880667,0.0003400292948314565,0.6568428914292221,0.0,False,False,0.0,,23.57059697428728,12.041391501478145,0.011847973576597661
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-27 15:18:00+00:00,2026-03-27 15:19:00+00:00,2026-03-27 15:23:00+00:00,short,38.492,38.61102172307957,hard_stop,4,-0.003092115844320009,-0.004592115844320009,-0.0024343853820598103,0.0013267084623187486,0.4244646483051336,0.0,False,False,0.0,,22.34871258877893,20.614105628800733,0.022453107894460114
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-27 15:23:00+00:00,2026-03-27 15:24:00+00:00,2026-03-27 15:24:00+00:00,long,38.688,38.55354311237992,hard_stop,0,-0.003475415829716777,-0.004975415829716777,-0.0015,0.0,0.0,0.0,False,False,0.0,,22.241075043882017,23.16884000104782,0.06005512817777152
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 02:31:00+00:00,2026-03-28 02:32:00+00:00,2026-03-28 03:09:00+00:00,long,38.266,38.328,opposite_cross,37,0.001620237286364068,0.00012023728636406791,-0.0017090628756596935,0.005174306172581522,1.9365740903926474,0.0,False,False,0.0,,21.336219319978678,8.845198025692017,0.1631881228010638
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 07:29:00+00:00,2026-03-28 07:30:00+00:00,2026-03-28 07:38:00+00:00,short,39.114,39.18217349681366,hard_stop,8,-0.0017429436215590233,-0.0032429436215590233,-0.0029041716663688586,0.003927003927003847,1.9460542619991594,0.0,False,False,0.0,,26.794003894499465,11.619327080602721,0.2868789379747084
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 08:36:00+00:00,2026-03-28 08:37:00+00:00,2026-03-28 08:37:00+00:00,long,39.601,39.51996329700912,hard_stop,0,-0.0020463297136658065,-0.0035463297136658065,-0.0015,0.0,0.0,0.0,False,False,0.0,,26.935197937786864,13.642198091105099,0.13647087905876196
