name,fast_ema,slow_ema,exit_model,filter_name,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.06580558614245857,0.9341944138575414,0.027006745575846477,-0.07270216331121393,0.21153846153846154,0.42547467745234663,-0.0013019664452211474,-0.002493672074784957,-0.005567011419952693,7.55371734086553,0.16632586268710065,0.003258919032923167,26,26,6,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.24871004495100824,0.7512899550489918,0.02992251769597438,-0.24874764730460697,0.13714285714285715,0.26543994783346897,-0.001627475341484125,-0.0024224868302868395,-0.004992048129241753,5.879470847623714,0.10830905698815681,0.0029115972415815323,92,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.21669451195301093,0.7833054880469891,0.05551614334267789,-0.21669451195301093,0.19047619047619047,0.44996886965271204,-0.0014384158757540933,-0.002644840188401164,-0.00844711118868907,5.4447245228664025,0.1203439364212399,0.004206106962367877,85,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.15059006555459997,0.8494099344454,0.09257633600528203,-0.15606548861588299,0.21428571428571427,0.5922208467583746,-0.001275988583197311,-0.0035917640005063687,-0.010242635334439086,5.029800681950489,0.131097218654141,0.00608499370084115,64,62,15,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.07212760951928299,0.927872390480717,0.01883669263952786,-0.07897751511578932,0.19230769230769232,0.37555047640964695,-0.0014331156518722489,-0.002493672074784957,-0.005567011419952693,7.55371734086553,0.15715676950052326,0.003109536225219758,26,26,8,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2513887420163252,0.7486112579836748,0.028639310086650736,-0.25142621030009704,0.13714285714285715,0.2519932106258538,-0.001648413237013398,-0.0024224868302868395,-0.004992048129241753,5.879470847623714,0.11479347783428637,0.002784593080408401,92,83,30,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.21138549457401545,0.7886145054259845,0.060137508215126534,-0.21138549457401545,0.18452380952380953,0.4660340824680418,-0.0013976924358516027,-0.002644840188401164,-0.00844711118868907,5.4447245228664025,0.12530869487867868,0.004077280918896486,85,83,25,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2_dd1p8_sl1p5_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2_dd1p8_sl1p5,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.15025521080349769,0.8497447891965023,0.09310988275177269,-0.15573279238842397,0.2222222222222222,0.59072050854764,-0.001273191876542076,-0.0035917640005063687,-0.010242635334439086,5.029800681950489,0.13886903131171413,0.005865753389656513,64,62,20,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p2_sl1p5_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p2_sl1p5,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.0786571402859686,0.9213428597140314,0.012950250583558537,-0.08667771942845248,0.17307692307692307,0.33014599610309553,-0.0015688397060080103,-0.002493672074784957,-0.005567011419952693,7.55371734086553,0.1484985139997178,0.0029543295413122584,26,26,8,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p2_sl1p5_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p2_sl1p5,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.24449605268239627,0.7555039473176037,0.032040731782820124,-0.2448246499873714,0.15428571428571428,0.26879168975628714,-0.001595716009489965,-0.002415287713466606,-0.004992048129241753,5.879882402351953,0.1278763851518892,0.002669924659617779,92,83,30,0
