config,signal_ts,entry_ts,exit_ts,side,entry_price,final_exit_price,exit_reason,bars_held,raw_ret_1x,net_ret_1x,mae_1x,mfe_1x,max_dev_atr,max_drawdown_atr_after_arm,armed,partial_taken,partial_fraction,partial_ts,adx14,atr_bps,slow_slope_atr
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-10 16:55:00+00:00,2026-04-10 16:56:00+00:00,2026-04-10 17:02:00+00:00,long,42.072,41.97198626377349,hard_stop,6,-0.002377204226718832,-0.003877204226718832,-0.0035203460733979606,0.00033276288267725107,1.262711306648267,0.0,False,False,0.0,,17.21764626212451,15.847651498825316,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-10 21:46:00+00:00,2026-04-10 21:47:00+00:00,2026-04-10 21:50:00+00:00,long,41.578,41.51782260030127,hard_stop,3,-0.0014473375270270816,-0.0029473375270270817,-0.0025342007792584207,7.215354273903962e-05,0.6557902592363942,0.0,False,False,0.0,,30.95717509725225,9.649148920273625,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-13 21:11:00+00:00,2026-04-13 21:12:00+00:00,2026-04-13 21:17:00+00:00,long,43.591,43.501638988595836,hard_stop,5,-0.0020499876443340614,-0.0035499876443340615,-0.0017752861829277143,0.0025005161615929694,2.895699900721974,1.7942306279598665,True,False,0.0,,15.278154917367846,13.666584295560458,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-14 03:48:00+00:00,2026-04-14 03:49:00+00:00,2026-04-14 03:58:00+00:00,long,44.687,44.607402733412,hard_stop,9,-0.001781217503703414,-0.003281217503703414,-0.003066451093159116,0.00136505023832445,2.0155117070408313,0.0,False,False,0.0,,27.439462827954934,11.875049096360256,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-14 04:50:00+00:00,2026-04-14 04:51:00+00:00,2026-04-14 05:01:00+00:00,long,44.752,44.863,armed_peak_drawdown_next_open,10,0.0024803360743652636,0.0009803360743652636,-0.002751340722202454,0.005094744368966619,4.055625435116363,2.190537458783539,True,False,0.0,,22.13702341988238,11.865018856792585,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-19 22:59:00+00:00,2026-04-19 23:00:00+00:00,2026-04-20 00:00:00+00:00,short,41.056,40.703,armed_peak_drawdown_next_open,60,0.008598012470771521,0.0070980124707715215,-0.0024003966612319836,0.013428120063191162,2.7193937963264196,2.430659364512757,True,False,0.0,,21.414850667379554,14.274353417903137,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-27 06:57:00+00:00,2026-04-27 06:58:00+00:00,2026-04-27 07:03:00+00:00,long,42.623,42.584,armed_peak_drawdown_next_open,5,-0.0009149989442318596,-0.0024149989442318596,-0.0027434601036998006,0.001102691035356651,2.353192238881726,1.8095025143425654,True,False,0.0,,25.168941540225234,10.475075504035855,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-04-27 08:09:00+00:00,2026-04-27 08:10:00+00:00,2026-04-27 08:11:00+00:00,long,42.53,42.47192088707228,hard_stop,1,-0.0013656034076586776,-0.0028656034076586776,-0.0019937691041617676,0.00018810251587098037,1.415391896399639,0.0,False,False,0.0,,16.37781278457276,9.1042367839548,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-05-14 20:48:00+00:00,2026-05-14 20:49:00+00:00,2026-05-14 20:55:00+00:00,long,44.407,44.288036245036004,hard_stop,6,-0.002678941494899334,-0.004178941494899334,-0.0015450379444680849,0.003873263224266621,3.561398555973181,1.6161124436935295,True,False,0.0,,38.069297119224444,17.859609965995,0.0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,2026-05-14 22:13:00+00:00,2026-05-14 22:14:00+00:00,2026-05-14 22:18:00+00:00,long,44.041,43.960912631229306,hard_stop,4,-0.0018184729858697901,-0.00331847298586979,-0.00281695465588888,0.00027247337708047326,1.931100373128769,0.0,False,False,0.0,,22.360415321147528,12.123153239132128,0.0
