symbol,total_return_pct,cagr_pct,sharpe,sortino,mdd_pct,calmar,days,profit_factor,closed_trades,win_rate,avg_hold_days,chronological_1h_mdd_pct,cost_pct_initial,funding_pct_initial,exposure_pct,gross_total_return_pct,gross_cagr_pct,gross_sharpe,gross_sortino,gross_mdd_pct,gross_calmar,gross_days,gross_profit_factor,gross_closed_trades,gross_win_rate,gross_avg_hold_days,gross_chronological_1h_mdd_pct,gross_cost_pct_initial,gross_funding_pct_initial,gross_exposure_pct,stress_8bps_total_return_pct,stress_8bps_cagr_pct,stress_8bps_sharpe,stress_8bps_sortino,stress_8bps_mdd_pct,stress_8bps_calmar,stress_8bps_days,stress_8bps_profit_factor,stress_8bps_closed_trades,stress_8bps_win_rate,stress_8bps_avg_hold_days,stress_8bps_chronological_1h_mdd_pct,stress_8bps_cost_pct_initial,stress_8bps_funding_pct_initial,stress_8bps_exposure_pct
1000SHIBUSDT,91.60983554607805,38.484957242449,0.9002767736647035,1.098604860233076,-45.63196770911391,0.8433771142146592,730,1.6770239617975802,33,0.5151515151515151,11.271464646113916,-47.936417609239925,10.255366900009575,-6.787842080280466,51.130136986301366,119.4398324684399,48.21488791213482,1.04045081167851,1.2796439992786302,-44.28303583361895,1.088789126682477,730,1.8858331998476765,33,0.5454545454545454,11.271464646113916,-46.63335343266913,0.0,0.0,51.130136986301366,86.70704729105749,36.69931448048731,0.8735615852991842,1.064537645663202,-46.00300330353729,0.7977590992991843,730,1.638647571556213,33,0.5151515151515151,11.271464646113916,-48.293565538698694,10.121034878031342,-6.706174331080756,51.130136986301366
ADAUSDT,74.03646191683796,31.973024879048427,0.7680667519623897,0.858045640982762,-49.027859571351385,0.6521399293909077,730,1.236447412903678,35,0.2857142857142857,8.223809523809523,-51.427886335019664,12.946851568842765,-6.094607575047417,39.6175799086758,97.1891166302451,40.489453269215204,0.8809438039093003,0.9956184205017609,-44.93722587810788,0.9010225370618727,730,1.3047115454062441,35,0.2857142857142857,8.223809523809523,-47.96348143087014,0.0,0.0,39.6175799086758,69.1792412290852,30.115834988560497,0.7426341263079181,0.8285256343559234,-50.00349261202513,0.6022746295389388,730,1.2212026933813325,35,0.2857142857142857,8.223809523809523,-52.35896590458849,12.767956538367883,-6.031927782898783,39.6175799086758
AVAXUSDT,3.700304209778338,1.8358841349763955,0.32715072988788885,0.4322240545333335,-51.32915342794454,0.03576688903614191,730,1.0137323453200628,46,0.3695652173913043,7.932065217139694,-53.7659938477725,11.905277004660316,-6.298323312187145,50.2283105022831,23.18924007081289,11.006525463862427,0.46691785084156023,0.626258293196152,-49.36901787668098,0.2229439826280454,730,1.0816926478947606,46,0.391304347826087,7.932065217139694,-51.62182197250714,0.0,0.0,50.2283105022831,-0.10822535034485936,-0.054201552612609394,0.2970828011703646,0.39184825154047,-52.04882894603045,-0.001041359694543966,730,0.9995956374223534,46,0.3695652173913043,7.932065217139694,-54.5795563398183,11.695649678801583,-6.229056682960877,50.2283105022831
BCHUSDT,-70.31907177883066,-45.56516298850015,-1.045171500960931,-1.1508583546818196,-72.91784781735748,-0.6248835415799772,730,0.46098351540015003,48,0.2708333333333333,7.251736111111111,-73.71097332923617,6.252436031326441,-2.3088136259242678,47.94520547945205,-64.77375102592184,-40.69075317245739,-0.8748347091682187,-0.9698591500319804,-69.80190922328768,-0.5829461346435769,730,0.5120665457789035,48,0.2708333333333333,7.251736111111111,-70.19980982673397,0.0,0.0,47.94520547945205,-71.47724790366466,-46.63923523869216,-1.0836066077280677,-1.190343824436767,-73.76746984604083,-0.6322466438937424,730,0.45127849956893573,48,0.2708333333333333,7.251736111111111,-74.54597730145034,6.154791516315152,-2.289683672816108,47.94520547945205
BNBUSDT,-43.77777060386925,-25.048125184075754,-0.6676255496305817,-0.6314643752939222,-60.37393140929774,-0.4148831225560752,730,0.6093838263723973,40,0.325,8.25208333304398,-61.0325091855651,6.774890953213222,-1.6341128901608228,45.422374429223744,-36.043781569259096,-20.051881195417533,-0.48761854641043023,-0.46315372151742557,-58.6941664023876,-0.34163329040144347,730,0.6812841163437333,40,0.35,8.25208333304398,-59.332010694874484,0.0,0.0,45.422374429223744,-45.57308635734042,-26.25617568600922,-0.7120642116838126,-0.6726912782358385,-60.82746365063962,-0.431650016459845,730,0.5935262931616828,40,0.325,8.25208333304398,-61.49395272728264,6.683036398362148,-1.6248302604820648,45.422374429223744
BTCUSDT,2.582696454641087,1.2848876544946375,0.19415408276391521,0.21782428580544658,-39.029908888314665,0.03292059067243494,730,1.023968288865167,43,0.4186046511627907,7.992248062015504,-41.22415311417682,10.12707818815239,-2.0547657198631315,47.305936073059364,17.567565660566743,8.440614792377277,0.4169858691529115,0.4741693674254728,-35.00483517346255,0.24112711145619603,730,1.163670425526429,43,0.4418604651162791,7.992248062015504,-37.11571108391299,0.0,0.0,47.305936073059364,-0.8912548919416841,-0.447236096611936,0.13865693495415962,0.15508636229872222,-40.00310232097796,-0.011180035313846188,730,0.9917561480038019,43,0.4186046511627907,7.992248062015504,-42.23097930510246,9.965327203106487,-2.0460551979930646,47.305936073059364
DOGEUSDT,9.553458819123929,4.674338550699986,0.34583034420754194,0.38721506932645516,-49.35086121639404,0.09471645348201543,730,1.0538533148108353,39,0.41025641025641024,8.9209401706434,-51.22000640602082,9.084437919556883,-2.971772422828687,47.87100456621005,25.489308676917787,12.039456881176115,0.475371872069896,0.5371780258970887,-47.995202402329106,0.25084709051236054,730,1.1394729173807179,39,0.4358974358974359,8.9209401706434,-49.84748253582952,0.0,0.0,47.87100456621005,6.111663907758924,3.0147072073287706,0.31565841441070863,0.3530766133100881,-49.759017108177,0.060586148652710385,730,1.0344777515570882,39,0.38461538461538464,8.9209401706434,-51.63272299386288,8.9467102456336,-2.9538284489921107,47.87100456621005
ETHUSDT,5.067757756418101,2.506040260519704,0.2829959734285407,0.3607466521774127,-52.15982258904393,0.048045413809480506,730,1.022101015759354,47,0.3404255319148936,7.9388297872340425,-53.66334511186312,11.71291700107803,-4.5540330406268525,51.37557077625571,23.64397067159483,11.211497951953087,0.45611082990808416,0.5865864326665557,-49.039029971072466,0.22862397479245847,730,1.0986612558444646,47,0.3404255319148936,7.9388297872340425,-50.63188099713331,0.0,0.0,51.37557077625571,1.1925519589860656,0.5953267114762628,0.24346611736762153,0.30968944715375873,-52.95864017201058,0.011241351921851304,730,1.0052328861123077,47,0.3404255319148936,7.9388297872340425,-54.437692308948016,11.50233235572455,-4.5095020856279895,51.37557077625571
HBARUSDT,-70.66781520155911,-45.88634441454678,-0.9212705254704237,-1.025111854600072,-74.4960198482196,-0.6159569935150492,730,0.4587163994406252,44,0.20454545454545456,7.315340909090909,-75.0955949500166,4.654444034258221,-0.5369249241216786,44.326484018264836,-66.33454155051086,-42.021366392527824,-0.7953981176691162,-0.8916726287785155,-70.91312077417157,-0.5925753363238403,730,0.49549881504774385,44,0.25,7.315340909090909,-71.597788231462,0.0,0.0,44.326484018264836,-71.72199831343148,-46.868983783291654,-0.9540265976510143,-1.0604452259479136,-75.3808936367085,-0.6217621140069332,730,0.44983811108429667,44,0.20454545454545456,7.315340909090909,-75.95966635617089,4.58843608619631,-0.5259444899165754,44.326484018264836
HYPEUSDT,107.82154444522317,82.45868625261615,1.2669097634648696,1.6918445586233768,-27.058484208899724,3.047424446100159,445,2.209023934796209,22,0.5909090909090909,9.335227272201179,-30.51789206439438,5.329396867473792,-0.10108424307968324,46.373008434864104,121.08723853620234,91.9800827117383,1.3507212100317614,1.8428551522237142,-25.8229289460012,3.5619539094143633,445,2.372430152009203,22,0.5909090909090909,9.335227272201179,-29.10053922523548,0.0,0.0,46.373008434864104,104.22791421739373,79.86098373036788,1.2433833600979158,1.656579468108154,-27.2944518506515,2.9259053879281933,445,2.16760481113216,22,0.5909090909090909,9.335227272201179,-30.80360245508762,5.279116894786234,-0.10014303380052421,46.373008434864104
