scope,slice_kind,period,symbols,mean_return_pct,median_return_pct,positive_return_ratio,mean_sharpe,median_sharpe,trades_exited_total
universe_cross_section,quarter,2024Q3,21.0,9.241281636498766,5.787455015916154,0.8095238095238095,1.706038523633229,1.7155958875965882,19.0
universe_cross_section,quarter,2024Q4,21.0,12.922624579409133,4.590242464510741,0.5238095238095238,0.6175485564081736,0.6462007939603962,112.0
universe_cross_section,quarter,2025Q1,21.0,-5.513926696256948,-6.3301073744256975,0.38095238095238093,-0.30305709826107685,-0.040787736617921316,116.0
universe_cross_section,quarter,2025Q2,22.0,3.5180864892233754,-0.31443889022114146,0.45454545454545453,0.2147852936967875,0.1590015243892148,100.0
universe_cross_section,quarter,2025Q3,22.0,-6.897697761050316,-2.7767372472955465,0.45454545454545453,-0.3227328389302346,0.03206983328959928,135.0
universe_cross_section,quarter,2025Q4,22.0,-4.666954435267695,-9.9511815314139,0.36363636363636365,-0.9951002625644422,-1.0621647333450526,102.0
universe_cross_section,quarter,2026Q1,22.0,12.05022322998371,9.15370024533556,0.5909090909090909,0.896158920181054,0.9628252009886785,124.0
universe_cross_section,quarter,2026Q2,22.0,2.676840973669511,3.869673275091301,0.5909090909090909,0.2829448722459707,0.6404152766862826,101.0
universe_cross_section,quarter,2026Q3,22.0,-5.312903269646181,-7.1541753632950895,0.22727272727272727,-1.8180686470482088,-2.178028567620425,68.0
universe_cross_section,recent,1d,22.0,0.07654364155643992,0.0,0.22727272727272727,,,10.0
universe_cross_section,recent,1m,22.0,-2.6419241612387787,-5.667835900922624,0.3181818181818182,-1.9557183218061391,-2.5998278834692377,47.0
universe_cross_section,recent,1y,22.0,-7.629663043989206,-12.38157155848338,0.3181818181818182,-0.2735062335447504,-0.11896927648511363,460.0
universe_cross_section,recent,3m,22.0,1.2781274729657197,2.0185335894464695,0.6363636363636364,0.11687522191877343,0.4900047838401832,102.0
universe_cross_section,recent,6m,22.0,-10.010482929423462,-13.740948471865021,0.22727272727272727,-0.6336326144215104,-0.7898374307592362,234.0
universe_cross_section,recent,7d,22.0,-0.39122641875607445,0.0,0.18181818181818182,-3.2465859734613436,-3.5491215567843306,16.0
universe_cross_section,year,2024,21.0,21.28781041461344,7.428494095736515,0.7142857142857143,0.7518197263999463,0.6211523515442253,131.0
universe_cross_section,year,2025,22.0,-10.93859730506948,-23.992056346266445,0.3181818181818182,-0.23362111609738126,-0.3158257653550183,453.0
universe_cross_section,year,2026,22.0,9.542325991744672,7.976464163312269,0.5454545454545454,0.33336525234826875,0.5276076162861422,292.0
equal_risk_portfolio,year,2024,,11.488781687269212,,,1.255868407591807,,
equal_risk_portfolio,year,2025,,-7.655910972892066,,,-0.29811905026164076,,
equal_risk_portfolio,year,2026,,22.150014343196524,,,1.6055354574033711,,
equal_risk_portfolio,quarter,2024Q3,,1.5057267428723264,,,0.5604743942257974,,
equal_risk_portfolio,quarter,2024Q4,,10.44306623581457,,,1.8026937858344318,,
equal_risk_portfolio,quarter,2025Q1,,-0.29911258876582636,,,0.042837253708740745,,
equal_risk_portfolio,quarter,2025Q2,,7.849455812077166,,,1.5439190636929887,,
equal_risk_portfolio,quarter,2025Q3,,-5.209196954690265,,,-0.9853496164144955,,
equal_risk_portfolio,quarter,2025Q4,,-10.042499224500368,,,-2.1965146740507904,,
equal_risk_portfolio,quarter,2026Q1,,21.231020843088587,,,2.9956864140086847,,
equal_risk_portfolio,quarter,2026Q2,,8.240778134943971,,,1.8505239536181224,,
equal_risk_portfolio,quarter,2026Q3,,-6.135212916176314,,,-4.6522539156865985,,
equal_risk_portfolio,recent,1d,,-0.019416798374516375,,,,,
equal_risk_portfolio,recent,7d,,-0.9467314016066708,,,-9.850048407684001,,
equal_risk_portfolio,recent,1m,,-4.24458378505177,,,-4.67057881516797,,
equal_risk_portfolio,recent,3m,,5.647528754414433,,,1.3594631345185881,,
equal_risk_portfolio,recent,6m,,-3.4629572140840947,,,-0.3909491022793743,,
equal_risk_portfolio,recent,1y,,-0.7339532719197517,,,0.061696058982889664,,
