variant,parameter,value,assets,mean_sharpe,median_sharpe,sharpe_gt_0_count,sharpe_gt_0_ratio,mean_cagr_pct,median_cagr_pct,mean_total_return_pct,median_total_return_pct,pf_gt_1_count,pf_gt_1_ratio,total_trades,long_positive_pnl_assets,short_positive_pnl_assets,portfolio_total_return_pct,portfolio_sharpe,portfolio_mdd_pct,assets_trade_count_changed
baseline,baseline,0.0,22,0.1350031115774894,0.23857502809622796,12,0.5454545454545454,2.901719934631845,1.5603858947355165,12.359967159156758,3.1415003322097124,12,0.5454545454545454,876,11,8,22.842131065613238,0.5819968024301972,-25.112902684587358,0
ma_length_6,ma_length,6.0,22,0.18899839992581138,0.22541557005143648,15,0.6818181818181818,6.666869700866778,-2.149447164414031,25.955402300814608,-4.2422549216571515,10,0.45454545454545453,899,11,11,29.11722262862051,0.7007281482363843,-12.60937347585369,20
ma_length_8,ma_length,8.0,22,0.1897666766385316,0.3599719681047842,14,0.6363636363636364,7.466955906801978,6.6619968367450095,21.437260810771214,14.242566027450575,11,0.5,843,11,12,18.981039534700137,0.5175385372925388,-19.67379230414531,22
atr_length_6,atr_length,6.0,22,0.10255593666937181,0.12935003453494373,12,0.5454545454545454,-0.44725850894271607,-1.6553486423548702,3.192271913983343,-3.200157949711324,11,0.5,894,12,7,16.805141028495395,0.4672521023120884,-25.65245514472191,12
atr_length_8,atr_length,8.0,22,0.01694716708780692,0.13682660624489168,12,0.5454545454545454,-5.223318109795347,-4.344766812452949,-4.371911618924764,-8.479745333509587,7,0.3181818181818182,885,8,8,10.006794577541566,0.32770552540429393,-26.171768176107502,15
slope_min_atr_0.016,slope_min_atr,0.016,22,0.1384386511471622,0.15224344639514076,14,0.6363636363636364,3.475022628385752,-3.161229289077161,13.138205678386724,-6.211372515681829,8,0.36363636363636365,889,12,8,22.41248123005375,0.5735430462039494,-25.241176488634952,11
slope_min_atr_0.024,slope_min_atr,0.024,22,0.13461220830909584,0.198598891395307,13,0.5909090909090909,3.2926729779973036,-0.17191607519657648,12.153664749940651,-0.32193107458445835,11,0.5,862,11,9,21.361286667530344,0.5529772875072717,-25.033087837221867,10
exit_buffer_atr_0.6,exit_buffer_atr,0.6,22,0.1539432971354433,0.21006152246833337,14,0.6363636363636364,3.8059328205156007,-1.135404789126604,13.238021047727049,-2.217540428535886,11,0.5,886,13,9,24.242855334243373,0.6082671964054234,-25.050638089902076,7
exit_buffer_atr_0.9,exit_buffer_atr,0.9,22,0.10653948751497613,0.20615055846184072,12,0.5454545454545454,0.7986998904682205,0.5748174816806728,7.227029943677715,1.160181473314409,11,0.5,872,10,9,19.87855737884663,0.5252726230448111,-25.364794128138833,4
protective_stop_atr_1.2,protective_stop_atr,1.2,22,-0.07504931530008085,0.0184412101847075,11,0.5,-7.4626361899801825,-11.14352426057717,-8.949789505582574,-20.953026348265965,7,0.3181818181818182,1060,9,6,0.25207859884306405,0.11207926260171243,-25.4160416499843,22
protective_stop_atr_1.8,protective_stop_atr,1.8,22,0.13732425766627357,0.23422513937676515,13,0.5909090909090909,9.32140857869903,1.4169278255094009,49.25275462899137,2.8700016431963347,11,0.5,762,12,9,25.5625941526346,0.6347101696477092,-23.344811081449024,22
