omitted,total_return_pct,cagr_pct,sharpe,sortino,mdd_pct,calmar,days
1000SHIBUSDT,18.670721813860713,8.948883025336896,0.5022716117815365,0.7187578715250732,-24.10364030448737,0.37126686725701274,730
ADAUSDT,21.662653641358688,10.315629947912086,0.5587328113731644,0.7902432674115701,-25.600211621714642,0.4029509638569609,730
AVAXUSDT,21.250819729675552,10.128503706284707,0.5535389374914197,0.7828851993959284,-25.076403721772756,0.40390575214302227,730
BCHUSDT,31.880734450129754,14.861136060692681,0.7467858121479548,1.0819650566388945,-23.152233866772963,0.6418877826739954,730
BNBUSDT,27.7713155509149,13.054976161001575,0.6726234377499345,0.9761576726022537,-22.96981109384947,0.5683536580976607,730
BTCUSDT,26.845830487651167,12.644225226966132,0.6575180180593004,0.9531370432266947,-23.315457443378897,0.542310836391367,730
DOGEUSDT,21.760338965789305,10.359969101025502,0.5620328024213899,0.8102874913089809,-24.783799248099992,0.4180137596062771,730
ETHUSDT,23.381218860873542,11.09310703223847,0.5937013270553861,0.8471389139702982,-25.036776207408362,0.4430725002429038,730
HBARUSDT,28.112032507427376,13.20581964753047,0.6766346899770532,0.9811272834721588,-25.447979938441634,0.518933906717751,730
HYPEUSDT,18.862188228856837,9.036858640130486,0.504721112677147,0.7254499601771371,-26.29279125128057,0.34370099978222557,730
LINKUSDT,23.17584575553613,11.000482174688141,0.5886792350736963,0.8419355728284411,-26.231213162844746,0.4193661233430788,730
LTCUSDT,25.155721674660782,11.890236812042087,0.6331723775188173,0.9200861652990607,-23.948628945691187,0.49648924951010054,730
NEARUSDT,16.855222580387874,8.111143609590666,0.4674931248706576,0.6678929232849897,-27.026193531189048,0.300121569107768,730
SOLUSDT,22.449495779326824,10.672272515636028,0.5730821861872565,0.816341443019389,-24.81315628858509,0.4301054001963322,730
SUIUSDT,21.508878287220057,10.245795622107302,0.5578279539693585,0.8098635038494697,-25.205141835509593,0.40649624941498186,730
TAOUSDT,19.971287865263278,9.545085158984467,0.5273727079698195,0.7698463081502507,-23.563265288169475,0.40508329564055856,730
TRXUSDT,19.6683505760912,9.406502883491164,0.5206353252384341,0.7292843144752047,-25.995374471630416,0.36185294786796707,730
UNIUSDT,18.718299908711323,8.970750977660892,0.5032999611305794,0.7152083007067219,-27.741596544182244,0.3233682302088763,730
XLMUSDT,26.076209704335508,12.301509358375483,0.6387043274801972,0.9182030124934428,-24.4831139958815,0.5024487228399467,730
XMRUSDT,23.447459116384152,11.122965477720893,0.5925213521061331,0.830580708962507,-24.745315663997435,0.44949782127467325,730
XRPUSDT,25.32351077195818,11.965316986342023,0.6299246098632497,0.9288855076563919,-24.534053267504675,0.4877024132897792,730
ZECUSDT,17.033740591885028,8.193805278093746,0.4710429121206823,0.671575498189062,-26.112771436991743,0.31378535586943784,730
